№ п/п,Наименование организации,ИНН организации,ОГРН организации,Адрес места нахождения организации (юридический адрес),Адрес осуществления вида деятельности ,Регистраци-онный номер организации Серия лицензии Номер лицензии,"Дата выдачи лицензии (месяц, число, год)","Дата окончания действия лицензии (месяц, число, год)",Продленна лицензия,Основание и дата переоформления лицензии,"Дата приоста-новления действия лицензии (месяц, число, год)","Дата возобно-вления действия лицензии (месяц, число, год)","Дата прекра-щения действия лицензии (месяц, число, год)","Дата аннули-рования (месяц, число, год)",Дата прове-дения последней проверки,Примечание,,,,,,,
1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,,,,,,,
1,"ООО ""Первачок""",6713006775,1066713009659,"216790, Смоленская область, г. Рудня, ул. Киреева, д. 48","214000, Смоленская область, г. Рудня, ул. Киреева, д. 48 (магазин), без ограничений",№ 1059               Б 005827,05 июля 2006,по 05 июля 2011, до 06 июля 2016,,,,,,,,,,,,,,
2,"ООО ""Руднязернопродукт""",6713004087,1026700648974,"216760, Смоленская область, г. Рудня, ул. Стационная, д. 30","216790, Смоленская область, Руднянский район, п. Голынки, ул. Коммунистическая, д. 12 (магазин)",№ 998                 Б 005775,30 июня 2006,по 30 июня 2011,,,,,,,,,,,,,,,
,,,,,"216790, Смоленская область, Руднянский район, д. Казимирова (магазин)",,,,,,,,,,,,,,,,,,
,,,,,"216790, Смоленская область, Руднянский район, д. Березино (магазин)",,,,,,,,,,,,,,,,,,
3,"ООО ""Магистраль""",6713006849,1066713009703,"216762, Смоленская область, Руднянский район, д. Стаи, 448 км. а/д Орел-Брянск-Смоленск граница РБ","216762, Смоленская область, Руднянский район, д. Стаи, 448 км. Автодороги Орел-Брянск-Смоленск граница Республики ""Беларусь"" (магазин), без ограничений",№ 879                  Б 005983,22 июня 2006, по 22 июня 2011,до 23 июня 2012,,,,,,,,,,,,,,
,,,,,"216762, Смоленская область, Руднянский район, д. Стаи, 448 км. Автодороги Орел-Брянск-Смоленск граница Республики ""Беларусь"" (кафе), без ограничений",,,,,,,,,,,,,,,,,,
4,"ООО ""Эдельвейс""",6713005563,1046745600285,"216760, Смоленская область, г. Рудня, ул. Героя Советского Союза Егорова М.В., д. 5, кв. 3","216760, Смоленская область, г. Рудня, ул. Революционная, торговые ряды (торговый павильон)",№ 1847                  Б 005127,02 июня 2009,по 02 июня 2014,,,,,,,,,,,,,,,
,,,,,"216760, Смоленская область, г. Рудня, ул. Пирогова, д. 3 (магазин)",,,,,,,,,,,,,,,,,,
5,"ООО ""Торговый дом ""Славянский""",6713005041,1026700644816,"216740, Смоленская область, Руднянский район, пгт. Голынки, ул. Витебская, д. 1","216740, Смоленская область, Руднянский район, пгт. Голынки, ул. Мира, д. 1 (магазин №1)",№ 614                Г 679215,09 февраля 2006,по 09 февраля 2011,,,,,,,,,,,,,,,
,,,,,"216740, Смоленская область, Руднянский район, пгт. Голынки, ул. Витебская, д. 1 (магазин №2)",,,,,,,,,,,,,,,,,,
,,,,,"216740 ,Смоленская область, Руднянский район, пгт. Голынки, ул. Витебская, д. 1 (столовая)",,,,,,,,,,,,,,,,,,
6,"ООО ""Парус""",67130077176,1066713010550,"216790, Смоленская область, г. Рудня, ул. Красноярская, д. 43","216790, Смоленская область, г. Рудня, ул. Красноярская, д. 43 (магазин)",№ 1428                  Г 679408,15 января 2007,по 15 января 2012,,,,,,,,,,,,,,,
7,"ООО ""Руднянская Межрайбаза ОПС""",6713001368,1026700647764,"216760, Смоленская область, г. Рудня, ул. Вокзальная, д. 27","216760, Смоленская область, Руднянский район, д. Волклво (магазин)",№ 1419                    Г 679396,27 декабря 2006,по 27 декабря 2011,,,,,,,,,,,,,,,
,,,,,"216770, Смоленская область, Руднянский район, д. Березино (магазин)",,,,,,,,,,,,,,,,,,
8,"ООО ""ФАРМ-ИНВЕСТ""",6713005080,1026700645036,"216740, Смоленская область, Руднянский район, пгт. Голынки, ул. Мира, д. 8","216740, Смоленская область, Руднянский район, пгт. Голынки, ул. Мира, д. 8 (магазин), без ограничений",№ 819                    Б 004828,01 июня 2011,по 19 июня 2011,до 20 июня 2014,,,,,,,,,,,,,,
,,,,,"216740, Смоленсая область, Руднянский район, п. Голынки,ул. Мира, д. 5 (магазин)",,19 июня 2006,по 19 июня 2011,,исключение объекта,,,,,,,,,,,,,
9,"ООО ""Экспресс""",6713006895,1066713009912,"216790, Смоленская область, г. Рудня, поселок МКК","216790, Смоленская область, г. Рудня, поселок МКК (магазин), без ограничений",№ 1187                    Б 005967,24 июля 2006,по 24 июля 2011,до 25 июля 2013,,,,,,,,,,,,,,
10,"ООО ""Новый век""",6713006782,1066713009692,"216790, Смоленская область, г. Рудня, ул. Киреева, 95","216790, Смоленская область, г. Рудня, ул. Киреева, д. 95 (магазин), без ограничений",№ 1063                  Б 005840,05 июля 2006,по 05 июля 2011,до 06 июля 2014,,,,,,,,,,,,,,
,,,,,"216790, Смоленская область, Руднянский район, д. Шеровичи (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216790, Смоленская область, г. Рудня, ул. Революционная (павильон), до 15%",,,,,,,,,,,,,,,,,,
11,"ООО ""Визит""",6713006863,1066713009769,"216790, Смоленская область, г. Рудня, ул. Киреева, 56","216790, Смоленская область, г. Рудня, ул. Киреева, д. 56 (магазин), без ограничений",№ 1189               Б 005973 ,24 июля 2006,по 24 июля 2011,до 25 июля 2013,,,,,,,,,,,,,,
,,,,,"216790, Смоленская область, г. Рудня, пос. Молкомбината (магазин), без ограничений",,,,,,,,,,,,,,,,,,
