№ п/п,Наименование организации,ИНН организации,ОГРН организации,Адрес места нахождения организации (юридический адрес),Адрес осуществления вида деятельности ,Регистраци-онный номер организации Серия лицензии Номер лицензии,"Дата выдачи лицензии (месяц, число, год)","Дата окончания действия лицензии (месяц, число, год)",Продленна лицензия,Основание и дата переоформления лицензии,"Дата приоста-новления действия лицензии (месяц, число, год)","Дата возобно-вления действия лицензии (месяц, число, год)","Дата прекра-щения действия лицензии (месяц, число, год)","Дата аннули-рования (месяц, число, год)",Дата прове-дения последней проверки,Примечание,,,,,,,
1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,,,,,,,
1,"ООО ""Василек""",6718005133,1066712012014,"216620, Смоленская область, п. Хиславичи, ул. Октябрьская, 2","216620, Смоленская область, п. Хиславичи, ул. Октябрьская, 2 (магазин без ограничений",№ 1367               Г 301818,01 ноября 2011,до 28 ноября 2012,,,,,,,,,,,,,,,
,,,,,"216620, Смоленская область, п. Хиславичи, ул. Советская, д. 108-а (магазин), без ограничений",,,,,,,,,,,,,,,,,,
2,"ОО ""Ирина""",6712009639,1116712000130,"216620, Смоленская область, Хиславичский район, п. Хиславичи, ул. Советская, д. 45, кв. 1","216635, Смоленская область, Хиславичский район, д. Соино, (магазин), без ограничений",№ 2078                       Г 301865,21 декабря 2011,до 21 декабря 2012,,,,,,,,,,,,,,,
3,"ООО ""Визит""",6718005140,1066712012047,"216643, Смоленская область, Хиславичский район, д. Печерская Буда","216643, Смоленская область, Хиславичский район, д. Печерская Буда (магазин), без ограничений",   № 1404           Г  679395                    (Г 301891),27 декабря 2006,по 27 декабря 2011,28 декабря 2012,,,,,,,,,,,,,,
4,Хиславичское РАЙПО,6718000150,1.0267E+13,"216620, Смоленская область, Хиславичский район, п. Хиславичи, ул. Советская, д. 27","
 216620, Хиславичи, ул. Советская, 27 (магазин ), без ограничений",№ 852                       Б 005624          (Б 005493),21 июня 2006,21 июня 2011,до 22 июня 2016,,,,,,,,,,,,,,
,,,,,"216620, Хиславичи, ул. Урицкого, 8 (магазин ), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216620. Хиславичи, ул. Зверева, 6 (магазин ), без ограничений.
",,,,,,,,,,,,,,,,,,
,,,,,"216620, Хиславичи, ул. Урицкого, 4 (магазин ), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216620,Хиславичи, ул. Советская, 33 (закусочная № 1), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216620. Хиславичи, ул. Советская, 29 (ресторан ), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216620Хиславичи, ул. Советская, 51 (закусочная ), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216623, Хиславичский район, п. Фролово (магазин «Фролово»), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216620, Хиславичи, ул. Советская, 114 (магазин ), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216625, Хиславичский район, д. Корзово (магазин ), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216624, Хиславичский район, д. Черепово (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216621, Хиславичский район, д. Упино (магазин ), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216621,  Хиславичский район, д. Кобылкино (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216625,  Хиславичский район, д. Лызки (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216622, Хиславичский район, д. Лобановка (магазин ), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216643,  Хиславичский район, д. Зарево (магазин ), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216640, Хиславичский район, д. Гутка (магазин ), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216648, Хиславичский район, д. Городище (магазин ), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216637,  Хиславичский район, д. Иозефовка (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216633, Хиславичский район, д. Жанвиль (магазин ), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216631, Хиславичский район, д. Грязь (магазин ), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216630,  Хиславичский район, д. Растегаевка (магазин, без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216634, Хиславичский район, д. Клюкино (магазин ), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216630, Хиславичский район, д. Стайки (магазин ), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216632, Хиславичский район, д. Б. Хутора (магазин ), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,", Хиславичский район, д. Соино (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"Хиславичский район, д. Богдановка (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"Хиславичский район, д. Петрополье (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,," Хиславичский район, д. Н. Рудня (магазин ), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"Хиславичский район, д. Микшино (магазин), без ограничений.",,,,,,,,,,,,,,,,,,
,,,,,", Хиславичский район, п. Зарево( магазин), без ограничений.",,,,,,,,,,,,,,,,,,
,,,,,"Хиславичи, ул. Советская, д. 108 (кафе ""), без ограничений.",,,,,,,,,,,,,,,,,,
