Инсарский район,,,,,,,,,,
№,Регис-,Серия,"Наименование организации,",,Адреса,Кол - тво,Срок ,№ ,Дата,Ф.И.О.
орга,тра-,лицензии,"юридический адрес, почтовый адрес",,торговых объектов,торговых,действия,"телефона,",приоста-,"руководителя, учредителя"
низа,цион-,,,,,объектов,лицензииё,факс,новки и,
ции,ный,,,ИНН,,,,,возобнов-,
,№,,,ОГРН,,,,,ления,
,лицен-,,,,,,,,лицензии,
,зии,,,,,,,,,
,,,,,"м-н г. Инсар, ул. Советская, 66",,,,,
1,279,13 МЕ,"ООО ""Ива"" г. Инсар, ул. Бибишева, 93",1309083854,"м-н г. Инсар, ул. Бибишевой, 93а",2,04/08/11,2-12-45,,Алешкин Иван Архипович
,,001745,,1061323004049,"м-н г. Инсар, ул. Коммунистическая, 58а",,15/07/12,,,
1,306,13 МЕ,"ООО ""ИнСар"" с. Сиал. Пятино, Инсарский район",1309083484,"м-н ""Белочка"" с. Сиал. Пятино, ул. Советская, 90, Инсарск",1,15/09/11,2-43-99,,Громов Юрий Сергеевич
,,001773,,1021300891116,,,15/09/12,,,
1,402,13 МЕ,"ООО ""Ирис"" г. Инсар, ул. Коммунистическая, 1",1309084110,"м-н ""Мрия"" г. Инсар, ул. Советская, 106 б",3,15/12/11,2-24-21,,Абрамова Ирина Григорьевна
,,001879,,1061323005127,"магазин, с. Морд. Паевка, ул. Центральная, Инсарский район",,15/12/13,,,Тренькина Татьяна Александровна
,,,,,"магазин, г. Инсар, ул. Пионерская, 136",,,,,
1,210,13 МЕ,"ООО ""Евкор"" г. Инсар, ул. Новая, 35",1309084625,"м-н ""Маячок"" г. Инсар, ул. Бибешева, 96",1,31/08/09,89271987985,,Корнилов Евгений Александрович
,,000967,,,,,31/08/14,,,
1,206,13 РМ,"ООО ""Региональное Объединение Розничной",1327010520,"м-н с. Морд. Паевка, ул. Центральная, 25а, Инсарский район",6,29/06/12,,,
,,000097,"Торговли"" г. Саранск, ул. Строительная, 1",,"м-н ""Продукты"", г. Инсар, ул. Фролова, 24г",,15/07/14,,,
,,,,,"м-н ""Продукты"", с. Ст. Верхисы, ул. Советская, 34, Инсарский",,,,,
,,,,,"кафе ""Лунный свет"", г. Инсар, ул. Заводская, 2а",,,,,
,,,,,"м-н ""Продукты"", с. Кочетовка, ул. Ленина, 70, Инсарский район",,,,,
,,,,,"магазин ""Татьяна"", г. Инсар, ул. Красноармейская, 16/1",,,,,
,,,,,,,,,,
,,,,,,,,,,
10,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,48,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
