"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО ""Осинский район"" ",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),
1,2,3,4,5,6,7,8,9,10,
17,"ООО ""Восход"" 8505006270",Межрайонная инспекция Федеральной налоговой службы №7 по Иркутской области и УОБАО,А 167626 №5 23.11.2010г.-01.08.2011г. взамен 38 МЕ 000657 №107-РАП от 01.08.2006 г.,"с.Ирхидей                 м-н ""Анжелика"" ",,,01.08.2011г.,,,
18,"ООО ""Самоцветы"" 8505006224",Межрайонная инспекция Федеральной налоговой службы №7 по Иркутской области и УОБАО,"38 МЕ 000675, №119-РАП, 18.08.2006г.- 18.08.2011г.","д.Русские Янгуты, м-н ""Самоцветы""",,,18.08.2011г.,,,
19,"ООО ""Уряал"" , 8505006312",Межрайонная инспекция Федеральной налоговой службы №7 по Иркутской области и УОБАО,А857763 №22 от 10.10.2011-13.10.2012г.," д.Кутанка, м-н ""Уряал""",1/20/2012,,,,,
20,"ООО ""Кедр"", 8505006305",Межрайонная инспекция Федеральной налоговой службы №7 по Иркутской области и УОБАО,"38 МЕ 000705, №141-РАП, 12.10.2006г.- 12.10.2011г.","п.Приморский, ул.Октябрьская, м-н ""Кедр"";ул.Советская м-н ""Промышленных товаров""; ул.Советская столовая ""Юность""",,,12.10.2011г.,,,
21,"ООО ""Дархан"" 8505006136",Межрайонная инспекция Федеральной налоговой службы №7 по Иркутской области и УОБАО,"38 МЕ 000711, №145-РАП, 19.10.2006г. -19.10.2011г.","с.Оса,                     ул. Больничная ,26 бильярдный клуб ""99""",,,10/19/2011,,,
22,"ООО ""Диалог""  8505006344",Межрайонная инспекция Федеральной налоговой службы №7 по Иркутской области и УОБАО,"38 МЕ 000715, №149-РАП, 25.10.2006г.-25.10.2011г.П","с.Оса ,ул.Свердлова,37 м-н ""Бирюса"";с.Оса, ул.Свердлова ,85 м-н ""Караван""",,,10/25/2011,,,
23,"ООО ""РаКурс"" 8505006390",Межрайонная инспекция Федеральной налоговой службы №7 по Иркутской области и УОБАО,"38 МЕ 000749, №156-РАП, 30.11.2006г.-30.11.2011г.","с.Оса, ул.Чапаева ,    м-н ""Уряал""; с.Оса ул.Дзержинского,34   м-н ""Радуга""",,,30.11.2011г.,,,
24,"ООО ""Тюрнев и Ко"" 8505006489",Межрайонная инспекция Федеральной налоговой службы №7 по Иркутской области и УОБАО,"38 МЕ 000754, №160-РАП, 07.12.2006г-07.12.2011г.","с.Русские-Янгуты, м-н ""Слава""; с.Оса ,ул.Дзержинского ,8     м-н ""Виктория""",,,7.12.2011г.,,,
25,"ООО ""Ойлрайт"" 8505006320",Межрайонная инспекция Федеральной налоговой службы №7 по Иркутской области и УОБАО,"38 МЕ 000759 №164-РАП, 12.12.2006г.-12.12.2011г.","с.Енисей, ул.Кирова,   м-н ""Алиса""",,,12/12/2011,,,
26,"ООО ""Фаворит"" 8505006471",Межрайонная инспекция Федеральной налоговой службы №7 по Иркутской области и УОБАО,"38 МЕ 000785 №002-РАП, 08.02.2007г.- 08.02.2012г.","144 км а/д""Иркутск-Качуг"" кафе ""Ева""",,,2/8/2012,,,
