"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО Слюдянский район",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),
1,2,3,4,5,6,7,8,9,10,
18,"ООО ""Чайка""               3837003235",Межрайонная ИФНС России № 1 по Иркутской области и УОБАО, № 39 бланк А 200453 с 12.08.2011 по 11.08.2012,"г. Слюдянка, ул. 40 лет Октября, 49, магазин ""Байкал""",,,,,,
,,,,"г. Слюдянка, ул. 40 лет Октября, 15, магазин ""Чайка""",,,,,,
19,"ООО ""Елена""             3837004567",Межрайонная ИФНС России № 1 по Иркутской области и УОБАО,№ 40 бланк А 200454  с 11.12.2007 по 11.12.2012,"р.п. Култук, ул. Кирова, 19 ""А"", магазин ""Елена""",,,,,,
20,"ООО ""Черемушки"" 3837004045",Межрайонная ИФНС России № 1 по Иркутской области и УОБАО,№ 40 бланк А 200503  с 07.07.2011 по 07.07.2012,"р.п. Култук, ул. Кирова, 52Б, магазин ""Марина""",,,7/7/2012,,,
,,,,"р.п. Култук, ул. Профсоюзная, 3 кафе-бар ""Черемушки""",,,,,,
,,,,,,,,,,
,,,,"р.п. Култук, ул. Профсоюзная, 3, магазин ""минимаркет""",,,,,,
21,"ООО Черемушки""  3837004775",Межрайонная ИФНС России № 1 по Иркутской области и УОБАО,№ 42 бланк А 200456  с 25.12.2007 по 25.12.2012,"г. Слюдянка, ул. Советская, 28/1, павильон ""Черемушки""",,,,,,
22,"ООО ""Слух""       3837002986",Межрайонная ИФНС России № 1 по Иркутской области и УОБАО,№ 82 бланк А 200507  с 02.12.2005 года по 02.12.2020 года ,"г. Слюдянка, ул. Ленина, 94, магазин",,,,,,
23,"ООО ""Веста""  3837003228    ",Межрайонная ИФНС России № 1 по Иркутской области и УОБАО,№ 71  бланк А 200499 с 02.08.2011 по 02.08.2012,"г. Слюдянка, ул. Советская, 32А, магазин ""Янтарь""",,,,,,
,,,,,,,,,,
,,,,"г. Слюдянка, ул. Ленина, 29/2, минимаркет ""Веста""",,,,,,
24,"ООО ПКФ ""Инженерные системы""  3811100690", ИФНС России по Октябрьскому округу г. Иркутска,№ 50 бланк А 200464 с 23.05.2008 по 23.05.2013,"Слюдянский район, п. Утулик, база отдых ""Утулик"", спальный корпус 2, бар",,,,,,
25,"ООО ""Петрович""      3837004824",Межрайонная ИФНС России № 1 по Иркутской области и УОБАО,№ 51  бланк А 200465 с 30.05.2008 по 30.05.2013,"Слюдянский район, п. Тибельти, ул. Засопочная, 2А, магазин",,,,,,
26,"ООО ""Магнит""        3848000162",Межрайонная ИФНС России № 1 по Иркутской области и УОБАО,№ 54 бланк А 200469  с 01.11.2008 по 01.11.2013,"г. Слюдянка, ул. Совествкая, 19 ""А"", кафе ""Магнит""",,,,,,
27,"ООО ""Альянс""            3837003309",Межрайонная ИФНС России № 1 по Иркутской области и УОБАО, № 86 бланк А 200511 18.11.2011 по 30.06.2012,"г. Слюдянка, ул. Парижской Коммуны, 75, магазин ""Альянс-1""",,,7/1/2012,,,
,,,,"г. Слюдянка, ул. Ленина, 54А, магазин ""Альянс-2""",,,,,,
,,,,"г. Слюдянка, ул. Ленинградская, 4а, магазин ""Альянс-3""",,,,,,
,,,,"г. Слюдянка, ул. Советская, 50/1, магазин ""Альянс-4""",,,,,,
,,,,,,,,,,
,,,,"г. Слюдянка, ул. Фрунзе, 5, магазин ""Альянс-6""",,,,,,
,,,,,,,,,,
28,"ООО ""Магнит""        3837003490",Межрайонная ИФНС России № 1 по Иркутской области и УОБАО,№ 102 серия А 200527 от 24.07.2012 взамен № 58 бланк А 200473  с 18.10.2011 по 18.10.2012,,,,,,,
,,,,"Слюдянский район, п. Утулик, ул. Набережная, 4, магазин",,,,,,
29,"ОАО ""Ангарская нефтехимическая компания"" УСКС",,А 167262 № 69 от 08.04.2009 по 08.04.2014,"Иркутская область, Слюдянский район, п. Утулик, столовая базы отдыха ""Утулик""",,,,,Администрация Ангарского муниципального образования,
30,"ООО ""Елена""            3837003789",Межрайонная ИФНС России № 1 по Иркутской области и УОБАО,№ 60 бланк А 200475  от 29.05.2009 по 29.05.2014,"Слюдянский район, п. Мурино, ул. Байкальская, 2, магазин",,,,,,
31,"ООО ""ОМНИ-СЕРВИС"" 3801069916",Инспекция МНС России по г. Ангарску Иркутской области,"А 200476 № 61 от 03.06.2009 по 03,06.2014","Слюдянский район, п. Култук, ул. Депутатская, 69""Б""",с 14.11.2011 по 14.05.2012,,,,,
,,,,"г. Слюдянка, пер. Магистральный, 1/1, магазин ",,,,,,
32,"ЗАО ""Иркутскнефтепродукт""",,АН00432 ПР6 от 01.11.2009 срок действия с 11.01.2008 по 10.01.2013,"г. Байкальск, 146 км +375 м автодороги ""Иркутск-Чита"", магазин",,,,,Администрация г. Иркутска,
,,,,"Слюдянский район, р.п. Култук, 101км+100м автодороги ""Иркутск-Чита"" магазин",,,,,,
33,"ООО ""ВИТЕКС""        3848001945",МРИФНС № 1 по Иркутской области,А 200483 № 65 с 17.12.2009 по 17.12.2014,"г. Слюдянка, ул. Ленина, 17А, магазин",с 14.11.2011 по 14.05.2012,,,,,
34,"ООО ""Валентина"" 3837003179",Межрайонная ИФНС России № 1 по Иркутской области и УОБАО,№ 66 бланк А 200484  от 25.12.2009 по 25.12.2014,"г. Слюдянка, ул. Амбулаторная, 20, магазин",,,,,,
35,"ООО ""Продукты у Ирины"" 3848002000",МРИФНС № 1 по Иркутской области,№ 75 бланк А 200493  от 03.12.2010 по 25.12.2014 ,"г. Байкальск, мкн. Гагарина, район магазина ""Книги"", павильон",,,,,,
,,,,"г. Байкальск, мкн. Южный, квартал 2, район дома № 17, магазин",,,,,,
36,"ООО ""Курбатов""      3837001527",Межрайонная ИФНС России № 1 по Иркутской области и УОБАО,№ 104 серия А 200529 от 31.07.2012 взамен № 71 бланк А 200486 с 18.02.2010 по 20.04.2014 ,"г. Байкальск, ул. Гагарина, 215, супермаркет ""Курбатовский""",,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,"г. Байкальск, мкн. Южный, квартал 1, магазин № 6",,,,,,
,,,,"г. Байкальск, ул. Гагарина, 215, буфет в Доме торговли",,,,,,
,,,,"г. Байкальск, ул. Гагарина, 169А, бар в ресторане ""У озера""",,,,,,
,,,,"г. Слюдянка, ул. Парижской Коммуны, 5, магазин ""Продукты""",,,,,,
,,,,,,,,,,
,,,,"г. Слюдянка, ул. Парижской Коммуны, 84, отдел в магазине ""Слюдяночка""",,,,,,
,,,,,,,,,,
,,,,"г. Слюдянка, ул. Фрунзе, 7, отдел в магазине ""Слюдяночка""",,,,,,
37,"ООО ""ЭкоБай""          3836003225",Межрайонная ИФНС России № 1 по Иркутской области и УОБАО,А 200500 № 70 взамен А 200488 № 70 с 24.06.2011 по 24.03.2012,"г. Байкальск, пер. Березовый, 9, кафе",,,с 25.03.2012,,,
38,"ООО ""ДелаГа""         3837004856",Межрайонная ИФНС России № 1 по Иркутской области и УОБАО,№ 69 бланк А 200487  с 10.03.2010 по 31.03.2013 ,"г. Байкальск, ул. Гагарина, 215, торговая точка в торговом зале 1 этажа Дома торговли",,,,,,
39,"ООО ""Круиз""           3812108067",ИФНС по Свердловскому району г. Иркутска,А 200489 № 71 с 07.06.2010 по 13.07.2014 взамен А 200478 № 62 от 13.07.2009 по 13.07.2014,"г. Слюдянка, ул. Ленина, 136, магазин ""Авоська""",,,с 06.02.2012,,,
,,,,"г. Слюдянка, ул. Советская, 46А, кафе ""Спутник""",,,,,,
40,"ООО ""Меркурий""    3837004119",Межрайонная ИФНС России № 1 по Иркутской области и УОБАО,№ 80 бланк А 200505  с 19.07.2011 по 19.07.2012 года ,"г. Байкальск, ул. Гагарина, 202 ""А"", магазин ""Ягодка""",,,7/19/2012,,,
,,,,"г. Байкальск, мкн. Южный, квартал 3, д.24, магазин № 2 ""Южный""",,,,,,
,,,,"г. Байкальск,мкн. Южный, квартал 2, между домами № 31 и № 32, магазин ""Меркурий""",,,,,,
,,,,,,,,,,
41,"ООО ""Старт""",,рег № 44 с 26.09.2011 АН 00636Пр23 взамен рег № 42 с 23.08.2011 АН 00636 Пр22,"г. Байкальск, мкн. Гагарина, в районе домов №№159,201, отдел в магазине",,,,,Администрация г. Иркутска,
,,,,"р.п. Култук, ул. Депутатская, в районе дома № 3, отдел в магазине",,,,,,
,,,,"Слюдянский район, п. Сухой Ручей, ул. Зои Космодемьянской, 8а, отдел в магазине",,,,,,
,,,,"г. Байкальск, мкн. Гагарина, район крытого рынка, отдел в магазине",,,,,,
,,,,"г. Слюдянка, ул. Слюдяная, 4, отдел в магазине",,,,,,
,,,,"г. Слюдянка, ул. Тонконога, в районе дома № 51, отдел в магазине",,,,,,
,,,,"г. Слюдянка, ул. Слюдянских Красногвардейцев, между домами № 48 и № 50, отдел",,,,,,
,,,,"г. Слюдянка, ул. Захарова, между домами № 17 и № 19, отдел",,,,,,
42,"ООО ""Ветер""",,"Г 888805 № 41 от 30.12.2010, № регистрации 30 от 12.01.2011","р.п. Култук, ул. Кирова, 28А,отдел",,,,,Администрация Шелеховского муниципального района,
,,,,"Слюдянский район, п. Утулик, ул. 40 лет Победы, 32А, отдел в магазине",,,,,,
,,,,"г. Байкальск, ул. Байкальская, 8, отдел в магазине ""Байкал""",,,,,,
,,,,"г. Байкальск, ул. Железнодорожная, 4, отдел в магазине ""Байкал""",,,,,,
43,"ООО ""Стандарт-Алко""",,АН 00554Пр12 от 05.06.2012 года срок действия с 10.12.2008 года по 10.12.2013 года,"г. Слюдянка, ул. Ленина, 56, отдел в магазине",,,,,Администрация г. Иркутска,
,,,,"г. Слюдянка, ул. Бабушкина, 1, отдел в магазине",,,,,,
,,,,"г. Слюдянка, мкн. Берсенева, отдел в магазине",,,,,,
,,,,"г. Слюдянка, ул. Шахтерская, 29/1, отдел в магазине",,,,,,
,,,,"г. Слюдянка, ул. Кирова, 1/37, отдел в магазине",,,,,,
,,,,"г. Слюдянка, ул. Подгорная, 19, отдел в магазине",,,,,,
,,,,"г. Байкальск, ул. Гагарина, 29В, павильон",,,,,,
,,,,"г. Слюдянка, ул. Ленина, 118, отдел",,,,,,
,,,,"г. Слюдянка, ул. Ленина, 54 Б, магазин",,,,,,
,,,,"г. Слюдянка, ул. Ленина, 1Е/1",,,,,,
,,,,"г. Байкальск, мкн. Южный, 1 квартал, магазин",,,,,,
,,,,"п. Утулик, ул. Горная, 24, отдел",,,,,,
,,,,"п. Ангасолка, ул. Советская, 4в, отдел",,,,,,
,,,,,,,,,,
44,"ООО ""Заряд""",,рег № 41 от 23.08.2011 АН 00494 Пр26 с 08.07.2008 по 07.07.2013 взамен АН 00494 Пр 24 от 05.04.2011 № 35 ,"г. Слюдянка, ул. Ленина, 54Б, отдел",,,,,Администрация г. Иркутска,
,,,,"р.п. Култук, ул. 4-ый участок, 1Б, отдел",,,,,,
,,,,"г. Байкальск, мкн. Южный, 2,13а, отдел",,,,,,
,,,,"Слюдянский район, ст. Ангасолка, ул. Заводская, 7, отдел",,,,,,
,,,,"г. Слюдянка, ул. Ленина, 101Б, отдел",,,,,,
,,,,"р.п. Култук, ул. Кирова, 234а, отдел",,,,,,
,,,,"г. Байкальск, мкн. Южный, 3 квартал, дом 17а, отдел",,,,,,
,,,,"г. Байкальск, мкн. Строитель,ул. Байкальская, 14, отдел",,,,,,
,,,,"Слюдянский район, п. Новоснежная, ул. Сплавная, 22а, отдел",,,,,,
,,,,"Слюдянский район, п. Утулик, ул. 40 лет Победы, 24, отдел ",,,,,,
45,"ООО ""Байкал-торг""  3837003066",Межрайонная ИФНС России № 1 по Иркутской области и УОБАО,№ 88 бланк А 200513  с 01.12.2011 года по 01.12.2012 года,"г. Слюдянка, ул. Парижской Коммуны, 15, магазин ""Елена""",,,,,,
,,,,"г. Слюдянка, ул. Амбулаторная, 12, магазин",,,,,,
,,,,,,,,,,
46,"ООО ""АМИК КЭШ ЭНД КЕРРИ""",,"АП03070Пр8, № 25 от 18.11.2010","г. Байкальск, мкн. Гагарина, 181а, магазин ""Бонус""",,,,,администрация г. Иркутска,
,,,,"г.Слюдянка, ул. Ленина, 116, магазин ""Бонус""",,,,,,
47,"ООО ""Виктория""     3848003607",Межрайонная ИФНС  по Иркутской области № 1 ,А 200494 № 76 с 01.01.2011 по 01.01.2012,"Слюдянский район, п. Утулик, ул. Горная, 47, павильон",,,с 02.01.2012,,,
48,"ООО ""Кемпинг-Сибирь""   3848003460",МРИФНС № 17 по Иркутской области,А 200496 № 77 с 17.01.2011 по 17.01.2012,"Слюдянский район, п. Солзан, ул. Гагарина, 50, кафе ""Сибирь""",,,с 17.01.2012,,,
49,"ООО ""Горнолыжный курорт ""Гора Соболиная""    3837002418",Инспекция МНС России по Слюдянскому району Иркутской области и УОБАО,№ 93 бланк А 200518 с 17.02.2012 по 17.02.2013,"г. Байкальск, мкн. Красный ключ, 90, ресторан ""Байкальский бриз""",,,,,,
,,,,"г. Байкальск, мкн. Гагарина, 169, бар гостиницы ""Байкал""",,,,,,
,,,,"г. Байкальск, мкн. Красный ключ, 91, бар ""SKI""",,,,,,
,,,,"г.Байкальск, мкн. Красный ключ, 91, бар ""Экстрим""",,,,,,
,,,,"г. Байкальск, мкн. Красный ключ, 90, бар ""Снежный барс""",,,,,,
,,,,"г. Байкальск, мкн. Красный ключ, 90, специализированный отдел от ресторана ""Байкальский бриз""",,,,,,
,,,,"г. Байкальск, мкн. Красный ключ, 91, кафе ""Бистро""",,,,,,
,,,,"г. Байкальск, мкн. Гагарина, 169, отдел от бара ""Байкал"" гостиницы ""Байкал""",,,,,,
