"СВЕДЕНИЯ ИЗ РЕЕСТРА ДЕЙСТВУЮЩИХ ЛИЦЕНЗИЙ на розничную продажу алкогольной продукции от 3 июля 2012 г., необходимые для регистрации личных кабинетов организациями, осуществляющими розничную продажу алкогольной продукции в региональной системе приема деклараций.",,,,,,,
,,,,,,,
,Предприятие :,ООО,"""Сабурово""",Руководитель,Скворцов Николай Иванович.,,
,"Россия, Орловская область, Орловский район, село Сабурово",Телефон:,Орло,ИНН,5720008242,,
,Лицензия:,Срок действия,Дата переоформления,,,,
ОРЛ-01,/,9,2/16/2006,2/15/2012,2/15/2013,Кол-во объектов,4
,Наименование объекта,Адрес объекта,,,,,
,кафе в торговом центре ,"Орловская область, г.Орёл, ул.Раздольная, д.45д",,,,,
,"торговый центр ""Сабуровская ","Орловская область, г.Орёл, ул.Раздольная, д.45д",,,,,
,"магазин ""Продукты ""Сабурово""","Орловская область, г.Орёл, ул. Полесская, 28 б",,,,,
,"магазин ""Продукты ""Сабурово""","Орловская область, г.Орёл, ул. Генерала Жадова, д.13, пом. №56",,,,,
,Предприятие :,ООО,"""АСК""",Руководитель,Светушкин Михаил Николаевич,,
,"Российская Федерация, 303046, Орловская обл., Мценский р-н, д. Первый Воин, ",Телефон:,  6-44-39,Мцен,ИНН,5717080256,
,Лицензия:,Срок действия,Дата переоформления,,,,
ОРЛ-01,/,20,3/2/2006,5/28/2012,5/28/2013,Кол-во объектов,2
,Наименование объекта,Адрес объекта,,,,,
,магазин,"Орловская область,Мценский р-н,с.Отрадинское, д.4",,,,,
,"магазин ""Продукты 24 часа""","Орловская область,Мценский район,д.Первый Воин,ул.Ленина, д.35",,,,,
,Предприятие :,ООО,"""Ива""",Руководитель,Беляева Надежда Михайловна,,
,"г.Орел ул.Полесская д.43 ""а""",Телефон:,42-74-64,Сов,ИНН,5753016390,
,Лицензия:,Срок действия,Дата переоформления,,,,
ОРЛ-01,/,24,3/7/2006,3/6/2009,3/6/2013,Кол-во объектов,1
,Наименование объекта,Адрес объекта,,,,,
,"закусочная ""Ива""","г.Орел ул.Полесская д.43 ""а""",,,,,
,Предприятие :,ООО,"""Весна""",Руководитель,Дорофеев С.А.,,
,"303754, Россия, Орловская обл., Должанский р-н, с. Баранчик",Телефон:,Долж,ИНН,5708003311,,
,Лицензия:,Срок действия,Дата переоформления,,,,
ОРЛ-01,/,48,3/24/2006,3/23/2012,3/23/2013,Кол-во объектов,3
,Наименование объекта,Адрес объекта,,,,,
,"магазин ""Продукты""","Орловская обл., Должанский р-н, с. В-Долгое",,,,,
,"магазин ""Продукты""","Орловская обл., Должанский р-н, с. Студеное",,,,,
,"магазин ""Продукты""","Орловская обл., Должанский р-н, с. Баранчик",,,,,
,Предприятие :,ООО,"""Меркурий""",Руководитель,Волченков Иван Алексеевич,,
,"Орловская обл.,Колпнянский р-н,пгт.Колпна, ул.Чкалова д.10",Телефон:,  2-15-36,Колп,ИНН,5711002124,
,Лицензия:,Срок действия,Дата переоформления,,,,
ОРЛ-01,/,49,3/28/2006,3/27/2009,3/27/2014,Кол-во объектов,5
,Наименование объекта,Адрес объекта,,,,,
,"магазин ""Меркурий""","Орловская обл.,Колпнянский р-н, с.Дровосечное",,,,,
,"магазин ""Меркурий""","Орловская обл.,Колпнянский р-н, с.Знаменское",,,,,
,"магазин ""Меркурий""","Орловская обл.,Колпнянский р-н, с. Крутое",,,,,
,"магазин ""Меркурий""","Орловская обл.,Колпнянский р-н, с.Яковка",,,,,
,"магазин ""Меркурий""","Орловская обл.,Колпнянский р-н,пгт.Колпна, ул.Чкалова д.10",,,,,
,Предприятие :,ООО,"""Трид""",Руководитель,Трофимов В.И.,,
,"Орловская обл.,Орловский р-н, п.Зареченский, ул.Центральная, д.2",Телефон:,Орло,ИНН,5720012665,,
,Лицензия:,Срок действия,Дата переоформления,,,,
ОРЛ-01,/,44,3/31/2006,3/30/2011,3/30/2014,Кол-во объектов,1
,Наименование объекта,Адрес объекта,,,,,
,"магазин ""Продукты""","Орловская обл., Орловский р-н, п. Зареченский, ул. Центральная, ",,,,,
,д.2,,,,,,
,Страница,1,,,,,
,Предприятие :,ООО,"""ЭКСТРА""",Руководитель,Закарян Сергей Агасиевич,,
,"302040, РФ, Орловская область, г. Орёл, ул. Максима Горького, д.82",Телефон:,43-39-89,Сов,ИНН,5753038683,
,Лицензия:,Срок действия,Дата переоформления,,,,
