41180,28-Sep-12,,,,,,,,,,,,,
Орг_Прав_Форма,Краткое Наименование,ИНН,Код_ОКПО,Город,Улица,ГородФ,УлицаФ,Поле86,Номер лиценз,Серия бланка,Бланк,Начало действ лицензии,Конец действия лицензии,Конец Срока Продления
Общество с ограниченной ответственностью,"ООО ""Инжир""",7018047436,49385804,г. Томск,"пр. Кирова, 66",г.Томск,"ул. Гагарина, 2 (кафе 2-й этаж).",ТОМ,005558АЛ02,70МЕ,2163,2/15/2012,2/15/2016,
Общество с ограниченной ответственностью,"ООО ""Кахети""",7017056290,58911812,г. Томск,"Кузовлевский тракт, д.6/3",г.Томск,,ТОМ,003959АЛ00,70МЕ,1862,2/15/2012,2/15/2016,
Государственное учреждение,"ОГУ ""Столовая Администрации Томской области""",7017015199,20684331,г. Томск,"пл. Ленина, 6",г.Томск,,ТОМ,005060АЛ00,70МЕ,1124,2/15/2012,2/15/2016,
Открытое акционерное общество,"ОАО ""Томское пиво""",7018011045,351432,г. Томск,"ул. Московский тракт, 46",г.Томск,,ТОМ,003743АЛ00,70МЕ,1664,6/15/2011,6/15/2016,
Общество с ограниченной ответственностью,"ООО ""Элегия""",7019003304,34038876,г. Томск,"ул. Лебедева, 11, кв. 277",г.Томск,,ТОМ,005553АЛ00,70МЕ,2156,6/15/2011,6/15/2016,
Общество с ограниченной ответственностью,"ООО ""Ресторанный комплекс Березка""",7017068722,14400565,г.Томск,"ул.Красноармейская, 122",г.Томск,,ТОМ,005610АЛ00,70МЕ,2226,7/28/2008,7/28/2013,
Общество с ограниченной ответственностью,"ООО ""Славянский Базар""",7017067006,59685275,г. Томск,"пл. Ленина, 10",г.Томск,,ТОМ,005681АЛ00,70МЕ,2310,7/28/2008,7/28/2013,
Закрытое акционерное общество,"ЗАО ""Фирма ""ДЕВА""",7017015336,55722976,г. Томск,"пр. Комсомольский, д. 69",г.Томск,,ТОМ,005584АЛ00,70МЕ,2198,12/14/2010,7/28/2013,
Потребительское общество,"ПО ""Тимирязевец""",7014029620,53091971,Томский район,"с. Тимирязевское, ул. Новая, 11 в",г.Томск,,ТОМ,005649АЛ00,70МЕ,2272,9/3/2010,7/28/2013,
Общество с ограниченной ответственностью,"ООО ""Илекс-М""",7021056014,49382013,г. Томск,"ул.Шевченко, 40",г.Томск,,ТОМ,005605АЛ00,70МЕ,2220,3/25/2011,3/25/2016,
Общество с ограниченной ответственностью,"Торговая компания ""Олимпия""",7017071034,14402995,г. Томск,"ул. Сибирская, 10",г.Томск,,ТОМ,005664АЛ00,70МЕ,2289,3/25/2011,3/25/2016,
Общество с ограниченной ответственностью,"ООО ""Внешнеторговая компания ""Интерком""",7019006150,12437707,г. Томск,"пр.Ленина, 83",г.Томск,,ТОМ,005685АЛ00,70МЕ,2314,3/25/2011,3/25/2016,
Общество с ограниченной ответственностью,"ООО ""Антонов двор""",7020001358,20893224,г. Томск,"ул.Смирнова, 23",г.Томск,,ТОМ,005689АЛ00,70МЕ,2318,3/25/2011,3/25/2016,
Общество с ограниченной ответственностью,"ООО ""К-Плюс""",7018011937,36296884,г. Томск,"ул. Мокрушина , д. 24 - 116",г.Томск,,ТОМ,005679АЛ00,70МЕ,2308,3/25/2011,3/25/2016,
Закрытое акционерное общество,"ЗАО ""Светлый""",7017003683,34036593,г. Томск,"пер.Светлый,36",г.Томск,"634026, пер. Светлый, 36",ТОМ,005771АЛ01,70МЕ,2417,1/27/2012,1/27/2013,
Общество с ограниченной ответственностью,"ООО ""Гурман""",7017011892,49399769,г. Томск,"пер.1905 года, 7в",г.Томск,,ТОМ,005282АЛ00,70МЕ,1497,1/27/2012,1/27/2013,
Общество с ограниченной ответственностью,"ООО ""Династия""",7014017208,44240001,Томский район,"с. Кафтанчиково, ул.Коммунистическая,92",г.Томск,,ТОМ,005732АЛ00,70МЕ,2373,4/16/2012,4/16/2013,
Общество с ограниченной ответственностью,"ООО ""Сибирское бистро""",7021050492,20691727,г. Томск,"пр. Ленина, д. 123",г.Томск,,ТОМ,005724АЛ00,70МЕ,2364,4/16/2012,4/16/2013,
Общество с ограниченной ответственностью,"ООО ""ЭФФЕКТ""",7018010468,25967525,г. Томск,"ул. Учебная, 15",г.Томск,"Учебная,д.15",ТОМ,005811АЛ01,70МЕ,2474,6/14/2012,6/14/2013,
