"Реестр действующих, приостановленных лицензий на 01.10.2012",,,,,,,,,,,,
вид деятельности: розничная продажа алкогольной продукции,,,,,,,,,,,,
,,,,,,,,,,,,
,Название/ФИО,Адрес,ИНН,ОГРН,Дата регистрации,Номер бланка,Рег. номер,Дата выдачи,Срок действия,Орган выдавший лицензию,Действующая приостановка,Объекты
,,,,,,,,,,,,"магазин ""Продукты"" - Медынский район, д. Дошино д.11"
,,,,,,,,,,,,"магазин ""Продукты"" - Медынский район, д. Романово д.101"
,,,,,,,,,,,,"магазин ""Продукты"" №6 - Медынский район, г. Медынь, ул. Митрофанова д.19"
,,,,,,,,,,,,"кафе ""24 часа"" - Медынский район, г. Медынь, ул. Кирова д.13"
,,,,,,,,,,,,"магазин ""Продукты"" - Медынский район, д. Радюкино"
,,,,,,,,,,,,"магазин ""Продукты 24 часа"" - Медынский район, г. Медынь, ул. Кирова д.13"
,,,,,,,,,,,,"магазин ""Продукты"" - Медынский район, д. Гусево д.32"
,,,,,,,,,,,,"магазин ""Продукты"" - Износковский район, с. Шанский Завод, ул. Центральная д.22"
10,"Общество с ограниченной ответственностью промышленно-коммерческое предприятие ""Ступеньки""","г. Обнинск, пр-кт Ленина д.26",4025013200,1024000935232,26.08.2002,М002029,332,26.09.2012,27.09.2012 - 03.09.2013,Министерство конкурентной политики и тарифов Калужской области, ,"магазин - Жуковский район, с. Санатория Восход д.16 пом.5"
,,,,,,,,,,,,"магазин - г. Обнинск, пр-кт Ленина д.26"
11,"Общество с ограниченной ответственностью ""Самородок""","г. Калуга, ул. Театральная д.36/7",4027036178,1024001184129,27.08.2002,М000491,192,06.08.2008,07.08.2008 - 30.08.2013,Министерство конкурентной политики и тарифов Калужской области, ,"магазин - г. Калуга, ул. Театральная д.36/7"
,,,,,,,,,,,,"магазин - г. Калуга, ул. Курсантов д.13"
12,"Общество с ограниченной ответственностью  Торговая кампания ""ВИКТОРИЯ - ПЛЮС""","г. Обнинск, ул. Курчатова д.44",4025041616,1024000935089,29.08.2002,М000337,487,26.12.2007,01.01.2008 - 31.12.2012,Министерство конкурентной политики и тарифов Калужской области, ,"магазин ""Березка"" - г. Обнинск, ул. Курчатова д.44"
13,"Общество с ограниченной ответственностью ""АЗС-Сервис""","г. Калуга, ул. Секиотовская д.40б",4026011124,1024001181710,28.08.2002,М000207,308,22.08.2007,23.08.2007 - 14.12.2013,Министерство конкурентной политики и тарифов Калужской области, ,"магазин ""Продукты"" - г. Калуга, ул. Секиотовская д.40б"
14,"Общество с ограниченной ответственностью ""Новитл""","г. Калуга, д. Шопино д.39а стр.1",4027055974,1024001175571,29.08.2002,М000517,220,03.09.2008,11.09.2008 - 10.09.2013,Министерство конкурентной политики и тарифов Калужской области, ,"магазин - г. Калуга, д. Шопино д.39а"
15,"Общество с ограниченной ответственностью кафе ""Снежинка""","г. Обнинск, ул. Курчатова д.1",4025016916,1024000942790,29.08.2002,М000553,244,01.10.2008,02.10.2008 - 01.10.2013,Министерство конкурентной политики и тарифов Калужской области, ,"кафе ""Снежинка"" - г. Обнинск, ул. Курчатова д.1"
16,"Районное потребительское общество ""Турынинское""","г. Калуга, ул. 5 Линия д.1",4029000226,1024001432014,02.09.2002,М000522,214,03.09.2008,07.09.2008 - 06.09.2013,Министерство конкурентной политики и тарифов Калужской области, ,"магазин - г. Калуга, ул. Л.Толстого д.4/2"
,,,,,,,,,,,,"магазин - г. Калуга, ул. 5 Линия д.1"
17,Жуковское районное потребительское общество,"Жуковский район, г. Жуков, ул. Коммунистическая д.15",4007001804,1024000628189,05.09.2002,М001961,265,01.08.2012,02.08.2012 - 17.09.2013,Министерство конкурентной политики и тарифов Калужской области, ,"магазин ""ТПС"" - Жуковский район, д. Новая Слобода д.9"
,,,,,,,,,,,,"магазин ""ТПС"" - Жуковский район, с. Тарутино, ул. Центральная д.2"
,,,,,,,,,,,,"магазин ""ТПС"" - Жуковский район, д. Чубарово д.30/1"
,,,,,,,,,,,,"магазин ""ТПС"" - Жуковский район, д. Грачевка, ул. Ткацкая д.25"
,,,,,,,,,,,,"магазин ""ТПС"" - Жуковский район, д. Воробьи д.22"
,,,,,,,,,,,,"магазин ""ТПС"" - Жуковский район, г. Жуков, ул. Сельхозтехника д.10"
,,,,,,,,,,,,"магазин ""Продукты"" № 1 - Жуковский район, г. Жуков, ул. Советская д.2"
,,,,,,,,,,,,"магазин ""ТПС"" - Жуковский район, с. Трубино д.2"
,,,,,,,,,,,,"столовая ""Колос"" - Жуковский район, г. Жуков, ул. Гурьянова д.3"
,,,,,,,,,,,,"магазин ""ТПС"" - Жуковский район, с. Совхоз ""Победа"", ул. Центральная д.17"
,,,,,,,,,,,,"магазин - Жуковский район, д. Истье, ул. Центральная д.12а"
18,"Общество с ограниченной ответственностью ""ОССА""","Бабынинский район, п. Воротынск, ул. Березовая д.1",4001000949,1024000516187,09.09.2002,М000583,267,29.10.2008,30.10.2008 - 29.10.2013,Министерство конкурентной политики и тарифов Калужской области, ,"магазин  № 2 - Бабынинский район, п. Воротынск, ул. Центральная д.45"
