Выписка из реестра действующих лицензий,,,,,,,,,,
 за период с  начала работы по 01.10.12,,,,,,,,,,
,,,,,,,,,,
,Лицензиат,ИНН,Срок действия,,Рег.ном,Бланк,Юридический адрес,Адрес осуществления деятельности,Дата приостановления,Дата возобновления
,,,,,,,,"Магазин Курагинский район, с.Черемшанка, ул.Октябрьская, 101 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Курагинский район, пос.Курагино, ул.Фрунзе, 9 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Курагинский район, пос.Курагино, ул.Комсомольская, 118 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Павильон Курагинский район, д.Петропавловка, ул.Октябрьская, 8 А (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
473,"ООО ""Вильма""",2464031563,26.01.09,26.01.14,6217-АР,106464,"660010, г. Красноярск, Вавилова, 3","магазин г. Красноярск, ул.Попова, 12, пом.57 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
474,"ООО ""Хозяйство Пшеничникова""",2437003013,22.01.09,22.01.14,6218-АР,106490,"663248, Туруханский район, с.Ворогово, ул.Полевая, 7","магазин Туруханский район, с.Ворогово, ул.Школьная, 25 А (продажа всей алкогольной продукции.)", , 
475,"ООО ""ДЕЛА' ВИ""",2445002630,27.01.09,27.01.14,6219-АР,106465,"663980, г.Бородино, ул.Ленина, 58, 1","магазин г.Бородино, ул.Ленина, 58, пом.1 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
476,"ООО ""Калинка""",2416004320,26.01.09,26.01.14,6226-АР,106477,"665631, Ирбейский район, с.Ирбейское, ул.Ленина, 53","магазин Ирбейский район, с.Ирбейское, Ленина, 53 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
477,"ООО ""Урсула""",2454009618,23.01.09,23.01.14,6228-АР,106479,"662544, г.Лесосибирск, ул.60 лет ВЛКСМ, 11","магазин г.Лесосибирск, ул.60 лет ВЛКСМ, 11, пом.50 (продажа всей алкогольной продукции.)", , 
,,,,,,,,"магазин г.Лесосибирск, 6-ой квартал, 2, пом.101 (продажа всей алкогольной продукции.)",,
,,,,,,,,"магазин г.Лесосибирск, ул.Калинина, 18, пом.81 (продажа всей алкогольной продукции.)",,
,,,,,,,,"павильон г.Лесосибирск, ул.Абалаковская, 36 А (продажа всей алкогольной продукции.)",,
478,"ООО ""Меркурий""",2460071607,27.01.09,27.01.14,6232-АР,106492,"660048, г. Красноярск, ул.Маерчака, 49 Г","Магазин г. Красноярск, ул.Маерчака, 49 Г, скл.1 А (продажа всей алкогольной продукции, кроме спирта питьевого.)", 02.09.09, 11.09.09
479,"ООО ""Рогоза""",2463077692,23.01.09,23.01.14,6233-АР,106494,"660028, г. Красноярск, просп.Свободный, 63, пом.45","магазин г. Красноярск, просп.Свободный, 63, пом.45 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
,,,,,,,,"павильон г. Красноярск, ул.Киренского, 116 Г (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"павильон г. Красноярск, просп.Свободный, 58 Г (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
480,"ООО ""Алгадин""",2448001040,26.01.09,26.01.14,6235-АР,106496,"663960, Рыбинский район, г.Заозерный, ул.Советская, 78 Б","павильон Рыбинский район, г.Заозерный, ул.Советская, 78 Б (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
481,"ООО ""Невское""",2466105517,28.01.09,28.01.14,6237-АР,106498,"660049, г. Красноярск, ул. Ленина, д.91","Магазин г. Красноярск, просп.Свободный, 64 Г, пом.71 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
,,,,,,,,"Павильон г.Красноярск, ул.Кирова, 32 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Кафе ""Невское"" г. Красноярск, ул.Ленина, 91, пом.67 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Кофейня ""Бистро"" г. Красноярск, ул.Ленина, 91, пом. 67 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
482,". ""Успенское сельское потребительское общество""",2432003330,06.02.09,06.11.13,6238-АР,106501,"663960, Рыбинский район, г.Заозерный, ул.Ленина, 14","Магазин Рыбинский район, с.Успенка, пер.Школьный, 2, пом.2 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
,,,,,,,,"Магазин Рыбинский район, д.Новая Печера, ул.Советская, 37 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Рыбинский район, с.Александровка, ул.Советская, 46 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Рыбинский район, г.Заозерный, ул.Ленина, 14 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Предприятие общественного питания Рыбинский район, г.Заозерный, ул.40 лет Октября, 17 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
483,"ООО ""Каспий""",2465114043,29.01.09,24.09.13,6239-АР,106502,"660077, г.Красноярск, ул.Весны, 18","предприятие общественного питания г. Красноярск, Лесная, 5 А (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
,,,,,,,,"предприятие общественного питания г. Красноярск, Весны, 3 А (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
484,"ООО ""Туруханский ОРС""",2437127259,28.01.09,28.01.14,6240-АР,106499,"663230, Туруханский район, с. Туруханск, ул.Дружбы Народов, 19","Магазин Туруханский район, пос. Туруханск, ул.Советская, 15 (продажа всей алкогольной продукции.)", , 
485,"ООО ""Юркова""",2447003830,26.01.09,26.01.14,6241-АР,106503,"663174, Енисейский район, п.Новоназимово, пер.Якубовича, 1 - 1","магазин Енисейский район, п.Новоназимово, ул.Центральная, 61 (продажа всей алкогольной продукции.)", , 
486,"ООО ""София""",2457066710,28.01.09,28.01.14,6243-АР,106504,"663300, г.Норильск, ул.Павлова, 20-75","предприятие общественного питания г.Норильск, ул.Кирова, 15 А (продажа всей алкогольной продукции.)", , 
487,"ООО ""МИФ""",2431002694,09.02.09,09.02.14,6244-АР,106505,"663120, Пировский район, с.Пировское, ул.Коренева, 29,1","магазин Пировский район, пос.Кетский, ул.Центральная, 31 А (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
488,"ООО ""Люкс""",2455024200,29.01.09,29.01.14,6246-АР,106507,"662603, г.Минусинск, ул.Старо - Кузнечная, 7","магазин г.Минусинск, ул.Старо - Кузнечная, 7 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
,,,,,,,,"магазин г.Минусинск, ул.Комсомольская, 135 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
489,"ООО ""Пирс""",2462205800,30.01.09,30.01.14,6247-АР,106508,"660013, г. Красноярск, ул.Тамбовская, 31 Г","павильон г. Красноярск, ул.Тамбовская, 31 Г (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
,,,,,,,,"павильон г. Красноярск, ул.Энергетиков, 20 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
490,"ООО ""Елань""",2426002522,09.02.09,03.10.13,6251-АР,106516,"663408, Мотыгинский район, п.Орджоникидзе, ул.Строителей, 17","магазин Мотыгинский район, п.Мотыгино, ул.Дачная, 10 (продажа всей алкогольной продукции.)", , 
,,,,,,,,"магазин Мотыгинский район, п.Орджоникидзе, ул.Комарова, 53 А (продажа всей алкогольной продукции.)",,
,,,,,,,,"магазин Мотыгинский район, п.Орджоникидзе, ул.Комарова, 12 (продажа всей алкогольной продукции.)",,
,,,,,,,,"магазин Мотыгинский район, п.Орджоникидзе, ул.Строителей, 17 (продажа всей алкогольной продукции.)",,
491,"ООО ""Фарт""",2460040535,03.02.09,03.02.14,6253-АР,106517,"660028, г. Красноярск, ул.Новая Заря, 10","магазин г. Красноярск, ул.Новая Заря, 10, пом.80,81 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
492,"ООО ""Крамис""",2463209557,02.02.09,02.02.14,6255-АР,106519,"660100, г. Красноярск, ул.Бабушкина, 41","магазин г. Красноярск, ул.Бабушкина, 41, пом.262 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
493,". ""Субботинское сельское торговое потребительское общество""",2442002431,03.02.09,03.02.14,6258-АР,106515,"662736, Шушенский район, с.Субботино, Садовая, 17","Магазин Шушенский район, с.Средняя Шушь, ул.Кирова, 21 (продажа всей алкогольной продукции, кроме спирта питьевого.)", 02.09.09, 09.10.09
,,,,,,,,"Магазин Шушенский район, д.Ленск, ул.Ленина, 31 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Шушенский район, с.Субботино, ул.Ленина, 110 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Шушенский район, с.Субботино, Садовая, 17 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
494,"ООО ""Людмила""",2461119548,11.02.09,11.02.14,6261-АР,106523,"660052, г. Красноярск, ул.Тимошенкова, 183 А","павильон г. Красноярск, ул.Тимошенкова, 131 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
,,,,,,,,"предприятие общественного питания г. Красноярск, ул.1-ая Гипсовая, 1 А (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
495,"ООО ""Белоснежка""",2463089507,16.02.09,16.02.14,6264-АР,106524,"660011, г. Красноярск, ул.Сосновый бор, 40","магазин г. Красноярск, ул.Сосновый бор, 40, пом.3 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
496,"ООО ""ДИОНИС""",2403007838,17.02.09,17.02.14,6265-АР,106525,"662354, Балахтинский район, с.Большие Сыры, ул.Правды, 16 А","павильон Балахтинский район, с.Большие Сыры, ул.Правды, 16 А (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
497,"ООО ""Лев""",2439002209,11.02.09,11.02.14,6266-АР,106528,"662246, Ужурский район, п.Курорт ""Озеро Учум"", ул.Почтовая, 11","Магазин Ужурский район, п.Курорт ""Озеро Учум"", ул.Школьная, 4 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
,,,,,,,,"Магазин Ужурский район, п.Курорт ""Озеро Учум"", ул.Почтовая, 11 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"предприятие общественного питания Ужурский район, пос.Курорт ""Озеро Учум"", ул.Жемчужная, 1 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
498,"ООО ""Зодиак""",2423010797,17.02.09,17.02.14,6267-АР,106531,"662910, Курагинский район, пос.Курагино, ул.Островская, 22","магазин Курагинский район, с. Алексеевка, ., . (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
,,,,,,,,"магазин Курагинский район, пос.Курагино, ул.Партизанская, 293 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"магазин Курагинский район, пос.Курагино, ул.Партизанская, 106 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"магазин Курагинский район, пос.Курагино, ул.Партизанская, 199 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
499,"ООО ""Агропром""",2460001310,13.02.09,13.02.14,6269-АР,106533,"660021, г.Красноярск, ул.Ленина, 128","магазин г. Красноярск, ул.Ленина, 128, пом.194 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
500,"ООО ""ВИАН-ТРЕЙД (С)""",2466084144,11.02.09,11.02.14,6270-АР,106534,"660099, г. Красноярск, ул.Республики, 43","кафе ""Колорадо"" г. Красноярск, ул.Республики, 43, пом.167 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
,,,,,,,,"кафе ""Робин-Бобин"" г. Красноярск, просп.Свободный, 77 Д (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"кофейня ""Мартиника"" г. Красноярск, просп.Мира, 85, пом.87,91 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"кафе ""Дао-Ча"" г. Красноярск, просп.Мира, 85, пом.101,  комнаты № 1-15 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"кофейня ""Опера"" г. Красноярск, ул.Весны, 1, пом.3 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
501,"ООО ""Сардоникс""",2456010150,18.02.09,18.02.14,6280-АР,106543,"662217, Назаровский район, пос. Степной, ул.Школьная, 16 Г","магазин Назаровский район, пос. Степной, ул.Школьная, 16 Г (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
,,,,,,,,"магазин Назаровский район, с.Красная Поляна, ул.Мира, 7 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"магазин Назаровский район, с.Сахапта, ул.Лесная, 8 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
502,"ООО ""КОМБО Красноярск-1""",2465217095,12.02.09,03.02.14,6282-АР,106546,"660032, г. Красноярск, Дубенского, 4, оф.417 А","Ресторан "" Сибирская корона"" г. Красноярск, просп.Мира, 45 Г, пом.1,2 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
,,,,,,,,"Ресторан ""Иль Патио"" г. Красноярск, ул.9 Мая, 77, 2 этаж, пом. 8 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
503,"ООО ""Триумф""",2461119178,17.02.09,17.02.14,6283-АР,106547,"660025, г.Красноярск, ул.Вавилова, д.41","Магазин г. Красноярск, Вавилова, 41, пом. 6, 2 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
504,"ООО ""Юниос-1""",2466131965,24.02.09,15.02.13,6284-АР,106544,"660118, г. Красноярск, ул.9 Мая, 35 А","предприятие общественного питания г. Красноярск, ул.9 Мая, 35 А, пом.73 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
505,"ООО ""Красный Яр""",2464075137,24.02.09,24.02.14,6285-АР,106548,"660054, г. Красноярск, ул.Лесников, д.58 А","Магазин г. Красноярск, Горького, 10, пом. 116 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
,,,,,,,,"Магазин г.Лесосибирск, ул.Мира, 1 А, пом. 6,15 (продажа всей алкогольной продукции.)",,
506,"ООО ""Бонус""",2453013026,25.02.09,07.11.13,6286-АР,106545,"663690, г.Зеленогорск, ул.Парковая, 4","магазин г.Зеленогорск, ул.Гагарина, 24 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
,,,,,,,,"магазин г.Зеленогорск, ул.Парковая, 4 (продажа алкогольной продукции с содержанием этилового спирта не более 15% объема готовой продукции.)",,
507,"ООО ""Сибирь плюс""",2452035316,18.02.09,18.02.14,6287-АР,106549,"662970, ЗАТО Железногорск, г. Железногорск, ул.Южная, 2 Б","предприятие общественного питания ЗАТО Железногорск, г. Железногорск, ул.Южная, 2 Б (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
508,"ООО ""Торгово-Строительная Компания Тесь""",2457049200,17.02.09,17.02.14,6288-АР,106551,"663300, г.Норильск, просп.Ленинский, 26 -125","магазин г.Норильск, ул.Талнахская, 21 А (продажа всей алкогольной продукции.)", , 
509,"ООО ""Хоста""",2460019082,18.02.09,18.02.14,6289-АР,106550,"660075, г.Красноярск, ул. Маерчака,  д. 43 Ж","Павильон г. Красноярск, ул.Маерчака, 43 Ж (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
510,"ООО ""Золотая рыбка +""",2457067103,17.02.09,17.02.14,6291-АР,106553,"663340, г.Норильск, ул. Надеждинская, д. 20","магазин г.Норильск, район Кайеркан, ул.Надеждинская, 20 (продажа всей алкогольной продукции.)", , 
,,,,,,,,"магазин г.Норильск, район Кайеркан, ул.Шахтерская, 9 (продажа всей алкогольной продукции.)",,
511,"ООО ""Идель""",2417003030,27.02.09,27.02.14,6293-АР,106554,"663105, Казачинский район, с.Отношка, ул.Гагарина, 11А","магазин Казачинский район, с.Отношка, ул.Гагарина, 11А (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
512,"ООО ""СеАл""",2463208810,25.02.09,25.02.14,6295-АР,106558,"660062, г. Красноярск, ул.Крупской, 1 Г","предприятие общественного питания г. Красноярск, ул.Крупской, 1 Г, пом.1 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
513,"ОАО ""Иланский райтопсбыт""",2415000146,24.02.09,24.02.14,6298-АР,106562,"663800, г.Иланский, ул.Локомотивная, 16","магазин г.Иланский, ул.Первомайская, 56 А (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
,,,,,,,,"магазин г.Иланский, ул.Локомотивная, 26 А (продажа алкогольной продукции с содержанием этилового спирта не более 15% объема готовой продукции.)",,
514,"ООО ""Сибирская вино-водочная компания""",1901080596,20.02.09,21.10.12,6299-АР,106563,"655011, г.Абакан, ул.Ломоносова, 22","магазин г.Минусинск, ул.Абаканская, 70 Б (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
,,,,,,,,"магазин г.Минусинск, ул.Кравченко, 16 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"магазин г.Боготол, ул.Кирова, 25 Д (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"магазин г. Красноярск, Суворова, 43, пом.1 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"магазин г. Красноярск, ул.Щорса, 30, пом.172 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"магазин г.Шарыпово, 6-й микрорайон, 38 А (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"магазин Минусинский район, с.Знаменка, пер.Рабочий, стр.3 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"магазин Шарыповский район, с.Холмогорское, ул.Молодежная, 14 А (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"магазин Минусинский район, с.Селиваниха, ул.Геологическая, 1 А (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"магазин г.Минусинск, Народная, 5 В (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"павильон г. Красноярск, ул.Павлова, 52 Г (продажа алкогольной продукции с содержанием этилового спирта не более 15% объема готовой продукции.)",,
,,,,,,,,"павильон г. Красноярск, просп.Красноярский рабочий, 185 Г (продажа алкогольной продукции с содержанием этилового спирта не более 15% объема готовой продукции.)",,
,,,,,,,,"павильон г. Красноярск, ул.Можайского, 4 Г (продажа алкогольной продукции с содержанием этилового спирта не более 15% объема готовой продукции.)",,
,,,,,,,,"павильон г.Ачинск, 3 микрорайон, западнее жилого дома, 35 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"павильон Балахтинский район, п.Чистые Пруды, 50 м. восточнее здания конторы по ул.Профсоюзная, 1 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
515,"ООО ""АВОДАС""",2407061272,20.02.09,20.02.14,6300-АР,106559,"663457, Богучанский район, пос.Таежный, ул. Зеленая, д. 2","Магазин Богучанский район, пос.Таежный, ул.Зеленая, 2 (продажа всей алкогольной продукции.)", , 
516,"ООО ""Валентина""",2448000543,06.03.09,06.03.14,6302-АР,106560,"663977, Рыбинский район, п. Урал, ул. Первомайская,  д.12","Магазин Рыбинский район, п.Урал, ул.Первомайская, 12 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
517,"ООО ""Таежинский торговый комплекс""",2420005816,25.02.09,25.02.14,6303-АР,106566,"663491, Кежемский район, г.Кодинск, ул.Колесниченко, 2 Г","Магазин Кежемский район, г. Кодинск, ул.Колесниченко, 2 Г (продажа всей алкогольной продукции.)", , 
518,"ООО ""МАрт""",2455024136,25.02.09,25.02.14,6312-АР,106589,"662603, г.Минусинск, ул.Тимирязева, 9 А,пом.1","магазин г.Минусинск, ул.Тимирязева, 9 А, пом.1 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
,,,,,,,,"предприятие общественного питания г.Минусинск, ул.Тимирязева, 9 А, пом.1 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
519,"ООО ""Исток""",2464076638,02.03.09,02.03.14,6316-АР,106582,"663090, г.Дивногорск, ул.Чкалова, 40","магазин г.Дивногорск, ул.Чкалова, 40 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
520,"ООО ""Янтарь""",2407061466,05.03.09,05.03.14,6317-АР,106583,"663430, Богучанский район, с.Богучаны, ул.Октябрьская, 186","магазин Богучанский район, с.Богучаны, ул.Октябрьская, 186 (продажа всей алкогольной продукции.)", , 
521,"ООО ""КРИСТАЛЛ""",2460208964,26.02.09,26.02.14,6318-АР,106577,"660001, г.Красноярск, ул.1905 года, 13 Г","павильон г. Красноярск, ул.1905 года, 13 Г (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
522,"ООО ""Ирида""",2407061138,06.03.09,06.03.14,6324-АР,106586,"663467, Богучанский район, пос.Таежный, ул.Новая, 3 М","магазин Богучанский район, пос.Таежный, ул.Новая, 3 М (продажа всей алкогольной продукции.)", , 
523,"ООО ""Пирамида - Т""",2437003278,04.03.09,04.03.14,6325-АР,106587,"663230, Туруханский район, с. Туруханск, ул. Пионерская, 14","Магазин Туруханский район, с. Туруханск, ул.Пионерская, 14 (продажа всей алкогольной продукции.)", , 
,,,,,,,,"Магазин Туруханский район, с. Туруханск, ул.60 лет Октября, 36 А (продажа всей алкогольной продукции.)",,
,,,,,,,,"магазин Туруханский район, с. Туруханск, ул.Нефтяников, 7 Б (продажа всей алкогольной продукции.)",,
524,"ООО ""Перспектива""",2448001152,06.03.09,06.03.14,6328-АР,106588,"663972, Рыбинский район, с.Переясловка, ул.Полтавская, 46","Магазин Рыбинский район, с.Красногорьевка, ул.Ленина, 40 А (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
,,,,,,,,"Магазин Рыбинский район, с.Переясловка, ул.Полтавская, 46 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Рыбинский район, с.Переясловка, ул.Полтавская, 1 Г (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Рыбинский район, с.Переясловка, ул.Советская, 5 Б (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
525,"ООО ""ПромГрупп""",2443025946,06.03.09,06.03.14,6329-АР,106593,"662150, г.Ачинск, шоссе Нефтяников, 9","предприятие общественного питания г.Ачинск, ул.Дзержинского, 65 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
526,"ООО ""Удача""",2447010524,11.03.09,11.03.14,6332-АР,106598,"663148, Енисейский район, с. Верхнепашино, ул.Полевая, 3","магазин г.Енисейск, ул.Ульяны Громовой, 41 А (продажа всей алкогольной продукции.)", , 
527,"ООО ""Мери""",2463076152,06.03.09,06.03.14,6334-АР,106597,"660062, г. Красноярск, просп. Свободный,  д. 77 А","Предприятие общественного питания г.Красноярск, просп.Свободный, 77 А (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
528,"ООО ""Чикаго""",2466126852,06.03.09,06.03.14,6335-АР,106599,"660017, г. Красноярск, ул.Красной Армии, 10","предприятие общественного питания г. Красноярск, ул.Красной Армии, 10, стр.4,пом.1 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
529,"ООО ""ФЕНИКС""",2457061214,03.03.09,03.03.14,6336-АР,106606,"663318, г. Норильск,  ул. Орджоникидзе,  д. 10, кв. 46","магазин г.Норильск, <>, просп.Ленинский, 47 Д (продажа всей алкогольной продукции.)", , 
530,"ООО ""Элегар""",2464035409,12.03.09,12.03.14,6337-АР,106600,"660010, г. Красноярск, просп.Красноярский рабочий, 160","предприятие общественного питания г. Красноярск, просп.Красноярский рабочий, 160, пом.20 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
531,"ООО ""САРОВ""",2437003133,05.03.09,05.03.14,6338-АР,106601,"663230, Туруханский район, с. Туруханск, ул.Молодежная, 14 А","магазин Туруханский район, с. Туруханск, ул.Молодежная, 14 А (продажа всей алкогольной продукции.)", , 
,,,,,,,,"магазин Туруханский район, с. Туруханск, ул.Киевская, 9, пом.13 (продажа всей алкогольной продукции.)",,
532,"ООО ""Красный Яр""",2470000394,23.12.08,23.12.13,07 - ЭМР,105731,"648490, Красноярский край, Эвенкийский муниципальный район, с.Ванавара, ул.Строителей, 5а","магазин Красный Яр с.Ванавара, ул.Строителей, 5а (продажа всей алкогольной продукции.)", , 
533,"ООО ""Стройпроект""",2410003464,05.03.09,05.03.14,6341-АР,106602,"663700, Дзержинский район, с.Дзержинское, ул.Кирова, 152","магазин Дзержинский район, с.Дзержинское, ул.Кирова, 152 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
,,,,,,,,"магазин Дзержинский район, с.Дзержинское, ул.Ленина, 2 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"магазин Дзержинский район, с.Дзержинское, ул.Кирова, 7, пом.7 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"магазин Дзержинский район, с.Дзержинское, ул.Мичурина, 6 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"магазин Дзержинский район, д.Усолка, ул.Центральная, 18 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"магазин Дзержинский район, с.Дзержинское, ул.Денисовская, 1 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
534,"БПК ""Райкоопторг""",2407008945,11.03.09,11.03.14,6351-АР,106605,"663431, Богучанский район, с.Богучаны, ул.Октябрьская, 80","магазин Богучанский район, с.Богучаны, ул.Октябрьская, 80 (продажа всей алкогольной продукции.)", , 02.11.09
,,,,,,,,"магазин Богучанский район, с.Богучаны, ул.Ленина, 19 (продажа всей алкогольной продукции.)",,
,,,,,,,,"магазин Богучанский район, с.Богучаны, ул.Октябрьская, 120 (продажа всей алкогольной продукции.)",,
,,,,,,,,"магазин Богучанский район, с.Пинчуга, ул.Ленина, 3 А (продажа всей алкогольной продукции.)",,
,,,,,,,,"предприятие общественного питания Богучанский район, с.Богучаны, ул.Ленина, 19 (продажа всей алкогольной продукции.)",,
535,"ООО ""Ромашка""",2439007278,10.03.09,28.11.13,6354-АР,106618,"655261, Ужурский район,  с. Кулун,  ул. Юбилейная, д. 5, кв.2","магазин г. Ужур, ул.Ленина, 43 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
,,,,,,,,"магазин г. Ужур, ул.Минусинская, 64 А (продажа алкогольной продукции с содержанием этилового спирта не более 15% объема готовой продукции.)",,
,,,,,,,,"магазин Ужурский район, ЗАТО пос.Солнечный, ул.Солнечная, 17 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"магазин г. Ужур, ул.Скрылева, 89 А (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
536,"ООО ""Фрегат""",2443026989,16.03.09,16.03.14,6359-АР,106615,"662150, г.Ачинск, ул.Профсоюзная, 31","магазин г.Ачинск, ул.Профсоюзная, 31 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
,,,,,,,,"магазин Ачинский район, пос.Горный, ул.Центральная, 15 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"магазин г.Ачинск, ул.Чайковского, 3 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
537,"ООО ""Бур""",2452030903,05.03.09,25.02.14,6360-АР,106627,"662970, ЗАТО Железногорск, г. Железногорск, ул.Восточная, 58Б","Магазин ЗАТО Железногорск, г. Железногорск, ул.Восточная, 58 Б (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
