Выписка из реестра действующих лицензий,,,,,,,,,,
 за период с  начала работы по 01.10.12,,,,,,,,,,
,,,,,,,,,,
,Лицензиат,ИНН,Срок действия,,Рег.ном,Бланк,Юридический адрес,Адрес осуществления деятельности,Дата приостановления,Дата возобновления
23,"ООО ""ПЛАНЕТА""",2457063187,26.10.07,26.10.12,4856-АР,105279,"663300, г.Норильск, ул.Комсомольская, 52-43","Магазин г.Норильск, в районе ул.Нансена, 54 (продажа всей алкогольной продукции.)", 05.03.09, 29.03.09
24,"ООО ""Ренессанс""",2465085956,31.10.07,19.10.12,4860-АР,105283,"660077, г.Красноярск, ул.Аэровокзальная, 16","Магазин г.Красноярск, ул.Матросова, 4 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
,,,,,,,,"Магазин г.Красноярск, ул.Аэровокзальная, 16 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Предприятие общественного питания г.Красноярск, ул.Аэровокзальная, 16 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
25,"ООО ""ТМ-Прогресс""",2464036515,02.11.07,02.11.12,4864-АР,105287,"660121, г.Красноярск, ул.60 лет Октября, 5","Магазин г.Красноярск, ул.60 лет Октября, 67 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
26,"МП ""Столовая №3 ""Сибирь"" г.Лесосибирска""",2454001055,31.10.07,31.10.12,4865-АР,105288,"662556, г.Лесосибирск, пос.Стрелка, ул.Октябрьская, 33","Магазин г.Лесосибирск, пос.Стрелка, ул.Октябрьская, 33 (продажа всей алкогольной продукции.)", , 
27,"ООО ""Ресторан "" 69 параллель""",2457065032,31.10.07,31.10.12,4866-АР,105289,"663332, г.Норильск, район Талнах, ул.Бауманская, 27-16","Ресторан ""69 параллель"" на 2-ом этаже г.Норильск, просп.Ленинский, 40 А (продажа всей алкогольной продукции.)", , 
,,,,,,,,"Бар на 3 этаже в ресторане ""69 параллель"" г.Норильск, просп.Ленинский, 40 А (продажа всей алкогольной продукции.)",,
28,"ООО ""Рассвет""",2454005758,06.11.07,06.11.12,4872-АР,105295,"662556, г.Лесосибирск, пос.Стрелка, ул.Октябрьская, 14-А","Магазин г.Лесосибирск, пос.Стрелка, ул.Октябрьская, 14-А (продажа всей алкогольной продукции.)", , 
29,". ""Енисейское потребительское общество ""Сибирь""""",2447005531,07.11.07,07.11.12,4875-АР,105298,"663180, г.Енисейск, ул.Ленина, 142","Магазин Енисейский район, с. Подгорное, ул.Дзержинского, 17 (продажа всей алкогольной продукции.)", , 
,,,,,,,,"Магазин г.Енисейск, ул.Ленина, 142 (продажа всей алкогольной продукции.)",,
30,"ООО ""Элис""",2411015984,08.11.07,08.11.12,4876-АР,105299,"663020, Емельяновский район, ост.Пугачево, с/т ""Сосна-1"", зд.1 А","Магазин Емельяновский район, платф.Пугачево, с/т ""Сосна-1"", зд.1 А/2 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
31,"ООО ""Герман""",2460039882,07.11.07,07.11.12,4879-АР,105302,"660099, г.Красноярск, ул.Железнодорожников, 18","Магазин г.Красноярск, ул.Железнодорожников, 18, пом.97 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
32,"ООО ""ЯВИК""",2457006005,06.11.07,06.11.12,4880-АР,105303,"663318, г.Норильск, ул.Лауреатов, 57-24","Магазин г.Норильск, ул.Нансена, 32, пом.55 (продажа всей алкогольной продукции.)", , 
,,,,,,,,"Магазин г.Норильск, ул.Нансена, 8, пом.55 (продажа всей алкогольной продукции.)",,
33,"ООО ""Норд""",2423000870,15.11.07,15.11.12,4886-АР,105309,"662950, Курагинский район, пос.Кошурниково, ул.Свободная, 5","Магазин Курагинский район, пос.Кошурниково, ул.Свободная, 5 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
,,,,,,,,"Павильон Курагинский район, пос.Кошурниково, ул.Кирова, 85-Б (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Предприятие общественного питания Курагинский район, пос.Кошурниково, ул.Свободная, 5 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
34,"ООО ""КИМ""",2456010792,15.11.07,15.11.12,4889-АР,105312,"662220, Назаровский район, с.Антропово, ул.Романова, 21","Магазин Назаровский район, п.Глядень, ул.Новая, 17, пом.3 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
,,,,,,,,"Магазин Назаровский район, с. Кольцово, ул.Верхняя, 36 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Назаровский район, с.Антропово, ул.Романова, 21 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
35,"ООО ""Вечернее""",2466117946,16.11.07,16.11.12,4895-АР,105317,"660060, г.Красноярск, ул.Качинская, 64","Предприятие общественного питания г.Красноярск, ул.Качинская, 64 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
36,"ООО ""Рубин""",2459015220,16.11.07,16.11.12,4898-АР,105320,"662305, г.Шарыпово, п.Дубинино, ул.Комсомольская, 28","Магазин г.Шарыпово, п.Дубинино, ул.Комсомольская, 28, пом.127 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
37,"ООО ""Дуэт""",2465107423,16.11.07,16.11.12,4902-АР,105326,"660118, г.Красноярск, ул.Светлогорская, 29-54","Магазин г.Красноярск, ул.Светлогорская, 29, пом.54 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
38,"ООО ""Империя вкуса""",2465113674,19.11.07,19.11.12,4905-АР,105328,"660077, г.Красноярск, ул.Весны, 22","Предприятие общественного питания г.Красноярск, ул.Весны, 22, пом.92 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
39,". ""Ирбейское сельское потребительское общество""",2416000156,20.11.07,20.11.12,4908-АР,105330,"663650, Ирбейский район, с.Ирбейское, ул.Ленина, 51","Магазин Ирбейский район, с.Ирбейское, ул.Ленина, 55 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
,,,,,,,,"Магазин Ирбейский район, с.Ирбейское, ул.Кооперативная, 51 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
,,,,,,,,"Магазин Ирбейский район, с.Ирбейское, ул.Ленина, 32 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
40,"ООО ""ЛЮНС""",2466200070,16.11.07,16.11.12,4909-АР,105336,"660049, г.Красноярск, ул.Перенсона, 1 А","Предприятие общественного питания г.Красноярск, ул.Перенсона, 1 А (продажа всей алкогольной продукции, кроме спирта питьевого.)", 02.04.08, 11.04.08
41,"ООО ""Канскагропромснаб-2""",2450016780,22.11.07,22.11.12,4919-АР,105335,"663610, г.Канск, ул.Товарная, 2,стр.3","Магазин г.Канск, ул.Товарная, 2 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
,,,,,,,,"Магазин г.Канск, ул.Магистральная, 38 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
