Дубенский район,,,,,,,,,,
№,Регис-,Серия,"Наименование организации,",,Адреса,Кол - тво,Срок ,№ ,Дата,Ф.И.О.
орга,тра-,лицензии,"юридический адрес, почтовый адрес",,торговых объектов,торговых,действия,"телефона,",приоста-,руководителя (учредителя)
низа,цион-,,,,,объектов,лицензииё,факс,новки и,
ции,ный,,,ИНН,,,,,возобнов-,
,№,,,ОГРН,,,,,ления,
,лицен-,,,,,,,,лицензии,
,зии,,,,,,,,,
1,183,13 РМ,"ООО ""Агро-Дубенки"" с. Дубенки, ул. Централь-",1306075661,"м-н с. Дубенки, ул. Центральная, 22",10,29/06/12,2-16-59,пр.15.02.11,Казанков Сергей Александрович 
,,000073,"ная, 22",1051322009815,"м-н с. Поводимово, ул. Центральная, Дубенский р-н",,30/09/14,89279740299,в.15.03.11,
,,,,,"м-н с. Николаевка, ул. Большая, Дубенский р-н",,,89176901179,,
,,,,,"м-н с. Морга, ул. Свободная, 1, Дубенский район",,,2-17-86,,
,,,,,"м-н с. Чиндяново, ул. Советская, Дубенский район",,,,,
,,,,,"м-н с. Ардатово, ул. Кооперативная, Дубенский район",,,,,
,,,,,"магазин, с. Кайбичево, ул. Ленина, 85, Дубенский район",,,,,
,,,,,"магазин, с. Лопаты, ул. Ленина, 39, Дубенский район",,,,,
,,,,,"магазин, с. Кочкурово, ул. Ленина, 30, Дубенский район",,,,,
,,,,,"магазин, с. Березовка, ул. Центральная, 19",,,,,
1,134,13 МЕ,"ООО ""Агрофирма ""Юбилейная"" с. Дубенки, ул. ",1306075608,"м-н ""Рассвет"" № 1 с. Дубенки, ул. Бровцева, 12",2,24/07/08,2-31-88,пр.03.03.10,Косолапов Александр Степанович
,,000578,"Бровцева, 12",,"м-н ""Рассвет"" № 2 Дубенский район, с. Петровка",,24/07/13,,в.20.04.10,
1,26,13 МЕ,"ООО ""Мордовская водка ""Р"" г. Саранск,",1327008031,"м-н №8 ф-л №3 с. Дубенки, ул. Центральная, 20",1,20/02/12,,,
,,001950,"ул. Веселовского, 62а ",,,,20/02/17,,,
1,123,13 РМ,"ЗАО ""Тандер"" г. Краснодар, ул. Леваневского,",2310031475,"м-н ""Магнит"" с. Дубенки, ул. Центральная, 24",1,15/05/12,46-47-73 Пенза,,
,,000004,"185, филиал г. Саранск, б-р Эрзи, 12",,,,15/03/16,35-85-10,,
1,131,13 РМ,"ООО ""Дубенское ОРТ"", с. Дубенки,",1306000031,"магази ""Дубрава"", с. Дубенки, ул. Жадейкина, 4",15,29/05/12,2-31-37,,Сайгушева Лидия Юрьевна
