"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по Черемховскому РМО",,,,,,,,,,
по состоянию на 1 августа  2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),
19,"ООО «Скорпион»
3820011830
22.11.06г
","Свидетельство
1063820012332
от 22.11.06
Межрайонная ИФНС №10
","А 214796
от 17.04.07
до 17.04.2012г
","с.Голуметь
ул.Калинина,14а
магазин
с.Саянское
ул.Саянская,10
магазин
",,,4/17/2012,,,
20,"ООО «Виола»
3820012087
02.03.07г
","Свидетельство
1073820000275
от 02.03.07г
Межрайонная
ИФНС № 10
","А214797
07.06.07 
 до 07.06.2012г
","с.Тальники
ул.Лесозаготовительная,   
29,  магазин
",,,07.06.2012г,,,
21,"Потребительский сельскохозяйственный заготовительный кооператив «Иреть-Агро»
Инн 3820012263 от17.05.07г


","Свидетельство
1073820000550
от 17.05.07г
Межрайонная
ИФНС № 10
","А 167648
от 21.12.09г
до 20.07.12г 
ВЗАМЕН А 214798 ОТ 20.07.2007Г ДО 20.07.2012Г","с.Саянск,ул.Мальцева,10 
           магазин «Весна»
с.Верхняя Иреть,д11 магазин «Родник», д.Хандагай,д19 магазин «Заря», с.Нижняя Иреть, ул.Советская,27а магазин «Иретский», с.Голуметь ул.Советская,80 магазин «Фортуна»,с.Голуметь ул.Советская,80а кафе «Саяны»
на с.Голуметь ул.Совхозная,16 магазин
",,,,,,
22,"ООО «Денего»
Инн 3820012231 от 07.03.07г
","Свидетельство
1073820000418
от 07.05.07г
Межрайонная
ИФНС №10
","А214799
от 13.08.07г
до 
13.08.12г
","д.Паршевниково, ул.Новая.11-1  павильон",,,4/1/2011,,,
23,"ООО «Виктория»
Инн 3820012305 07.06.07г
","Свидетельство
1073820000594
от 07.06.07г
Межрайонная
ИФНС №10
","А170130 от 20.08.07г
до
 20.08.12г
","с.Нижняя Иреть ул.Советская,43
магазин «Виктория»
",,,,,,
24,"ООО «Березка»
Инн 3820012697 от 26.11.07
","Свидетельство
1073820001034 от 26.11.07г
Межрайонная ИФНС №10
","А 170131 от 21.12.07г
до 
21.12.12г
","д.Петровка
ул.Школьная № 9б
магазин
",,,,,,
25,"ООО «Улочка»
Инн3820012707 от 06.12.07г
","Свидетельство
1073820001045 от 06.12.07г
Межрайонная ИФНС №10
","А 170132 от 29.12.07г
до 29.12.12
","п.Михайловка ул.Советская дом 21 А
магазин «Улочка»
",,,,,,
26,"ООО «Кристина»
Инн 3820012545 от 27.09.07г
","Свидетельство 
1073820000891  
от 27.09.07г
Межрайонная ИФНС №10
","А 170133
от 29.12.07г
до 29.12.12г
","д.Малиновка
ул.Садовая 3
магазин «Кристина»
",,,,,,
27,"ООО «Омни-Сервис»
Инн 3801069916 от 06.02.04г
","Свидетельство
1043800517287
от 06.02.04г
Инспекция МНС России по г.Ангарску
","А 170135
от 28.03.08г
до 28.03.13г
","д.Шаманаева
магазин «ОМНИМАРКЕТ»
",,,,,,
28,"ООО «Ремонтный завод»
Инн 3820009084 от 08.07.04г


","Свидетельство
1043802216699
от 08.07.04
Межрайонная ИФНС №10
","  А 167654                от 27.12.10г           до 31.03.13г
ВЗАМЕН А 170136 ОТ 31.03.08Г ДО 31.03.13Г","с.Алехино, ул Площадь Труда,4 магазин «Продукты», ул,Площадь труда,4  магазин ООО «Ремонтный завод» 

д.Заморская, ул.Красногорская, 6 А павильон                Аларский район д.Тютрино, ул.Центральная,2 павильон
",,,,,,
29,"Парфеновское сельпо
Инн 3843000095 от 23.04.01г

","Свидетельство 2073820020008
от 19.12.07г
Межрарайнная ИФНС №10
",А 170147 ОТ 15.08.08Г ДО 21.04.13Г     ВЗАМЕН                  А 170138 ОТ 21.04.08Г ДО 21.04.13Г,"с.Парфенова, ул.Долгих,29
 магазин №2,
д.Савинская,45
 магазин №3,
д.Жмурова ул.Трактовая,14 магазин №5
с.Лохово ул.Школьная,34 магазин №4
д.Табук ул.Луговая,26
магазин №6 
",,,,,,
30,"ООО «Гранд»
ИНН 3820013080 от 31.03.08 г.
","Свидетельство
1083820000307
от 31.03.08 г.
Межрайонная
ИФНС № 10
","А 170142
от 31.05.08.г. 
до 31.05.13.г.
","п.Михайловка,
кв-л № 1, д.14.магазин «Гранд»
",,,,,,
31,"Михайловское поспо
ИНН 3843000754 от
22.12.2000



","Свидетельство
1023802218000
от 28.12.2002г. 
Межрайонная
ИФНС № 10
","А 167652
от 10.08.2010г
до 31.05.13г
ВЗАМЕН                  А 170143 ОТ 31.05.08Г ДО 31.05.13Г","д.Средний Булай
ул.Советская,11
магазин № 1;
с.Зерновое
ул.Иркутская,11
магазин № 2;
с.Узкий Луг
ул.Центральная
магазин № 3;
д.Худорожкино
ул.Колхозная
магазин № 5;
п.Михайловка
кв-л №2, д 31
магазин № 6
д.Бархатова
ул.Ангарская
магазин «Черёмушки»
п.Михайловка, квартал 2, д.4а
торговый дом «Селяночка»

Михайловка ул.Советская,26 магазин
",,,,,,
32,"ООО «Вега»
Инн 3820013027
От 18.03.08г
","Свидетельство
1083820000252
от 10.07.08г
Межрайонная ИФНС №10
","А 170145
от 17.07.08
до 17.07.13
","с.В-Булай
ул.Булайская,25а
магазин
",,,,,,
