№ п/п,Наименование организации,ИНН организации,ОГРН организации,Адрес места нахождения организации (юридический адрес),Адрес осуществления вида деятельности ,Регистраци-онный номер организации Серия лицензии Номер лицензии,"Дата выдачи лицензии (месяц, число, год)","Дата окончания действия лицензии (месяц, число, год)",Продленна лицензия,Основание и дата переоформления лицензии,"Дата приоста-новления действия лицензии (месяц, число, год)","Дата возобно-вления действия лицензии (месяц, число, год)","Дата прекра-щения действия лицензии (месяц, число, год)","Дата аннули-рования (месяц, число, год)",Дата прове-дения последней проверки,Примечание
1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19
1,"ООО ""Ритм""",6715012446,1106722001165,"215280, Смоленская область, г. Сычевка, ул. Луначарского, д. 56","215280, Смоленская область, г. Сычевка, ул. Луначарского, д. 56 (магазин), без ограничений",№ 1936                   Б 005278                   (Г 301920),29 ноября 2010,по 29 ноября 2011,до 30 ноября 2012,,,,,,,
,,,,,"215280, Смоленская область, г. Сычевка, ул. Пионерская, д. 37 (магазин), без ограничений",,,,,,,,,,,
2,"ООО ""ЮШКОВ""",6715011925,1066723005634,"215280, Смоленская область, г. Сычевка, ул. Б. Советская, д. 4","215280, Смоленская область, г. Сычевка, ул. Пролетарская, д. 34-а (минимаркет), без ограничений",№ 887                 Б 005651,23 июня 2006,по 23 июня 2011,до 24 июня 2013,,,,,,,
,,,,,"215280, Смоленская область, г. Сычевка, ул. Б. Советская, д. 4 (супермаркет), без ограничений",,,,,,,,,,,
,,,,,"215280, Смоленская область, г. Сычевка, ул. Б. Советская, д. 4 (бар), без ограничений",,,,,,,,,,,
,,,,,"215280, Смоленская область, г. Сычевка, ул. Б. Советская, д. 4 (трактир) до 15%",,,,,,,,,,,
3,"ООО ""Сычевский Горторг""",6715011932,1066723005755,"215280, Смоленская область, г. Сычевка, ул. Карла Маркса, д. 22","215280, Смоленская область, г. Сычевка, ул. Б Советская, д. 18 (магазин), без ограничений",№ 1047                   Б 005820,04 июля 2006,по 04 июля 2011,до 05 июля 2016,,,,,,,
,,,,,"215280, Смоленская область, г. Сычевка, ул Привокзальная, д. 33-а (магазин), без ограничений",,,,,,,,,,,
4,"ООО ""Сычевский электродный завод""",6715003635,1026700885463,"215280, Смоленская область, г. Сычевка, ул. Б. Пролетарская, д. 34","215280, Смоленская область, г. Сычевка, Станционное шоссе, д. 22-а (магазин), без ограничений",№ 1357                 В 445772,08 ноября 2006,по 08 ноября 2011,,,,,,,,
5,"ООО ""МАЛЬЦЕВО""",6715012333,1096723000263,"215280, Смоленская область, Сычевский район, д. Мальцево","215280, Смоленская область, Сычевский район, д. Мальцево (магазин), без ограничений",№ 1857                 Б 005141,12 августа 2009,по 12 августа 2014,,,,,,,,
6,"ООО ""Рубин""",6715012069,1076723000056,"215280, Смоленская область, г. Сычевка, ул. Комсомольская, д. 30","215280, Смоленская область, г. Сычевка, ул. Комсомольская, д. 30 (магазин), без ограничений",№ 1472                Г 679458,06 апреля 2007,по 06 апреля 2012,,,,,,,,
7,"ООО ""Сокол""",6715011971,1066723006020,"215280, Смоленская область, г. Сычевка, ул. Б. Пролетарская, 10","215280, Смоленская область, г. Сычевка, ул. Б. Пролетарская, д. 10 (магазин), без ограничений",№ 1326               Г 254966                        (Г 301854),11 октября 2006,по 11 октября 2011,до 12 октября 2012,,,,,,,
,,,,,"215280, Смоленская область, Сычевский район, д. Жучки (кафе ""Союз""), без ограничений",( Г 244460),,,,06 февраля 2012 включение объекта,,,,,,
8,"ООО ""Чайка""",6715011900,1066723004787,"215280, Смолпенская область, г. Сычевка, ул. Новоселов, д. 3","215280, Смоленская область, г. Сычевка, ул. Хозрасчетный участок, д. 1 (магазин), без ограничений",№ 661                   Б 005419,29 марта 2011,до 26 марта 2016,,,,,,,,
,,,,,"215280, Смоленская область, г. Сычевка, ул. Красноармейская, д. 80-а (магазин), без ограничений",,,,,,,,,,,
,,,,,"215280, Смоленская область, г. Сычевка, ул. Привокзальная, д. 31-а (магазин), без ограничений",,,,,,,,,,,
