"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО города Братска",,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,
,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями)
45,"ООО ""Градус""
ИНН: 3804009714","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 09.12.2009","38МЕ006415 842 от 16.11.2011
 срок действия с 16.11.2011 по 24.12.2014;     взамен: 38МЕ006202 рег. № 634 от 30.06.2010 с 30.06.2010 до 15.11.2011","Отдел в магазине
№ 96
г. Братск ж.р. Центральный, ул. Малышева, 20","
",,,,
,,,,"Отдел в магазине
""Таежный""
г. Братск, ж.р. Центральный, ул. Ленина, 2/73","
",,,,
,,,,"Торговый отдел
в ТЦ ""Байкал""
г. Братск, ж.р. Центральный, ул. Янгеля, 120/1","
",,,,
,,,,"Торговый отдел
в ТЦ ""Инва""
г. Братск, ж.р. Энергетик, ул. Гиндина, 4, пом. 1002, торговая площадь №003","
",,,,
,,,,"Торговый отдел
в ТЦ ""Багульник""
г. Братск, ж.р. Центральный, ул. Крупской, 8","
",,,,
46,"ООО ""Гранд Сибирь""
ИНН: 3805711228","Межрайонная ИФНС № 15 по Иркутской области
Постановление(св-во) от 02.02.2010","38МЕ006401 827 от 16.09.2011
 срок действия с 16.09.2011 по 20.04.2012","Отдел в магазине
""Властелин""
г. Братск, ж.р. Падун, ул. Хабарова, 7","
",,20.04.2012,,
47,"ООО ""ДИОНИС""
ИНН: 3804037567","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 21.02.2007","38МЕ006449 876 от 01.03.2012
 срок действия с 08.03.2012 по 07.03.2013;     прекращенная: 38МЕ005768 218 от 07.03.2007  срок действия с 07.03.2007 по 07.03.2012","Магазин
""Супер-Маркет""
г. Братск, ж.р. Центральный, ул. Кирова, 24, пом. № 1001","
",,07.03.2012,,
48,"ООО ""ДЮЖИНА""
ИНН: 3805104551","МИМНС России № 15 по Иркутской обл.
Постановление(св-во) от 03.12.2002","38МЕ006358 783 от 12.07.2011
 срок действия с 12.07.2011 по 11.07.2012;     ","Магазин
""Дюжина""
г. Братск, ул. В. Синицы, 8","
",,,,
49,"ООО ""ЕС""
ИНН: 3804036267","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 12.09.2006"," А 244486 190 от 17.01.2007
 срок действия с 17.01.2007 по 17.01.2012","Магазин

ул.Юности, 1а","
",,17.01.2012,,
50,"ООО ""Жемчужина""
ИНН: 3804033273","ИФНС по Центральному округу г. Братска Иркут.обл.
Постановление(св-во) от 01.12.2005","38МЕ006336 761 от 01.07.2011
 срок действия с 01.07.2011 по 30.06.2012;     ","Павильон

г. Братск, ж.р. Энергетик, ул. Иванова, в 15 метрах юго-восточнее жилого дома № 4","
",,30.06.2012,,
,,,,"Магазин
""Маркет-S""
г. Братск, ул. Возрождения, 1а","
",,,,
51,"ООО ""Зеон""
ИНН: 3805703474","Межрайонная ИФНС №15 по Иркутской обл. и УОБАО
Постановление(св-во) от 09.03.2006","38МЕ006472 896 от 24.04.2012
 срок действия с 24.04.2012 по 23.04.2015;     прекращенная: 38МЕ005787 237 от 05.04.2007  срок действия с 05.04.2007 по 05.04.2012","Кафе

г. Братск, ж.р. Энергетик, ул. Олимпийская, 3, пом. № 1001","
",,05.04.2012,,
52,"ООО ""ЗИДАН""
ИНН: 3804040136","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 06.12.2007","38МЕ005935 379 от 30.04.2008
 срок действия с 30.04.2008 по 10.01.2012","Отдел в магазине

г. Братск, ул. Карла Маркса, 12","
",,10.01.2012,,
53,"ООО ""Золотой Альянс""
ИНН: 3804035440","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 20.06.2006","38МЕ006412 838 от 21.10.2011
 срок действия с 21.10.2011 по 20.10.2012;     ","Магазин
""ВИНОградная лоза""
г. Братск, ж.р. Центральный, ул. Крупской, 35, пом. 1007","
",,,,
54,"ООО ""Золотой Одиссей""
ИНН: 3804009633","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 03.12.2009","38МЕ006481 905 от 15.05.2012
 срок действия с 15.05.2012 по 25.02.2014;     взамен: 38МЕ006445, рег. № 872 от 24.02.2012 с 24.02.2012 до 14.05.2012прекращенная: 38МЕ006204 636 от 30.06.2010  срок действия с 30.06.2010 по 25.02.2012","Торговый отдел
в ТЦ ""За стеклом""
ж.р. Центральный, ул. Крупской, 11А","
",,25.02.2012,,
,,,,"Торговый отдел
в ТЦ ""За стеклом""
ж.р. Центральный, ул. Крупской, 11А","
",,,,
,,,,"Магазин
""Россина""
г. Братск, ж.р. Центральный, ул. Советская, д.7, помещение 1008","
",,,,
,,,,"Магазин
""Россина""
г. Братск, ж.р. Центральный, ул. Советская, д.7, помещение 1008","
",,,,
55,"ООО ""ИЗУМРУД""
ИНН: 3804035136","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 30.05.2006","38МЕ006373 798 от 26.07.2011
 срок действия с 26.07.2011 по 25.07.2012;     ","Павильон

г. Братск, ж.р. Чекановский, в районе здания  № 25 по ул. Первопроходцев","
",,25.07.2012,,
,,,,"Магазин
""Магнит""
г. Братск, ж.р. Центральный, ул. Муханова, 4 А","
",,,,
56,"ООО ""Империал""
ИНН: 3804040601","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 11.02.2008","38МЕ006414 841 от 11.11.2011
 срок действия с 11.11.2011 по 24.12.2013;     взамен: 38МЕ006169 рег. № 602 от 17.03.2010 с 17.03.2010 до 10.11.2011","Павильон

ж.р. Падун, ул. Пролетарская, напротив дома  № 66","
",,,,
57,"ООО ""Ирма""
ИНН: 3804022306","ИМНС России по Центральн округу гБратска Иркут обл
Постановление(св-во) от 09.01.2003","38МЕ005996 439 от 30.10.2008
 срок действия с 30.10.2008 по 29.10.2013;     ","Магазин

ул. Возрождения, 4","
",,,,
58,"ООО ""Камилла""
ИНН: 3804045913","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 27.07.2011","38МЕ006411 837 от 17.10.2011
 срок действия с 17.10.2011 по 16.10.2012;     ","Отдел в магазине

г. Братск, ж.р. Центральный, ул. Малышева, 20","
",,,,
59,"ООО ""Капель""
ИНН: 3804036997","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 12.12.2006","38МЕ006429 857 от 27.12.2011
 срок действия с 30.12.2011 по 29.12.2013;     ","Магазин
""Капель""
г. Братск, проспект Ленина, 36, пом. №1002","
",,,,
60,"ООО ""Каскад-плюс""
ИНН: 3805111534","Межрайонная инспекция МНС России №15 по Иркут обл
Постановление(св-во) от 17.09.2002","38МЕ005920 355 от 06.03.2008
 срок действия с 07.03.2008 по 06.03.2013;     ","Ресторан

ул. Наймушина, 28","
",,,,
,,,,"Магазин-кулинария

ул. Наймушина, 28","
",,,,
,,,,"Бар

ул. Наймушина, 28","
",,,,
61,"ООО ""КЕДР""
ИНН: 3804038345","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 29.05.2007","38МЕ006113 547 от 27.08.2009
 срок действия с 27.08.2009 по 25.07.2012;     ","Кафе

ул. Крупской, 46","
",,25.07.2012,,
62,"ООО ""Кировский""
ИНН: 3804034894","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 10.05.2006","38МЕ006364 789 от 21.07.2011
 срок действия с 21.07.2011 по 20.07.2012;     ","Отдел в магазине

г. Братск, ул. 40 лет Победы, 4","
",,20.07.2012,,
,,,,"Отдел в магазине

г. Братск, ул. Кирова, 8","
",,,,
63,"ООО ""Колос""
ИНН: 3805704291","Межрайонная ИФНС № 15 по Иркутской обл. и УОБАО
Постановление(св-во) от 05.06.2006","38МЕ006371 796 от 02.08.2011
 срок действия с 02.08.2011 по 01.08.2014;     ","Отдел в магазине

г. Братск, ул. Воинов-Интернационалистов, 11, пом. № 1005","
",,,,
,,,,"Магазин
""Булочная - 2""
г. Братск, ул. Юбилейная, 7, пом. № 1001","
",,,,
,,,,"Магазин
""Колосок""
г. Братск, ж.р. Энергетик, ул. Солнечная, 3","
",,,,
,,,,"Магазин
""Горячий хлеб""
г. Братск, ж.р.  Падун, промплощадка хлебозавода","
",,,,
64,"ООО ""Компания ""Вектор""
ИНН: 3805703724","МИФНС № 15 по Иркутской области и УОБАО
Постановление(св-во) от 06.04.2006","38МЕ006352 777 от 01.07.2011
 срок действия с 01.07.2011 по 30.06.2012;     ","Отдел в магазине
""Некст""
г. Братск, ж.р. Гидростроитель, ул. Сосновая, 2","
",,30.06.2012,,
,,,,"Отдел в магазине
""Смак""
г. Братск, ж.р. Гидростроитель, ул. Гайнулина, 46","
",,,,
,,,,"Отдел в магазине
""Канары""
г. Братск, ж.р. Гидростроитель, ул. Гайнулина, 61","
",,,,
,,,,"Отдел в магазине
""Алина""
г. Братск, ул. Енисейская, 64б","
",,,,
,,,,"Отдел в магазине
""Морской""
г. Братск, дачный поселок ""Зяба"", СОТ ""Электрон"", ул. Морская, 10","
",,,,
,,,,"Отдел в магазине
""Звезда""
г. Братск, ул. Воинов Интернационалистов, 11","
",,,,
,,,,"Магазин

г. Братск, ж.р. Падун, ул. Вихоревская, 28","
",,,,
,,,,"Отдел в магазине
""Сибирский""
г. Братск, ж.р. Энергетитк, ул. Наймушина, 24","
",,,,
,,,,"Павильон

г. Братск, ул. Енисейская, в районе жилого  дома №48","
",,,,
,,,,"Магазин

г. Братск, ул. Баркова, 13","
",,,,
,,,,"Отдел в магазине
""Полис""
г. Братск, ж.р. Осиновка, ул. Ангарстроя, 1","
",,,,
,,,,"Отдел в магазине
№ 96
г. Братск, ул. Малышева, 20, помещение № 1002","
",,,,
,,,,"Отдел в магазине

г. Братск, ул. Наймушина, 40а","
",,,,
,,,,"Отдел в магазине
""Продовольственная лавка""
г. Братск, ул. Мира, 41","
",,,,
,,,,"Магазин
""Самбери""
г. Братск, ул. Пирогова, 11","
",,,,
,,,,"Отдел в магазине

г. Братск, ул. Мечтателей, 15","
",,,,
,,,,"Отдел в магазине
""Крисс""
г. Братск, п. Галачинский, ул. Гурьевская, 2","
",,,,
65,"ООО ""Константа""
ИНН: 3804042782","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 10.11.2008","38МЕ006471 895 от 24.04.2012
 срок действия с 24.04.2012 по 25.06.2014;     взамен: переоф лиц 38МЕ006087, рег. № 520 от  26.06.2009 с 26.06.2009 до 23.04.2012","Бар

г. Братск, ж.р. Центральный, ул. Крупской, 42А","
",,,,
,,,,"Магазин

г. Братск, ж.р. Центральный, ул. Возрождения, 4","
",,,,
66,"ООО ""КОСТА""
ИНН: 3804034848","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 04.05.2006","38МЕ006408 834 от 03.10.2011
 срок действия с 03.10.2011 по 02.10.2012;     ","Бар
""Маэстро""
г. Братск, ул. Мира, 31","
",,,,
,,,,"Кафе
""Галактика""
г. Братск, ул. Комсомольская, 69А","
",,,,
67,"ООО ""Крепость Юг""
ИНН: 3805712373","МИФНС № 15  по Иркутской области
Постановление(св-во) от 29.10.2010","38МЕ006524 949 от 27.07.2012
 срок действия с 27.07.2012 по 27.03.2013;     взамен: 38МЕ006489 рег. № 914 от 28.05.2012 с 28.05.2012 до 26.07.2012","Отдел в магазине

г. Нижнеудинск, ул. Водопроводная, 2А","
",,,,
,,,,"Магазин
-закусочная
Тулунский район, 10 км трассы ""Тулун-Братск""","
",,,,
,,,,"Отдел в магазине

Братский район, д. Леонова, ул. Почтовая, 8","
",,,,
,,,,"Отдел в магазине

Братский район, с.Тангуй, ул. Мира, 22","
",,,,
,,,,"Отдел в магазине
""Сибиряк""
Куйтунский район, с. Карымск, ул. Советская, д. 7","
",,,,
,,,,"Павильон

г. Тулун, ул. Советская, 54 А","
",,,,
,,,,"Отдел в магазине
""Новый""
Куйтунский район, с. Карымск, ул. Рабочая, д. 23","
",,,,
,,,,"Бар
в кафе ""Хан""
г. Нижнеудинск, ул. Кашика, 240, литер Б","
",,,,
,,,,"Отдел в магазине

Нижнеудинский район, с. Солонцы, ул. Центральная, д. 30, литер А","
",,,,
,,,,"Отдел в магазине

Балаганский район, р.п. Балаганск, ул. Ангарская, 53А","
",,,,
,,,,"Отдел в магазине

Нижнеудинский район, с. Мельница, ул. Юбилейная, 18","
",,,,
,,,,"Отдел в магазине

Куйтунский район, п. жд.ст. Тулюшка, ул. Ленина, 1А","
",,,,
,,,,"Отдел в магазине

Куйтунский район, с. Каразей, ул. Мира, 52А","
",,,,
,,,,"Отдел в магазине

Тулунский район, п. 4-е отделение ГСС, ул. Мичурина, 23, пом. № 27","
",,,,
68,"ООО ""Крепость""
ИНН: 3805712341","Межрайонная ИФНС № 15 по Иркутской области
Постановление(св-во) от 25.10.2010","38МЕ006484 909 от 22.05.2012
 срок действия с 22.05.2012 по 14.02.2013;     взамен: 38МЕ006467, рег. № 890 от 16.04.2012 с 16.04.2012 до 21.05.2012прекращенная: 38МЕ006458 884 от 20.03.2012  срок действия с 20.03.2012 по 15.04.2012","Отдел в магазине

г. Братск, ж.р. Центральный, ул. Комсомольская, 51В","
",,15.04.2012,,
,,,,"Бар
в кафе
г. Братск, ж.р. Энергетик, ул. Холоднова, 2, пом. 1001","
",,,,
,,,,"Отдел в магазине
""Дубок""
Нижнеилимский район, п. Новая Игирма, квартал 3, дом 19-44","
",,,,
,,,,"Кафе
- шашлычная
г. Братск, ж.р. Центральный, ул. Муханова, 11","
",,,,
,,,,"Магазин

г. Братск, ж.р. Гидростроитель, ул. Байкальская, 151А","
",,,,
,,,,"Магазин

г.Братск, ж.р. Центральный, ул. Подбельского, 43 А","
",,,,
,,,,"Отдел в магазине

г. Братск, ж.р. Центральный, ул. Комсомольская, 51В","
",,,,
,,,,"Бар
в кафе
г. Братск, ж.р. Энергетик, ул. Холоднова, 2, пом. 1001","
",,,,
,,,,"Отдел в магазине
""Дубок""
Нижнеилимский район, п. Новая Игирма, квартал 3, дом 19-44","
",,,,
,,,,"Кафе
- шашлычная
г. Братск, ж.р. Центральный, ул. Муханова, 11","
",,,,
,,,,"Магазин

г. Братск, ж.р. Гидростроитель, ул. Байкальская, 151А","
",,,,
,,,,"Магазин

г.Братск, ж.р. Центральный, ул. Подбельского, 43 А","
",,,,
,,,,"Отдел в магазине

г. Братск, ж.р. Центральный, ул. Южная, 111, пом. 1001","
",,,,
,,,,"Отдел в магазине

г. Братск, ж.р. Центральный, ул. Южная, 111, пом. 1001","
",,,,
69,"ООО ""Кузнецова К.Н.""
ИНН: 3804034566","ИФНС по Центральному округу г.Братска Ирк. Обл.
Постановление(св-во) от 06.04.2006","38МЕ006422 850 от 21.12.2011
 срок действия с 21.12.2011 по 29.06.2012;     взамен: 38МЕ006349 рег. № 774 от 30.06.2011 с 30.06.2011 до 20.12.2011","Магазин
""Булочная""
г. Братск, ул. Металлургов, 21","
",,29.06.2012,,
,,,,"Магазин
""Булочная № 14""
г. Братск, ул. Малышева, 14/33","
",,,,
,,,,"Магазин
""Каравай""
г. Братск, ул. Гагарина, 95","
",,,,
,,,,"Магазин
""Колосок""
г. Братск, ул. Советская, 27а","
",,,,
,,,,"Магазин
""Хлеб""
г. Братск, ул. Мира, 3","
",,,,
,,,,"Отдел в магазине

г. Братск, ул. Ленина, 21","
",,,,
,,,,"Отдел в магазине
""Овсень""
г. Братск, ул. Коммунальная, 15","
",,,,
,,,,"Торговый отдел в магазине

г. Братск, ул. Энгельса, 29","
",,,,
,,,,"Магазин
""Нива""
г. Братск, ул. Советская, 3","
",,,,
70,"ООО ""Купец""
ИНН: 3805703121","МИФНС № 15 по Иркутской обл. и УОБАО
Постановление(св-во) от 23.12.2005","38МЕ006331 756 от 21.06.2011
 срок действия с 27.06.2011 по 26.06.2012;     ","Отдел в магазине
""Сокиз-Маркет""
г. Братск, ул. Спортивная, 9","
",,26.06.2012,,
,,,,"Отдел в магазине
""Елочка""
г. Братск, ул. Байкальская, 78","
",,,,
,,,,"Отдел в магазине
""Лукоморье""
г. Братск, ул. Чехова, 21","
",,,,
71,"ООО ""ЛГК-Ритейл""
ИНН: 3805713419","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 31.05.2011","38МЕ006377 802 от 01.08.2011
 срок действия с 01.08.2011 по 31.07.2012;     ","Магазин
""Семья""
г. Братск, ж.р. Падун, ул. Гидростроителей, 57","
",,31.07.2012,,
72,"ООО ""Лейла""
ИНН: 3804035143","ИФНС по Центральному округу г.Братска Иркю.обл.
Постановление(св-во) от 30.05.2006","38МЕ006495 920 от 09.06.2012
 срок действия с 09.06.2012 по 29.06.2012; 30.06.2012-29.06.2013;    взамен: 38МЕ006345 № 769 от 30.06.2011 с 30.06.2011 по 08.06.2012","Магазин

г. Братск,  ж.р. Центральный, ул. Янгеля, 512","
",,,,
73,"ООО ""Лидер""
ИНН: 3804045631","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 23.06.2011","38МЕ006409 835 от 12.10.2011
 срок действия с 12.10.2011 по 11.10.2012;     ","Отдел в магазине

г. Братск, ж.р. Центральный, ул. Депутатская, 37 А, пом. 1001","
",,,,
74,"ООО ""ЛиК""
ИНН: 3804033026","ИФНС по Центральному округу г. Братска Иркутской о
Постановление(св-во) от 17.11.2005","38МЕ006333 758 от 22.06.2011
 срок действия с 27.06.2011 по 26.06.2016;     ","Отдел в магазине
""Нестор""
г. Братск, ж.р. Центральный, ул. Снежная, 14","
",,,,
,,,,"Отдел в магазине
""Подсолнух""
г. Братск, ж.р. Центральный, ул. Мира, 18","
",,,,
,,,,"Отдел в магазине
""Регул""
г. Братск, ж.р. Центральный, ул. Снежная, 37а","
",,,,
75,"ООО ""Листвянка""
ИНН: 3804032745","ИФНС по Центральному округу г. Братска Иркут. Обл.
Постановление(св-во) от 25.10.2005","38МЕ006019 459 от 19.12.2008
 срок действия с 21.12.2008 по 20.12.2013;     ","Магазин

ж.р. Центральный, ул. Кирова, 13","
",,,,
,,,,"Магазин

жр Центр-й южнее пер-ка ул Крупской- Рябикова","
",,,,
76,"ООО ""ЛОТОС""
ИНН: 3804035270","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 06.06.2006","38МЕ006403 828 от 22.09.2011
 срок действия с 22.09.2011 по 21.09.2012;     ","Буфет
в кафе ""Учкудук""
г. Братск, П 13 02 01 01, № 01","
",,,,
,,,,"Кафе
""Азия""
г. Братск, ул. Кирова, 14","
",,,,
77,"ООО ""ЛУДИНГ-Иркутск""
ИНН: 3808145891","ИФНС по Правобережному округу г. Иркутска
Постановление(св-во) от 27.09.2006","38МЕ003820 840 от 02.11.2011
 срок действия с 02.11.2011 по 20.09.2012;     ","Торговый отдел

г. Братск, ж.р. Центральный, ул. Коммунальная, 1а, стр. 7, пом. 1006","
",,,,"М/о ""Город Иркутск"""
78,"ООО ""МАГ""
ИНН: 3805709525","МИФНС по Иркутской области
Постановление(св-во) от 02.03.2009","38МЕ006138 573 от 27.11.2009
 срок действия с 27.11.2009 по 26.11.2014;     ","Магазин

г. Братск, ж.р. Энергетик, ул. Юбилейная 25","
",,,,
79,"ООО ""Магнит""
ИНН: 3804043190","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 31.12.2008","38 МЕ 006246 680 от 13.12.2010
 срок действия с 13.12.2010 по 16.04.2014;     ","Магазин

ул. Пионерская, 13","
",,,,
,,,,"Магазин

ж.р. Энергетик, ул. Наймушина, 9, пом. 1006","
",,,,
,,,,"Магазин

ж.р. Центральный, ул. Жуковского, 86, № 1","
",,,,
80,"ООО ""МАКСИМА""
ИНН: 3805700642","Межрайонная ИМНС России № 15 по Иркутской обл.
Постановление(св-во) от 27.01.2004","38МЕ006176 609 от 09.04.2010
 срок действия с 09.04.2010 по 18.01.2012","Торговый отдел

ж.р. Падун, террит-я произв базы ОАО ""Братсксторой","
",,18.01.2012,,
,,,,"Отдел в магазине
""Москва""
г. Братск, П 26 214 01 00","
",,,,
81,"ООО ""Марат""
ИНН: 3804035680","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 11.07.2006","38МЕ006388 815 от 24.08.2011
 срок действия с 24.08.2011 по 23.08.2012;     ","Кафе
""Марат""
г. Братск, ж.р. Центральный, ул. Южная, 25","
",,,,
82,"ООО ""Март - Сервис""
ИНН: 3804041235","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 21.04.2008","38МЕ006022 462 от 22.12.2008
 срок действия с 22.12.2008 по 21.12.2013;     ","Бар
бар ресторана
г. Братск, ж.р. Центральный, ул. Депутатская, 32","
",,,,
,,,,"Бар
бар боулинга
г. Братск, ж.р. Центральный, ул. Депутатская, 32","
",,,,
,,,,"Буфет

г. Братск, ж.р. Центральный, ул. Депутатская, 32","
",,,,
83,"ООО ""Мельница""
ИНН: 3803000042","ИМНС России по Центральному округу г.Братска Ирк.о
Постановление(св-во) от 10.12.2002","38МЕ006390 817 от 29.08.2011
 срок действия с 29.08.2011 по 28.06.2012;     взамен: 38МЕ006337 рег. № 762 29.06.2011 с 29.06.2011 до 28.08.2011","Магазин
""Славянка""
г. Братск, ул. Муханова, 10 - 7","
",,28.06.2012,,
,,,,"Магазин
""Погребок""
г. Братск, ж.р. Энергетик, ул. Пирогова, 6","
",,,,
,,,,"Магазин
""Мельница""
г. Братск, ул. Рябикова, 30","
",,,,
84,"ООО ""МЕНАДА-ТРЕЙД""
ИНН: 3805702978","МИФНС России № 15 по Иркутской обл. и УОБАО
Постановление(св-во) от 25.11.2005","38 МЕ 006250 682 от 16.12.2010
 срок действия с 16.12.2010 по 23.12.2013;     ","Отдел в магазине

г. Усть-Илимск, ул. Наймушина, 10","
",,,,
,,,,"Бар
диско-бар №3
 г.Братск, ж.р. Энергетик,  ул.Мечтателей, 23а","
",,,,
,,,,"Магазин

ул. Мечтателей, 23а","
",,,,
,,,,"Бар
диско-бар №2
г.Братск, ж.р. Энергетик, ул.Мечтателей, 23а","
",,,,
,,,,"Бар
бар ""Студио 55""
ж.р. Энергетик, г.Братск, ул. Мечтателей, 23а","
",,,,
,,,,"Бар
диско-бар №1
г.Братск, ж.р. Энергетик, ул.Мечтателей, 23а","
",,,,
,,,,"Закусочная

г. Братск, ж.р. Энергетик, ул. Мечтателей, 23а","
",,,,
85,"ООО ""Мера""
ИНН: 3805707704","МИФНС № 15 по Иркутской области
Постановление(св-во) от 22.02.2008","38МЕ006420 848 от 19.12.2011
 срок действия с 19.12.2011 по 15.07.2013;     взамен: 38МЕ006208 рег.№642 от 27.07.2010 с 27.07.2010 до 18.12.2011","Торговый отдел
в ТЦ ""Байкал""
г. Братск, ж.р. Центральный, ул. Янгеля, 120/1","
",,,,
,,,,"Торговый отдел
в универсальном магазине ""Юбиленйый""
г. Братск, ул. Мира, 22","
",,,,
,,,,"Торговый отдел
в ТЦ ""Багульник""
г. Братск, ул. Крупской, 8","
",,,,
,,,,"Отдел в магазине

г. Братск, ул. Карла Маркса, 12","
",,,,
86,"ООО ""Метелица Плюс""
ИНН: 3804036764","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 07.11.2006","38МЕ005955 398 от 02.07.2008
 срок действия с 02.07.2008 по 01.07.2013;     ","Буфет

ул. Мира, 17","
",,,,
87,"ООО ""Миг""
ИНН: 3804035070","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 25.05.2006","38МЕ006468 891 от 17.04.2012
 срок действия с 17.04.2012 по 16.04.2013;     ","Буфет
в кафе ""Атлантида""
г. Братск, ж.р. Центральный, ул. Энгельса, 1","
",,,,
,,,,"Кафе
""Парадиз""
г. Братск, ж.р. Центральный, ул. Пихтовая, 42","
",,,,
,,,,"Кафе
""Атлантида""
г. Братск, ж.р. Центральный, ул. Энгельса, 1","
",,,,
88,"ООО ""Миллер""
ИНН: 3804034118","ИФНС по Центральному округу г.Братска Ирк. Обл.
Постановление(св-во) от 16.02.2006","38МЕ006330 755 от 29.06.2011
 срок действия с 29.06.2011 по 28.06.2012;     ","Магазин

г. Братск, ул. 40 лет Победы, 14 - 0001","
",,28.06.2012,,
89,"ООО ""Мир""
ИНН: 3804023444","ИМНС РФ по Центральному округу г.Братска Ирк. обл.
Постановление(св-во) от 11.11.2002","38МЕ006452 879 от 01.03.2012
 срок действия с 07.03.2012 по 06.03.2013;     прекращенная: 38МЕ005758 208 от 06.03.2007  срок действия с 06.03.2007 по 06.03.2012","Магазин

г. Братск, ул. Мира, 5А","
",,06.03.2012,,
90,"ООО ""Мириада""
ИНН: 3804045896","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 26.07.2011","38МЕ006428 856 от 27.12.2011
 срок действия с 27.12.2011 по 26.12.2012;     ","Магазин

г. Братск, ж.р. Центральный, ул. Мира, 50А","
",,,,
91,"ООО ""МК ""Комфорт""
ИНН: 3805703072","МИФНС №15 по Ирк. Обл.и УОБАО
Постановление(св-во) от 18.12.2005","38Ме006353 778 от 01.07.2011
 срок действия с 01.07.2011 по 30.06.2016;     ","Магазин
""Гелиос""
г. Братск, П 23 08 01 01 (п. Заярск, ул. Тайшетская, 1)","
",,,,
,,,,"Магазин
""Дилижанс""
г. Братск,  П 26 80 02 00 (ж.р. Гидростроитель, ул. Бетонная, 1)","
",,,,
,,,,"Магазин
""Светлячок""
г. Братск, ж.р. Сухой, ул. Еловая, 30","
",,,,
92,"ООО ""МЛК""
ИНН: 3804032978","ИФНС по Центральному округу г.Братска Иркутск. Обл
Постановление(св-во) от 10.11.2005","38МЕ006312 741 от 03.06.2011
 срок действия с 03.06.2011 по 02.06.2012;     ","Бар

г.Братск, ж.р. Центральный, ул.Подбельского, 2, пом.1004","
",,02.06.2012,,
,,,,"Бар

ул. Зверева, 1","
",,,,
93,"ООО ""Модуль""
ИНН: 3805710016","Межрайонная ИФНС № 15 по Ирк. обл.
Постановление(св-во) от 17.06.2009","38МЕ006380 807 от 08.08.2011
 срок действия с 08.08.2011 по 18.08.2014;     взамен: 38МЕ006300 рег. № 730 от 05.05.2011 с 05.05.2011 до 07.08.2011","Бар

г. Братск, ж.р. Центральный, ул. Комсомольская, 10","
",,,,
,,,,"Бар

г. Братск, ж.р. Энергетик, ОР 17 41 00 00","
",,,,
,,,,"Магазин

г. Братск, ж.р. Центральный, бульвар Космонавтов, 22 А","
",,,,
,,,,"Магазин

г. Вихоревка, ул. Ленина, 19, помещение № 1020","
",,,,
,,,,"Магазин

г. Вихоревка, ул. Ленина, 42, помещение № 1022","
",,,,
,,,,"Магазин

г.Братск, ж.р.Центральный, ул.Кирова, 21 помещение № 1001","
",,,,
,,,,"Отдел в магазине

г. Вихоревка, ул. Дзержинского, 133, пом. 1041","
",,,,
,,,,"Отдел в магазине

г. Братск, ж.р. Энергетик, ул. Наймушина, 24","
",,,,
,,,,"Отдел в магазине

Братский район, с.Тангуй, ул. Ленина, 55","
",,,,
,,,,"Отдел в магазине

г.Братск, ж.р. Центральный, ул. Советская, 6 помещение №  1009","
",,,,
,,,,"Отдел в магазине

г. Вихоревка, ул. Дзержинского, 6 А","
",,,,
