"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО города Братска",,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,
,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями)
,,,,"Торговый отдел
в ТЦ ""Багульник""
г. Братск, ул. Крупской, 8, корпус № 4, место № 14","
",,,,
,,,,"Отдел в магазине
№ 76
г. Братск, ж.р. Центральный, ул. Карла Маркса, 12","
",,,,
12,"ООО ""Аркада""
ИНН: 3805702551","МИФНС № 15 по Иркут. Обл. и УОБАО
Постановление(св-во) от 09.09.2005","38МЕ006182 614 от 13.05.2010
 срок действия с 13.05.2010 по 22.12.2013;     ","Отдел в магазине

ж.р. Центральный, ул. Крупской, 40","
",,,,
,,,,"Магазин

ж.р. Энергетик, ул Студенческая, 18","
",,,,
13,"ООО ""АРТС""
ИНН: 3804043874","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 17.04.2009","38МЕ006318 744 от 07.06.2011
 срок действия с 07.06.2011 по 09.06.2014;     взамен: 38МЕ006171 рег. № 604 от 26.03.2011 с 26.03.2011 до 06.06.2011","Отдел в магазине
""Веста""
г. Братск, ж.р. Центральный, ул. Обручева, 44","
",,,,
,,,,"Отдел в магазине
""Дебют""
Братский район, п. Тарма, ул. Дружбы, 19А","
",,,,
,,,,"Отдел в магазине
""Дунайка""
г. Братск, ж.р. Порожский, ул. Нагорная, 84","
",,,,
14,"ООО ""Атлант""
ИНН: 3804009200","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 19.11.2009","38МЕ006308 737 от 30.05.2011
 срок действия с 30.05.2011 по 31.05.2012","Бар
в закусочной ""Севан""
г. Братск, ж.р. Центральный, ул. Гагарина, 18","
",,31.05.2012,,
,,,,"Магазин

г. Братск, ж.р. Энергетик, ул. Наймушина, 18, помещение № 1001","
",,,,
,,,,"Магазин

г. Братск, ж.р. Южный Падун, ул. Мамырская, 62 А","
",,,,
,,,,"Магазин

г. Братск, ж.р. Гидростроитель, ул. Сосновая, 11, помещение № 1001","
",,,,
,,,,"Магазин

г. Братск, ул. Коммунальная, 11, № 2","
",,,,
,,,,"Отдел в магазине
""Смешанные товары""
Братский район, п. Тарма, ул. Нагорная, 2","
",,,,
,,,,"Отдел в магазине

Братский район, с. Александровка, ул. Целинная, 1 А","
",,,,
,,,,"Отдел в магазине
""Сергий""
Братский район, с. Покосное, ул. Парковая, 24","
",,,,
,,,,"Отдел в магазине

Братский район, д. Леонова, ул. Кооперативная, 27","
",,,,
,,,,"Отдел в магазине

Братский район, с. Илир, ул. Дзержинского, 3","
",,,,
,,,,"Отдел в магазине

Братский район, с. Покосное, ул. Целинная, 7","
",,,,
,,,,"Отдел в магазине

г. Вихоревка, ул. Пионерская, 34 А","
",,,,
,,,,"Отдел в магазине

Братский район, д. Кумейка, ул. Советская, 8","
",,,,
