"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО ""Катангский район""",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),
1,2,3,4,5,6,7,8,9,10,
,,,,"19. магазин ""ТПС"" с.Верхнее-Калинина, ул.Ветеранов, 5;",,,,,,
,,,,"20. магазин ""ТПС"" с.Непа, ул.Баргузинская, 2;",,,,,,
,,,,"21. кафе с.Непа, ул.Мира, 2; ",,,,,,
,,,,"22. магазин ""ТПС"" с.Бур, ул.5 братьев Кузаковых, 5;",,,,,,
,,,,"23. магазин ""ТПС"" с.Ика, ул.Набережная, 10;",,,,,,
,,,,"24. магазин ""ТПС"" с.Токма, ул.Мира, 26.  ",,,,,,
,,,,"25. магазин ""ТПС"" с.Подволошино, ул.Советская, 4;",,,,,,
,,,,"26. магазин ""ТПС"" с.Чечуйск, ул.Набережная, 8.",,,,,,
10,"ООО ""Кедр"" ИНН 3829036124","Администрация МО ""Катангский район"" с.Ербогачен, ул.Комсомольская, 6",38 МЕ 001064 с 29.08.2007 г. по 28.08.2012 г.,Катангский район: ,,,,,,
,,,,"1. магазин ""Кедр"" с.Подволошино, ул. Геофизиков, 1а;",,,,,,
,,,,"2. бар ""Кедр"" с.Подволошино ул.Геофизиков, 1а ",,,,,,
11,"ООО ""Меркурий"" ИНН 3829035963","Администрация МО ""Катангский район"" с.Ербогачен, ул.Комсомольская, 6",38 МЕ 001051 с 05.05.2006 г. по 04.05.2011 г.,Катангский район:,,,05.05.2011 г.,,,
,,,,"1. магазин ""Меркурий-1"" с.Ербогачен, ул.Школьная, 1а; ",,,,,,
,,,,"2. магазин ""Меркурий-2"" с.Ербогачен, ул.Советская, 5 ",,,,,,
12,"ООО ""Меркурий"" ИНН 3829035963","Администрация МО ""Катангский район"" с.Ербогачен, ул.Комсомольская, 6",38 МЕ 001071 21.06.2011 г. по 20.06.2012 г.,Катангский район:,,,21.06.2012 г.,,,
,,,,"1. магазин ""Меркурий 1"" с.Ербогачен, ул.Школьная, 1а; ",,,,,,
,,,,"2. магазин ""Меркурий-2"" с.Ербогачен, ул.Советская, 5 ",,,,,,
13,"ООО ""Ника+"" ИНН 3829036131","Администрация МО ""Катангский район"" с.Ербогачен, ул.Комсомольская, 6",38 МЕ 001069 с 26.10.2009 по 15.05.2012 г.,Катангский район: ,,,16.05.2012 г.,,,
,,,,"1. магазин ""Ника+"" с.Ербогачен, ул.Ленина, 4 ",,,,,,
14,"ООО ""Садко"" ИНН 3829036043","Администрация МО ""Катангский район"" с.Ербогачен, ул.Комсомольская, 6",38 МЕ 001059 с 01.11.2006 г. по 10.11.2011 г. продлена до 10.11.2013 г.,Катангский район: ,,,,,,
,,,,"1. магазин ""Садко"" с.Ербогачен, ул.Транспортная, 18а ",,,,,,
15,"ООО ""Светлана"" ИНН 3829036029","Администрация МО ""Катангский район"" с.Ербогачен, ул.Комсомольская, 6",38 МЕ 001057 с 27.07.2006 г. по 26.07.2011 г. продлена до 28.07.2016 г.,Катангский район: ,,,,,,
,,,,"1. магазин ""Светлана"" с.Ербогачен,   ул.Авиаторов, 8-1",,,,,,
16,"ООО ""Чайка"" ИНН 3829036117","Администрация МО ""Катангский район"" с.Ербогачен, ул.Комсомольская, 6",38 МЕ 001065 с 30.05.2008 г. по 29.05.2013 г.,Катангский район: ,"01.02.2011 г., на срок до 02 мая 2011 г.",,,15.12.2011 г.,,
,,,,"1. магазин ""Чайка"" с.Ербогачен,   ул.Мира 1а",,,,,,
17,"ООО ""Ника"" ИНН 3818029990","Администрация МО ""Катангский район"" с.Ербогачен, ул.Комсомольская, 6",38 МЕ 001074 с 14.07.2012 г. по 13.07.2017 г.,Катангский район:,,,,,,
,,,,"1. магазин ""Ника"" с.Ербогачен, ул.Ленина, 4",,,,,,
