41180,28-Sep-12,,,,,,,,,,,,,
Орг_Прав_Форма,Краткое Наименование,ИНН,Код_ОКПО,Город,Улица,ГородФ,УлицаФ,Поле86,Номер лиценз,Серия бланка,Бланк,Начало действ лицензии,Конец действия лицензии,Конец Срока Продления
Общество с ограниченной ответственностью,"ООО ""Фирма генерального управления продажами ЗПП  ""Томский""",7017098484,73730516,г. Томск,"Иркутский проезд, 1, стр.3",Шегарский район,"с.Мельниково, ул.Московская, д.9а, пом.1",ТОМ,005726АЛ08,70МЕ,2366,8/9/2012,7/23/2017,
Потребительское общество,"ПО ""Шегарский хлебокомбинат""",7016001010,1608175,Шегарский район,"с. Мельниково. ул. Московская, 7",Шегарский район,,ТОМ,003117АЛ00,70МЕ,1016,3/4/2008,3/4/2013,
Общество с ограниченной ответственностью,"ООО ""Майков""",7016005871,,Шегарский район,"с. Мельниково,ул. Коммунистическая",Шегарский район,,ТОМ,005561АЛ00,70МЕ,2166,3/4/2008,3/4/2013,
Общество с ограниченной ответственностью,"ООО ""Заря""",7022015035,,Александровский район,"с. Александровское, ул. Таежная, 19 а-8",Шегарский район,"ул.Мира, 2б, офис 1",ТОМ,005734АЛ02,70МЕ,2376,3/4/2008,3/4/2013,
Общество с ограниченной ответственностью,"ООО ""ШИНаС""",7017188219,,г. Томск,"ул. Шпальная, 1",Шегарский район,"с. Вороновка, ул Крылова, 19 ""а"" (магазин)",ТОМ,005820АЛ05,70МЕ,2487,3/4/2008,3/4/2013,
Общество с ограниченной ответственностью,"ООО ""ШИНа""",7017146829,,г.Северск,"ул. Солнечная, 23, кв. 137",Шегарский район,"с. Монастырка, ул Советская. 47 (магазин0",ТОМ,005799АЛ37,70МЕ,2450,3/4/2008,3/4/2013,
Общество с ограниченной ответственностью,"ООО ""ЗАРЯ""",7016006321,,Шегарский район,"с. Мельниково, ул. Гагарина, д.1, кв.2",Шегарский район,,ТОМ,004943АЛ00,70МЕ,431,3/4/2008,3/4/2013,
Общество с ограниченной ответственностью,"ООО""Абсолют-Т""",7017203844,,г. Томск,"ул. Говорова, д.30,кв.51",Шегарский район,"пос. Победа, Южная окраина села, 520 метров по напрвлению на восток",ТОМ,004996АЛ113,70МЕ,1027,3/4/2008,3/4/2013,
Общество с ограниченной ответственностью,"ООО ""Озерный рай""",7016006240,,Шегарский район,"с. Победа, ул. Набережная, д.3",Шегарский район,,ТОМ,005076АЛ00,70МЕ,1156,3/4/2008,3/4/2013,
Общество с ограниченной ответственностью,"ООО ""К-плюс2""",7017225380,,г. Томск,"г. Томск, ул. Мокрушина, д. 24, кв. 116",Шегарский район,"с. Мельниково, ул. Коммунистическая, 34 ""Б""-",ТОМ,005106АЛ32,70МЕ,1215,3/4/2008,3/4/2013,
Общество с ограниченной ответственностью,"ООО""Южанка""",7017229112,,Томск,"ул. Энергетическая, 2""а""",Шегарский район,"636130 с. Мельниково, ул. М. Горького, 18""а""",ТОМ,005143АЛ05,70МЕ,2077,3/4/2008,3/4/2013,
Общество с ограниченной ответственностью,"ООО ""АлЕко""",7017231305,,г. Томск,"Иркутский тракт, д. 17, кв. 256",Шегарский район,"п. Победа, ул. Набережная, 17а-2",ТОМ,005169АЛ10,70МЕ,1334,12/4/2008,3/4/2013,
Общество с ограниченной ответственностью,"ООО ""Универсал""",7016006804,,Шегарский район,"с. Мельниково, ул. Сибирская, 22\1",Шегарский район,,ТОМ,005212АЛ00,70МЕ,1391,12/4/2008,3/4/2013,
Общество с ограниченной ответственностью,"ООО ""К-плюс3""",7017242064,,г. Томск,"ул. Мокрушина, 24 кв. 116",Шегарский район,"с. Нащеково, пер. Шегарский, 5б",ТОМ,005230АЛ02,70МЕ,1416,2/14/2012,2/14/2013,
Общество с ограниченной ответственностью,"ООО ""К-плюс4""",7017248370,,г. Томск,"ул. Мокрушина, д. 24, кв. 116",Шегарский район,"с. Мельниково, ул. Ленина, 21, пом. 1",ТОМ,005255АЛ91,70МЕ,1455,2/14/2012,2/14/2013,
Общество с ограниченной ответственностью,"ООО ""Дарья""",7016006875,,Шегарский район,"с. Каргала, ул. Молодежная, 5 а",Шегарский район,"д. Оськино,ул.1,д.21",ТОМ,005257АЛ04,70МЕ,1459,2/14/2012,2/14/2013,
Общество с ограниченной ответственностью,"ООО ""К-плюс 5""",7017253676,,г. Томск,"ул. Мокрушина, д. 24, кв. 116",Шегарский район,"с. Мельниково, ул. Школьная 11г",ТОМ,005286АЛ02,70МЕ,1502,2/14/2012,2/14/2013,
Общество с ограниченной ответственностью,"ООО ""МСК""",7017274940,,г. Томск,"пер. Карский, 70, кв. 74",Шегарский район,"с. Мельниково, ул. Чапаева, 22",ТОМ,005375АЛ41,70МЕ,1624,7/11/2012,7/11/2014,
Общество с ограниченной ответственностью,"ООО ""К-плюс 6""",7017277370,,г. Томск,"ул. Мокрушина, д. 24, кв. 116",Шегарский район,"с. Мельниково, ул. Коммунистическая, 102б (магазин)",ТОМ,005583АЛ32,70МЕ,2196,9/26/2012,9/26/2017,
Общество с ограниченной ответственностью,"ООО ""Сибирский фермер""",7014052097,,"Томский район,с.Кафтанчиково","Коммунистическая,д.88б",Шегарский район,"с. Мельниково, ул. Московская,9/2,п.1,2",ТОМ,005665АЛ04,70МЕ,2290,9/26/2012,9/26/2017,
Общество с ограниченной ответственностью,"ООО ""К-плюс 7""",7017285854,,г. Томск,"ул. Мокрушина, 24-116",Шегарский район,"с. Мельниково, ул. Коммунистическая, 6, пом. 7",ТОМ,005742АЛ45,70МЕ,2384,9/26/2012,9/26/2017,
Общество с ограниченной ответственностью,"ООО ""К-плюс 8""",7017299529,,г. Томск,"ул. Мокрушина, 24-116",Шегарский район,"с. Мельниково, ул. Весенняя, д. 1а (магазин);",ТОМ,005582АЛ13,70МЕ,2195,9/26/2012,9/26/2017,
Областное государственное автономное учреждение,"ОГАУ ""Дом-интернат для престарелых и инвалидов ""Лесная дача",7016001098,,Шегарский район,п. Победа,Шегарский район,,ТОМ,005589АЛ00,70МЕ,2204,8/21/2012,8/21/2017,
Общество с ограниченной ответственностью,"ООО ""Солнечный берег""",7014053809,,г. Томск,"ул. Мичурина, 47, офис 90",Шегарский район,"с. Мельниково, ул. Московская, 21/1 (магазин)",ТОМ,005614АЛ05,70МЕ,2230,8/21/2012,8/21/2017,
Общество с ограниченной ответственностью,"ООО ""Сибиряк""",7017303091,,г. Томск,"ул. Белинского,58а",Шегарский район,"с. Мельниково. ул. Московская,13п",ТОМ,005623АЛ03,70МЕ,2240,8/21/2012,8/21/2017,
Общество с ограниченной ответственностью,"ООО ""ШИНа 1""",7024032558,,г. Томск,"ул. Шпальная, 1",Шегарский район,"с. Каргала, ул. Мичурина, 17""м""",ТОМ,005336АЛ06,70МЕ,2304,8/21/2012,8/21/2017,
,,,,,,,,,,,,8/21/2012,8/21/2017,
,,,,,,,,,,,,9/4/2012,8/21/2017,
,,,,,,,,,,,,9/27/2012,8/21/2017,
,,,,,,,,,,,,11/28/2007,11/28/2012,
,,,,,,,,,,,,11/28/2007,11/28/2012,
,,,,,,,,,,,,11/28/2007,11/28/2012,
,,,,,,,,,,,,9/13/2011,3/18/2013,
,,,,,,,,,,,,9/13/2011,3/18/2013,
,,,,,,,,,,,,9/13/2011,3/18/2013,
,,,,,,,,,,,,9/9/2008,9/9/2013,
,,,,,,,,,,,,9/9/2008,9/9/2013,
,,,,,,,,,,,,7/27/2012,11/10/2013,
,,,,,,,,,,,,7/27/2012,11/10/2013,
,,,,,,,,,,,,7/27/2012,11/10/2013,
