№ п/п,Наименование организации,ИНН организации,ОГРН организации,Адрес места нахождения организации (юридический адрес),Адрес осуществления вида деятельности ,Регистраци-онный номер организации Серия лицензии Номер лицензии,"Дата выдачи лицензии (месяц, число, год)","Дата окончания действия лицензии (месяц, число, год)",Продленна лицензия,Основание и дата переоформления лицензии,"Дата приоста-новления действия лицензии (месяц, число, год)","Дата возобно-вления действия лицензии (месяц, число, год)","Дата прекра-щения действия лицензии (месяц, число, год)","Дата аннули-рования (месяц, число, год)",Дата прове-дения последней проверки,Примечание,,,,,,,
1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,,,,,,,
1,"ООО ""Игоревский ОРС""",6719002872,1026700945919,"215645, Смоленская область, Холм-Жирковский район, ст. Игоревская, ул. Южная, д. 8","215645, Смоленская область, Холм-Жирковский район, ст. Игоревская, ул. Южная, д. 8 (магазин №1), без ограничений",№ 1995                Б 005441,20 апреля 2011,до 20 апреля 2012,,,,,,,,,,,,,,,
,,,,,"215645, Смоленская область, Холм-Жирковский район, ст. Игоревская, ул. Заколодезная (магазин №2), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"215645, Смоленская область, Холм-Жирковский район, ст. Игоревская, ул. Ленинская (магазин №3), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"215645, Смоленская область, Холм-Жирковский район, ст. Игоревская, ул. Пролетарская (магазин №4), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"215646, Смоленская область, Холм-Жирковский р-н, ст. Игоревская, ул. Садовая, д. 15 (магазин №5), без ограничений",№ 647                  Г 679248,15 марта 2006,по 15 марта 2011,,исключение объекта,,,,,,,,,,,,,
2,"ООО ""АИС""",6719004260,1096726000271,"215650, Смоленская область, пгт. Холм-Жирковский, ул. Свердлова, д. 9, кв. 3","215650, Смоленская область, пгт. Холм-Жирковский, ул. Свердлова, д. 9, кв. 3 (магазин), без ограничений",№ 1912                  Б 0052147,27 апреля 2010,по 27 апреля 2012,,,,,,,,,,,,,,,
3,"ООО ""АРАКС""",6719003869,1056721977982,"215650, Смоленская область, пгт. Холм-Жирковский, ул. Пушкина, д. 14","215650, Смоленская область, пгт. Холм-Жирковский, ул. Пушкина, д. 14 (магазин), без ограничений",№ 1964                  Б 005371,17 февраля 2011,по 17 февраля 2012,,,,,,,,,,,,,,,
,,,,,"215650, Смоленская область, пгт. Холм-Жирковский, ул. Пушкина, д. 20 (кафе), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"215650, Смоленская область, пгт. Холм-Жирковский, ул. Московская (торговый павильон), без ограничений",№ 626                    Г 679227,20 февраля 2006,по 20 февраля 2011,,исключение объекта,,,,,,,,,,,,,
4,"ООО ""МОЛОДЕЖНОЕ""",6719003890,1066726014475,"215651, Смоленская область, Холм-Жирковский район, дер. Агибалово","215651, Смоленская область, Холм-Жирковский район, д. Агибалово, ул. Центральная, д. 1 (магазин), без ограничений",№ 706                  Г 245978,20 апреля 2006,по 20 апреля 2011,до 21 апреля 2014,,,,,,,,,,,,,,
,,,,,"215681, Смоленская область, Холм-Жирковский район, д. Пигулино (магазин), без ограничений",,,,,,,,,,,,,,,,,,
5,"ООО ""Феникс""",6719004319,1096726001129,"215650, Смоленская область, пгт. Холм-Жирковский, ул. К. Маркса, магазин ""Виктория""","215650, Смоленская область, пгт. Холм_жирковский, ул. К. Маркса (магазин), без ограничений",№ 1870                  Б 005157,08 октября 2009,по 08 октября 2012,,,,,,,,,,,,,,,
6,"ООО ""ТРОЙКА""",6719002914,1026700949780,"215650, Смоленская область, пгт. Холм-Жирковский, ул. Старшины Сорокина, д. 27","215650, Смоленская область, пгт. Холм-Жирковский, ул. Октябрьская, д. 29-а (магазин), без ограничений",№ 730                 В 317890,11 мая 2006,по 11 мая 2011,,,,,,,,,,,,,,,
7,"ООО ""Эдем""",6719004220,1086726000460,"215600, Смоленская область, Холм-Жирковский район, ст. Канютино, кафе-бистро ""Эдем""","215600, Смоленская область, Холм-Жирковский район, ст. Канютино,( кафе-бистро ""Эдем"")",№ 1689                        Г 679724,02 июля 2008,02 июля 2013,,"прекращение действия лицензии, приказ                   № 101-а/01-05 от 31.10.2011",,,,,,,,,,,,,
8,"ООО "" Журавушка""",6719130426,1086726001340,"215650, Смоленская область, пгт. Холм Жирковский, ул. Нахимовская, д. 17","215650, Смоленская область, пгт. Холм Жирковский, ул. Нахимовская, д. 17 (магазин), без ограничений",№ 1849                Б 005129                 (Г 301874),09 июня 2009,по 09 июня 2014,,,,,,,,,,,,,,,
,,,,,"215650, Холм-Жирковский район, ст. Игоревская, ул Южная, д. 7 (магазин), без ограничений",,,,,21 декабря           включение объекта,,,,,,,,,,,,,
9,Холм-Жирковское РАЙПО,6719000427,102600946030,"215650, Смоленская область, Холм-Жирковский район, п. Холм-Жирковский, ул. Героя Соколова, д. 6",".
1676/1 - 215650, Холм-Жирковский район, п. Холм-Жирковский, ул. К. Маркса, д. 19 (магазин «Рудаковский»), без ограничений",№ 1676                         Г 679701,09 июня 2008,09 июня 2013,,,,,,,,,,,,,,,
,,,,,".
1676/2 - 215650, Холм-Жирковский район, п. Холм-Жирковский, ул. Героя Михайлова, д. 4 (магазин «Универсал № 1»), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,".
1676/3 - 215650, Холм-Жирковский район, п. Холм-Жирковский, ул. Советская (торговый павильон»), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"
1676/4 - 215650, Холм-Жирковский район, п. Холм-Жирковский, ул. Нахимовская, д. 7 (магазин ""Альянс""), без ограничений",,,,,,,,,,,,,,,,,,
