№ п/п,Наименование организации,ИНН организации,ОГРН организации,Адрес места нахождения организации (юридический адрес),Адрес осуществления вида деятельности ,Регистраци-онный номер организации Серия лицензии Номер лицензии,"Дата выдачи лицензии (месяц, число, год)","Дата окончания действия лицензии (месяц, число, год)",Продленна лицензия,Основание и дата переоформления лицензии,"Дата приоста-новления действия лицензии (месяц, число, год)","Дата возобно-вления действия лицензии (месяц, число, год)","Дата прекра-щения действия лицензии (месяц, число, год)","Дата аннули-рования (месяц, число, год)",Дата прове-дения последней проверки,Примечание,,,,,,,
,,,,,"
1676/5 - 215650, Холм-Жирковский район, п. Холм-Жирковский, ул. пушкина, д. 21 (магазин ""Сударушка""), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"
1676/6 - 215650, Холм-Жирковский район, п. Холм-Жирковский, ул. Советская, д. 1 (магазин ""Березка""), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"
1676/7 - 215650, Холм-Жирковский район, п. Холм-Жирковский, ул. Садовая, д. 3 (магазин ""На Садовой""), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"
1676/8 - 215650, Холм-Жирковский район, п. Холм-Жирковский, ул. Игоревская, д. 6 (магазин ""Продмаг № 4""), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"25.06.2008 г.
1676/9 - 215650, Холм-Жирковский район, п. Холм-Жирковский, ул.Героя Михайлова, д. 8 (закусочная ""Бистро""), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"
1676/10 - 215650, Холм-Жирковский район, п. Холм-Жирковский, ул.Советская, д. 12 (бар- буфет), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"
1676/11 - 215650, Холм-Жирковский район, п. Холм-Жирковский, ул.Советская, д. 12 (закусочная ""Уют""), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"
1676/12 - 215650, Холм-Жирковский район, п. Холм-Жирковский, ул. Советская, д. 12 (закусочная ""Уют-1""), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"
1676/13 - 215650, Холм-Жирковский район, с/о Нахимовский, с. Нахимовское (магазин ""ТПС""), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"
1676/14 - 215650, Холм-Жирковский район, д. Каменец (магазин ""ТПС""), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"
1676/15 - 215650, Холм-Жирковский район, д. Агибалово (магазин ""ТПС""), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"25.06.2008 г.
1676/16 - 215650, Холм-Жирковский район, д. Пигулино (магазин ""ТПС""), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"
1676/17 - 215650, Холм-Жирковский район, д. Стешино (магазин ""ТПС""), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"
1676/18 - 215650, Холм-Жирковский район, д. Городня (магазин ""ТПС""), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"
1676/19 - 215650, Холм-Жирковский район, д. Пятилетка (магазин ""ТПС""), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"
1676/20 - 215650, Холм-Жирковский район, д. Болышево (магазин ""ТПС""), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"
1676/21 - 215650, Холм-Жирковский район, д. Печатники (магазин ""ТПС""), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"
1676/22 - 215650, Холм-Жирковский район, с/о Никитинский, ст. Никитинка (магазин ""ТПС""), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"
1676/23 - 215650, Холм-Жирковский район, д. Владимирское (магазин ""ТПС""), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"
1676/24 - 215650, Холм-Жирковский район, ст. Владимирский тупик (магазин ""Продукты""), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"
1676/25 - 215650, Холм-Жирковский район, ст. Игоревская (магазин ""Эллис""), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"
1676/26 - 215650, Холм-Жирковский район, ст. Игоревская, ул. Ленинская (магазин ""ТПС № 2""), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"
1676/27 - 215650, Холм-Жирковский район, ст. Игоревская, ул. Заколодезная (магазин ""Елочка""), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"
1676/28 - 215650, Холм-Жирковский район, д. Лехмино (магазин ""ТПС""), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"
1676/29 - 215650, Холм-Жирковский район, д. Верховье (магазин ""ТПС № 2""), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"25.06.2008 г.
1676/30 - 215650, Холм-Жирковский район, с. Боголюбово (магазин ""Юбилей""), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"25.06.2008 г.
1676/31 - 215650, Холм-Жирковский район, с/о Богдановский, Боголюбово (магазин ""Меркурий""), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"
1676/32 - 215650, Холм-Жирковский район, с/о Богдановский, Боголюбово (магазин ""Маячок""), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"
1676/33 - 215650, Холм-Жирковский район, д. Батурино (магазин ""ТПС""), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"
1676/34 - 215650, Холм-Жирковский район, ст. Канютино (магазин ""ТПС""), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"
1676/35 - 215650, Холм-Жирковский район, п. Холм-Жирковский, ул. Советская (павильон ""Универскал - 3""), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"
1676/36 - 215650, Холм-Жирковский район, п. Холм-Жирковский, ул. Московская (магазин), без ограничений",,,,,,,,,,,,,,,,,,
