№ п/п,Наименование организации,ИНН организации,ОГРН организации,Адрес места нахождения организации (юридический адрес),Адрес осуществления вида деятельности ,Регистраци-онный номер организации Серия лицензии Номер лицензии,"Дата выдачи лицензии (месяц, число, год)","Дата окончания действия лицензии (месяц, число, год)",Продленна лицензия,Основание и дата переоформления лицензии,"Дата приоста-новления действия лицензии (месяц, число, год)","Дата возобно-вления действия лицензии (месяц, число, год)","Дата прекра-щения действия лицензии (месяц, число, год)","Дата аннули-рования (месяц, число, год)",Дата прове-дения последней проверки,Примечание
16,"ООО ""Омега""",6709004655,1066714008998,"216117, Смоленская область, Краснинский край, п. Гусино, ул. Октябрьская","216117, Смоленская область, Краснинский район, п. Гусино, ул. Октябрьская (магазин), без ограничений",№ 1380                   Г 679360                      (Г 301982),05 декабря 2006,по 05 декабря 2011,до 06 декабр 2012,,,,,,,
,,,,,"216117, Смоленская область, Краснинский район, п. Гусино, ул. Молодежная (магазин), без ограничений",,,,,,,,,,,
17,Гусинское СЕЛЬПО,6709000386,1026700665640,"216117, Смоленская область, Краснинский район, д. Гусино, ул. Советская, д. 6","
 216100, Краснинский район, д. Литивля (магазин), без ограничений",№ 1955                                Б 005346,03 февраля 2100,03 февраля 2014,,,,,,,,
,,,,,".
216100, Краснинский район, д. Волково (магазин), без ограничений",,,,,,,,,,,
,,,,,"
216100, Краснинский район, д. Липово (магазин), без ограничений
",,,,,,,,,,,
,,,,,"216100, Краснинский район, д. Лонница (магазин), без ограничений",,,,,,,,,,,
,,,,,"216100, Краснинский район, д. Красное (магазин), без ограничений",,,,,,,,,,,
,,,,,"216100, Краснинский район, д. Комиссаров (магазин), без ограничений",,,,,,,,,,,
,,,,,"216100, Краснинский район, д. Варечки (магазин), без ограничений",,,,,,,,,,,
,,,,,"216100, Краснинский район, д. Белеи (магазин), без ограничений",,,,,,,,,,,
,,,,,"216100, Краснинский район, д. Красная горка (магазин), без ограничений",,,,,,,,,,,
,,,,," 216100, Краснинский район, п. Гусино, ул. Октябрьская, д. 35 (магазин № 2), без ограничений",,,,,,,,,,,
,,,,," 216100, Краснинский район, п. Гусино, ул. Советская, д. 11 (магазин № 8), без ограничений",,,,,,,,,,,
,,,,," 216100, Краснинский район, п. Гусино, ул. Первомайская, д. 1 (магазин № 10), без ограничений",,,,,,,,,,,
,,,,,"
608/13 - 216100, Краснинский район, п. Гусино, ул. Советская, д. 8 (бар), без ограничений",,,,,,,,,,,
,,,,,"216117, Краснинский район, п. Гусино, ул. Советская, д. 3 (магазин), без ограничений",,,,,,,,,,,
,,,,,"  216100, Краснинский район, дер. Красная Горка (закусочная ""Встреча""), без ограничений",,,,,,,,,,,
18,Краснинское РАЙПО,6709000072,1026700665573,"216100, Смоленская область, Краснинский район, п. Красный, ул. Ленина, д. 1","
1804/1 – 216100, Краснинский район, п. Красный, ул. К. Маркса, д. 10 (столовая), без ограничений",№ 1804                       Б 005072,31 декабря 2008,31 декабря 2013,,,,,,,,
,,,,,"31.12.2008 г.
1804/2 – 216100, Краснинский район, п. Красный, ул. Глинки, д. 7-а (кафе ""Уралочка""), без ограничений",,,,,,,,,,,
,,,,,"
1804/3 – 216100, Краснинский район, п. Красный, ул. К. Маркса, д. 17 (кафе ""Молодежное""), без ограничений",,,,,,,,,,,
,,,,,"
1804/4 – 216100, Краснинский район, п. Красный, ул. Ленина, д. 1 (пивной бар), без ограничений",,,,,,,,,,,
,,,,,"
1804/5 – 216100, Краснинский район, д. Николаевка (магазин), без ограничений",,,,,,,,,,,
,,,,,"
1804/6 – 216100, Краснинский район, д. Мерлино (магазин), без ограничений",,,,,,,,,,,
,,,,,"
1804/7 – 216100, Краснинский район, д. Викторово (магазин), без ограничений",,,,,,,,,,,
,,,,,"
1804/8 – 216100, Краснинский район, д. Маньково (магазин), без ограничений",,,,,,,,,,,
,,,,,"
1804/9 – 216100, Краснинский район, д. Рогайлово (магазин), без ограничений",,,,,,,,,,,
,,,,,"
1804/10 – 216100, Краснинский район, д. Нейково (магазин), без ограничений",,,,,,,,,,,
,,,,,"
1804/11 – 216100, Краснинский район, д. Сусловичи (магазин), без ограничений",,,,,,,,,,,
,,,,,"
1804/12 – 216100, Краснинский район, д. Крюково (магазин), без ограничений",,,,,,,,,,,
,,,,,"
1804/13 – 216100, Краснинский район, д. Алушково (магазин), без ограничений",,,,,,,,,,,
,,,,,"
1804/14 – 216100, Краснинский район, д. Середнево (магазин), без ограничений",,,,,,,,,,,
,,,,,"
1804/15 – 216100, Краснинский район, д. Марково (магазин), без ограничений",,,,,,,,,,,
,,,,,"
1804/16 – 216100, Краснинский район, д. Малеево (магазин), без ограничений",,,,,,,,,,,
,,,,,"
1804/17 – 216100, Краснинский район, д. Храпово (магазин), без ограничений",,,,,,,,,,,
,,,,,"
1804/18 – 216100, Краснинский район, д. Самсоны (магазин), без ограничений",,,,,,,,,,,
,,,,,"
1804/19 – 216100, Краснинский район, д. Павлово (магазин), без ограничений",,,,,,,,,,,
,,,,,"
1804/20 – 216100, Краснинский район, д. Двуполяны (магазин), без ограничений",,,,,,,,,,,
,,,,,"
1804/21 – 216100, Краснинский район, д. Зверовичи (магазин), без ограничений",,,,,,,,,,,
,,,,,"
1804/22 – 216100, Краснинский район, д. Новая Ржавка (магазин), без ограничений",,,,,,,,,,,
,,,,,"
1804/23 – 216100, Краснинский район, п. Красный, ул. Советская, д. 71-а (магазин ""Краснинский""), без ограничений",,,,,,,,,,,
,,,,,"
1804/24 – 216100, Краснинский район, п. Красный, ул. К. Маркса, д. 52-а (магазин ""Фермерский""), без ограничений",,,,,,,,,,,
,,,,,"
1804/25 – 216100, Краснинский район, п. Красный, ул. Неверовского, д. 10-а (магазин ДРСУ), без ограничений",,,,,,,,,,,
,,,,,"
1804/26 – 216100, Краснинский район, п. Красный, пер. Лермонтова, д. 7 (магазин ""Льнозавод""), без ограничений",,,,,,,,,,,
,,,,,"
1804/27 – 216100, Краснинский район, п. Красный, ул. Мелиораторов, д. 2-а (магазин ""ПМК-8""), без ограничений",,,,,,,,,,,
,,,,,"
1804/28 – 216100, Краснинский район, п. Красный, ул. Глинки, д. 18 (магазин ""ПМК -364""), без ограничений",,,,,,,,,,,
,,,,,"
1804/29 – 216100, Краснинский район, п. Красный, ул. К. Маркса, д. 15 (магазин ""Продукты № 1""), без ограничений",,,,,,,,,,,
,,,,,"
1804/30 – 216100, Краснинский район, п. Красный, ул. К. Маркса, д. 13 (магазин ""Продукты № 2""), без ограничений",,,,,,,,,,,
