№ п/п,Наименование организации,ИНН организации,ОГРН организации,Адрес места нахождения организации (юридический адрес),Адрес осуществления вида деятельности ,Регистраци-онный номер организации Серия лицензии Номер лицензии,"Дата выдачи лицензии (месяц, число, год)","Дата окончания действия лицензии (месяц, число, год)",Продленна лицензия,Основание и дата переоформления лицензии,"Дата приоста-новления действия лицензии (месяц, число, год)","Дата возобно-вления действия лицензии (месяц, число, год)","Дата прекра-щения действия лицензии (месяц, число, год)","Дата аннули-рования (месяц, число, год)",Дата прове-дения последней проверки,Примечание
1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19
1,"ООО ПКФ ""СФ""",6709003161,1026700668983,"216117, Российская Федерацияб Смоленская область, Краснинский район, дер. Бодуны"," 216117, Смоленская область, Краснинский район, д. Бодуны, 437 км. а/д Москва-Минск, левая сторона (кафе), без ораничений.                          ",№ 1133              Б 005912 ,17 июля 2006,по 17 июля 2011,до 18 июля 2016,Приказ №,,,,,,
,,,,," 216117, Российская Федерация Смоленская область, Краснинский район, дер. Бодуны, 437 км. а/д Москва-Беларусь (кафе)",,,,,,,,,,,
2,"ООО ""Лес-Транс""",6709004743,1076714000032,"216100, Российская Федерация,Смоленская область, Краснинский район, пг.т. Красный, ул. Лермонтова, д.1","216100, Cмоленская область, Краснинский район, п.г.т. Красный, д. 1 (магазин), без ограничений.",№ 2012              Б 004903,10 июня 2011,до 10 июня 2012,,,,,,,,
3,"ООО ""Хуторок""                     (ООО ""Престиж"")",6709005190,1086714001109,"216100, Российская Федерация,Смоленская область, Краснинский район, п.г.т. Красный, ул. Кирова, д. 10","216100, Смоленская область, Краснинский район, пгт. Красный, ул. Кирова, д. 10(кафе), без ограничений.",№ 1816              Б 004751           № 1816              Б 005086          № 1816              Б 005135    ,05 августа 2011            21 января 2009             01 июля 2009,по 21 января 2014        по 21 января 2014         по 21 января 2014 ,,                                        2) Смена юр. Адреса     3)  Cмена наименования организации. ,,,,,,
4,"ООО ""Тадес""",6709004567,1066714005137,"216100, Российская Федерация, Смоленская область, пгт. Красный, ул. Пролетарская, д. 27","216100, Смоленская область, пгт. Красный, ул. Суворова, д. 16 (кафе), без ограничений.",№ 869                Б 005646,22 июня 2006,по 22 июня 2011,,,,,,,,
5,"ООО ""Луч""",6706005770,1066712012180,"216330, Российская Федерация, г. Ельня, ул. Ленина, 55"," 216330, Смоленская область, г. Ельня, ул. Молодежная, д. 1 (магазин), установив ограничения на рознтчную продажу алкогольной продукции с содержанием этилового спирта более 15% объема готоиой продукции;               ",№ 1204               Г 254845,27 июля 2006,по 27 июля 2011,до 28 июля 2012,Приказ №,,,,,,
,,,,,"216330, Смоленская область, г. Ельня, ул. Ленина, д. 55 (магазин), без ограничений.",,,,,,,,,,,
6,"ООО ""Мария""",6709004550,1066714005104,"216100, Российская Федерация, Смоленская область, пгт. Красный, ул. Советская, д. 7","216100, Российская Федерация, Смоленская область, пгт. Красный, ул. Глинки (магазин)                  ",№ 1208               Г 254849            (Г 301811),27 июля 2006,по  27 июля 2011,до 28 июля 2012,,,,,,,
,,,,," 216100, Российская Федерация, Смоленская область, пгт. Красный, ул. Кирова (магазин)",,,,,,,,,,,
7,"ООО ""АЛЕНА""",6709004479,1056735022310,"216100, Российская Федерация, Смоленская область, пгт. Красный, переулок Мира, д. 7","216100, Российская Федерация, Смоленская область, пгт. Красный, ул. Кирова, д. 4-в (торговый павильон)",№ 695                 Г 245964,14 апреля 2006,по 14 апреля 2011,,,,,,,,
8,"ООО ПКФ ""ОКОЛИЦА""",6709004486,1066714002585,"216117, Российская Федерация, Смоленская область, Краснинский район, п. Гусино, ул. Пролетарская, 46"," 216117, Российская Федерация, Смоленская область, Краснинский район, п. Гусино, ул. Пролетарская, д. 46 (закусочная)                         ",№ 2005                Б 005492           № 738                 В 317895,23 мая 2011                    16 мая 2006,до 23 мая 2013              по 16 мая 2011,,,,,,,,
9,"ООО ""Русь""",6709004581,1066714005742,"216100, Российская Федерация, Смоленская область, пгт. Красный, ул. Кирова, д. 4 ""Б""","216100, Смоленская область, Краснинский район, пгт. Красный, ул. Кирова, д. 4 ""Б"" (магазин), без ограничений;                   ",№ 999                 Б 005488,20 мая 2011,по 30 июня 2011,до 01 июля 2016,,,,,,,
,,,,,"216100, Смоленская область, Краснинский район, пгт. Красный, ул. Глинки, д. 43 (магазин), без ограничений;     ",,,,,,,,,,,
,,,,," 216100, Смоленская область, Краснинский район, пгт. Красный, ул. Свердлова, д. 21-а (магазин), без ограничений;",,,,,,,,,,,
,,,,," 216100, Смоленская область, Краснинский район, пгт. Красный, ул. Неверовского, д. 14 (магазин), без ограничений;",,,,,,,,,,,
,,,,," 216100, Смоленская область, Краснинский район, пгт. Красный, ул. Ленина, д. 6-а (магазин), без ограничений. ",,,,,,,,,,,
10,"ООО  ПКЦ ""Ника""",6709000587,1026700672184,"216117, Российская Федерация, Смоленская область,Краснинский район, п. Гусино, ул. Октябрьская, д. 32, кв. 66","216100, Российская Федерация, Смоленская область, Краснинский район, д. Липово (кафе)",№ 1607               Г 679624,18 декабря 2007,по 18 декабря 2012,,,,,,,,
11,"ООО ""Уют""",6709004648,1066714008932,"216117, Российская Федерация, Смоленская область, Краснинский район, п. Гусино, ул. Советская, 17-а","216117, Российская Федерфция, Смоленская облфсть, Краснинский район, п. Гусино, ул. Советская, 17-а (бистро-закусочная)",№ 1324               Г 254968,11 октября 2006,по 11 октября 2011,,,,,,,,
12,"ООО ""Светлана""",6709004609,1066714006325,"216100, Российская Федерация, Смоленская область, пгт. Красный, ул. Калинина, 35","216100, Российская Федерация, Смоленская область, п. Красный, ул. Кутузова, д. 1 (магазин)",№ 1462                      Г 679449,21 марта 2007,по 21 марта 2012,,,,,,,,
13,"ООО ""Мечта""",6709004510,1066714004917,"216100, Российская Федерация, Смоленская область, пгт. Красный, переулок Набережный, 1, 11","216100, Российская Федерация, Смоленская область, п. Красный, ул. Кирова, д. 9 (магазин)",№ 1614               Г 679634,24 декабря 2007,по 24 декабря 2012,,,,,,,,
14,"ООО ""Зорька""",6709000604,1026700667850,"216100, Российская Федерация, Смоленская область, Краснинский район, п. Красный, ул. Глинки, д. 1","216100, Российская Федерация, Смоленская область, Краснинский район, п. Красный, ул. Глинки, д. 1 (магазин)",№ 1405              Г 679383                       (Г 301951),21 декабря 2006,по 21 декабря 2011,до 22 декабря 2016,,,,,,,
15,"ООО ""Липово""",6709004503,1066714004884,"216117, Российская Федерация, Смоленская область, Краснинский район, дер. Липово","216117, Российская Федерация, Смоленская область, Краснинский район, дер. Липово (кафе)",№ 1218               Г 254854,31 июля 2006,по 31 июля 2011,,,,,,,,
