                  Государственный реестр выданных лицензий  за апрель 2012 г. по  Хабаровскому краю ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
№ пп,Организация - заявитель ,,,,, Объект,Место осуществления деятельности                                           ,Общая площадь,Арендуемая площадь,"Площадь торг зала, кол-во посадочных мест ",Время работы объекта,Примечание,Номер и срок действия лицензии,,,
,ОПФ,нименование организации,юридический адрес,"ИНН, КПП, ОГРН","Вид деятельности, заявленный срок в годах",,,,,,,,,,,
г. Хабаровск,,,,,,,,,,,,,,,,
8,ООО,"""Дартц""","г.Хабаровск, ул.Ленина д.33, тел. 25-43-55",2721053066/272101001/1022700927138,розничная продажа АП в розлив 3 года,закусочная,"г.Хабаровск, ул.Ленина д.33",229.9,229.9,,13-23,продление ,ХБ 000995 № 1259 17.04.2012 - 17.04.2015,,,
9,ООО,"""ДВК""","г.Хабаровск, пер.Кирпичный д.4А, тел. 27-25-46",2724013978/272401001/1022701283428,розничная продажа АП в розлив 1 год,ресторан ,"г.Хабаровск, пер.Кирпичный д.4А",467.9,467.9,,13-03,продление ,ХБ 000993 № 1260 17.04.2012 - 17.04.2013,,,
10,ООО,"""Золотой источник""","г.Хабаровск, ул.Ленина д.75, тел. 8-914-543-63-32",2721130049/272101001/10527012993204,розничная продажа АП в розлив 5 лет,бар ,"г.Хабаровск, ул.Запарина д.92",196.93,196.93,170.33,09-24,продление,ХБ 001030 № 1267 17.04.2012 - 17.04.2017,,,
11,ООО,"""Каштан""","г.Хабаровск, ш.Матвеевское д.22, тел. 33-53-60",2724092151/272401001/1062724023108,розничная продажа АП 1 год,магазин,"г.Хабаровск, ш.Матвеевское д.22",257.5,257.5,111,9-21,продление ,ХБ 001000 № 172 17.04.2012 - 17.04.2013,,,
12,ООО,"""Классик""","г.Хабаровск, ул.Шевчука д.29, 25, тел. 26-30-58",2723076333/272301001/1062723006136,розничная продажа АП в розлив 1 год,закусочная,"г.Хабаровск, ш.Матвеевское д.35",84.1,,,7-23,продление,ХБ 000994 № 163 17.04.2012 - 17.04.2013,,,
13,ООО,"""ЛаВита""","г.Хабаровск, б-р.Амурский д.66, тел. 30-14-73",2724094455/272401001/1062724060002,розничная продажа АП в розлив 3 года,кафе,"г.Хабаровск, ул.Карла Маркса д.43",178.7,178.7,,9-24,продление,ХБ 001024 № 350 17.04.2012 - 17.04.2015,,,
,,,,,,кафе,"г.Хабаровск, ул.Карла Маркса д.76",129.13,129.13,,11-23,,,,,
,,,,,,кафе,"г.Хабаровск, б-р.Амурский д.66",248.8,248.8,,9-24,,,,,
14,ООО,"""Максимус""","г.Хабаровск, ул.Льва Толстого д.22, тел. 32-50-01",2721106991/272101001/1032700324030,розничная продажа АП в розлив 1 год,кафе ,"г.Хабаровск, ул.Льва Толстого д.22",162,162,,12-01,продление ,ХБ 001001 № 1256 17.04.2012 - 17.04.2013,,,
15,ООО,"""Мария""","г.Хабаровск, ул.Тихоокеанская д.178-206, тел. 63-29-80",2725101137/272501001/1112722001666,розничная продажа АП 5 лет,отдел в магазине,"г.Хабаровск, ул.Тихоокеанская д.170-а",50.4,50.4,20,9-21,продление,ХБ 001045 № 2343 28.04.2012 - 28.04.2017,,,
16,ООО,"""Новый""","г.Хабаровск, Большой аэродром, ДОС-28-1, тел. 23-14-00",2724098185/272401001/1062724063126,розничная продажа АП 2 года,отдел в магазине,"г.Хабаровск, ул.Большой Аэродром д.ДОС-28-1",60,60,60,09-23,продление,ХБ 001008 № 1266 17.04.2012 - 17.04.2014,,,
17,ООО,"""Озон""","г.Хабаровск, ул.Карла Маркса д.59, тел. 45-17-71",2721137358/272101001/1062721081158,розничная продажа АП в розлив 2 года,кафе,"г.Хабаровск, ул.Карла Маркса д.59",180.9,180.9,,10-20,впервые,ХБ 000988 № 2550 17.04.2012 - 17.04.2014,,,
18,ООО,"""Парадиз""","г.Хабаровск, ул.Фрунзе д.3, 29, тел. 73-80-18",2721175963/272101001/1102721003428,розничная продажа АП 1 год,магазин,"г.Хабаровск, ул.Дикопольцева д.26а",318.2,318.2,193.1,8-22,впервые,ХБ 000991 № 2551 17.04.2012 - 17.04.2013,,,
19,ООО,"""Ристретто""","г.Хабаровск, ул.Муравьева-Амурского д.36-313, тел. 23-33-23",2721183940/272101001/1112721004440,розничная продажа АП в розлив 1 год,кафе,"г.Хабаровск, ул.Ленина д.29",626,626,,8-04,продление,ХБ 001043 № 2377 14.06.2012 - 14.06.2013,,,
20,ООО,"""Ронис""","г.Хабаровск, ул.Шеронова д.7, тел. 41-13-27",2720026750/272301001/1032700254344,розничная продажа АП 5 лет,магазин,"г.Хабаровск, ул.Лазо д.86б",195,195,130.5,8-23,доп. объект,ХБ 000902 № 1194 14.02.2012 - 14.02.2017,,,
21,ООО,"""Скатерть самобранка""","г.Хабаровск, ул.Запарина д.92, тел. 8-914-543-63-32",2721130031/272101001/1052701293215,розничная продажа АП в розлив 5 лет,закусочная,"г.Хабаровск, ул.Запарина д.92",457.6,457.6,318.63,09-24,продление,ХБ 001029 № 1268 17.04.2012 - 17.04.2017,,,
22,ООО,"""СМС Амур""","г.Хабаровск, ул.Шеронова д.7, тел. 46-05-21",2723073420/272301001/1052701550120,розничная продажа АП в розлив 2 года,ресторан,"г.Хабаровск, ул.Шеронова д.7",746.2,746.2,,круглосуточно,продление ,ХБ 001044 № 1358 19.06.2012 - 19.06.2014,,,
23,ООО,"""Статус-Строй""","г.Хабаровск, ул.Ленина, 8, тел. 21-61-58",2725027300/272101001/1022701407420,розничная продажа АП в розлив 1 год,кафе,"г.Хабаровск, ул.Ленина д.8",141.4,141.4,,9-23,продление ,ХБ 000985 № 130 17.04.2012 - 17.04.2013,,,
24,ООО,"""Успех""","г.Хабаровск, пер.Инский д.13, тел. 30-78-50",2723119450/272301001/1092723006386,розничная продажа АП 1 год,магазин,"г.Хабаровск, пер.Инский д.13",90.4,90.4,58.2,08-23,продление,ХБ 001025 № 2151 17.04.2012 - 17.04.2013,,,
25,ООО,Эльбрус,"г.Хабаровск, ул.Световая д.12-г, помещение 2, тел. 67-44-77",2723118544/272301001/1092723002877,розничная продажа АП 1 год,отдел в магазине,"г.Хабаровск, ул.Рокоссовского д.16",50,50,50,9-21,продление,ХБ 001005 № 2166 17.04.2012 - 17.04.2013,,,
,,,,,,отдел в ТЦ,"г.Хабаровск, ул.Воровского д.21",55,55,55,9-21,,,,,
