Городской округ Саранск,,,,,,,,,,,,
К-во,Регис-,Серия,"Наименование организации,",,Адреса,Кол - тво,Срок ,№ ,Дата,,Ф.И.О. ,
ор-,тра-,лицензии,"юридический адрес, почтовый адрес",,торговых объектов,торговых,действия,"телефона,",приоста-,,руководителя (учредителя),
гани,цион-,,,,,объектов,лицензииё,факс,новки и,,,
за,ный,,,ИНН,,,,,возобнов-,,,
ций,№,,,ОГРН,,,,,ления,,,
в,лицен-,,,,,,,,лицензии,,,
р-не,зии,,,,,,,,,,,
,,,,,"м-н ""Магнит"" г. Саранск, ул. Косарева, 5а",,,25-04-94,,,,ИП Роганова Ю.М.
,,,,,"м-н ""Магнит"" г. Саранск, ул. Комарова, 2",,,331795,,,,"ООО ""Юго-Зап рынок"""
,,,,,"м-н ""Магнит"" г. Саранск, ул. Веселовского, 45",,,756846,,,,
,,,,,"м-н ""Магнит"" г. Саранск, ул. Веселовского, 13",,,736533,,,,
,,,,,"м-н ""Магнит"" г. Саранск, ул. Ворошилова, 2",,,232597,,,,
,,,,,"м-н ""Магнит"" г. Саранск, ул. Коммунистическая, 10",,,,,,,
,,,,,"м-н ""Магнит"" г. Саранск, ул. Гожувская, 10а",,,,,,,
,,,,,"м-н ""Магнит"" г. Саранск, п. Луховка, ул. Заводская, 7а",,,,,,,
,,,,,"м-н ""Магнит"" г. Саранск, ул. Пролетарская, 83а",,,,,,,
,,,,,"м-н ""Магнит"" г. Саранск, п. Николаевка, ул. Ленина, 90",,,,,,,
,,,,,"м-н ""Магнит"", г. Саранск, ул. Косарева, 82а",,,,,,,
,,,,,"магазин ""Магнит"", г. Саранск, ул. Кирова, 67",,,,,,,
,,,,,"магазин ""Магнит"", г. Саранск, ул. Солнечная, 13а",,,,,,,
,,,,,"магазин ""Магнит"", г. Саранск, ул. Коваленко, 6а",,,,,,,
,,,,,"магазин ""Магнит"", г. Саранск, пр. 60 лет Октября, 117",,,,,,,
,,,,,"магазин ""Магнит"", г. Саранск, ул. Коваленко, 53а",,,,,,,
,,,,,"магазин ""Магнит"", г. Саранск, пр. 60 лет Октября, 139",,,,,,,
,,,,,"магазин ""Магнит"", г. Саранск, ул. Войнова, 3а",,,,,,,
,,,,,"магазин ""Магнит"", г. Саранск, ул. Коваленко, 48а",,,,,,,
,,,,,"м-н ""Магнит"" г. Рузаевка, ул. Ленина, 50б",,,8345131517,,,,ИП Дырин И.В.
,,,,,"м-н ""Магнит"" г. Рузаевка, ул. Титова, 3",,,8345120124,,,,"ООО ""Руз торг комп"""
,,,,,"м-н ""Магнит"" г. Рузаевка, ул. Ленина, 32",,,8345120083,,,,Собст
,,,,,"м-н ""Магнит"" г. Рузаевка, пер. Фабричный, 17",,,8345121436,,,,"ООО ""Руз торг комп"""
,,,,,"м-н ""Магнит"" г. Рузаевка, ул. Пионерская, 119",,,,,,,
,,,,,"магазин ""Магнит"", г. Рузаевка, ул. 40 лет Победы",,,,,,,
,,,,,"магазин ""Магнит"", г. Рузаевка, ул. Маяковского, 99",,,,,,,
,,,,,"м-н ""Магнит"" п. Комсомольский, 1 мкр., 13",,,8343731221,,,,
,,,,,"м-н ""Магнит"" п. Комсомольский, мкр. 1, 9",,,8343731473,,,,"ООО ""Хлебопек"""
,,,,,"м-н ""Магнит"" п. Чамзинка, ул. Почтовая, 8а",,,8343722407,,,,Собст
,,,,,"м-н ""Магнит"", п. Комсомольский, ул. Республиканская, 29",,,,,,,
,,,,,"м-н ""Магнит"" г. Ковылкино, ул. Ленина, 2",,,8345321875,,,,Собст
,,,,,"м-н ""Магнит"", г. Ковылкино, ул. Советская, 7а",,,,,,,
,,,,,"м-н ""Магнит"" п. Тургенево, ул. Заводская, 67, Ардатовский район",,,8343131548,,,,ИП Ярубаева М.Ф.
,,,,,"м-н ""Магнит"" г. Ардатов, ул. Ленинская, 91",,,8343133425,,,,
,,,,,"м-н ""Магнит"" п. Ромоданово, ул. Полежаева, 38",,,8343820789,,,,ИП Митронин В.П.
,,,,,"м-н ""Магнит"" г. Краснослободск, мкр., 1, 1",,,8344322593,,,,
,,,,,"магазин ""Магнит"", г. Краснослободск, ул. Интернациональная, 95",,,,,,,
,,,,,"м-н ""Магнит"" с. Лямбирь, ул. Ленина, 61",,,8344123634,,,,
,,,,,"м-н ""Магнит"" с. Дубенки, ул. Центральная, 24",,,8344721343,,,,
,,,,,"м-н ""Магнит"" с. Ст. Шайгово, ул. Ленина, 3",,,,,,,
,,,,,"м-н ""Магнит"" п. Атяшево, ул. Первомайская, 37",,,,,,,
,,,,,"м-н ""Магнит"" с. Б.Березники, ул. Почтовая, 47",,,,,,,
,,,,,"м-н ""Магнит"", с. Кочкурово, ул. Советская, 3",,,,,,,
,,,,,"магазин ""Магнит"", п. Торбеево, ул. Октябрьская, 7а",,,,,,,
,,,,,"магазин ""Магнит"", с. Б.Игнатово, ул. Советская, 45",,,,,,,
,,,,,"магазин ""Магнит"", с. Ельники, ул. Коммунистическая, 28",,,,,,,
,,,,,"магазин ""Магнит"", п. З. Поляна, ул. Новикова-Прибоя, 65а",,,,,,,
,,,,,"магазин ""Магнит"", г. Темников, ул. К.Маркса, 12",,,,,,,
,,,,,"магазин ""Магнит"", с. Теньгушево, ул. Ленина, 133е",,,,,,,
,,,,,"магазин ""Магнит"", с. Ичалки, ул. Чинченкова, 1",,,,,,,
,,,,,"магазин ""Магнит"", с. Атюрьево, ул. Коммунистическая, 6",,,,,,,
1,112,13 МЕ,"ООО ""ВНК"" г. Саранск, ул. Хмельницкого, 33",1326196551,"кафе ""Малибу"" г. Саранск, ул. Хмельницкого, 33",3,28/04/11,48-13-52,,,Бубнов Евгений Владимирович,
,,001561,,1061326012330,"м-н ""Продукты"" г. Саранск, п. Ялга, ул. Российская, 29",,28/04/14,,,,Клемин Валерий Николаевич,
,,,,,"м-н г. Саранск, ул. Севастопольская, 58, кор. 2",,,,,,,
1,411,13 МЕ,"ОАО ""Агрофирма ""Октябрьская"", Лямбирскийр-н",1315012925,"м-н ""Птица"" №3, г.Саранск, ул.Энгельса, 21",20,15/12/11,25-27-26,,,Глынина Виктория Игоревна,
,,001888," п. Б. Елховка,ул.Заводская.12 ",,"м-н ""Птица"" №5, г.Саранск, пр.60 лет Октября, 11а",,15/04/14,30-22-93,,,,
,,,,,"м-н ""Птица"" №7 г. Саранск, ул. Осипенко, 95а",,"""-""-""",,,,,
,,,,,"м-н ""Птица"" №10 г. Саранск, ул. Пролетарская, 112",,"""-""-""",,,,,
,,,,,"м-н ""Птица"" № 11 г.Саранск, ул.Лихачева, 38а",,"""-""-""",,,,,
,,,,,"м-н ""Птица"" №14 г.Саранск,пр.70 лет Октября, 65а",,"""-""-""",,,,,
,,,,,"м-н ""Птица"" №16,г.Саранск, ул.Советская, 50а",,"""-""-""-""",25-27-97,,,,
,,,,,"м-н ""Птица"" №31 г.Саранск, пр. 60лет Октября, 141",,"""-""-""-""",,,,,
,,,,,"м-н ""Птица"" №32, г.Саранск, ул.Васенко, 12",,"""-""-""-""",,,,,
,,,,,"м-н ""Птица"" №34, г.Саранск, ул.Коммунистич.10",,"""-""-""-""",,,,,
,,,,,"м-н ""Птица"" №38, г.Саранск,б-р Эрьзи,12",,"""-""-""-""",,,,,
,,,,,"м-н ""Птица"" №40, г.Саранск, ул.Л.Толстого, 3",,"""-""-""-""",,,,,
,,,,,"м-н ""Птица"" №41, г.Саранск, ул.Энергетическая, 13а, стр.1",,"""-""-""-""",,,,,
,,,,,"м-н ""Птица"" №44, г.Саранск, ул.Коваленко,36а",,"""-""-""-""",,,,,
,,,,,"м-н ""Птица"" №61 г. Саранск, ул. Гожувская, 10а",,"""-""-""-""",,,,,
,,,,,"м-н ""Птица"" №59 г. Саранск, ул. Коммунистическая, 62",,"""-""-""-""",25-27-82,,,,
,,,,,"м-н ""Птица"" №42 г. Саранск, п. Ялгаул. Пионерская, 39",,,,,,,
,,,,,"м-н ""Птица"" №64, г. Саранск, ул. Севастопольская, 56, корп.2, стр. 2",,,,,,,
,,,,,"магазин ""Птица"" № 63, г. Саранск, ул. Войнова, 32а",,,,,,,
,,,,,"магазин ""Птица"" №49, г. Саранск, ул. Солнечная, 19а",,,,,,,
1,106,13 МЕ,"ООО ""Добрый"" г. Саранск, ул. Полежаева, 24",1326195702,"м-н ""Добрый"" г. Саранск, ул. Войнова, 18а",1,28/04/11,76-38-11,,,Милин Анатолий Николаевич,
,,001555,,1051326072885,,,28/04/16,,,,Винокуров Виктор Владимирович,
1,105,13 МЕ,"ООО ""Добрый плюс"" г. Саранск, ул. Поле-",1326195710,"магазин ""Добрый"" г. Саранск, п. Луховка, ул. Рабочая, 22а",1,28/04/11,25-84-38,,,Милин Анатолий Николаевич,
,,001554,"жаева, 24",1051326072907,,,28/04/16,,,,Винокуров Виктор Владимирович,
1,91,13 МЕ,"ООО ""Восход"" г. Саранск, ул. Пуркаева, 4",1328904249,"м-н г. Саранск, ул. Пуркаева, 4",1,15/05/09,55-04-64,,,Фадеева Ирина Петровна,
,,000837,,,,,15/05/14,89050092918,,,Фадеев Вячеслав,
1,155,13 РМ,"ООО ""Самей"", г.Саранск, ул. Косарева, 50",1328161032,"зак-ая ""Харчевня"", г. Саранск,  пр.70 лет Октября, 96а",3,15/06/12,59-51-86,,,Юдин Александр Александрович,
,,000048,,1021301115428,"зак-ная № 4, г. Саранск, ул.Косарева, 50 (рынок ""Заречный"")",,28/01/15,55-49-55,,,,
,,,,,"кафе ""Заречье"", г. Саранск, ул. Косарева, 76 а",,"""-""-""-""-""",89272763269,,,,
1,136,13 РМ,"ООО ""Гор"" г. Саранск, ул. Крылова, 3/5",1328905034,"м-н ""Светлячок"" г. Саранск, ул. Кутузова, 2",1,29/05/12,47-81-04,,,Кочетков Игорь Серафимович,
,,000018,,1061328007333,,,29/05/13,,,,,
1,348,13 МЕ,"ООО ""Делфи"" г. Саранск, ул. Гагарина, 74",1326195484,"магазин ""Продукты"", г. Саранск, ул. Гагарина, 74",1,31/10/11,35-74-75,,,Куянова Рамиля Хализеевна,
,,001822,,1051326070223,,,28/04/16,,,,,
1,44,13 МЕ,"ООО ""Березка"" г. Саранск, пр. 50 лет Октября,",1326196738,"бар ""Березка"", г. Саранск, пр. 50 лет Октября, 3",2,15/03/12,35-70-11,,,Кеняйкина Олеся Александровна,
,,001970,3,1061326014386,"магазин ""Продукты"", г. Саранск, ул. Володарского, 7",,15/03/17,89061614530,,,,
1,9,13 МЕ,"ООО ""Аркона"" г. Саранск, пр. 50 лет Октября, 21",1326188590,"м-н ""Товарищ"" г. Саранск, п.Ник-вка, ул. Ленина, 89",14,30/01/12,30-54-38,,,Липасов Павел Викторович,
,,001930,Всего: 15,1031311600615,"м-н ""Товарищ"" г. Саранск, ул. Энергетическая, 25",,16/05/16,25-43-32,,,Щетинина Тамара Михайловна,
,,,,,"м-н ""Товарищ"" г. Саранск, ул. Ленинградская, 37",,,25-43-46 бух,,,Харитонова Ольга Ивановна,
,,,,,"м-н ""Продукты"" г. Саранск, пр. 50 лет Октября, 21",,,25-43-36,,,,
,,,,,"м-н ""Товарищ"" г. Саранск, ул. Гагарина, 11а",,,33-00-42,,,,
,,,,,"м-н ""Товарищ"" г. Саранск, ул. Невского, 24а",,,,,,,
,,,,,"м-н ""Продукты"" г. Саранск, пр. Ленина, 36",,,,,,,
,,,,,"м-н ""Продукты"" г. Саранск, ул. Сущинского, 9г",,,55-35-67,,,Марина Васильевна,
,,,,,"м-н ""Товарищ"" г. Саранск, ул. Осипенко, 81а",,,89063780084,,,,
,,,,,"м-н ""Продукты"" г. Саранск, ул. Строительная, 11",,,,,,,
,,,,,"м-н ""Товарищ"", г. Саранск, ул. Сущинского, 9а",,,,,,,
,,,,,"м-н ""Товарищ"", г. Саранск, ул. Ленинградская, - ул. Бауманская",,,,,,,
,,,,,"магазин ""Продукты"", г. Саранск, ул. Гайдара, 6",,,,,,,
,,,,,"м-н ""Продукты"" с. Ст. Шайгово, ул. Шишканова, 74а",,,,,,,
,,,,,"магазин ""Продукты"", г. Саранск, ул. Коваленко, 19а",,,,,,,
1,73,13 МЕ,"ООО ""Марискина"" г. Саранск, ул. Коммунистическая, 62",1326195325,"м-н ""Продукты"" г. Саранск, ул. Ленина, 62",6,16/04/12,55-82-78,,,Марискина Лариса Петровна,
,,002000,,1051326069123,"м-н ""Продукты"" г. Саранск, ул. Гожувская, 10а",,15/03/16,59-97-84,,,,
,,,,,"м-н  г. Саранск, ул. Коммунистическая, 62",,,89271725689,,,,
,,,,,"пав-он г. Саранск, пр. 70 лет Октября, 61/1",,,25-18-24,,,,
,,,,,"м-н г. Саранск, ул. Попова, 61",,,,,,,
,,,,,"магазин ""Продукты"", г. Саранск, ул. Республиканская, 24",,,,,,,
1,154,13 МЕ,"ООО ""Ника"" г. Саранск, ул. Гожувская, 41",1328904168,"п-н ""Кристалл"" г. Саранск, ул. Косарева-ул.Руза-я",3,30/05/11,56-84-70,,,Песков Геннадий Анатольевич,
,,001608,,1051328050531,"п-н ""Эллиос"" г. Саранск, ул. Косарева (ост.""ГТС"")",,30/05/14,89272740723,,,,
,,,,,"магазин ""Марка"", г. Саранск, ул. Гожувская, 41",,,,,,,
1,153,13 МЕ,"ООО ПКФ ""Технотон"" г. Саранск, ул. Крас-",1327149120,"рес-ран ""Парк Отель"" г. Саранск, ул. Красная, 4",1,30/05/11,23-28-80,,,Щербаков Анатолий Васильевич,
,,001607,"ная, 4",1021301069525,,,30/05/16,,,,Косова Юлия Николаевна,
1,150,13 МЕ,"ООО ""Эрай"" г. Саранск, ул. Больш-кая, 115а",1326196470,"м-н ""Продукты"" г. Саранск, ул. Миронова, 1а (п-н №35)",1,30/05/11,36-45-33,,,Максина галина Валентиновна,
,,001604,,1061326012021,,,30/05/13,89272764533,,,Мурадов Фартан ,
1,101,13 МЕ,"ООО ""КВС"" г. Саранск, ул. Пушкина, 76а",1327002061,"магазин ""Продукты"", г. Саранск, ул. Пушкина, 76а",1,27/04/12,75-15-20,,,Карпова Людмила Викторовна,
,,002028,,1061327008577,,,27/04/17,89272746577,,,Карпов Владимир Семенович,
1,32,13 МЕ,"ООО ""Авикон"", г.Саранск, ул. Войнова, 17а",1327043903,"м-н ""Золотая рыбка"", г.Саранск, ул. Войнова, 17а",1,15/03/07,73-46-44,,,,
,,000183,,,,,15/07/12,,,,,
1,88,13 МЕ,"ООО ""Сарторг"" г. Саранск, ул. 2-ая Пром-ая, 7",1327154410,"п-н ""Сарторг"" г. Саранск, ул. 2-ая Пром-ная, 7",2,16/04/12,29-42-76,,,Буренков Иван Иванович,
,,002015,,1021301064619,"м-н №2 г. Саранск, ул. 2-ая Промышленная, 7",,16/04/15,89093268307,Зам,,Торгаев Олег Иванович,
1,119,13 МЕ,"ООО ""Садко-С"" г. Саранск, Александровское ш.",1328199068,"м-н г. Саранск, ул. Студенческая, 10",2,15/05/12,29-37-97,,,Шилов Андрей Павлович,
,,002050,14,1031320001415,"магазин, г. Саранск, ул. Косарева, 41, корп. 1",,15/05/14,89176930000,,,,
,,,Всего - 12,,"ресторан с. Б.Березники, ул. Кооперативная, 53",,,3-37-51,,,,
,,,,,"зак-ная с. Б.Березники, ул. Кооперативная, 53",,,,,,,
,,,,,"м-н с. Б.Березники, ул. Кооперативная, 53",,,2-16-22,,,,
,,,,,"м-н ""Черемушки"" с. Б.Березники, ул. Казанская, 62",,,,,,,
,,,,,"м-н ""Кировский"" с. Б.Березники, ул. Победы",,,,,,,
,,,,,"м-н с. Починки, ул. Октябрьская, 2, Б.Березниковский",,,,,,,
,,,,,"м-н с. Пермиси, ул. Республиканская, 1, Б.Березник",,,,,,,
,,,,,"м-н с. Косогоры, ул. Ленина, 86, Б.Березниковский",,,,,,,
,,,,,"м-н ""Восточный"" п. Комсомольский, ул. Республиканская, скл. №5",,,,,,,
,,,,,"м-н ""Искра"" п. Комсомольский (рын.""Рождествен"")",,,,,,,
1,99,13 МЕ,"ГУП РМ ""Развитие села"" г. Саранск,",1300000807,"м-н ""Нива-18"", г.Саранск, ул.Энгельса, 11а",6,27/04/12,47-44-50,,,Киркин Петр Иванович,
,,002026,"ул. Московская, 1",1021300971614,"ф-л м-на ""Нива-18"" г. Саранск, ул.Комарова, 10",,23/12/16,89271730522,,,,
,,,44 (всего),,"кафе ""Нива"", г.Саранск, ул. Васенко,1",,,25-48-58,,,Надежда Александровна (база),
,,,,,"м-н ""Нива-37 г. Саранск, бул. Эрьзи, 19",,,32-73-02,,,Исайкин Виктор Яковлевич,
,,,,,"зак-ная ""Нива"" г. Саранск, ул. Васенко, 1",,,32-72-72,,,Крупнова Галина Алексеевна,
,,,,,"пав-он торговой базы, г. Саранск, п. Ялга, Южная промзона",,,,,,,
,,,,,"м-н ""Нива-1"", п.Атяшево, ул.Центральная, 18",,,,,,,
,,,,,"м-н ""Нива-2"", г.Ардатов, Мик. 1-42",,,,,,,
,,,,,"м-н ""Нива-3"", п.З.Поляна, ул. Пролетарская, 8",,,,,,,
,,,,,"м-н ""Нива-26"", п.Явас.ул.Тактаева, 9, З. Полянский",,,,,,,
,,,,,"м-н ""Нива-34"", п. Сосновка, ул. Центральная, 10, З.Полянский район",,,,,,,
,,,,,"м-н ""Нива-32"", п. Молочница, ул. Центральная, 1, З.Полянский район",,,,,,,
,,,,,"м-н ""Нива-31"", п. Ударный, ул. Центральная, 3, З.Полянский район",,,,,,,
,,,,,"м-н ""Нива-33"", п. Леплей,ул. Советская, 9",,,,,,,
,,,,,"кафе ""Нива"" п. Явас, ул. Косарева, 17, З.Полянский район",,,,,,,
,,,,,"м-н ""Продтовары"", п. Явас, ул. Косарева, 17, з. Полянский район",,,,,,,
,,,,,"м-н ""Нива-42"" п. Явас, ул. Держинского, 46а, З.Полянский район",,,,,,,
,,,,,"м-н ""Нива-28"" с. Ст.Синдрово, ул. Ленина, 64, Краснослободский район",,,,,,,
,,,,,"м-н ""Нива-35"" с. Н.Усад, ул. Андреевка, 49, Краснослободский район",,,,,,,
,,,,,"м-н ""Нива-21"" г. Краснослободск, ул. Интернац., 92",,,,,,,
,,,,,"м-н ""Нива-41"" с. Ст. Рябка, ул. Молодежная, 32, Краснослободский район",,,,,,,
,,,,,"м-н ""Нива-14"" г. Краснослободск, ул. Кирова, 61а",,,,,,,
,,,,,"м-н ""Нива-11"" с. Кочкурово, ул. Школьная, 31",,,,,,,
,,,,,"м-н  ""Нива-8"", с.Дубенки, ул. Центральная, 8",,,,,,,
,,,,,"м-н ""Нива-20"" г. Рузаевка, ул.Титова, 3",,,32-74-02,,,,
,,,,,"м-н ""Нива-39"", Ст.Шайговский район, с. Вертилим, ул. Базарная, 1",,,,,,,
,,,,,"м-н ""Нива-29"" с. Мельцаны, ул. Ремесленная -1, 2, Старошайговский район",,,,,,,
,,,,,"м-н ""Нива-22"" с. Ст.Шайгово, ул. Ленина, 7а",,,,,,,
,,,,,"кафе с. Ст. Шайгово, ул. Рабочая, 11",,,,,,,
,,,,,"бар с. Ст. Шайгово, ул. Рабочая, 11",,,,,,,
,,,,,"м-н ""Нива-5"", г. Инсар, ул. Коммунистическая, 62",,,,,,,
,,,,,"м-н ""Нива-24"" п. Кадошкино, ул. Болдина, 1",,,,,,,
,,,,,"м-н ""Нива-19"", с. Ельники, пл. 1 Мая. 6а",,,,,,,
,,,,,"м-н""Нива-12"", с.Атюрьево, ул.Ленина,2а",,,,,,,
,,,,,"кафе, с. Атюрьево, ул. Ленина, 2а",,,,,,,
,,,,,"м-н ""Нива-25/1"" г. Ковылкино, ул.Заводская, 1а",,,,,,,
,,,,,"м-н ""Нива-27"" с. Кочелаево, ул. Цен-ая, 20, Ковылкинский район",,,,,,,
,,,,,"м-н ""Нива-25/2"" г. Ковылкино, ул. Советская, 7",,,,,,,
,,,,,"м-н ""Нива-13"" г.Темников, ул. Ленина, 51а",,,,,,,
,,,,,"м-н ""Нива-23"" с.Теньгушево, ул. Ленина, 61",,,,,,,
,,,,,"м-н ""Нива-4"", п. Кемля, ул. Тимерязева, 21",,,,,,,
,,,,,"м-н ""Нива-10"" п. Чамзинка, микр.,  6-4",,,,,,,
,,,,,"м-н ""Нива-15"", с.Торбеево, ул. Интернациональная,15",,,,,,,
,,,,,"м-н ""Нива-9"", с.Б.Березники,мкр. 10а",,,,,,,
1,122,13 МЕ,"ООО ""СтройЭконом"" г. Саранск, ул. ",1328200500,"м-н ""Продукты"" г. Саранск, ул. Терешковой, 68",2,15/05/12,30-09-21,,,Сильвестров Сергей Геннадьевич,
,,000003,"Осипенко, 8 ",1041320000028,"м-н ""Продукты"" г. Рузаевка, ул. Ленина, 39",,15/05/13,73-10-46,,,Воржейкина Людмила Александровна,
,,,,,"магазин ""Гурман"", г. Саранск, ул. Эркая, 8 а",,,,,,,
1,111,13 МЕ,"ООО ""БиК"" п. Чамзинка, ул. Терешковой, 18-13",13221220858,"м-н № 1 г. Саранск, ул. Сущинского, 4, корп.1",2,29/05/09,2-14-02,,,Баринова Наталья Александровна,
,,000859,,,"м-н № 2 г. Саранск, ул. С.Разина, 48",,29/05/14,89276439293,,,,
1,81,13 МЕ,"ООО ""Березка"" г. Саранск, ул. Ярославская, 11а",1328905228,"м-н ""Березка"" г. Саранск, ул. Ярославская, 11а",1,16/04/12,25-11-76,,,Першина Тамара Алексеевна,
,,002008,,1061328008983,,,16/04/17,89279785995,,,,
1,56,13 МЕ,"ООО""Юнимос"",г.Саранск,ул.Рабочая, 95а",1326140630,"м-н ""ГородОк"" г. Саранск, пр. 60 лет Октября, 83",5,30/03/12,47-82-45,пр.22.02.08,,Тюрякова Лидия Генадьевна,
,,001983,,1021300974672,"м-н ""ГородОк"" г. Саранск, ул. Гагарина, 99а",,16/05/16,,в.17.03.08,,Егоров Владимир Александрович,
,,,,,"м-н ""Продукты"" г. Саранск, ул. Попова, 41",,,24-63-55,,,Наталья,
,,,,,"м-н ""Продукты"" г. Саранск, ул. Вакеева, 5",,,,,,,
,,,,,"м-н ""ГородОк"" г. Саранск, пр. 60 лет Октября, 131",,,55-81-99,,,Мария Михайловна,
1,149,13 МЕ,"ООО ""Олеандр"" г. Саранск, ул. Энгельса, 3а",1326186722,"м-н ""Любава"" г. Саранск, ул. Энгельса, 3а",1,30/05/11,35-50-15,,,Скопинова Елена Васильевна,
,,001603,,1061326012340,,,30/05/16,,,,,
1,133,13 РМ,"ООО ""Галактика"" г. Саранск, ул. Коваленко, 7а",1327002199,"м-н ""Галактика"" г. Саранск, ул. Коваленко, 7а",1,29/05/12,75-17-19,пр.31.01.08,,Подмарева Ольга Александровна,
,,000015,,1061327008973,,,29/05/15,72-63-98,в.7.02.08,,,
1,104,13 МЕ,"ООО ""Бадамшина"" г. Саранск, с. Горяйновка,",1328904425,"м-н г. Саранск, с. Горяйновка, ул. Орлова, 15",2,27/04/12,89603307508,,,Бадамшина Равиля Фатиховна,
,,002031,"ул. Орлова, 15",1051328053150,"магазин ""Продукты"", с. Берсеневка, ул. Советская, 61а, Лямбирский район",,27/04/13,,,,,
1,158,13 РМ,"ООО ""Красный квадрат"" г. Саранск, ул.",1326197192,"ресторан ""Таки-Маки"", г. Саранск, ул. Полежаева, 49",1,15/06/12,47-00-87,,,Яшков Александр Викторович,
,,000036,"Полежаева, 49",1061326020810,,,15/06/13,47-00-11,,,Абросимов Сергей Александрович,
1,46,13 МЕ,"ООО ""Мир бизнеса"" г. Саранск, ул. Титова, 25",1326185623,"м-н г. Саранск, ул. Васенко, 12",4,15/03/12,47-30-75,,,Бершак Михаил Валентинович,
,,001972,,1021300972934,"м-н г. Саранск, ул. Заводская, 1",,31/01/16,30-00-59,,,,
,,,,,"м-н г. Саранск, ул. Московская, 42",,,48-13-14,,,,
,,,,,"м-н г. Саранск, ул. Титова, 25",,,48-09-18,адм,,Рябова Нина Ивановна,
1,20,13 МЕ,"ООО ""Дионис Клуб С"", г.Саранск, ул.Пролетарс-",1326186722,"м-н г. Саранск, ул. Рабочая, 89",1,28/01/10,47-63-79,,,Яворский Олег Николаевич,
,,001126,"кая, 130 ",,,,28/01/13,23-16-44,,,,
1,84,13 МЕ,"ООО ""Чайка"", г.Саранск, пр.50 лет Октября.1",1326032916,"м-н ""Феникс"", г. Саранск, пр. 50 лет Октября, 36",4,16/04/12,35-51-13,Пр. 3.05.07,,Шнякин Александр Александрович,
,,002011,,1021300976597,"м-н ""Чайка"" г. Саранск, пр. 50 лет Октября, 1",,12/02/13,32-59-55,В.,,,
,,,,,"бар ""Феникс"", г. Саранск, пр. 50 лет Октября, 36",,,30-41-51,,,,
,,,,,"бар ""Чайка"" г. Саранск, пр.50 лет Октября, 1",,,,,,,
1,223,13 МЕ,"ООО ""Торнадо"",г.Саранск, ул.Лесная, 2а",1326176153,"м-н ""Суперпродукты"" г.Саранск, ул.Хмельницкогого, 33",,15/10/10,47-00-05,,,Никитченко Игорь Викторович,
,,001358,,1021300981020,"м-н ""На лесной"", г.Саранск, ул.Лесная, 2а",,15/10/13,29-31-92,,,Балушев Сергей Павлович,
,,,,,"м-н ""Стрела"" г. Саранск, ул. Ботевградская, 80",,,89648537591,,,,
,,,,,"м-н ""Маяк"" г. Саранск, ул. Расковой, 30а",,,,,,,
1,135,13 РМ,"ОАО ""Электровыпрямитель"" г. Саранск,",1325013893,"столовая площадка №2,ул.Васенко, 30",2,29/05/12,24-38-49,,,Тишкина Дарья Макаровна,
,,000017,"ул. Пролетарская, 126",1021301064950,"столовая площадка №3, Александровское ш. 20",,29/05/13,29-68-25,,,Барсукова Светлана Валерьевна,
1,185,13 МЕ,"ООО ""Тройка"" г. Саранск, ул. Веселовского,",1327001702,"зак-ная ""Тройка"" г. Саранск, ул. Веселовского, 59, 10",3,15/06/11,36-53-95,пр.4.10.07,,Ситишкина Наталья Петровна,
,,001641,"59, к-с 10 ",1061327007950,"пав-он ""Дюна"" г. Саранск, ул. Семашко, 22, стр. 1",,15/06/14,30-81-65,в.23.10.07,,,
,,,,,"м-н ""Колесница"" г. Саранск, ул. Солнечная, 7, корп. 1",,,,,,,
1,153,13 РМ,"ООО ""Смак-К"" г. Саранск, ул. Прудная, 7",1328904866,"м-н г. Саранск, ул. Пушкина, 3, корп. 2",1,15/06/12,72-33-39,,,Конакова Елена Анатольевна,
,,000046,,1061328002273,,,16/06/13,25-19-14,,,Татьяна Алексеевна,
1,195,13 РМ,"ООО ""Каисса-К"" г.Саранск, пр. Ленина, 47,",1326036893," магазин г. Саранск, пр. Ленина, 47",2,29/06/12,24-35-51,,,Киреева Светлана Николаевна,
,,000086,,1071326002868,"магазин, г. Саранск, ул. Гагарина, 30а",,29/06/17,,,,Кондратьева Светлана Николаевна,
1,218,13 МЕ,"ООО ТД ""Мечта"" г. Саранск, ул. Ухтомского, 47",1328904312,"м-н ""Атяшевский"" г. Саранск, ул. Косарева (рын.""Зареч"")",4,30/06/11,25-14-24,,,Николаева Светлана Александровна,
,,001679,,1051328051730,"м-н ""Мечта"" г. Саранск, ул. Ярославская, 19",,30/05/16,55-46-55,,,,
,,,,,"пав-он №1 г. Саранск, ул. Косарева (рынок ""Зареч""",,,,,,,
,,,,,"пав-он №11 г. Саранск, ул. Косарева, 50 (рынок)",,,,,,,
,,,,,"магазин ""Продукты"", с. Н.Пырма, ул. Молодежная, Кочкуровский район",,,,,,,
1,163,13 РМ,"ООО ""ПРФ"" г. Саранск, ул. Северная, 3",1328905362,"м-н ""Вина Кубани"" г. Саранск, ул. Толстого, 55",3,15/06/12,55-75-24,,,Пакаев Руслан Федорович,
,,000041,,1061328009126,"м-н ""Вина Кубани"" г. Саранск, пр. 70 лет Октября, 90",,15/06/15,,,,,
,,,,,"магазин ""Вина Кубани"", г. Саранск, ул. Коваленко, 33",,,,,,,
