41180,28-Sep-12,,,,,,,,,,,,,
Орг_Прав_Форма,Краткое Наименование,ИНН,Код_ОКПО,Город,Улица,ГородФ,УлицаФ,Поле86,Номер лиценз,Серия бланка,Бланк,Начало действ лицензии,Конец действия лицензии,Конец Срока Продления
Потребительское общество,"ПО ""Парбигское""",7003002802,49398333,Бакчарский район,"с. Парбиг, ул. Советская, 86",Бакчарский район,,ТОМ,004964АЛ00,70МЕ,462,12/19/2007,12/19/2012,
Общество с ограниченной ответственностью,"ООО ""Экстра-М""",7017058971,58915460,г. Томск,"ул.Герцена, 68, стр.2",Бакчарский район,"636200, с. Бакчар, пер. Трактовый, 26",ТОМ,005468АЛ05,70МЕ,2048,12/1/2011,9/30/2014,
Общество с ограниченной ответственностью,"ООО ""ТОМТОРГ""",7003003605,,Бакчарский район,"с.Парбиг, ул. Кооперативная, 38",Бакчарский район,,ТОМ,005573АЛ00,70МЕ,2182,3/5/2012,3/5/2013,
Общество с ограниченной ответственностью,"ООО ""ШИНаС""",7017188219,,г. Томск,"ул. Шпальная, 1",Бакчарский район,"с. Бакчар, пер. Трактовый, 2/1 (магазин)",ТОМ,005820АЛ29,70МЕ,2487,9/26/2012,9/26/2017,
Общество с ограниченной ответственностью,"ООО ""ШИНа""",7017146829,,г.Северск,"ул. Солнечная, 23, кв. 137",Бакчарский район,"с. Высокий Яр, ул. Центраьная, 73 (магазин)",ТОМ,005799АЛ03,70МЕ,2450,8/21/2012,8/21/2017,
Общество с ограниченной ответственностью,"ООО ""Стрелец""",7004006246,,Верхнекетский район,"п. Белый Яр, ул. Котовского, 39",Бакчарский район,"п. Белый Яр, ул. Котовского, 39",ТОМ,004965АЛ01,70МЕ,463,12/19/2007,12/19/2012,
Общество с ограниченной ответственностью,"ООО"" Империя""",7003004180,,Бакчарский район,"д. Богатыревка, ул. Ленина,д.16",Бакчарский район,,ТОМ,005032АЛ00,70МЕ,1081,5/15/2008,5/15/2013,
Потребительское общество,Бакчарское потребительское общество,7003002739,,Бакчарский район,"с. Бакчар, ул. Ленина, 57",Бакчарский район,,ТОМ,005040АЛ00,70МЕ,1091,5/28/2008,5/28/2013,
Общество с ограниченной ответственностью,"ООО ""К-плюс2""",7017225380,,г. Томск,"г. Томск, ул. Мокрушина, д. 24, кв. 116",Бакчарский район,138 километр автодороги Каргала-Бакчар 5,ТОМ,005106АЛ03,70МЕ,1215,7/27/2012,11/10/2013,
Общество с ограниченной ответственностью,"ООО""Надежда""",7003004140,,Бакчарский район,"с. Вавиловка, ул. Центральная,9",Бакчарский район,,ТОМ,005140АЛ00,70МЕ,1295,12/24/2008,12/24/2013,
Общество с ограниченной ответственностью,"ООО""Южанка""",7017229112,,Томск,"ул. Энергетическая, 2""а""",Бакчарский район,"636200 с. Бакчар, пер. Трактовый, 14",ТОМ,005143АЛ01,70МЕ,2077,10/26/2011,12/25/2013,
Общество с ограниченной ответственностью,"ООО ""АлЕко""",7017231305,,г. Томск,"Иркутский тракт, д. 17, кв. 256",Бакчарский район,"с. Бакчар, ул. Хомутского, 54",ТОМ,005169АЛ13,70МЕ,1334,3/20/2012,2/2/2014,
Общество с ограниченной ответственностью,"ООО ""Гранд-Алко""",7017234144,,г. Томск,"ул. Красноармейская, 118/1, кв. 5",Бакчарский район,"с. Бакчар, пер. Трактовый, 24",ТОМ,005184АЛ10,70МЕ,1857,6/8/2011,3/18/2014,
