"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО ""Боханский район""",,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,
,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями)
9,ООО «Исток-Бохан» ИНН 8503006123,МИНФНС России №7 по Иркутской области и УОБАО,А195002 № 14 от 15.06.2011 до 15.06.2012,"1. магазин «Исток» - п. Бохан, ул. Лесная,3; 2. магазин «Исток» - с. Тараса, ул. Осодоевой,1; 3. магазин «Исток» - с. Новая-Ида, ул. Центральная,4;  4. магазин «Исток» - с. Оса, ул. Чапаева,1.",,,15.06.2012г.,,
10,ООО «Светлана» ИНН 8503006162,МИНФНС России №7 по Иркутской области и УОБАО,А195004 № 15 от 15.06.2011 до 15.06.2012,"1. магазин «Светлана» - с. Олонки, ул. Руслана Хомколова, 26.",,,15.06.2012г.,,
11,ООО   «Ирина» ИНН 8503006564,МИНФНС России №7 по Иркутской области и УОБАО,032-РАП 29.06.07 по 29.06.2012,"1. магазин «Для Вас» - д. Петрограновка, ул. Лесная.",,,29.06.2012г.,,
12,ООО «Лада» ИНН  8503006331,МИНФНС России №7 по Иркутской области и УОБАО,"А195019, рег. № 1 от 24.01.2012г. до 07.06.2012г.","1. магазин «Лада» - с. Новая-Ида, ул. Центральная 3 «а»; 2. магазин ""Лада"" - с.Новая Ида, ул. Центральная, 3""б"".",,,07.06.2012г.,,
13,ООО «Эдельвейс» ИНН 8503006733,МИНФНС России №7 по Иркутской области и УОБАО,043-РАП 04.12.2007 по 04.12.2012,"1. магазин «Эдельвейс» - д. Казачье, ул. Мира 1Б-2.",,,,,
14,ООО «Феникс» ИНН 8503005659,МИНФНС России №7 по Иркутской области и УОБАО,Д 518668 №8 11.11.2008 11.11.2013,"1. магазин «Феникс» - п. Бохан, ул. Ленина,55; 2. магазин «Феникс» - с. Хохорск, ул. Ленина,47; 3. магазин «Феникс» с. Тараса, мик. Юбилейный; 4. Кафе «Феникс» - п. Бохан, ул. Ленина,55.",,,,,
15,ООО «Байкал» ИНН 8503005673,МИНФНС России №7 по Иркутской области и УОБАО,Д 518675 № 6 13.04.2009 по 23.12.2013.,"1. магазин «Одон» - п. Бохан, ул. Ленина,29; 2. магазин «Байкал» - п. Бохан, ул. Калинина,21; 3. магазин «Ландыш» - п. Бохан, ул. Ленина,18 4. магазин «Байкал» - п. Бохан, ул. Циолковского, 1-2; 5. магазин «Байкал» - п. Бохан, ул. Ленина,49.",,,,,
16,ООО «Фирма Колос» ИНН 8503002584,МИНФНС России №7 по Иркутской области и УОБАО,Д518694 №3 15.07.2008 по 15.07.2013,"1. магазин № 1 - с. Казачье, ул. Школьная; 2. магазин № 3 - с. Казачье, ул. Мира,78; 3. магазин № 7 - с. Казачье, ул. Лесная,7; 4. магазин № 8 - д. Мутиново; 5. магазин № 5 - с. Середкино, ул. Быкова, 1; 6. магазин № 6 - с. Середкино ул. Ленина,25; 7. закусочная - с. Середкино.",,,,,
17,ООО «Нива» ИНН 8503005747,МИНФНС России №7 по Иркутской области и УОБАО,"А195026, рег. № 8 от 11.03.2012г. до 29.12.2013г.","1. магазин «Нива» - с. Тихоновка, ул. Ленина,11; 2. магазин «Нива» - с. Вершина, ул. Советская,15; 3. магазин «Нива» - д. Нашата; 4. магазин ""Нива"" - Боханский район, с.Тихоновка, мкр.Тальяны,21.",,,,,
18,Олонское сельское потребительское общество ИНН 8503001132,МИНФНС России №7 по Иркутской области и УОБАО,046-РАП 19.12.2007 по 19.12.2012,"1. магазин ТПС № 1 - с. Олонки, ул. Красноармейская; 2. магазин ТПС №3 - с. Олонки, ул. Р. Хомколова; 3. магазин №4 - с. Олонки, ул. Гагарина; 4. магазин ТПС №11 – с. Олонки, ул.40 лет Победы; 5. магазин ТПС - с. Захаровкая; 6. магазин ТПС -  с. Грехневка; 7. магазин №8 – с. Александровск, ул. Ленина; 8. магазин №9 – с. Александровск, ул. Дзержинского; 9. магазин № 10 - с. Воробьевка; 10. столовая - с. Олонки, ул. Красноармейская.",,,,,
19,Боханское потребительское общество ИНН 8503001340,МИНФНС России №7 по Иркутской области и УОБАО,А195005 № 17 от 27.06.11 до 27.06.12 ,"1. магазин «Мясопродукты - п. Бохан; 2. магазин «Торговые ряды» - п. Бохан; 3. магазин «СХТ» - п. Бохан»;  4. магазин ТПС - с. Тараса; 5. магазин ТПС - д. Алендарь; 6. магазин ТПС - с. Новая-Ида; 7. магазин ТПС - с. Август; 8. магазин ТПС - д. Хандагай;  9. магазин ТПС - д. Скороход; 10. магазин ТПС - д. Булык; 11. магазин ТПС - д. Шунта; 12. магазин ТПС - с. Хохорск; 13.  магазин ТПС - д. Воскресенка; 14. магазин ТПС - д. Заглик; 15. магазин № 3 - п. Бохан; 16. магазин ТПС - д. Русиновка; 17. кафе «Наран» - п. Бохан ул. Ленина; 18. закусочная «Торговые ряды» - п. Бохан, ул. Ленина; 19. закусочная - с. Тараса.",,,27.06.2012г.,,
