                  Государственный реестр выданных лицензий  за февраль 2011г. по Хабаровскому краю,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
№ пп,Организация - заявитель ,,,,, Объект,Место осуществления деятельности                                           ,Общая площадь,Арендуемая площадь,"Площадь торг зала, кол-во посадочных мест ",Время работы объекта,Примечание,Номер и срок действия лицензии,
,ОПФ,нименование организации,юридический адрес,"ИНН, КПП, ОГРН","Вид деятельности, заявленный срок в годах",,,,,,,,,
г. Хабаровск,,,,,,,,,,,,,,
62,ООО,"""Рубин""","г.Николаевск-на-Амуре, ул.Флотская д.25, 114, тел. 2-77-55",2705093840/270501001/1102705000683,розничная продажа алкогольной продукции 1 год,отдел в магазине,"с.Нижнее Пронге, ул. Центральная  д.68",50,50,25,9-18,впервые,ХБ 002637 № 2305 15.02.2011 - 15.02.2012,
район имени Полины Осипенко,,,,,,,,,,,,,,
63,ООО,"Туристическая фирма ""Пять звёзд""","г.Хабаровск, ул.Суворова д.8, тел. 53-88-33",2723065170/272301001/1042700222839,"розничная продажа алкогольной продукции, розничная продажа алкогольной продукции в розлив 5 лет",кафе,"с.им. П.Осипенко, ул.Будрина д.5",127,127,40,круглосуточно,продление,ХБ 002365 № 70 15.02.2011 - 15.02.2016,
,,,,,,магазин,"с.им. П. Осипенко, ул.Будрина д.5",68.6,68.6,34.3,круглосуточно,,,
Советско-Гаванский район,,,,,,,,,,,,,,
64,ООО,"""Дракон"""," г.Советская Гавань, ул.Гончарова д.8, 55, тел. 92-5-46",2704016586/270401001/1032700102973,розничная продажа алкогольной продукции в розлив 5 лет,закусочная,"г.Советская Гавань, ул.Гончарова д.1",1129.7,1129.7,50,11-02,продление,ХБ 002626 № 47 15.02.2011 - 15.02.2016,
65,ООО,"""Квартал""","г.Советская Гавань, ул.Севастопольская д.7а, тел. 6-02-80",2704018174/270401001/1062709000914,розничная продажа алкогольной продукции 5 лет,магазин,"г.Советская Гавань, ул.Севастопольская д.7а",65.2,65.2,28.6,круглосуточно,продление,ХБ 002611 № 43 15.02.2011 - 15.02.2016,
,,,,,,магазин,"г.Советская Гавань, ул.Севастопольская д.7",60.9,60.9,17.3,круглосуточно,,,
,,,,,,павильон,"г.Советская Гавань, ул.Севастопольская д.7",50.6,50.6,16.1,9-21,,,
66,ООО,"""Ерофей""","г.Хабаровск, пер.Отрадный д.3А, тел. 31-23-10",2723112310/272301001/1082723009324,розничная продажа алкогольной продукции 5 лет,магазин,"г.Советская Гавань, ул.Киевская д.11",65,65,34.9,8-22,доп. объект,ХБ 002089 № 1980 12.05.2009 - 12.05.2014,
67,ООО,"""Кожухова""","р.п.Майский, ул.Амурская д.1, тел. 91-281",2704017090/270401001/1102709000591,розничная продажа алкогольной продукции 1 год,магазин," р.п.Майский, ул.Амурская д.1",25,25,20,9-18,впервые,ХБ 002643 № 2303 15.02.2011 - 15.02.2012,
68,ООО,"""Кристи""","р.п.Заветы Ильича, ул.Арсеньева д.4, 3, тел. 8-914-188-68-16",2704018135/270401001/1062709000782,розничная продажа алкогольной продукции 2 года,магазин," р.п.Заветы Ильича, ул.Порт-Артурская д.10",72.5,72.5,30,7-23,продление,ХБ 002641 № 54 15.02.2011 - 15.02.2013,
,,,,,,магазин,"р.п.Заветы Ильича, ул.Арсеньева д.46",75,75,33,7-23,,,
Солнечный район,,,,,,,,,,,,,,
69,ООО,"""Парадис""","г.Комсомольск-на-Амуре, ш.Комсомольское д.7а, тел. 8-962-286-20-04",2703015935/270301001/1022700526881,розничная продажа алкогольной продукции 1 год,магазин,"р.п.Солнечный, ул.Строителей д.31",60,60,60,9-20,продление,ХБ 002303 № 2131 15.02.2011 - 15.02.2012,
70,ООО,"""Продовольственная компания МАГ""","г.Комсомольск-на-Амуре, ул.Вокзальная д.16-1-3, тел. 54-79-40",2703023823/270301001/1032700043001,розничная продажа алкогольной продукции 2 года,магазин,"р.п.Солнечный, ул.Ленина д.22, 10",125.3,125.3,48.4,9-21,впервые,ХБ 002635 № 2304 15.02.2011 - 15.02.2013,
Ульчский район,,,,,,,,,,,,,,
71,ООО,"Туристическая фирма ""Пять звёзд""","г.Хабаровск, ул.Суворова д.8, тел. 53-88-33",2723065170/272301001/1042700222839,"розничная продажа алкогольной продукции, розничная продажа алкогольной продукции в розлив 5 лет",кафе,"с.Богородское, ул.Набережная д.15","245,2",,21,круглосуточно,продление,ХБ 002365 № 70 15.02.2011 - 15.02.2016,
Хабаровский район,,,,,,,,,,,,,,
72,ООО,"""Анна""","с.Некрасовка, ул.Бойко-Павлова д.6А, тел. 549-597",2720031454/272001001/1062720000177,розничная продажа алкогольной продукции 1 год,отдел в магазине,"с.Некрасовка, ул.Бойко-Павлова д.6А",25,25,15,7-23,продление,ХБ 001209 № 45 15.02.2011 - 15.02.2012,
73,ООО,"""Пари"""," с.Галкино, ул.Мира, 26-5, тел. 28-02-43",2722051270/272001001/1052740545377,розничная продажа алкогольной продукции 5 лет,магазин," с.Галкино, ул.Мира д.9а",86.8,86.6,46.5,8.30-21,продление,ХБ 002608 № 55 15.02.2011 - 15.02.2016,
,,,,,,павильон,"с.Галкино, ул.Мира д.22",36,36,24,8-23,,,
74,ООО,"""СтаЭко""","г.Хабаровск, ул.Дзержинского д.68, 39, тел. 56-42-83",2722086402/272201001/1092722004209,розничная продажа алкогольной продукции 1 год,магазин,"п.с.т.Корфовский, ул.Чапаева д.10а",73,73,45.4,8-21,впервые,ХБ 002624 № 2300 15.02.2011 - 15.02.2012,
75,ООО,"""Тамара""","с.Черная Речка, ул.19 км д.1, 21, тел. 622-154",2720031479/272001001/1062720000353,розничная продажа алкогольной продукции 2 года,магазин," с.Черная Речка, ул.19 км д.7",67.2,67.2,20.2,9-18,продление,ХБ 002622 № 44 15.02.2011 - 15.02.2013,
76,ООО,"""Виверра""","городок Хабаровск-43, ул. Интернациональная д.8, тел. 56-27-28",2722019156/272001001/1022700860159,"розничная продажа алкогольной продукции, розничная продажа алкогольной продукции в розлив 1 год",кафе,"городок Хабаровск-43, ул. Интернациональная д.8",189.4,189.4,70,17-01,продление,ХБ 002653 № 73 15.02.2011 - 15.02.2012,
,,,,,,магазин,"городок Хабаровск-43, ул. Интернациональная д.8",219.3,219.3,141,9-23,,,
77,ООО,"""Фрегат""","с.Восточное, ул.Осенняя д.1, тел. 49-79-46",2720030740/272001001/1052701040545,розничная продажа алкогольной продукции 1 год,магазин,"с.Восточное, ул.Советская д.6",127,127,38,8-23,продление,ХБ 002636 № 87 15.02.2011 - 15.02.2012,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
