                  Государственный реестр выданных лицензий  за февраль 2011г. по Хабаровскому краю,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
№ пп,Организация - заявитель ,,,,, Объект,Место осуществления деятельности                                           ,Общая площадь,Арендуемая площадь,"Площадь торг зала, кол-во посадочных мест ",Время работы объекта,Примечание,Номер и срок действия лицензии,
,ОПФ,нименование организации,юридический адрес,"ИНН, КПП, ОГРН","Вид деятельности, заявленный срок в годах",,,,,,,,,
г. Хабаровск,,,,,,,,,,,,,,
8,ООО,"""Камрань""","г.Хабаровск, ул.П.Комарова д.12, тел. 70-40-25",2724035643/272101001/1022700912937,розничная продажа алкогольной продукции 1 год,магазин,"г.Хабаровск, ул. П.Комарова д.12",86.8,86.8,60.7,8-22,продление,ХБ 002627 № 13 15.02.2011 - 15.02.2012,
9,ООО,"""Карита""","г.Хабаровск, ул.Павловича д.38, тел. 21-83-46",2721073337/272101001/1022700929514,розничная продажа алкогольной продукции 1 год,магазин,"г.Хабаровск, ул.Павловича д.38",287.5,287.5,126.6,круглосуточно,продление,ХБ 002621 № 4 15.02.2011 - 15.02.2012,
10,ООО,"""Ладыгина""","г.Хабаровск, ул.Руднева д.13, тел. 42-97-27",2725051895/272501001/1062722001341,розничная продажа алкогольной продукции 3 года,магазин,"г.Хабаровск, ул.Руднева д.13",87.5,87.5,53.6,8-23,продление,ХБ 002623 № 22 15.02.2011 - 15.02.2014,
11,ООО,"""ОлФи""","г.Хабаровск, ул.Краснореченская д.81, тел. 52-37-37",2723066769/272301001/1042700229483,розничная продажа алкогольной продукции 2 года,магазин," г.Хабаровск, ул.Суворова д.74",70.9,70.9,45.7,круглосуточно,продление,ХБ 002612 № 67 15.02.2011 - 15.02.2013,
,,,,,,магазин,"г.Хабаровск, ул.Краснореченская д.81",362.3,362.3,148.8,круглосуточно,,,
,,,,,,магазин,"г.Хабаровск, ул.Краснореченская д.65",78.1,78.1,55.7,круглосуточно,,,
12,ООО,"""Сайганова ТиС""","г.Хабаровск, б-р.Амурский д.51, тел. 61-78-57",2722050653/272201001/1052740540203,розничная продажа алкогольной продукции в розлив 1 год,закусочная,"г.Хабаровск, б-р.Амурский д.51",107,107,28,11-23,продление,ХБ 002616 № 28 15.02.2011 - 15.02.2012,
13,ООО,"""Саквояж"""," г.Хабаровск, ул.Комсомольская д.84, тел. 31-48-21",2721132617/272101001/1052701319417,розничная продажа алкогольной продукции в розлив 5 лет,кафе,"г.Хабаровск, ул.Комсомольская д.84",151.7,,43,12-01,продление,ХБ 002619 № 33 15.02.2011 - 15.02.2016,
,,,,,,кафе,"г.Хабаровск, ул.Шеронова д.10",179.3,179.3,40,12-01,,,
14,ООО,"""Спасовка""","г.Хабаровск, ул.Ленина д.75-225, тел. 38-26-88",2725026338/272101001/1022701409290,"розничная продажа алкогольной продукции, розничная продажа алкогольной продукции в розлив 5 лет",закусочная,"г.Хабаровск, ул.Аэродромная д.1",150,150,48,11-24,продление,ХБ 002625 № 120 15.02.2011 - 15.02.2016,
,,,,,,магазин,"г.Хабаровск, пр-кт.60 лет Октября д.124а",150,150,21.2,9-23,,,
,,,,,,магазин,"г.Хабаровск, ул.Аэродромная д.1",150,150,30,9-23,,,
15,ООО,"""Тижен""","г.Хабаровск, ул.Большая д.2А, тел. 691-691",2724090757/272401001/1062724001560,розничная продажа алкогольной продукции 5 лет,магазин,"г.Хабаровск, ул.Советская д.50",251,251,140,круглосуточно,продление,ХБ 001591 № 58 15.02.2011 - 15.02.2016,
,,,,,,магазин,"г.Хабаровск, ул.Большая д.2а",75,75,70,8-23,,,
,,,,,,магазин,"г.Хабаровск, ул.Кочнева",120,120,80,круглосуточно,,,
16,ООО,"""Торговый Дом ликеро-водочного завода ""Хабаровский""","г.Хабаровск, ул.Тургенева д.59, тел. 326-094",2721104391/272101001/1032700315812,розничная продажа алкогольной продукции 5 лет,отдел,"г.Хабаровск, ул.Суворова д.46",50,50,18,8-23,продление,ХБ 002085 № 57 15.02.2011 - 15.02.2016,
,,,,,,"отдел в магазине ""Ветеран"""," г.Хабаровск, ул.Молодежная д.21",50,50,10,9-21,,,
,,,,,,"отдел в магазине ""Ветеран""","г.Хабаровск, ул.Ворошилова д.28",50.3,50.3,9,8-21,,,
,,,,,,"отдел в павильоне ""Центральный рынок""","г.Хабаровск, ул.Льва Толстого д.19",50,50,11.5,8-19,,,
,,,,,,"отдел в ТК ""Индустриальный посёлок""","г.Хабаровск, ул.Панфиловцев д.14",50.6,,11.24,09-21,,,
,,,,,,отдел в ТЦ,"г.Хабаровск, ул.Ладожская д.25",51,51,8.5,9-21,,,
,,,,,,"отдел в ТЦ ""Маркон""","г.Хабаровск, ул.Кубяка д.7",20,20,14.5,9-21,,,
,,,,,,"отдел в ТЦ ""Наслаждение""","г.Хабаровск, ул.Ленина д.43",50.4,50.4,10.3,9-21,,,
,,,,,,"отдел в ТЦ ""Стрелка""","г.Хабаровск, ш.Матвеевское д.6",50,50,10,9-21,,,
,,,,,,"павильон в МТК ""68 школа""","г.Хабаровск, ул.Краснореченская д.177В","50,2",20.2,20.2,8-20,,,
,,,,,,отдел в ТЦ,"г. Хабаровск, ул. Воровского д.21","50,1","50,1",19,9-21,,,
,,,,,,отдел в ТЦ,"г. Хабаровск, Амурский б-р д.23","50,6","50,6","12,3",9-21,,,
,,,,,,отдел в ТЦ,"г. Хабаровск, ул. Тихоокеанская д.130",50,50,15,9-21,,,
,,,,,,"магазин ""Савва Водочников""","г. Хабаровск, ул. Малиновского д.38","101,5","101,5","83,5",9-21,,,
,,,,,,"отдел в магазине ""Ветеран""","г. Хабаровск, ул. Карла Маркса д.92","119,34","119,34",16,9-21,,,
,,,,,,"отдел в магазине ""Ветеран""","г. Хабаровск, ул. Руднева д.56","59,9","59,9",10,9-21,,,
17,ГУК,"""Хабаровский краевой театр драмы и комедии"""," г.Хабаровск, ул.Дзержинского д.44, тел. 30-69-79",2721001357/272101001/1032700301622,розничная продажа алкогольной продукции в розлив 1 год,кафе,"г.Хабаровск, ул.Дзержинского д.44",191,191,40,12-24,доп. объект,ХБ 002535 № 2255 16.11.2010 - 16.11.2011,
18,ОАО,"""Хабаровскнефтепродукт""","г.Хабаровск, ул.Мухина д.22, тел. 79-38-12",2700000105/272101001/1022700910704,розничная продажа алкогольной продукции 5 лет,магазин на АЗС № 10,"г.Хабаровск, ул.Карла Маркса, ул. Большая",102,,78,круглосуточно,продление,ХБ 002609 № 52 15.02.2011 - 15.02.2016,
,,,,,,магазин на АЗС № 12,"г.Хабаровск, ул.пр. Даниловского д.12а",58,,49,круглосуточно,,,
,,,,,,магазин на АЗС № 5,"г.Хабаровск, ш.Восточное д.52",72,,50,круглосуточно,,,
,,,,,,магазин при АЗК №1,"г.Хабаровск, ул.Шелеста, ул. Воронежская",228.6,,127,круглосуточно,,,
,,,,,,магазин при АЗС №1,"г.Хабаровск, ул.Тихоокеанская д.32",60.4,,30.6,круглосуточно,,,
,,,,,,магазин при АЗС №15,"г.Хабаровск, ул.Победы д.66",58,,31,круглосуточно,,,
,,,,,,магазин при АЗС №2,"г.Хабаровск, ул.Краснореченская д.231",61.6,,30,круглосуточно,,,
,,,,,,магазин при АЗС №4," г.Хабаровск, ул.Воронежская д.17",58.6,58.6,35,круглосуточно,,,
,,,,,,магазин при АЗС №42,"г.Хабаровск, ш.Матвеевское д.51",66,66,35,круглосуточно,,,
19,ООО,"""Южное""","г.Хабаровск, ул.Суворова д.28, тел. 54-51-58",2723073773/272301001/1052701551902,розничная продажа алкогольной продукции в розлив 2 года,закусочная,"г.Хабаровск, ул.Суворова д.28",118,118,30,9-19,продление,ХБ 002620 № 32 15.02.2011 - 15.02.2013,
20,ООО,"""Авеню""","г.Хабаровск, ул.Волочаевская д.124, тел. 64-48-48",2721179132/272101001/1102721006142,розничная продажа алкогольной продукции в розлив 1 год,кафе,"г.Хабаровск, ул.Волочаевская д.124",200.7,200.7,56,11-23,впервые,ХБ 002607 № 2296 15.02.2011 - 15.02.2012,
21,ООО,"""Амур-Партнер""","Хабаровский р-н., с.Восточное, ул.Клубная д.7-1, тел. 29-75-29",2720025002/272001001/1032700245643,розничная продажа алкогольной продукции 5 лет,павильон,"г.Хабаровск, ул.Покуса д.26-28",79.1,,48,8-24,продление,ХБ 002643 № 61 15.02.2011 - 15.02.2016,
,,,,,,павильон,"г.Хабаровск, пер.Батарейный д.9",52,,28.4,8-24,,,
22,ООО,"""Атланта""","г.Владивосток, ул. Спортивная д.8-1, тел. 30-90-48",2536154542/272445001/10525033038499,розничная продажа алкогольной продукции 1 год,магазин,"г.Хабаровск, ул.Костромская д.46а",86.3,86.3,46.1,8-23,впервые,ХБ 002644 № 2306 15.02.2011 - 15.02.2012,
23,ООО,"""Вера""","г.Хабаровск, ул.Гамарника д.15, 55, тел. 22-89-00",2721131902/272101001/1052701312454,розничная продажа алкогольной продукции 5 лет,магазин,"г.Хабаровск, ул.Гагарина д.1а",100,,50,8-23,продление,ХБ 0026942 № 83 15.02.2011 - 15.02.2016,
24,ООО,"""Дальтранстех"""," г.Хабаровск, ул.Карла Маркса д.60а, тел. 503-741",2721081850/272101001/1022700925334,розничная продажа алкогольной продукции 3 года,магазин,"г.Хабаровск, ул.Фурманова д.9а",150,,80,7-24,продление,ХБ 002640 № 2 15.02.2011 - 15.02.2014,
25,ООО,"""Карен""","г. Хабаровск, ул. Демьяна Бедного д.29в, тел. 72-84-84",2724087962/272401001/1052740615223,розничная продажа алкогольной продукции 1 год,магазин,"г.Хабаровск, ул.Демьяна Бедного д.29в",86.5,86.5,50,круглосуточно,продление,ХБ 002639 № 12 15.02.2011 - 15.02.2011,
26,ООО,"""Кофейня плюс""","г.Хабаровск, ул.Серышева д.22-45, тел. 45-00-08",2722073354/272201001/1082722004529,розничная продажа алкогольной продукции в розлив 1 год,закусочная,"г.Хабаровск, ул.Серышева д.22",58.1,58.1,48,9-24,впервые,ХБ 002649 № 2310 15.02.2011 - 15.02.2012,
27,ООО,"""Криста""","г.Хабаровск, ул.Фоломеева д.9, тел. 22-67-79",2722021437/272201001/1022701133718,розничная продажа алкогольной продукции 5 лет,магазин,"г.Хабаровск, ул.Известковая д.26",62.5,62.5,34.8,,продление,ХБ 002633 № 9 15.02.2011 - 15.02.2016,
,,,,,,магазин,"г.Хабаровск, ул.Фоломеева д.9",70.8,,37,8-23,,,
28,ООО,"""Крокус-центр""","г.Хабаровск, п.г.т.Берёзовка, ул.Юбилейная д.12, тел. 8-914-202-94-12",2725095772/272501001/1102722003779,розничная продажа алкогольной продукции 2 года,магазин,"г.Хабаровск, п.г.т.Берёзовка, ул.Юбилейная д.12",52,52,15,8-23,впервые,ХБ 002630 № 2301 15.02.2011 - 15.02.2013,
29,ООО,"""Магазин ""Прибрежный""","г.Хабаровск, пер.Инский д.5, тел. 60-17-12",2723005780/272301001/1022701195241,розничная продажа алкогольной продукции 1 год,павильон," г.Хабаровск, пер.Инский д.5",72,72,50,8-24,продление,ХБ 002434 № 104 15.02.2011 - 15.02.2012,
30,ООО,"""Партнер Плюс""","г.Хабаровск, ул.Знаменщикова д.12-47, тел. 56-67-77",2721142862/272101001/1062721098000,розничная продажа алкогольной продукции в розлив 1 год,кафе,"г.Хабаровск, ул.Красноармейская д.6",219.2,219.2,56,11-23,впервые,ХБ 002650 № 2311 15.02.2011 - 15.02.2012,
31,ООО,"""Раймаг""","г.Хабаровск, ул.Ульяновская д.113, тел. 61-08-28",2723073639/272301001/1052701550967,розничная продажа алкогольной продукции 5 лет,магазин,"г.Хабаровск, ул.Ульяновская д.113",62,62,30,8-23,продление,ХБ 002638 № 96 15.02.2011 - 15.02.2016,
32,ООО,"""Сабина""","г.Хабаровск, ул.Брестская д.11, тел. 8-924-205-36-35",2722098729/272201001/1102722006177,розничная продажа алкогольной продукции 3 года,павильон,"г.Хабаровск, ул.Брестская д.11",99.5,99.5,85,8-23,впервые,ХБ 002645 № 2307 15.02.2011 - 15.02.2014,
33,ООО,"""Солнышко""","г.Хабаровск, ул.Автобусная д.52а, тел. 59-01-92",2723126383/272301001/1102723001480,розничная продажа алкогольной продукции 1 год,павильон,"г.Хабаровск, ул.Краснореченская д.181а",66,,41.7,8-23,впервые,ХБ 002654 № 2312 15.02.2011 - 15.02.2012,
34,ООО,"""Тисом""","г.Хабаровск, ул.Монтажная д.41, тел. 8-914-194-12-87",2717014723/271701001/1032700456348,розничная продажа алкогольной продукции 3 года,магазин,"г.Хабаровск, ул.Индустриальная д.19б",56.6,56.6,36.6,8-20,продление,ХБ 002455 № 20 15.02.2011 - 15.02.2014,
35,ООО,"Туристическая фирма ""Пять звёзд""","г.Хабаровск, ул.Суворова д.8, тел. 53-88-33",2723065170/272301001/1042700222839,"розничная продажа алкогольной продукции, розничная продажа алкогольной продукции в розлив 5 лет",бар,"г.Хабаровск, ул.Суворова д.8",68,68,25,11-24,продление,ХБ 002365 № 70 15.02.2011 - 15.02.2016,
,,,,,,кафе,"г.Хабаровск, ш.Владивостокское д.42",100,100,50,11-02,,,
,,,,,,магазин,"г.Хабаровск, ш.Владивостокское д.42",54.8,54.8,20.4,круглосуточно,,,
36,ООО,"""Юнити""","г.Хабаровск, ул.Тихоокеанская д.170а, тел. 76-11-41",2725021964/272501001/1032700576215,розничная продажа алкогольной продукции 5 лет,павильон,"г.Хабаровск, ул.Трехгорная д.60",77.7,77.7,20,8-24,доп. объект,ХБ 000751 № 822 04.08.2006 - 04.08.2011,
37,ООО,"""Велмо""","г.Хабаровск, ул.Лазо д.3, тел. 69-13-00",2722030103/272401001/1022701133586,розничная продажа алкогольной продукции 1 год,магазин,"г.Хабаровск, ул.Деповская д.30а","84,5","84,5",41,8-24,продление,ХБ 002631 № 899 15.02.2011 - 15.02.2012,
,,,,,,магазин,"г.Хабаровск, Ленинградская д.31","67,1","67,1",33,8-24,,,
Бикинский район,,,,,,,,,,,,,,
38,ООО,"""Торговый Дом ликеро-водочного завода ""Хабаровский""","г.Хабаровск, ул.Тургенева д.59, тел. 326-094",2721104391/272101001/1032700315812,розничная продажа алкогольной продукции 5 лет,отдел в ТЦ ,"г.Бикин, пер.Советский д.3",50,50,12,9-20,продление,ХБ 002085 № 57 15.02.2011 - 15.02.2016,
Ванинский район,,,,,,,,,,,,,,
39,ООО,"""Веста""","п.г.т.Ванино, ул.Центральная д.1, тел. 7-91-40",2709013035/270301001/1102709000107,розничная продажа алкогольной продукции 1 год,магазин,"п.г.т.Октябрьский, ул.Космонавтов д.6",473.7,,323,9-21,впервые,ХБ 002647 № 2309 15.02.2011 - 15.02.2016,
40,ООО,"""Радуга""","п.г.т.Ванино, линия 2-я д.1, 28, тел. 8 (42-137) 7-00-16",2709013500/270901001/1102709001405,розничная продажа алкогольной продукции 1 год,магазин,"п.г.т.Ванино, ул.Октябрьская д.2а",20,20,16,7-23,впервые,ХБ 002617 № 2299 15.02.2011 - 15.02.2012,
Верхнебуреинский район,,,,,,,,,,,,,,
41,ООО,"""Березка""","п.г.т.Чегдомын, ул.Центральная д.29, тел. 5-15-57",2710012452/271001001/1052740096342,розничная продажа алкогольной продукции 2 года,магазин,"п.г.т.Чегдомын, ул.Центральная д.29",60.2,,38,9-21,продление,ХБ 002651 № 53 15.02.2011 - 15.02.2013,
