                  Государственный реестр выданных лицензий  за январь 2012 г. по Хабаровскому краю ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
№ пп,Организация - заявитель ,,,,, Объект,Место осуществления деятельности                                           ,Общая площадь,Арендуемая площадь,"Площадь торг зала, кол-во посадочных мест ",Время работы объекта,Примечание,Номер и срок действия лицензии,,,
,ОПФ,нименование организации,юридический адрес,"ИНН, КПП, ОГРН","Вид деятельности, заявленный срок в годах",,,,,,,,,,,
г. Хабаровск,,,,,,,,,,,,,,,,
9,ООО,"""Ольга""","г.Хабаровск, ул.Шмидта д.27, 34, тел. 8-924-103-86-80",2722055274/272201001/1062722030337,розничная продажа АП 2 года,отдел в ТЦ,"г.Хабаровск, ул.Тихоокеанская д.204",50,50,32.3,9-21,впервые,ХБ 000845 № 2515 17.01.2012 - 17.01.2014,,,
10,ООО,"""Русские каникулы""","г.Хабаровск, ул.Пушкина д.45б, тел. 62-25-35",2721077557/272101001/1022700922683,розничная продажа АП в розлив 1 год,кафе,"г.Хабаровск, ул.Пушкина д.45б",77.4,77.4,32,10-23,продление,ХБ 000849 № 2287 17.01.2012 - 17.01.2013,,,
11,ООО,"""Север""","г.Хабаровск, ул.Тихоокеанская д.178, 12, тел. 75-02-99",2725089779/272501001/1092722007245,розничная продажа АП 1 год,магазин,"г.Хабаровск, ул.Руднева д.79",70.5,70.5,35.5,9-22,впервые,ХБ 000848 № 2516 17.01.2012 - 17.01.2013,,,
12,ООО,"""Чинар""","г.Хабаровск, ул.Королева д.14, 14, тел. 8-914-203-36-89",2723075668/272301001/1062723003771,розничная продажа АП 5 лет,магазин,"г.Хабаровск, ул.Джамбула д.81",181.4,181.4,40,8-23,доп. объект с 17.01.2012,ХБ 000173 № 313 14.06.2011 - 14.06.2016,,,
13,ООО,"""ГрандТорг""","г.Хабаровск, ул.Владивостокская д.24, пом. 0, тел. 32-98-95",2724131900/272401001/1092724004735,розничная продажа АП 5 лет,магазин,"г.Хабаровск, ул.Краснореченская д.205",407.1,407.1,144.1,8-23,доп. объект,ХБ 002199 № 2057 15.09.2009 - 15.09.2014,,,
14,ООО,"""Столица-Реал""","г.Хабаровск, ул.Краснореченская д.92, тел. 65-66-06",2723067988/272301001/1052700217085,розничная продажа АП 5 лет,магазин,"г.Хабаровск, ул.Серышева д.52",123.2,123.2,58,9-21,впервые,ХБ 000851 № 2517 17.01.2012 - 17.01.2017,,,
15,ООО,"""Тренд""","г.Хабаровск, ул.Карла Маркса д.59, тел. 43-97-90",2721184661/272101001/1112721005650,розничная продажа АП в розлив 1 год,кафе,"г.Хабаровск, ул.Карла Маркса д.59",539.4,539.4,120,круглосуточно,впервые,ХБ 000852 № 2518 17.01.2012 - 17.01.2013,,,
г. Комсомольск-на-Амуре,,,,,,,,,,,,,,,,
16,ООО,"""Вулкан""","г.Комсомольск-на-Амуре, пр-кт.Интернациональный д.49, 108, тел. 8-924-227-18-20",2703063167/270301001/1112703006580,"розничная продажа АП, розничная продажа АП в розлив 2 года",кафе,"г.Комсомольск-на-Амуре, ул.Лесозаводская д.5",1362.1,1362.1,48,12-23,впервые,ХБ 000838 № 2513 17.01.2012 - 17.01.2014,,,
,,,,,,магазин,"г.Комсомольск-на-Амуре, пр-кт.Интернациональный д.53",63.4,63.4,37.4,9-22,,,,,
,,,,,,магазин,"г.Комсомольск-на-Амуре, аллея Труда д.52",742.7,742.7,208,8-22,,,,,
17,ООО,"""Таёжный""","г.Комсомольск-на-Амуре, ул.Охотская д.9, тел. 8-909-867-19-32",2703007395/270301001/1022700526804,розничная продажа АП 5 лет,магазин,"г.Комсомольск-на-Амуре, ул.Охотская д.9",74.3,74.3,16,9-22,продление,ХБ 000836 № 1916 17.01.2012 - 17.01.2017,,,
18,ООО,"""Торговый Дом КОМКО""","г.Комсомольск-на-Амуре, ул.Радищева д.3, тел. 22-04-77",2703024312/270301001/1032700045641,розничная продажа АП 1 год,магазин,"г.Комсомольск-на-Амуре, пр-кт.Ленина д.32",53.9,53.9,46.5,09-20,доп. объект с 17.01.2012,ХБ 000769 № 2495 13.12.2011 - 13.12.2012,,,
19,ООО,"""Велес""","г.Комсомольск-на-Амуре, ул.Севастопольская д.29-2, 122, тел. 8-963-820-02-30",2703060871/270301001/1112703003093,розничная продажа АП в розлив 1 год,кафе,"г.Комсомольск-на-Амуре, аллея Труда д.22",166.3,166.3,40,10-01,впервые,ХБ 000842 № 2514 17.01.2012 - 17.01.2013,,,
20,ООО,"""Тандем""","г.Комсомольск-на-Амуре, аллея Труда д.58-3, тел. 59-13-07",2703040730/270301001/1072703002426,розничная продажа АП 3 года,магазин,"г.Комсомольск-на-Амуре, пр-кт.Победы д.55, корп. 2, лит. А",115.9,115.9,103.1,08-23,доп. объект с 17.01.2012,ХБ 002369 № 2167 18.05.2010 - 18.05.2013,,,
21,ООО,"""Невское""","г.Комсомольск-на-Амуре, ул. Ленинградская  д.60, тел. 8-962-288-01-52",2703057685/270301001/1102703003861,розничная продажа АП 3 года,магазин,"г.Комсомольск-на-Амуре, ул. Ленинградская  д.60","71,4","71,4","56,4",08-23,продление,ХБ 000829 № 2287 17.01.2012 - 17.01.2015,,,
Солнечный р-н,,,,,,,,,,,,,,,,
22,ООО,"""Экстрим Сервис""","Хабаровский край, р-н.Солнечный, 5,5 км к северо-западу от п. Солнечный, ГЛК ""Холдоми"", тел. 2-35-35",2717009868/271701001/2052740148492,розничная продажа АП в розлив 3 года,кафе,"Хабаровский край, р-н.Солнечный, 5,5 км к северо-западу от п. Солнечный, ГЛК ""Холдоми""",270,,150,08-21,продление,ХБ 000839 № 1198 17.01.2012 - 17.01.2015,,,
Ульчский р-н,,,,,,,,,,,,,,,,
23,ООО,"""Вега""","с.Циммермановка, ул.Железнодорожная д.21, тел. 54-9-93",2719009278/271901001/1092705000464,розничная продажа АП 1 год,магазин,"с.Циммермановка, ул.Железнодорожная д.21",58.2,58.2,28.8,9-20,продление,ХБ 000837 № 2292 17.01.2012 - 17.01.2013,,,
Хабаровский р-н,,,,,,,,,,,,,,,,
24,ООО,"""Боригал""","с.Матвеевка, ул.Москаленко д.40, тел. 49-68-45",2720031221/272001001/105270104535,розничная продажа АП 1 год,магазин,"с.Матвеевка, ул.Москаленко д.55а",49.3,49.3,30,9-21,продление,ХБ 000846 № 1182 17.01.2012 - 17.01.2013,,,
25,ООО,"""Династия""","с.Некрасовка, ул.Ленина д.10, тел. 8-914-217-90-17",2713016769/272035001/1102713001203,розничная продажа АП 1 год,магазин,"с.Некрасовка, ул.Ленина д.10",52,52,40,8-22,продление,ХБ 000847 № 2280 17.01.2012 - 17.01.2013,,,
р-н имени Полины Осипенко,,,,,,,,,,,,,,,,
26,ООО,"""Осипова""","с.им. Полины Осипенко, ул.Строителей д.20, 2, тел. 8-909-806-98-89",2717015452/271701001/1072717000278,розничная продажа АП 5 лет,магазин,"с.им. Полины Осипенко, ул.Амгуньская д.85",27.7,27.7,15,9-23,доп. объект с 24.01.2012,ХБ 001422 № 1533 11.12.2007 - 11.12.2012,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
