41180,28-Sep-12,,,,,,,,,,,,,
Орг_Прав_Форма,Краткое Наименование,ИНН,Код_ОКПО,Город,Улица,ГородФ,УлицаФ,Поле86,Номер лиценз,Серия бланка,Бланк,Начало действ лицензии,Конец действия лицензии,Конец Срока Продления
Общество с ограниченной ответственностью,"ООО ""Категория - Т""",7024014608,46638966,г.Северск,"ул. Транспортная,30",г.Северск,,ТОМ,005557АЛ00,70МЕ,2162,2/9/2012,2/9/2013,
Общество с ограниченной ответственностью,"ООО ""Харбин""",7024013481,44236749,г.Северск,"п.Самусь, ул.Ленина,21",г.Северск,,ТОМ,003333АЛ00,70МЕ,1099,2/9/2012,2/9/2013,
Общество с ограниченной ответственностью,"ООО ""Магазин 23""",7024006727,20678230,г.Северск,"ул. Ленинградская, 16 а",г.Северск,,ТОМ,005692АЛ00,70МЕ,2321,7/5/2008,7/5/2013,05-Jul-13
Общество с ограниченной ответственностью,"ООО ""Илекс-М""",7021056014,49382013,г. Томск,"ул.Шевченко, 40",г.Северск,"ул. Шевченко, д.40 (магазин).",ТОМ,005605АЛ01,70МЕ,2220,7/5/2008,7/5/2013,
Общество с ограниченной ответственностью,"ООО ""Волна-С""",7014000839,28845058,ЗАТО Северск,"п. Самусь, ул.Кооперативная, 2",г.Северск,,ТОМ,005443АЛ00,70МЕ,2438,7/5/2008,7/5/2013,
Общество с ограниченной ответственностью,"ООО ""Бастион Плюс""",7024020016,59686501,г.Северск,"ул.Солнечная, д.8, кв.66",г.Северск,,ТОМ,004937АЛ00,70МЕ,417,7/5/2008,7/5/2013,
Общество с ограниченной ответственностью,"ООО ""Ве-Ра""",7017046687,2089047,г. Томск,"ул. Р. Люксембург 56а, стр.1",г.Северск,"пр-т Коммунистический, д.161",ТОМ,005804АЛ14,70МЕ,2461,7/5/2008,7/5/2013,
Общество с ограниченной ответственностью,"ООО ""Экстра-М""",7017058971,58915460,г. Томск,"ул.Герцена, 68, стр.2",г.Северск,"пр. Коммунистический, 57",ТОМ,005468АЛ07,70МЕ,2048,7/5/2008,7/5/2013,
Общество с ограниченной ответственностью,"ООО ""Магазин - 24""",7024020778,70356572,г.Северск,"пр. Коммунистический , 70",г.Северск,,ТОМ,005488АЛ00,70МЕ,2082,12/13/2011,7/5/2013,
Муниципальное предприятие,"МП  ЗАТО Северск""Камея""",7024000482,288184417,г.Северск,"ул. Калинина, 11",г.Северск,,ТОМ,005579АЛ00,70МЕ,2190,6/25/2012,6/25/2013,
Общество с ограниченной ответственностью,"ООО ""Фирма генерального управления продажами ЗПП  ""Томский""",7017098484,73730516,г. Томск,"Иркутский проезд, 1, стр.3",г.Северск,"ул.Калинина, д.46",ТОМ,005726АЛ11,70МЕ,2366,6/25/2012,6/25/2013,
Общество с ограниченной ответственностью,"ООО ""Контакт""",7018008772,362877721,г.Северск,"ул. Южный проезд, 7, кв. 52",г.Северск,,ТОМ,002860АЛ00,70МЕ,405,4/4/2012,4/4/2013,
Общество с ограниченной ответственностью,"ООО ""ИнтерОпт""",7017097843,71738525,г. Томск,"ул. Дальне-Ключевская, 64",г.Северск,"ул. Советская, 1/6",ТОМ,003013АЛ07,70МЕ,478,8/24/2012,8/24/2013,
Общество с ограниченной ответственностью,"ООО ""Тиаск""",7014001342,28844372,г.Северск,"п. Самусь, ул. Ленина, д.1",г.Северск,,ТОМ,003425АЛ00,70МЕ,1141,8/24/2012,8/24/2013,
Общество с ограниченной ответственностью,"ООО ""Вена""",7024002264,28828350,г.Северск,"Пионерская, д.3",г.Северск,,ТОМ,005080АЛ00,70МЕ,1164,11/16/2007,11/16/2012,
Производственный кооператив,"ПК ""Экспресс""",7024004470,34037629,г.Северск,"ул. Советская,1,оф.15",г.Северск,,ТОМ,005087АЛ00,70МЕ,1173,11/27/2007,11/16/2012,
Муниципальное предприятие,"Муниципальное предприятие ЗАТО Северск комбинат ""Школьное питание""",7024000404,28818630,г.Северск,"Калинина, 69",г.Северск,"ул. Калинина, 69",ТОМ,003443АЛ01,70МЕ,1142,10/5/2009,11/16/2012,
Общество с ограниченной ответственностью,"ООО ""Веселый хуторок""",7017126117,76655554,г. Томск,"ул. Пролетарская, 38 в, стр.4",г.Северск,"ул. Победы, 14""а""",ТОМ,003486АЛ25,70МЕ,1185,1/21/2011,11/16/2012,
Общество с ограниченной ответственностью,"ООО ""Торговый Дом ""Братья Коцоевы""",7017039030,1314947,г. Томск,"ул. Белинского, д. 58а",г.Северск,"ул. Ленина, 44",ТОМ,003526АЛ05,70МЕ,1203,9/11/2012,9/10/2016,
Общество с ограниченной ответственностью,"ООО ""Меркурий""",7024023634,79195202,г.Северск,"ул. Московская, 10-6",г.Северск,"ул. Полевая, 5б",ТОМ,003641АЛ02,70МЕ,1254,9/11/2012,9/10/2016,
