"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по Шелеховскому району",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),
,,,,"г.Черемхово, ул. Санаторная, 10, в отделе магазина, г.Черемхово, ул. Плеханова, 39, в отделе магазина, г.Черемхово, ул. Гейштова, 20,  в отделе магазина «Мираж», г.Черемхово, ул. Колхозная площадь, 40, в отделе магазина «Сибирь»,  Куйтунский район, с.Харик, ул.Юбилейная, 44, в отделе магазина «Саяны», Куйтунский район, п.Харик, ул.Чапаева, 1 Б, в отделе магазина «Ивушка», Куйтунский район, р.п. Куйтун, ул.Ворошилова, 14, в отделе магазина «Ирина»,  Куйтунский район, р.п. Куйтун, ул.Карла Маркса, 30 А, в отделе магазина «Ока», Куйтунский район, п.Харик, ул.Ленина, 10 А, в отделе магазина «Ивушка», г.Иркутск, ул. Олонская, в отделе магазина г.Иркутск, ул. Партизанская, 71 А, в отделе магазина, г.Иркутск, ул. Авиастроителей, 2 А, в отделе магазина, г.Иркутск, ул.Трилиссера, 106, в баре кафе, г.Иркутск, ул. Депутатская, 49 А, в отделе магазина г.Иркутск, м-он Лесной, в районе остановки «Лыжная база», ",,,,,,
,,,,"в отделе магазина,Слюдянский район, г.Байкальск, ул.Железнодорожная, д.4., в отделе магазина «Маяк»,  Слюдянский район, п.Култук, ул.Кирова, 28 А, в отделе магазина, г.Усолье-Сибирское,  ул.Ветошкина, 38, в отделе магазина, г.Усолье-Сибирское,  ул.Ветошкина, 35, в отделе магазина, г.Усолье-Сибирское, проспект Красных партизан, 24, в отделе магазина «Белоречье», г.Усолье-Сибирское, проспект Красных партизан, 24 в отделе магазина «Катрин», Усольский район, п.Тайтурка, ул. Пеньковского, 21, в отделе магазина, Усольский район, п.Тайтурка, ул.Калинина, 16 отделе магазина, Усольский район, с.Мальта, ул. Кирова, 28 А,  в отделе магазина, Усольский район, с.Мальта, ул.Красноармейская, 18 А, в отделе магазина, Усольский район, р.п. Тельма, ул.Фабричная, 5,18, в отделе магазина, Усольский район, , р.п. Тельма, ул.Совхозная, 14, в отделе магазина",,,,,,
,,,,"Усольский район, с.Мальта, ул.Рабочая, 1 А,  отдел в магазине, Усольский район, п.Тайтурка, ул.Тюнева, 102, 11, в отделе магазина, Усольский район, п.Средний, в/ч № 4, ДОС 8, в отделе магазина, Иркутский район, с.Хомутово, ул.Колхозная, 134 А, в отделе магазина, Иркутский район, д.Карлук, ул.Юбилейная, 19 А, в отделе магазина, Иркутский район, п. Малая Топка, ул.Верхняя, 6 Б, в отделе магазина, Иркутский район, п.Малая Топка, ул.Ключевая, 43 А, в отделе магазина,, Балаганский район, п.Балаганск, ул.Кольцевая, 26, в отделе магазина «Иверия», Балаганский район, п.Балаганск, ул.Кольцевая, 26, в отделе кафе «Иверия», Балаганский район, с.Бирит, ул.Нагорная, 1А, в отделе магазина, Заларинский Район, с.Троицк, ул.Новая, 6, отделе, Заларинский район, с.Мойган, ул.Центральная, 29, в отделе,  Заларинский район, д.Романенкино, ул.Центральная, 30, в отделе, ",,,,,,
,,,,"Заларинский район, п.Тыреть, м-он Солерудник, в отделе магазина «Любаша», Заларинский район, п.Тыреть, ул.Шейна, 7, в отделе, г.Ангарск, микрорайон Цементный, ул.Баумана, дом 1, помещение 12, в отделе магазина «Горячий хлеб»",,,,,,
13,"ООО «Велес»
3848001487
",Межрайонная инспекция Федеральной налоговой службы№1 по Иркутской области (код 3848),"Г 888767 № 28
от 13.10.2009
10.08.2009
10.08.2014
","г. Шелехов, 
ул. Кочубея, дом 55, магазин                          «Продукты».
г. Шелехов, квартал 2, дом 19 А, магазин «Живая вода», г.Шелехов, Култукский тракт, 21 А, второй этаж, павильон ""Вино-водочный""
",,,,,Администрация Шелеховского раона,
14,"ООО «Восход»
3848001670
",Межрайонная инспекция Федеральной налоговой службы№1 по Иркутской области (код 3848),"Г 888820 № 18
от 29.04.2011
с 29.04.2011
до 29.04.2013
","Иркутская обл., Шелеховский  район, р.п.Большой Луг, ул. Комсомольская, 63 А, магазин «Восход».",,,,,Администрация Шелеховского раона,
15,"ООО ""Волна"" 3821003695",Инспекция МНС РФ по г. Шелехову (код 3821),Г 888858 № 5 от 17.02.2012 с 17.02.13 до 17.02.2013,"Иркутская область, Шелеховский раон, поселок Чистые Ключи, КБО",,,,,Администрация Шелеховского раона,
16,"ООО «ГАЙ»
3821014993
",Межрайонная ИФНС России №1 по Иркутской области и УОБАО,"Г 888768 № 29
от 16.10.2009
16.10.2009
16.10.2014
","г.Шелехов, 1 микрорайон, дом 7 Б, специализированный отдел в ТЦ «Вероника».",,,,,Администрация Шелеховского раона,
17,"ООО «ГУРМАН»
3821016486
",Межрайонная инспекция Федеральной налоговой службы№1 по Иркутской области (код 3848),"Г 888732 № 23
от  30.10.2008
с 30.10.2008 
до 30.10.2013
","г.Шелехов, квартал 4, дом 13 А/1, магазин «Гурман»",,,,,Администрация Шелеховского раона,
18,"ООО «Голубые Ели+»
3808084590
",Инспекция Федеральной налоговой службы по Правобережному округу г. Иркутска,Г 888864 № 11 от 12.04.2012 с 12.04.2012 до 30.12.2012 ,"Иркутская область, Шелеховский район, между д.Олха и р.п. Большой Луг, бар ООО ""Кредо""",,,,,Администрация Шелеховского раона,
