"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по Шелеховскому району",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),
59,"ООО «Торговый Дом Шелехов»
3821001698
",ГНИ по г. Шелехову и Шелеховскому району (код 3821),"Г 888827 № 32
от  17.06.2011
с 22.06.2011 
до 22.06.2012
","Иркутская область,          г. Шелехов, квартал 18, дом 9, магазин; Иркутская область, г.Шелехов, квартал 3, за домом №15, магазин.",,,6/22/2012,,Администрация Шелеховского раона,
60,"ООО ""ТАЛИСМАН""       3821013566",Межрайонная ИФНС России №1 по Иркутской области и УОБАО,"Г 888836 № 44
от  14.07.2011 
с 14.07.2011 
до 14.07.2012
","Иркутская область, г.Шелехов, 4 квартал, блок-секция 15, строительный № 3, специализированный отдел в магазине ""Пятерочка""; Иркутская область, Шелеховский район, СНТ ""Проектировщик"", ст. Дачная, ВСЖД филиала ОАО ""РЖД"", павильон",,,7/14/2012,,Администрация Шелеховского раона,
61,"ООО «ТОПАЗ»
3821011015
",Инспекция МНС России по г. Шелехову Иркутской области,"Г 888811
от 21.01.2011
13.02.2009 
13.02.2014

","г.Шелехов, проспект Строителей и монтажников, дом 3 «В,Г», кафе «Альянс», 
г.Шелехов, Култукский тракт, 34, закусочная «Чайная», 
Шелеховский район, с. Моты, ул. Трактовая, 18-3, кафе «Наташа», 
с.Моты, ул. Иркутная, 
дом 5, специализированный отдел в магазине «Универсам». 
",,,,,Администрация Шелеховского раона,
62,"ООО «Удачный»
3821013090
",Межрайонная ИФНС России №1 по Иркутской области и УОБАО,"Г 888740 № 33
от  24.12.2008
24.12.2008 
24.12.2013
","Шелеховский район, 
с. Баклаши, ул. Новая, магазин «Удачный», с.Баклаши, ул. 8 марта, магазин «Янта»
",,,,,Администрация Шелеховского раона,
63,"ООО «Успех»
3821014880
",Межрайонная ИФНС России №1 по Иркутской области и УОБАО,"Г 888802 № 29
от  28.10.2010 
09.07.2010
09.07.2012","Шелеховский район, 
п. Большой Луг, на пересечении улиц Чкалова и Есенина, павильон «Удачный»,
Шелеховский район, 
п. Большой Луг, ул.Вокзальная, возле дома № 1, павильон «Удачный».
",,,7/9/2012,,Администрация Шелеховского раона,
64,"ООО ""УСПЕХ""       3821013439",Межрайонная ИФНС России №1 по Иркутской области и УОБАО,"Г 888835 № 43
от  14.07.2011 
с 14.07.2011 
до 14.07.2012
","Иркутская область, Шелеховский район, п.Чистые Ключи, раздаточная офцерского полка, магазин ""Успех""",,,7/14/2012,,Администрация Шелеховского раона,
65,"ООО «ФЕНИКС»
3848000243
",Межрайонная инспекция Федеральной налоговой службы№1 по Иркутской области (код 3848),"Г 888769 № 30
от 30.10.2009 
05.05.2009 
05.05.2014
","г.Шелехов, квартал 20, дом 84, магазин № 41, отдел вино-водочной продукции.
Шелеховский район, с.Баклаши, ул. 8 Марта, магазин «Восьмерочка».
",,,,,Администрация Шелеховского раона,
66,"ООО ""ФОРА"" 3821013608",Межрайонная ИФНС России №1 по Иркутской области и УОБАО,Г 888823 № 24 от 13.05.2011 с 13.05.2011 до 13.05.2014,"Иркутская область, г.Шелехов, 1 микрорайон, в районе домов № 30 и № 31, торговый павильон ""Фора""",,,,,Администрация Шелеховского раона,
67,"ООО «Фактория»
3821013862
",Межрайонная ИФНС России №1 по Иркутской области и УОБАО,"Г 888831 № 36
от 21.06.2011
с 21.06.2011 
до 21.06.2012
","Иркутская область, Шелеховский район, 
 р.п. Большой Луг, ул. Ленинская, дом 12 А, магазин «Теремок»; Иркутская область,
р.п. Большой Луг, ул. Вокзальная, дом 7 Б, магазин.
",,,6/21/2012,,Администрация Шелеховского раона,
68,"ООО «Шумак»
3811071640
",ИФНС России по Октябрьскому округу г. Иркутска,"Г 888778
от  09.03.2010
30.12.2008
30.12.2013
","г. Шелехов, проспект Строителей и монтажников, дом 7, специализированный отдел.  ",,,,,Администрация Шелеховского раона,
69,"ООО «Шумак»
3821015059
",Межрайонная ИФНС России №1 по Иркутской области и УОБАО,"Г 888731 № 22
от  15.10.2008
15.10.2008 
15.10.2013
","г. Шелехов, квартал 6, дом 29, позная «Бурятия»",,,,,Администрация Шелеховского раона,
70,"ООО «Шарафханов»
3848001543
",Межрайонная инспекция Федеральной налоговой службы№1 по Иркутской области (код 3848),"Г 888762 № 23
от 10.08.2009
10.08.2009
10.08.2014
","Шелеховский район, д.Олха, ул. Советская, дом 43, кафе",,,,,Администрация Шелеховского раона,
71,"ООО «ЮСЭР»
3821013132
",Межрайонная ИФНС России №1 по Иркутской области и УОБАО,"Г 888859 № 6
от  22.02.2012  
22.02.2012 
22.02.2014
","г. Шелехов, 
ул. Шевцовой,
 дом 19 А, магазин
",,,,,Администрация Шелеховского раона,
72,"ООО ""ЮЛИВ""  3848002032",Межрайонная инспекция Федеральной налоговой службы№1 по Иркутской области (код 3848),"Г 888853 № 72
от 30.12.2011
с 30.12.2011
до 30.12.2012
","Иркутская область, Шелеховский район, рабочий поселок Большой Луг, ул. Клубная, дом 3, отдел в магазине ""Абсолют""",,,,,Администрация Шелеховского раона,
73,"ЗАО «Иркутскнефтепродукт»
3800000742
",Регистрационная палата г.Иркутска,"АН00432Пр 
от 09.01.2008 
11.01.2008 
10.01.2013
","г. Шелехов, ул. Култукский тракт, 9
магазин
",,,,,"г. Иркутск, Администрация

",
74,"ООО «Янта-Т»
3827016676
",МИ МНС России № 12 по Иркут. Обл.,"38МЕ 004720
02.07.2008.
28.01.2008 
27.01.2013
","г.Шелехов, 1 микрорайон, д. 42, магазин «Янта»",,,,,"г. Иркутск, Администрация

",
75,"ООО «БЕЛОРЕЧЕНСКОЕ»
3810042043
",ИФНС по Ленинскому округу г.Иркутска,"АН00481Пр  от 09.12.2008 
03.06.2008 
02.06.2013
","г. Шелехов, 4 квартал, дом 12 лит.А/2, магазин",,,,,"г. Иркутск, Администрация

",
76,"ООО «Легион»
3810036498
",ИМНС по Ленинскому АО г.Иркутска,"38МЕ 003449
АП03131
ПР 4от  27.10.2010
17.01.2005 по
16.01.2015
","г.Шелехов, ул.Известковая, 5 а, магазин",,,,,"г.Иркутск, Администрация",
77,"ООО «Парадиз»
3812095869
",ИФНС по Свердловскому округу г.Иркутска,"38 МЕ 003493
АН 00588 Пр4
от 25.11.10
26.12.2008
26.12.2013
","г.Шелехов, 1 микрорайон, между домами № 4 и № 5, отдел",,,,,"г.Иркутск, Администрация",
78,"ООО «Янтарь»
3812079345
",Инспекция Министерства РФ по налогам и сборам по Свердловскому округу г.Иркутска Ирк. Обл.,"38 МЕ 003647
АП03061Пр27
от 30.03.2011
с 02.11.2004 
по 01.11.2014
","г. Шелехов, квартал 20, дом  90, магазин ",,,,,"г.Иркутск, Администрация",
79,"ООО ""Эдельвейс"" 3808116273",Межрайонная ИФНС по Правобережному округу г.Иркутска,38 МЕ 003665 АН00650Пр3 от 22.04.2011 с 18.06.2009 по 17.06.2014,"г.Шелехов, в районе автобусной остановки кинотеатр ""Юность"", павильон ""Разливной""",,,,,Администрация г.Иркутска,
80,"ООО ""Стандарт-Алко""   3808154328",ИФНС по правобережному округу г.Иркутска,38 МЕ 003719 АН00554Пр8 от 27.06.2011 с 10.12.2008 по 09.12.2013,"п.Большой Луг, ул. Ленинская, 12, отдел; с.Введенщина, ул. Советская, 1 а, отдел; с.Введенщина, ул. Юбилейная, 49 а, отдел",,,,,администрация г.Иркутска,
,"ООО ""Торговый Дом ""ОлАнд"" 3810314650",МИФНС № 17 по Иркутской области,38 МЕ 003982  А025Пр3 от 04.05.2012 с 20.10.2011 до 19.10.2016,"г. Шелехов квартал 6, д.29, ТЦ ""Былина"", отдел",,,,,администрация г.Иркутска,
81,"ООО ""Озон""  3812089174",ИФНС по Свердловскому округу г.Иркутска,38 МЕ 004423 АН00156Пр2 от 19.07.2007 с 13.07.2006 по 12.07.2011   продлена до 13.07.2012,"п.Большой Луг, ул. Левитана, 29 а, магазин",,,,,администрация г.Иркутска,
82,"ООО ""Алко Трейд"" 3810314988",ИФНС по Правобережному округу г.Иркутска,А 195025 № 7 от 07.03.2012  до 28.06.2013,"Иркутская область, Шелеховский район, с.Введенщина, ул. Мира 6 б, магазин; Иркутская область, Шелеховский район, с.Баклаши, ул. Строителей, магазин ""Саяны""; Иркутская область, г.Шелехов, 1 микрорайон, остановка ""Юбилейная"", магазин ""Карпов""; Иркутская область, Шелеховский район, с.Большой Луг, ул. Геологов, 4, отдел в магазине",,,,,"Муниципальное образование ""Боханский район""",
83,"ООО «Заряд»
3812102153
",Инспекция Министерства РФ по налогам и сборам по Свердловскому округу г.Иркутска,"38 МЕ 0033907
АН 00494 Пр27
от 21.12.2011
с 08.07.2008
по 07.07.2013
","г.Шелехов, 1 микрорайон, дом 21, отдел;
г.Шелехов, ул. Котовского, 54, отдел;
г.Шелехов, ул. Котовского, 26, отдел;
г.Шелехов, 1 микрорайон, на остановке маршрутного транспорта напротив, д.46, отдел; г.Шелехов, ул. Котовского, 2 а, отдел",,,,,"г.Иркутск, Администрация",
84,"ООО «Старт»
3812120956
",ИФНС России по Свердловскому округу г.Иркутска,"38 МЕ 003790 
АН00636
 Пр 23
от 15.09.2011
с 30.04.2009 
по 29.04.2014 
","п.Большой Луг, 
ул. Ленинская, 12, отдел;
п.Большой Луг, ул. Комсомольская, 75, отдел; 
п.Большой Луг, ул. Центральная, пересечение с  Клубной, отдел
",,,,,администрация г.Иркутска,
85,"ООО ""БАЙК-Ал"" 3808164630",ИФНС по Правобережному округу г.Иркутска,38 МЕ 003996 № А122 от 18.05.2012 с 19.05.2012 по 18.05.2017 ,"г.Шелехов, ул. Култукский тракт, 13, магазин; г.Шелехов, 4 микрорайон, за магазином ""Универсам"", павильон; г.Шелехов, ул. Матросова, 53, магазин; г. Шелехов, 4 квартал, 12 А/1, магазин ",,,,,администрация г.Иркутска,
86,"ООО ""Бриз"" 3812130383",ИФНС России по Свердловскому округу г.Иркутска,А 203242 № 91 от 08.02.2012 с 08.02.2012 до 25.07.2016,"Иркутская область, Шелеховский район, р.п. Большой Луг, ул.Вокзальная, специализированный отдел в павильоне",,,,,администрация Иркутского районного муниципального образования,
87,ООО «Волна» 3821003695,Шелеховская администрация Шелеховского муниципального образования,Г 888617   № 1           от  16.01.2006 с 16.01.2006 до 16.01.2012,"г. Шелехов, п. Чистые Ключи, КБО, магазин, кафе «Волна».",,,1/16/2012,,,
88,"ООО «МОЙ МАЛЫШ»
3821011946
",Межрайонная ИМНС России № 18 по Иркутской области,"Г 888813
от 14.02.2011 
14.02.2011 
14.02.2012
","г. Шелехов, 1 микрорайон, д.46, магазин «Сибирячка»",,,2/14/2012,,,
89,"ООО «ЮСЭР»
3821013132
",Межрайонная ИФНС № 1 по Иркутской обл. и УОБАО,"Г 888620 № 4
от  22.02.2006  
с 22.02.2006 
до 22.02.2012
","г. Шелехов, 
ул. Шевцовой,
 дом 19 А, магазин
",,,2/22/2012,,,
90,"ООО «Атика»
3821014672
",Межрайонная ИФНС № 1 по Иркутской обл. и УОБАО,"Г 888692
от 23.03.2007
23.03.2007 
23.03.2012
","г. Шелехов, квартал 2, дом 18 А, кафе «Охотник»",,,3/23/2012,,,
91,"ООО «Ален»
3821001881
",администрация Шелеховского муниципального образования,"Г 888816
от  05.03.2011
05.03.2011
05.03.2012
","г. Шелехов, квартал 6, дом 1, 
кафе «Багульник», Култукский тракт, 15, павильон «Багульник», 4 квартал, дом 15, магазин «Близнецы»
г.Шелехов, 4 микрорайон, д.79-3, магазин «Багульник»
",,,3/5/2012,,,
92,"ООО «СиТе» 
3821013502
",Межрайонная ИФНС № 1 по Иркутской обл. и УОБАО,"Г 888817 № 13
от  12.04.2011
с 12.04.2011 
до 12.04.2012
","Иркутская обл., г. Шелехов, 
квартал 20, дом 92 А, 
спец. отдел в кафе «Огонек»;
Иркутская обл., г. Шелехов, кв-л 6, дом № 1, спец. отдел в магазине «Винстон»; 
Иркутская обл., г. Шелехов, 1 микр. , остан. ГПТУ, спец. отдел в павильоне «Глория».
",,,4/12/2012,,,
93,"ООО ""Ирком-плюс""  3821008936",Инспекция МНС России по г.Шелехову Иркутской обл.,"Г 888818 № 16
от 27.04.2011
с 27.04.2011
до 27.04.2012
","Иркутская обл., г.Шелехов, 1 микрорайон, д.42, магазин ""Янта""",,,4/27/2012,,,
94,"ООО «Каскад-СВ»
3821008975
",Межрайонная ИФНС № 1 по Иркутской обл. и УОБАО,"Г 888819 № 17
от  29.04.2011 
с 29.04.2011 
до 29.04.2012
","  Иркутская обл.,  г. Шелехов, 1 микрор. , около д.7, торговый павильон «Смак»;
Иркутская обл.,  г. Шелехов, квартал 2, дом 16,  магазин «Ксюша»;  Иркутская обл. г. Шелехов,  квартал 20, дом 90,  магазин «Каскад»; 
Иркутская обл.,  г. Шелехов, ул. Кочубея, дом 55, торговый киоск «Центр»;    
Иркутская обл.,  г. Шелехов, квартал 18, у городской бани, торговый киоск «Эмпориум»;
Иркутская обл.,  г. Шелехов, квартал 18, у городской бани, торговый  киоск «Юлия»;        
Иркутская обл.,  г. Шелехов,  4 микрорайон, около д. 76, торговый киоск «Дальний»;      
Иркутская обл.,  г. Шелехов, 1 микрор., у дома 9, торговый киоск «Смак»;           
Иркутская обл.,  г. Шелехов, 1 микрор., напротив Сбербанка, торговый киоск «Каскад»; 
Иркутская обл.,  г. Шелехов, 1 микрор. , дом 33, магазин № 33, Иркутская обл.,  г. Шелехов, квартал 1, д.7, магазин ""Номер первый""; Иркутская обл.,  г. Шелехов, квартал 18, д.24, магазин ""МагазинЧик"".
",,,4/29/2012,,,
95,"ООО ""РЯБИНКА"" 3848004223",Межрайонная ИФНС № 17 по Иркутской обл.,"Г 888821 №19
от 29.04.2011
с 29.04.2011
до 29.04.2012
","Иркутская область, г.Шелехов, ул.Тюленина, д.48, специализированный отдел магазина ""Рябинка""",,,4/29/2012,,,
96,"ООО ""КОПС"" 3821009866",Инспекция МНС России по г.Шелехову Иркутской обл.,Г 888822  № 21 от 29.04.2011   с 29.04.2011 до 29.04.2012,"Иркутская обл., Шелеховский  район, с.Баклаши, ул. Ангарская, 71, специализированный отдел магазина «Продукты».",,,4/29/2012,,,
97,"ООО «Шелтер»
3821009922
",Межрайонная ИФНС № 1 по Иркутской обл. и УОБАО,"Г 888699 
от 15.05.2007
15.05.2007 15.05.2012
","г. Шелехов, 4 микрорайон у дома № 33, 35, 
магазин «Бистро»
г. Шелехов, квартал 6 у дома №19, 20, магазин «Мистер-Твистер»
",,,5/15/2012,,,
98,"ООО «Ратибор»
3821014827
",Межрайонная ИФНС № 1 по Иркутской обл. и УОБАО,"Г 888700
от 23.05.2007  
23.05.2007  
23.05.2012
","г. Шелехов, квартал 7, дом 2,
 магазин «Улыбка», 
г.  Шелехов, квартал 9, дом 8, 
магазин «Весенний», 
г. Шелехов, 1 микрорайон, дом 7 Б, магазин «Вероника»
",,,5/23/2012,,,
99,"ООО ""Чайка"" 3821013100",Межрайонная ИФНС № 1 по Иркутской обл. и УОБАО,Г 888824 № 26 от 24.05.2011 с 24.05.2011 до 24.05.2012,"Иркутская область, Шелеховский район, р.п. Большой Луг, ул.Горная, 8 а, торговый павильон ""Чайка""",,,5/24/2012,,,
100,"ООО «Торговая фирма Меркурий»
3821001338
",ГНИ по г. Шелехову и Шелеховскому району (код 3821),"Г 888871 № 21
от  22.06.2012
с 24.06.2012 
до 24.06.2013
","Иркутская область,         г. Шелехов, 4 микрорайон, дом 37 Б, специализированный отдел в ТЦ ""Меркурий""",,,,,,
101,"ООО «Торговый Дом Шелехов»
3821001698
",ГНИ по г. Шелехову и Шелеховскому району (код 3821),"Г 888870 № 20
от  21.06.2012
с 23.06.2012 
до 23.06.2013
","Иркутская область,          г. Шелехов, квартал 18, дом 9, магазин; Иркутская область, г.Шелехов, квартал 3, за домом №15, магазин.",,,,,,
102,"ООО ""Строй-Шуна+"" 3808177741",Инспекция Федеральной налоговой службы по Правобережному округу г. Иркутска,Г 888872 № 22 от 29.06.2012   с 29.06.2012 до 29.06.2012,"Иркутская область, г. Шелехов, 1 микрорайон, дом 52, помещения № № 1, 2, 3, 15, 16, 17, 17А, магазин ""Эдельвейс""",,,,,,
103,ООО «Зодиак» 3821013982,Межрайонная ИФНС № 1 по Иркутской обл. и УОБАО,"Г 888873 № 23
от  06.07.2012
с 06.07.2012 
до 06.07.2014

","Иркутская область, Шелеховский район, 
д. Олха, ул. Советская, дом 21 ""А"", магазин «Зодиак»
",,,,,,
104,"ООО ""Маяк"" 3811125221",Межрайонная инспекция Федеральной налоговой службы №17 по Иркутской области ,АН00545Пр20 от 13.07.2012 28.11.2008 по 27.11.2013,"в магазинах: г. Ангарск, 33 микрорайон, д. 15; г. Ангарск, м/р-н 8, д. 10, оф. 124; г. Иркутск, бул. Рябикова, д. 20 б; г. Иркутск, ул. 2-я Железнодорожная, 28; г. Иркутск, ул. Баумана, д. 229/3; г. Иркутск, ул. Бородина, д. 11; г. Иркутск, ул. Лермонтова, д. 81/1; г. Иркутск, ул. Маршала Конева, д. 28; г. Иркутск, ул. Партизанская, д. 36; г. Иркутск, ул. Розы Люксембург, д. 217 а; г. Иркутск, ул. Советская, д. 170; г. Иркутск, ул. Советская, д. 176б; г. Иркутск, ул. Депутатская, 84/1; г. Иркутск, ул. рабочего Штаба, 30 А; г. Иркутск, ул. Розы Люксембург, 359; г. Иркутск, ул. Трилиссера, 38А; г. Шелехов, 1 микрорайон, д. 45; г. Шелехов, Култукский тракт, 21А; в отделах, расположенных по адресам: г. Иркутск, м/р-н Первомайский, д. 2/2 (ул. Вампилова); г. Иркутск, м/р-н Первомайский, д. 54; г. Иркутск, м/р-н Юбилейный, д. 42; г. Иркутск, ул. Александра Невского, д. 95; г. Иркутск, ул. Иркутской 30-й Дивизии,д. 23а; г. Иркутск, ул. Карла Маркса, д. 21; г. Иркутск, ул. Лермонтова, д. 78; г. Иркутск, ул. Пискунова, д. 140/6; ",,,,,Администрация г. Иркутска,
,,,,"г. Иркутск, ул. Ржанова, д. 164;г. Иркутск, ул. Розы Люксембург, д. 263Б; г. Иркутск, ул. Ярославского, д.264; п. Молодежный, ул. Кузнецовой, д. 14.",,,,,,
,"ООО ""Торговая компания ""Элис"" 3811155681",Инспекция Федеральной налоговой службы по Октябрьскому округу г. Иркутска,А077Пр6 от 09.07.2012 с 02.02.2012 до 01.02.2014,"в магазинах: г. Иркутск, ул. Рабочего Штаба, 10; г. Иркутск, ул. Розы Люксембург, 293; г. Иркутск, ул. Советская, 63, г. Шелехов, ул. Култукский тракт, д. 17; г. Иркутск, м/н Крылатый, 1; г. Иркутск, м/р Радужный, 114; г. Иркутск, ул. Коммунистическая, 65 а; п. Дзержинск, ул. Аэродромная, д. 2.",,,,,Администрация г. Иркутска,
,,,,,,,,,,
