№ п/п,Наименование организации,ИНН организации,ОГРН организации,Адрес места нахождения организации (юридический адрес),Адрес осуществления вида деятельности ,Регистраци-онный номер организации Серия лицензии Номер лицензии,"Дата выдачи лицензии (месяц, число, год)","Дата окончания действия лицензии (месяц, число, год)",Продленна лицензия,Основание и дата переоформления лицензии,"Дата приоста-новления действия лицензии (месяц, число, год)","Дата возобно-вления действия лицензии (месяц, число, год)","Дата прекра-щения действия лицензии (месяц, число, год)","Дата аннули-рования (месяц, число, год)",Дата прове-дения последней проверки,Примечание,,,,,,,
1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,,,,,,,
1,"ООО ""Альфа""",6706005788,1066712012234,"216330, Смоленская область, Ельнинский район, г. Ельня, ул. Рабочий переулок, д. 4","216330, Смоленская область, Ельнинский район, г. Ельня, ул. Рабочий переулок, д. 4 (магазин), без ограничеий",№ 1157                  Б 004775,18 июля 2011,по 19 июля 2011,до 20 июля 2012,,,,,,,,,,,,,,
2,"ООО ""Кречет""",6731040627,1026701420811,"216360, Смоленская область, Ельнинский район, д. Истопки","216360, Смоленская область, Ельнинский район, д. Истопки (ресторан), без ограничений",№ 1118                 Б 005487,18 мая 2011,по 13 июля 2011,до 14 июля 2014,,,,,,,,,,,,,,
3,"ООО """"Уланкин""",6706005756,1066712011926,"216330, Смоленская область, г. Ельня, ул. Первомайская, д. 18-а","216330, Смоленская область, г. Ельня, ул. Набережная, д. 21/1 (магазин), без ограничений",№ 1034                  Б 005486                     (Г 301903),30 июня 2006,по 30 июня 2011,до 01 июля 2014,,,,,,,,,,,,,,
,,,,,"216330, Смоленская область, г. Ельня, ул. Первомайская, д. 20 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216330, Смоленская область, г. Ельня, ул, Первомайская, д. 20 (кафе), без ограничений",,,,,,,,,,,,,,,,,,
4,"ООО ""Русич""",6706005837,1066712012784,"216330, Смоленская область, г. Ельня, микрорайон Кутузовский","216330, Смоленская область, г. Ельня, микрорайон Кутузовский, 80 метров северо-восточнее дома № 1 (магазин)",№ 1340                В 445751,23 октября 2006,по 23 октября 2011,,,,,,,,,,,,,,,
5,"ООО ""Весна""",6706006238,1096712000516,"216330, Смоленская область, г. Ельня, переулок Смоленский, д. 2, кв. 23","216330, Смоленская область, г. Ельня, ул. Советская, д. 36/2 (магазин), без ограничений",№ 1881                Б 005179,03 декабря 2009,по 03 декабря 2014,,,,,,,,,,,,,,,
,,,,,"216330, Смоленская область, г. Ельня, ул. Пролетарская, д. 75-а (магазин)",,,,,,,,,,,,,,,,,,
,,,,,"216330, Смоленская область, г. Ельня, ул. Энгельса, д. 47 (магазин)",,,,,,,,,,,,,,,,,,
,,,,,"216330, Смоленская область, г. Ельня, ул. Гвардейская, д. 40 (магазин)",,,,,,,,,,,,,,,,,,
6,"ООО ""Лю-Лю""",6706006069,1086712000210,"216330, Смоленская область, г. Ельня, ул. Смоленский большак, д. 40","216330, Смоленская область, г. Ельня, ул. Смоленский большак, д. 40 (магазин)",№ 1697                Г 679744,30 июля 2008,по 30 июля 2013,,,,,,,,,,,,,,,
7,"ООО ""Ароматный рай""",6706005964,1076712000441,"216330, Смоленская область, г. Ельня, ул. Вокзальная, д. 2-а","216330, Смоленская область, г. Ельня, ул. Вокзальная, д. 2-а (магазин)",№ 1564                Г 679570,28 сентября 2007,по 28 сентября 2012,,,,,прекращено по заявлению лицензиата,,,,,,,,,,
8,"ООО ""Виктория""",6706005851,1066712013015,"216343, Смоленская область, Ельнинский район, дер. Шарапово","216343, Смоленская область, Ельнинский район, дер. Шарапова (магазин)",№ 1425                Г 679412,22 января 2007,по 22 января 2012,,,,,,,,,,,,,,,
9,"ООО ""Алена""",6706005749,1066712011717,"216330, Смоленская область, г. Ельня, ул. Партизанская, д. 12, кв. 2","216330, Смоленская область, г. Ельня, ул. Вокзальная, 12-а (магазин)",№ 1417                  Г 679394,27 декабря 2006,по 27 декабря 2011,,,,,,,,,,,,,,,
