"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по Иркутскому районному МО",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),
1,2,3,4,5,6,7,8,9,10,
65,"ООО ""Деликатторг""         ИНН 3827034690",Межрайонная ИФНС №12 по Иркутской области                      ,"А 203139  рег.№40 от 13.09.2010, с 08.06.2010 по 08.06.2012","1. Иркутский район, п. Новая Разводная, ул. Светлая, 45- спец.отдел в магазине ""Элит"" ип Бочковой О.О.; 2. Иркутский район, п. Молодежный, ул. Дорожная, 5 ""а"" - спец. отдел в магазине ""Пикничок"" ип Черепанов Л.А.; 3. Иркутский район, п. Молодежный, ул. Солнечная, 1 - специализированный отдел ООО ""Деликатторг"" в минимаркете ""Family"" ИП Черепанов Л.А.",,,6/8/2012,,,
66,"ООО ""Монополия Сервис""                                 ИНН 3827035301",Межрайонная ИФНС №17 по Иркутской области,"А 203141 рег.номер 43 от 01.10.2010, с 01.10.2010 по 01.10.2015","Иркутский район, 12 км Байкальского тракта - ресторан ""Шинок""",,,,,,
67,"ООО  "" Вектор""                     ИНН 3812103439                   ",ИФНС по  Свердловскому  округу  г.Иркутска,"А 203189 рег № 53 от 28.06.2011г. взаменА 203154 рег. № 72 от 28.12.2010, с 28.12.2010 по 25.08.2013, взамен А 203154 рег.№72 от 28.12.2010, взамен А 203142 рег.№51 от 02.11.2010, взамен А 203140 рег.№ 42 от 01.10.2010, взамен А 203134 рег.№30 от 29.07.2010","1. Иркутский  район, р.п. Листвянка, ул. Горького 29 Д -  бар  в  кафе   2. Иркутский  район, р.п. Листвянка, ул.Горького 29 Д  - отдел  в  магазине 3. Иркутский  район. п. Большая  Речка, ул.Октябрьская 50 А - отдел  в  магазине,  4. г. Иркутск, ул. Степана Разина, 42 - отдел в магазине; 5. Иркутский район. р.п. Зеленый берег, ул. Кедровая. 1 - специализированный отдел ООО ""Вектор"" в магазине ИП Гороховой А.Л,; 6. Иркутский район, д. Малая Еланка,ул. Пролетарская, 5 ""а"" - спц.отдел  ООО Вектор в магазине  ИП Онац М.Н.; 7. Аларский район, п. Кутулик, ул. Степана Разина, 63-2 - спец.отдел в магазине ""Надежда"";8. Иркутск, ул. Доржи Банзарова, 23- спец.отдел в магазине   9.  Иркутский  район, п.Большое Голоустное, ул.Кирова, 57-2, отдел 10. Иркутский район, п. Большое Голоустное. ул. Кирова, 124 - бар; 11. Иркутский район, п. Большое Голоустное, ул. Байкальская, 76 ""А"" - отдел, 12. Боханский район, п. Бохан, ул. Калинина, 45 - специализированный отдел ООО Вектор в магазине, 13. г. Иркутск, ул. Ракитная, 14 - специализтрованный отдел со складом ООО Вектор на базе ТД Юрмико                                       ",,,,,,
68,"ООО ""Богдана""                     ИНН 3827022422",ИФНС №12 по Иркутской области и УОБАО,"А203247 рег.№16 от 12.03.2012г. С 12.03.2012 по 04.02.2013г., взамен  А 203143 рег. № 53 от 13.11.2010г., с 13.11.2010 по 04.02.2013, взамен А 203021 рег.№006 от 04.02.2008","1. Иркутский  район, р.п.Листвянка,  ул.Горького,59 ""А""  кафе  ""Пятый  Океан"".",,,,,,
69,"ООО ""Белая лошадь""         ИНН 3827022542",ИФНС №12 по Иркутской области и УОБАО,"А 203178 от 19.05.2011 рег.№ 38, с 19.05.2011 по 09.09.2012, взамен А 203145 от 26.11.2010 рег.№ 55, с 26.11.2010 по 09.09.2012,","Иркутский район, п.Молодежный, ул.Кузнецовой,11 кафе ""Лина""",,,,,,
70,"ЗАО "" Фудлэнд""                                    ИНН 3827021806",Межрайонная ИФНС №12 по Иркутской области                      ,"АН 00763Пр рег. номер 63 от 17.12.2010, с 09.10.2010 по 08.10.2012","Иркутский район, р.п. Листвянка, ул. Академическая, 13 - ресторан",,,,,Администрация г. Иркутска,
71,"ООО ""МиЛеНа""                         ИНН 3827032678",Межрайонная ИФНС №12 по Иркутской области                      ,"А203212 рег.№96 от 01.11.2011г.,  взамен А 203159 рег.№ 77 от 30.12.2010, с 30.12.2010 по 03.08.2014 ","1. Иркутский район, с. Мамоны, 6Б -  специализированный отдел",,,,,,
72,"ООО ""РоманТиК""               ИНН 3812123717",ИФНС по Свердловскому округу г. Иркутска,"АН00699Пр6 рег. № 2 от 12.01.2011, с 27.01.2010 по 26.01.2015","1.Иркутский район,  Хомутово, ул. Кирова, 77 а - отдел;                                                                         2. Иркутский район, д.Куда, ул. Ленина, 20 а - отдел; 3. Иркутский район, с. Оек, ул. Коммунистическая, 33 А -отдел; 4. Иркутский район, с. Оек, ул. Ленина, 33-2 ""А""-отдел",,,,,администрация г. Иркутска,
73,"ОАО ""Ангарская нефтехимическая компания"" УСКС ИНН 3801009466",Инспекция МНС России по г. Ангарску Иркутской области,"А 176555 рег.номер 12 от 24.02.2011, с08.04.2009 по 08.04.2014","Иркутский район, 48 км Байкальского тракта, столовая базы отдыха ""Ангара""",,,,,администрация Ангарского МО,
74,"ООО ""Зуева""                      ИНН 3827033576",МИФНС № 12 по Иркутской области,"А203162 рег.номер 8 от 14.02.2011г.,  взамен А 203116 рег. номер 042 от 30.12.2009 г., с 30.12.2009 по 30.12.2014 ","Иркутский район, с. Хомутово, ул. Кирова, 109 - специализированный отдел в магазине ""Хуторок"", 2. Иркутский район, с. Хомутово, ул. Горького, 8Б-специализированный отдел ООО ""Зуева"" в магазине ИП Зуевой Л.Г.",,,,,,
75,"ООО ""Русский Север"" ИНН 3811141985",МИФНС №17 по Иркутской области,"АН 00764Пр5 рег. номер 17 от 14.03.2011, с 29.10.2010 по 28.10.2012","Иркутский район, 12 км Байкальского тракта - магазин",,,,,Администрация г. Иркутска,
76,"ООО ""ОМНИ-Сервис""         ИНН 3801069916",ИФНС по г.Ангарску Иркутской оласти,"АП 02950 Пр8 рег.номер 20 от 17.03.2011, с 01.07.2004 по 30.06.2014","Иркутский район, р.п. Маркова, ул. Пригородная,1-магазин",,,,,Администрация г. Иркутска,
77,"ООО ""Ирис""                          ИНН 3812125714",ИФНС по Свердловскому округу г. Иркутска,"А 203170 рег. номер 24 от 01.04.2011, 01.04.2011 по 01.04.2012","Иркутский район, с. Смоленщина, ул. Трудовая, 5В- бар в кафе ""Пилот""",,,,,,
78,"ООО ""Айсберг""                   ИНН 3827035654",МИФНС №17 по Иркутской области,"АН 00784ПР7 рег. номер 21 от 19.04.2012г.  взамен  АН 00784Пр3 рег.номер 25 от 08.04.2011, с 10.12.2010 по 09.12.2015","Иркутский район. СНТ ""Овощевод"", ул. Центральная, 305-отдел",,,,,администрация г. Иркутска,
79,"ООО ""Сиботделстрой""                        ИНН  3827014855",МИФНС № 12 по Иркутской области,"А 244729 №СА 0070 от 18.10.07, вамен А 203172 рег.номер 28от 25.04.2011, с 25.04.2011 по 18.10.12","1. Иркутский район, с.Урик, ул.Лунина, 2 ""З""-  отдел в магазине ""Жасмин"", 2. Иркутский район, с. Урик, ул. Лунина, 1А - магазин ""Мираж""                                                                                                      ",,,,,,
80,"ООО ""Анастасия +""                                              ИНН - 3808132412",Инспекция Федеральной налоговой службы по Правобережному округу г.Иркутска,А 203180  №39  от 25.05.11г.                                с 25.05.11г.                                по 25.05.16г.,"п.Никола, ул.Ангарская, 8- ресторан ""Анастасия""",,,,,,
81,"ООО ""Фантазия""                ИНН 3827036016",Межрайонная инспекция Федеральной налоговой службы №12 по Иркутской области и УОБАО,А 203187 №52                                           от 22.06.11г.                             с 22.06.11г.                                 по 22.06.12г.,"д. Усть - куда, ул. Центральная, 8",,,6/22/2012,,,
82,"ООО ""НордСтар""                       ИНН - 3827020256",Межрайонная инспекция Федеральной налоговой службы №12 по Иркутской области и УОБАО,А 203191 №56                   от 29.06.11г.                               с 29.06.11г.                                            по 29.06.12г.,"р.п.Листвянка, ул.Горького, причал- кафе ""Сарма""",,,6/29/2012,,,
83,"ЗАО Фирма ""Братск Трейдинг Ко., ЛТД""            ИНН 3805401586",Межрайонная инспекция Федеральной налоговой службы №12 по Иркутской области и УОБАО,А 203192 №57                   от 29.06.11г.                               с 29.06.11г.                                            по 29.06.12г.,"10км.+757м. Байкальского тракта - ресторан ""Мельник""",,,6/29/2012,,,
84,"ООО ""Южное""                                          ИНН - 3811099123",Инспекция Федеральной налоговой службы по Октябрьскому округу г.Иркутска,"А 203193 рег.№59 от 04.07.2011, с 04.07.2011-04.07.2012","Иркутский район, 28км Байкальского тракта - специализированный отдел ООО ""Южное"" в магазине ИП Ларина Д.В.",,,7/4/2012,,,
85,"ООО ""Престиж""                                               ИНН - 3827019902",Межрайонная инспекция Федеральной налоговой службы №12 по Иркутской области и УОБАО,"А 203194 рег№ 60 от 07.07.2011, с 07.07.2011-070.07.2016","Иркутский район, с.Хомутово, ул.Гоголя, 1 ""а"" - магазин ООО ""Престиж""",,,,,,
86,"ООО ""Стандарт-Алко"" ИНН 3808154328",ИФНС по Правобережному округу г. Иркутска,"АН00554Пр8 рег.№ 61 от 05.07.2011, с 10.12.2008 - 09.12.2013","1.Иркутский район, Хомутово, ул. Луговая, 2 ""а"" - отдел;     2. Иркутский район, с. Смоленщина, ул. Кайская, 2 ""а""- отдел",,,,,администрация г. Иркутска,
87,"ООО ""Светлый""                                   ИНН - 3827022292",Межрайонная инспекция Федеральной налоговой службы №12 по Иркутской области и УОБАО,"А 203195 рег№63 от 11.07.2011, с 11.07.2011 - 11.07.2012","Иркутский район, п.Малая Топка, ул.Ключевая, 27 ""А"" специализированный отдел ООО ""Светлый"" в магазине ИП Сергеевой Л.А.",,,7/11/2012,,,
88,"ООО ""Наталия""                                            ИНН - 3827021757",Межрайонная инспекция Федеральной налоговой службы №12 по Иркутской области и УОБАО,"А 203046 рег№031 от 13.07.2011, с 13.07.2011-13.07.2013","Иркутский район, д.Куда, ул.Дзержинского, 24 ""А"" - отдел в магазине ""Родник""",,,,,,
89,ООО Виктория                                       ИНН 3827024268,Межрайонная инспекция Федеральной налоговой службы №12 по Иркутской области и УОБАО,"А203265 №36 от 20.07.2012г., взамен          А 244719 от  06.08.2007 Рег № СН 0060 взамен А 203196 рег№67 от 15.07.2011, с 15.07.2011-05.08.2012","1. Иркутский  район, с.Пивовариха ул.Дальняя 3 А отдел в магазине ""Вика""",,,,,,
90,"ООО ""Приозерье""                                 ИНН - 3827022278",Межрайонная инспекция Федеральной налоговой службы №12 по Иркутской области и УОБАО,"А 203198 рег №69 от 21.07.2011, с 21.07.2011- 21.07.2016","Иркутский раон, с.Максимовщина, ул.Озерная, 3 ""А""   специализированный отдел ООО ""Приозерье"" в магазине ИП Старновской В.А.",,,,,,
91,"ООО ""Теремок""                                   ИНН - 3827022101",Межрайонная инспекция Федеральной налоговой службы №12 по Иркутской области и УОБАО,"А 244634 №0047 рег №0047 от 25.07.2006, с 25.07.206-24.07.2011, продлена до 25.07.2012","1. Иркутский район, 17км Байкальского тракта садоводство ""Лесная поляна"" - специализированный отдел в магазине;          2. Иркутский район, 17км Байкальского тракта СНТ ""Лесная поляна"" - специализированный отдел в магазине",,,7/25/2012,,,
92,"ООО ""Бриз""                             ИНН 3812130383",ИФНС России по Свердловскому округу г. Иркутска,"А203263 №34 от 13.07.2012г. , взамен А203250 рег. №23 от 11.05.2012г. С 11.05.2012 по 25.07.2016г.,  взамен А 203242 рег.№ 9 от 08.02.2012, с 08.02.2012 по 25.07.2016 взамен А 203199 рег №71 от 25.07.2011","1. Иркутский район, с. Еловка, ул. Центральная, 39 - специализированный отдел ООО ""Бриз"" в магазине, 2. г. Тулун, ул. Речная, 42 ""а"" - отдел в магазине, 3. Тулунский район, с. Гуран, ул. Бурлова, 24 - отдел в магазине, 4. Братский район, п. Добчур, ул. Советская, 17 ""А"" - отдел в магазине, 5. Братский район, п. Добчур, ул. Горького, 10 - отдел в магазине, 6. Братский район, с. Тэмь, ул. Набережная, 2 ""а"" - отдел в магазине, 7. Братский район, с. Кузнецовка, ул. Советская, 24 - отдел в магазине, 8. Братский район, с. Большеокинское, ул. Мира, 41 - отдел в магазине; 9. Зиминский район,  с. Перевоз, ул. Молодежная, 16Б - отдел в магазине; 10.  г. Зима, ул. Краснопартизанская, д.162 - специализированный отдел ООО ""Бриз"" в магазине ""Дуэт; 11. Заларинский район, п. Тыреть, ул. Трактовая, д.15 - отдел ООО ""Бриз"" в помещении магазина ""Шанс"", 12.Слюдянский район, г. Слюдянка, ул. Слюдянная, д.4 - специализированный отдел в магазине, 13. Слюдянский район, р.п. Култук, ул. Кирова, д.46 - специализированный отдел  в магазине, 14. Слюдянский район, г. Слюдянка, ул. Ленина, д.58 - специализированный отдел в магазине, 15. Слюдянский район, г. Слюдянка, ул. Ленина, д.58 - специализированный отдел  в кафе, 16.г. Зима, пер. Пионерский, д.24 - специализированный отдел в магазине.",,,,,,
93,"ООО ""Продуктовый рай""                          ИНН - 3827022045",Межрайонная инспекция Федеральной налоговой службы №12 по Иркутской области и УОБАО,"А 203200 рег№72 от 26.07.2011, с 26.07.2011 - 26.07.2012","1. Иркутский район, р.п. Листвянка, ул. Горького, 6 - магазин, 2. Иркутский район, р.п. Листвянка, ул. Горького, 6 ""А"" - кафе ""Подкова""",,,7/26/2012,,,
94,ООО Дакси                           ИНН  3827019998          ,Межрайонная инспекция Федеральной налоговой службы №12 по Иркутской области и УОБАО,"А 203201 рег№73 от 27.07.2011, с.27.07.2011-27.07.2012","1.Иркутский район, п.Дзержинск, ул.Центральная, 11 - специализированный отдел ООО ""Дакси"" вв магазине ""Тополь"", 2.  Иркутский район, д.Новолисиха, ул.Дорожная, 2 ""А"" - специализированный отдел ООО ""Дакси"" в магазине ""Космос"", 3.  Иркутский район, п.Дзержинск, ул.Стахановская, 44 ""А"" - специализированный отдел ООО ""Дакси"" в магазине ИП Недбаевского Н.И.",,,7/27/2012,,,
95,"ООО ""21""                                            ИНН - 3827020312",Межрайонная инспекция Федеральной налоговой службы №12 по Иркутской области и УОБАО,"А 203202 рег№75 от 28.07.2011, с28.07.2011 - 28.07.2013","Иркутский район, п.Дзержинск, ул.Стахановская, 22 - специализированный отдел ООО ""21"" в магазине ИП Малышевского С.А.",,,,,,
96,"ООО ""Новая Эра""              ИНН 3808168137",ИФНС по Правобережному округу г. Иркутска,"АН 00364Пр23 рег.№ 76 от 29.07.2011, с 03.08.2007 по 02.08.2012","1.61 км. Байкальского тракта, сад-во ""Никулиха""-отдел, 2. с. Хомутово, ул. Кирова, 75 ""б""-отдел, 3. п.Пивовариха, ул. Дачная, 2""А""-отдел, 4.Пивовариха, ул. Рабочая, 29 ""А2-отдел,5.с.Хомутово, ул. Трактовая, 1 ""а""-отдел, 6.с. Никольск, ул. Комсольская,13""б""-отдел, 7.с. Смоленщина, ул. ул. З.Космодемьянской, 45 ""б""-отдел, 8.с.Смоленщина, ул.Карьерная, 21-отдел, 9. с.Смоленщина, у. Путейская, 7-отдел,10.д.Галки, ул. Первомайская, 22 ""а""-отдел, 11.с.Горохово, ул.школьная, 7-2-отдел,12. д. Зорино-Быково, ул. Трактовая, 5-отдел,13.д.Познякова, ул. Кузьмихенская, 2 ""А""-отдел, 14.п. Плишкино,ул.Совхозная-13-1-отдел,15.с. Горохово, ул.школьная,15-бар,16.Дзержинск, ул. Стахановская, 21 ""а""-отдел,17.ЗДзержинск, ул.Западная, 6-отдел, 18.Хомутово, ул.Кирова, 5 ""б""-отдел, 19.Познякова, ул.Левобережная, 3 ""а""-отдел,20. Листвянка, ул. Горького, 111-кафе,21.галки, ул.Первомайская, 40 ""а""-магазин,22. Хомутово, ул. Сосновая, 27 ""А""-магазин,23. 9 км. Байкальского таркта, ДНТ ""Энергия""-магазин, 24.Кыцигировка, ул. Ленина, 7 ""А""-отдел, 25. Хомутово, ул. Чапаева, 10Б - магазин,",,,,,Администрация г. Иркутска,
,,,,"26.Турская, ул. Центральная, 42 а""-отдел, 27.Иркутский район, ДНТ ""Миловиды"" 3-й км.автодороги Иркутск-Большое Голоустное-отдел, 28. д. Грановщина, ул. Загоскина, 144-бар, 29. с. Хомутово, ул. Трактовая, 1- отдел; 30. Иркутский район, д. Худякова, ул. Депутатская, 9- отдел; 31. Иркутский район, с. Хомутово, ул. Ленская, 44 ""А"" - отдел; 32. Иркутский район, с. Хомутово, ул. Ирины Рогаль, 30 ""Б"" - отдел; 33. Иркутский район, д. Лыловщина, ул.Центральная, 84 ""А"" - отдел, 34. Иркутский район, с. Смоленщина, 2а - отдел, 35. Иркутский район, п. Малая Топка, ул. Ключевая, 45 - отдел;.36. Иркутский район, д. Малая Еланка, ул. Пролетарская, 68А-магазин; 37. Иркутский район, д. Усть-Куда, ул. 4-я Линия, 1 - магазин; 38. Иркутский район, 11 км а/д Иркутск-Голоустное, СНТ-Факел- магазин, 39. Иркутский район, СНТ ""Жаворонки"" ул. Ольховая, 2 - магазин, 40. Иркутский район, д. Куда, ул. Некрасова, 20А- магазин",,,,,,
97,"ООО ""Статус""                ИНН 3827034883",  Межрайонная  инспекция Федеральной налоговой службы №12  по Иркутской  области,А 203203 рег. №77 от 05.08.2011 по 05.08.2012,"Иркутский район, п. Горячий Ключ, ул. Лесная, 10 - специализированный отдел  ОО ""Статус"" в магазине ИП Рогожиной М.Н.",,,,,,
98,"ООО  ""Алекс""                       ИНН 3808131169",Инспекция Федеральной налоговой службы по Правобережному округу г.Иркутска,А 203204 рег. №78 от 05.08.2011 по 05.08.2012,"Иркутский район, д.Лыловщина, ул.Центральная, 60 - специализированный отдел ООО ""Алекс"" в магазине ИП Титкова С.А.",,,,,,
99,"ООО ""Радужка""                                            ИНН 3812088460",Инспекция Федеральной налоговой службы по Свердловскому округу г.Иркутска,А 203205 рег. №79 от 05.08.2011 по 05.08.2012,"Иркутский район, 7км Мельничной Пади, садоводство ""Радужка"" - магазин",,,,,,
100,"ООО ""Сибинтеграл""                                           ИНН 3811037705",Регистрационная палатаАдминистрации г. Иркутска,А 244650 рег.№0063 от 06.08.2011 по 06.08.2012,"Иркутский район, п.Ново-Разводная, ул.Совхозная, 24 ""А""                             специализированный отдел в магазине",,,,,,
101,"ООО ""Степанов  и  К""""                          ИНН  3811034550                 ",  Межрайонная  инспекция Федеральной налоговой службы №12  по Иркутской  области,А 203206 рег. №81 от 12.08.2011 по 12.08.2012,"Иркутский  район, п.Большое  Голоустное, ул.Кирова 14 - специализированный отдел ООО ПОО Степанов и К в магазине",,,,,,
102,"ООО ""Заряд""                       ИНН 3812102153",ИФНС по  Свердловскому округу г. Иркутска, АН 00494Пр26 рег.№ 84 от 19.04.2011г с 08.07.2008 по 07.07.2013,"1. Иркутский район, с. Мамоны, ул. Центральная, 1 а - отдел;  2.  Иркутский район, с. Пивовариха, ул. Озерная, 1-1 - отдел",,,,,Администрация г. Иркутска,
103,"ООО ""Ветер""                          ИНН 3812122167",ИФНС России по Свердловскому округу г. Иркутска,"Г888840 рег.№ 85 от 30.08.2011, с 13.10.2009 по 13.10.2014","1. Иркутский район, с. Хомутово, ул. Колхозная, 134 А - отдел, 2. Иркутский район, д. Карлук, ул. Юбилейная, 19 А - отдел, 3. Иркутский район, п. Малая Топка, ул. Верхняя, 6 Б- отдел, 4. Иркутский район, п. Малая Топка, ул. Ключевая, 43 ""А"" - отдел.",,,,,Администрация Шелеховского муниципального района,
104,"ООО ""Алко Трейд""       ИНН 3827035654",МИФНС №17 по Иркутской области,"А 195015 рег№86 от 31.08.2011, с 18.08.2011-28.06.2013","Иркутский район, д. Ширяева, ул. Ленина, 31 ""а""- отдел",,,,,администрация МО Боханский район,
105,"ООО ""Старт""                                        ИНН 3812120956",МИНФНС № 17 по Иркутской области,"АН 00636 Пр23 рег. № 87 от 26.09.2011, с 30.04.2009 по 29.04.2014","1.Иркутский район, с. Урик, ул. Братьев Ченских, 1б,2. Иркутский район, с. Оек, ул Коммунитическая, 25, 3 Иркутский район, д. Карлук, ул. Солнечная, 2 А ,  4. Иркутский район, с. Малая Еланка, ул. Пролетарская, 67 , 5. Иркутский район, с. Хомутово, ул. Полевая, 43 а; 6. Иркутский район, на пересечении автодорог Иркутск-Усть-Уда и Урик-Усть-Куда;  7.Иркутский район, с. Оек, ул. Кирова, 116 а;  8. Иркутский район, р.п. Маркова, около дома № 5; 9. Иркутский район, п. Западный, пр-д Радиан, 20 ,  10. Иркутский район, 2-й км. автодороги Иркутск-Мельничная Падь - отдел",,,,,Администрация г. Иркутска,
106,"ООО ""Даниил""                      ИНН 3811148405",МИНФНС № 17 по Иркутской области,А 203207 рег.№91 от 27.10.2011 с 27.10.2011г. по 27.10.2012г. ,"Иркутский район, д. Куда, ул. Ленина, 2 - магазин",,,,,,
107,"ООО ""Прибой""                                      ИНН 3827021845",Межрайонная ИФНС №12 по Иркутской области                      ,А 203208 рег.№92 от 27.10.2011 с 27.10.2011г. по 27.10.2012г. ,"1. г. Икутск, ул. Байкальская, 273 А, б/с 3 - магазин ООО ""Прибой"";                                                                                              2. г. Иркутск, ул. Дзержинского, 20 - иагазин ""Продукты"";           3. г. Икутск, ул. Байкальская, 174 А - магазин ""Прибой"".                                        ",,,,,,
108,"ООО ""Изобилие""                   ИНН 3827037820",МИНФНС № 17 по Иркутской области,А 203209 рег.№93 от 28.10.2011 с 28.10.2011г. по 28.10.2014г. ,"Иркутский район, с. Оёк, ул. Кирова, 93 б - магазин",,,,,,
109,"ООО ""Светлячок""              ИНН 3827034763",Межрайонная инспекция Федеральной налоговой службы №12 по Иркутской области и УОБАО,"А 203210 рег. номер №94 от 01.11.2011, с 01.11.2010 по 01.11.2012","1. Иркутский район, р.п. Большая Речка, ул. Октябрьская, 52 ""А"" - специализированный отдел ООО ""Светлячок"" в магазине ИП Черных Р.Г.",,,,,,
110,"ООО ""Валерия""                                   ИНН - 3827019701",Межрайонная инспекция Федеральной налоговой службы №12 по Иркутской области и УОБАО,А 203211 №95                 от 01.11.2011г.                                 с 01.11.2011г.                                    по 01.11.2012г.,"1.д.Коты, ул.Пионерская, 2 ""А"" - магазин,                                                             2. д.Бутырки, ул.Набережная, 52 ""А"" - магазин",,,,,,
111,ООО Шанс                                   ИНН 3827022609 ,Межрайонная ИФНС №12 по Иркутской области                      ,А 203213 №97                 от 03.11.2011г.                                 с 03.11.2011г.                                    по 03.11.2014г.,"1. Иркутский район, с. Мамоны, ул. Садовая, 4 ""Б"" -  магазин",,,,,,
112,ООО АлКом                              ИНН 3827022140,Межрайонная ИФНС №12 по Иркутской области                      ,А 203214 №98                от 03.11.2011г.                                 с 03.11.2011г.                                    по 03.11.2014г.,"1. Иркутский район, с. Пивовариха, ул. Рабочая, 45 ""А"" -  магазин",,,,,,
113,"ООО ""Исток""                                             ИНН - 3827022172",Межрайонная инспекция Федеральной налоговой службы №12 по Иркутской области и УОБАО,А 203215 №100                                 от 09.11.2011г.                                      с 09.11.2011г.                         по 09.11.2016г.,"1.с.Оек, ул.Кирова, 118 ""А"" - магазин ""Галя"";                             2. с.Оек, ул.Коммунистическая - магазин ""Победа"";                                                                                3. с.Оек, ул.Победы, 5 ""В"" - магазин ""Родник"";                                                                             4.д.Сосновый Бор, ул.Урожайная, 10 - магазин ""Лена"";                                                      5. с.Никольск, ул.Комсомольская площадь, 4 - магазин ""Ирина"";                                   ",,,,,,
114,"ООО ""Феникс""                              ИНН - 3827020182",Межрайонная инспекция Федеральной налоговой службы №12 по Иркутской области и УОБАО,А 203216 №101                                 от 15.11.2011г.                                      с 15.11.2011г.                         по 15.11.2012г.,"1. Иркутский район, п. Большая Речка, ул. Ломоносова, 24 - магазине",,,,,,
115,"ООО ""Тонус""                              ИНН - 3811093932",Межрайонная инспекция Федеральной налоговой службы №12 по Иркутской области и УОБАО,А 203217 №102                                 от 23.11.2011г.                                      с 23.11.2011г.                         по 23.11.2012г.,"1. Иркутский район, с. Смоленщина, ул. Заводская, дом 1а - магазине",,,,,,
116,"ООО ""САН-Вояж""                                   ИНН - 3808076091",Инспекция Федеральной налоговой службы по Правобережному округу г.Иркутска,А 203218 №103                                 от 24.11.2011г.                                      с 24.11.2011г.                         по 24.11.2012г.,"1. Иркутский район, р.п.Листвянка, ул.Чапаева, 91 - кафе;                        ",,,,,,
117,"ООО ""Стерх""                                       ИНН - 3827022221",Межрайонная инспекция Федеральной налоговой службы №12 по Иркутской области и УОБАО,"А 203219  №105 от 02.12.11г., с 02.12.2011 по 02.12.2012г.","Иркутский район, с Хомутово , ул. Ленская 11""А"" -магазин",,,,,,
118,"ООО ""Быстро -М"" ИНН 3827037605                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ",Межрайонная инспекция Федеральной налоговой службы №12 по Иркутской области и УОБАО,"А 203220 №106 от 02.12.11г, с 02.12.2011г, по 02.12.2014г.","Иркутский район , п. Молодежный ,2А -магазин",,,,,,
119,"ООО""Гомбоев и компания"" ИНН3827020111",Межрайонная инспекция Федеральной налоговой службы №12 по Иркутской области и УОБАО,"А203221 №107 от  09.12.11г., с 09.12.2011г по 09.12.13г.","Иркутский район,п. Молодежный "" -магазин",,,,,,
120,"ООО ""ВЛ-Байкал"" ИНН3827022334",Межрайонная инспекция Федеральной налоговой службы №12 по Иркутской области и УОБАО,"А203232 №118 от 27.12.11г., с 27.12.2011 по 13.12.12г., взамен А 203223 рег.№108 от 13.12.2011г.","1.Иркутский район р.п. Листвянка , ул. Горького ,29В магазин ""Копейка ""                                                                             2. Иркутский район , ул. Горького ,1б - бар                                   3 Иркутский район р.п. Листвянка , ул. Горького ,29В - гриль-бар",,,,,,
121,"ООО ""Абсолют""              ИНН3812086374",ИФНС по Свердловскому округу г. Иркутск,АНОО11ОПр2 №109 от 24.11.11г.по 29.06.2016г.,"Иркутский район, 9ка. Александровского трактав районе развилки на д. Ангара -бар.",,,,,администрация г. Иркутска,
122,"ПО ""Хомутовское сельпо ИНН 3827000235",Межрайонная инспекция Федеральной налоговой службы №12 по Иркутской области и УОБАО,"А 203224 №110 от 19.12.11г., с 19.12.2012г  по 19.12.2012г.","Иркутский район, с. Урик , ул. Лунина, 2А",,,,,,
123,"ООО ""Прованс"" ИНН3827038285",Межрайонная инспекция Федеральной налоговой службы №12 по Иркутской области и УОБАО,"А 203225 №111 от 21.12.11г., с 21.12.2011г. по 21.12.2012г.","Иркутский район,21 км. Байкальского тракта -ресторан",,,,,,
124,"ООО ""Гаянэ"" ИНН3812087057",ИФНС по Свердловскому округу  г. иркутска,"А 203226  №112 от 22.12.11г., с 22.12.2011г.     по 22.12.2012г."," Иркутский район, пересечение а/д Иркутск -Листвянка - п. Новая Разводная с правой стороны - бар в Кафе",,,,,,
125,"ООО ""Алекс""                      ИНН 3827026949",Межрайонная инспекция Федеральной налоговой службы №12 по Иркутской области и УОБАО,"А203231 №117 от 27.12.11г., с 27.12.2011г по 21.07.13г., взамен А 203061 рег.№045 от 21.07.2008г.","1.Иркутский район, д. Бургаз, переулок Полевой, 2 - спец. отдел;                                                                                               2. Иркутский  район, д. Ревякина, ул. Байкальская  17 А   отдел  в  магазине;                                                                                3. Иркутский  район. д. Черемушки, ул.Дзержинского 40   отдел  в  магазине.",,,,,,
