"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по Иркутскому районному МО",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),
1,2,3,4,5,6,7,8,9,10,
15,"ООО Ресторан ""Легенда Байкала"" ИНН-3827022817",Межрайонная ИФНС №12 по Иркутской области                      ,А244717 №СН0058 от17.07.07 г.           с 17.07.2007 г.      по  16.07.2012 г. ,"р.п.Листвянка, ул.Исток Ангары,11 - ресторан ""Легенда Байкала""",,,7/16/2012,,,
16,"ООО ""Панорама""                ИНН 3827021972",Межрайонная инспекция Федеральной налоговой службы №12 по Иркутской области и УОБАО,А203047    рег. № 032        от   15.04.08 г.                 с 15.04.2008 г.           по 12.06.2012 г.,"Иркутский район, СНТ ""Коммунальник"" ул.Ангарская,13  отдел  в   магазине ""Лабаз""",,,6/12/2012,,,
17,"ООО ""Марислав""                  ИНН-3827024035",Межрайонная инспекция Федеральной налоговой службы №12 по Иркутской области и УОБАО,А244710 СН0052 от13.06.07 г.           с 13.06.07 г.          по 12.06.12 г.,"Иркутский район, с.Хомутово,ул.2-ая Урожайная 29-а специализированный отдел в магазине ""Чародей""",,,6/12/2012,,,
18,ООО Маяк                                                    ИНН  3827025254, МИ ФНС  № 12  по  Иркутской  области  и  УЮБАО,  А 203033 от 20.02.2008г.         Рег.№  018   срок  с 07.09.2007г  по  06.09.2012г.,"Иркутский  район, д.Сосновый  Бор   ул. Мелехова  15              отдел в магазине  ""Лиза""",,,,,,
19,ООО Арго                             ИНН-3827025021         ,МИ  ФНС №12 по Иркутской области и  УОБАО 22.05.2007,А 244727 от 08.10.07г  Рег.№СА 0068   с 08.10.07 по 08.10.12г.,"Иркутский район,с.Максимовщина, ул.Советская 38 А магазин""Арго""",,,,,,
20,ООО  Витим                          ИНН-3808128110                      ,МИ  ФНС  по  Правобережному  округу  г.Иркутска  от02.11.2005г.,рег.  номер  АН 00071 Пр2 от 13.03.2007г.   срок  действия    по 06.06.2012г.,"1..п. Молодежный,(остановка  "" конечная"") магазин",,,,,Администрация г. Иркутска,
21,"ООО  ""Остов""                     ИНН-3827022359,            ",МИ  ФНС  №12  по  Иркутской  области  и  УОБАО,А203031         регистр.  № 017  от 20.02.08                           с14.11.07                 по  14.11.12.,"Иркутский  район  с.  Смоленщина  ул.  Набережная  1  ""а""отдел  в  магазине",,,,,,
22,"ООО  ""Сибирь""                     ИНН-3827025416            ",МИ  ФНС  №12  по  Иркутской  области  и  УОБАО,А 203011  рег. №СА 0081 от 03.12 2007г. с 03.12.07г.по 03.12.2012г.,"Иркутский  район  с.  Хомутово, ул.Полевая,40  магазин",,,,,,
23,"ООО  ""Пятачок""              ИНН-3827026201",Межрайонная инспекция Федеральной налоговой службы №12 по Иркутской области и УОБАО,А 203017 рег. №002 от14.01.08г. С 14.01.08г.  По  14.01.13г.,"Иркутский  район,д. Усть -Куда,ул.  8 линия 1 ""А""  отдел  в  магазине ""Пятачок""",,,,,,
24,ООО  ВТГ                             ИНН-3827021676,Межрайонная инспекция Федеральной налоговой службы №12 по Иркутской области и УОБАО,А  203018                  рег  №003  от20.01.08г.    С 20.01.08 по 20.01.13г.                  ,"Иркутский  район  п. Малое  Голоустное,ул. Чайковского1  отдел  в магазине",,,,,,
25,"П.О "".Хлебокомбинат""      ИНН -3827017951",Межрайонная инспекция Министерства российской Федерации по  налогам  и сборам №12  по  Иркутской области,А  203038  рег. №023 от 28.03.2008г.  С 28.03.2008г  по 28.03.2013г,"Иркутский  район, с.Оек,ул.  Декабристов,37  ""а""  магазин",,,,,,
26,   ООО Аквилон                   ИНН-3827014414,Межрайонная инспекция Министерства российской Федерации по  налогам  и сборам №12  по  Иркутской области,АН 00462  от10. 04.2008   с 11.04.2008г  по 10.04.2013г.,"Иркутский  район,9 км. Качугского тракта  кафе  ""Рябинка""",,,,,Администрация г. Иркутска,
