№ п/п,Наименование организации,ИНН организации,ОГРН организации,Адрес места нахождения организации (юридический адрес),Адрес осуществления вида деятельности ,Регистраци-онный номер организации Серия лицензии Номер лицензии,"Дата выдачи лицензии (месяц, число, год)","Дата окончания действия лицензии (месяц, число, год)",Продленна лицензия,Основание и дата переоформления лицензии,"Дата приоста-новления действия лицензии (месяц, число, год)","Дата возобно-вления действия лицензии (месяц, число, год)","Дата прекра-щения действия лицензии (месяц, число, год)","Дата аннули-рования (месяц, число, год)",Дата прове-дения последней проверки,Примечание
1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19
1,Смоленскому областному союзу потребительских обществ,6731001843,1026701436519,"214000, Смоленская область, г. Смоленск, пр-т. Гагарина, д. 5","214000, Смоленская область, г. Смоленск, пр-т Гагарина, д. 5 (столовая)",№ 1488               Г 679482,17 мая 2007,по 17 мая 2012,,,,,,,,
,,,,,"214000, Смоленская область, г. смоленск, ул. Бакунина, д. 12 (магазин № 5)",,,,,,,,,,,
,,,, ,"214000, Смоленская область, г. Смоленск, ул. Крупской, д. 44-а (закусочная магазина № 3)",,,,,,,,,,,
,,,,,"214020, Смоленская область, г. Смоленск, ул. Шевченко, д. 44 (магазин)",,,,,,,,,,,
2,"ООО ""Оливия""",6730004425,1026701447134,"214004, Смоленская область, г. Смоленск, ул. Багратиона, д. 15-а","214004, Смоленская область, г. Смоленск, ул. Багратиона, д. 15-а (закусочная)",№ 1578                     Г 679587,22 октября 2007,по 22 октября 2012,,,09 августа 2011,,,,,
3,"ООО ""Клуб Кристалл""",6731038106,1026701423649,"214014, Смоленская область, г. Смоленск, ул. Исаковского, д. 3-а","214014, Смоленская область, г. Смоленск, ул. Исаковского, д. 3-а (кафе)",№ 1705                   Г 679752,04 сентября 2008,по 04 сентября 2013,,,,,,,,
4," ООО ""Соната""",6729017571,1086731017966,"214011, Смоленская область, г. Смоленск, ул. Старо-Московская, д. 4","216500, Смоленская область, г. Рославль, ул. Товарная, д. 17 (магазин)",№ 1911               Б 005215,27 апреля 2010,по 27 апреля 2013,,,,,,,,
5,"ООО ""Кольцо""",6730063540,1066731103856,"214020, Смоленская область, г. Смоленск, переулок Буденного, 7-А, 6","214000, Смоленская область, г. Смоленск, ул. Гагарина, д. 39 (магазин), без ограничений",№ 948                      Г 679479,04 мая 2007,по 29 июня 2011,до 30 июня 2014,,,,,,,
6,"ООО ""Заднепровье""",6714000381,1026701421273,"214001, Смоленская область, г. Смоленск, ул. Свердлова, д. 24","215850, Смоленская область, п. Кардымово, ул. Ленина, д. 57 (магазин), без ограничений",№ 681                 Б 005412,18 марта 2011,до 07 апреля 2014,,,,,,,,
7,"ООО ""Автойл""",6730060236,1056758462265,"214004, Смоленская область, г. Смоленск, ул. Академика Петрова, д. 3, кв. 79","214000, Смоленская область, г. Смоленск, ул. Дзержинского, д. 23/2 (бар), без ограничений",№ 1981                        Б 005422,30 марьа 2011,по 30 марта 2014,,,,,,,,
8,"ООО ""Топаз-Е""",6730030739,1026701441579,"214004, Смоленская область, г. Смоленск, ул. Кирова, д. 22-д, кв. 2","214000, Смоленская область, г. Смоленск, ул. Б. Советская, д. 39/11 (магазин), без ограничений",№ 1984               Б 005418,30 марта 2011,по 30 марта 2016,,,,,,,,
,,,,,"214019, Смоленская область, г. Смоленск, ул. Крупская, д. 69/2 (магазин), без ограничений",,,,,,,,,,,
9," ООО""Экспресс-Д""",6729022035,1026701450478,"214000, Смоленская область, г. Смоленск, ул. 2-я линия Красноармейской слободы, д. 38, кв. 10","216100, Смоленская область, Краснинский район, 454 км а/м Москва-Минск, правая сторона (магазин), без ограничений",№ 1903               Б 004796,20 июля 2011,по 28 января 2015,,,,,,,,
,,,,,"216100, Смоленская область, Краснинский район, 454 км а/м Москва-Минск, левая сторона (магазин), без ограничений",,,,,,,,,,,
,,,,,"216100, Смоленская область, Краснинский район, 454 км а\м Москва-Минск, левая сторона (кафе), без ограничений",,,,,,,,,,,
,,,,,"216100, Смоленская область, Краснинский район, 454 км а/м Москва-Минск, правая сторона (кафе), без ограничений",,,,,,,,,,,
10,"ООО ""Витал-С""",6730039820,1026701437696,"214000, Смоленская область, г. Смоленск, ул. Бакунина, д. 10. кв. 72","214031, Смоленская область, г. Смоленск, микрорайон Южный, д. 29-а (магазин), без ограничений",№ 1791                Б 005480,13 мая 2011,по 17 декабря 2013,,,,,,,,
,,,,,"214010, Смоленская область, г. Смоленск, ул. Полевая, д. 35 (магазин), без ограничений",,,,,,,,,,,
11,"ООО ""ЭкоПрод""",6730063893,1066731104846,"214025, Смоленская область, г. Смоленск, ул. Академика Петрова, 2","214025, Смоленская область, г. Смоленск, ул. Академика Петрова, д. 2 (магазин), без ограничений",№ 1163                  Б 005938,19 июля 2006,по 19 июля 2011,до 20 июля 2012,,,,,,,
12,"ООО ""Золотой Вавилон""",6731056521,1066731107695,"214019, Смоленская область, г. Смоленск, п. Тихвинка, д. 10 В","214019, Смоленская область, г. Смоленск, п. Тихвинка, д. 10 В (кафе), без ограничений",№ 2051                     Б 004891,24 августа 2011,до 17 августа 2013,,,,,,,,
,,,,,"214009, Смоленская область, г. Смоленск, микрорайон Южный, д. 40 (ресторан), без ограничений",,,,,,,,,,,
,,,,,"214000, Смоленская область, г. Смоленск, ул. Тухачевского, д. 3 (кафе-бар), без ограничений",№ 1265                  Г 254900,14 августа 2006,по 14 августа 2011,,исключение объекта,,,,,,
,,,,,"214019, Смоленская область, г. Смоленск, ул. Крупской, д. 62/2 (кафе-бар), без ограничений",,,,,исключение объекта,,,,,,
13,"ООО ""ГАУДЕНТЫ""",6730063830,1066731104461,"214038, Смоленская область, г. Смоленск, ул. Гарабурды, 19, 1, 62","214009, Смоленская область, г. Смоленск, Рославльское шоссе, 7 км. (павильон), до 15%",№ 1011               Б 004731,24 августа 2011,до 01 июля 2012,,,,,,,,
,,,,,"214012, Смоленская область, 397 км. а/д Москва-Минск, п. Ольша (бистро), без ограничений",,,,,,,,,,,
,,,,,"214009, Смоленская область, г. Смоленск, Рославльское шоссе, 7 км. (кафе), до 15%",,,,,,,,,,,
14,"ООО ""Золотой Абрикос""",6730064488,1066731107420,"214015, Смоленская область, г. Смоленск, ул. Пионерская, 5","214019, Смоленская область, г. Смоленск, ул. Кирова, д. 43 (кафе), без ограничений",№ 1263                     Г 254905,14 августа 2006,по 14 августа 2011,до 15 августа 2016,,,,,,,
,,,,,"214000, Смоленская область, г. Смоленск, ул. Жукова, д. 9 (кафе), без ограничений",,,,,,,,,,,
15,"ООО ""Теремок""",6729033950,1066731083979,"214006, Смоленская область, г. Смоленск, ул. Юрьева, д. 13, кв. 154","214012, Смоленская область, Витебское шоссе, возле дома 36 (павильон), до 15%",№ 2024               Б 004953                  ( Г 301892) ,30 июня 2011,до 30 июня 2013,,,,,,,,
,,,,,"214012, Смоленская область, г. Смоленск, ул. Нижне-Лермонтовская, д. 13, (магазин), без ограничений",,,,,28 декабря 2011              включение объекта,,,,,,
16,"ООО ""Усадьба""",6729033090,1066731001798,"214000, Смоленская область, г. Смоленск, ул. Бакунина, д. 2-в","214000, Смоленская область, г. Смоленск, ул. Бакунина, д. 2-в (кафе), без гораничений",№ 1277               Б 004755,05 августа 2011,по 23 августа 2011,до 24 августа 2016,,,,,,,
17,"ООО ""Лукоморье""",6731056000,1066731105870,"214031, Смоленская область,г. Смоленск, ул. Рыленкова, д. 4 ""А"", кв. 50","214000, Смоленская область, г. Смоленск, ул. Окт. Революции, д. 9 (кафе) , без ограничений",№ 1148                 Б 004735,18 августа 2011,до 18 июля 2014,,,,,,,,
18,"ООО ""ТЕРРА""",6731056063,1066731105980,"214000, Смоленская область, г. Смоленск, пр-т Гагарина, 3","214000, Смоленская область, г. Смоленск, пр-т Гагарина, д. 3 (кофейня), без ограничений",№ 1239                 Г 254884,08 августа 2006,по 08 августа 2011,до 09 августа 2016,,,,,,,
19,"ООО ""Смоленские топливные системы""",6729021708,1026701432560,"214014, Смоленская область, г. Смоленск, ул. Володарского, д. 3","214030, Смоленская область, г. Смоленск, Краснинское шоссе (магазин при АЗС), без ограничений",№ 1765                  Б 005308,28 декабря 2010,по 26 ноября 2013,,смена юр. адреса,,,,,,
,,,,,"216500, Смоленская область, Рославльский район, д. Крапивна (магазин при АЗС), без ограничений",,,,,,,,,,,
,,,,"214012, Смоленская область, г. Смоленск, ул. Ново-Ленинградская, д. 3",,,,,,,,,,,,
20,"ООО ""Лаваш-2""",6730080112,1086731016690,"214000, Смоленская область, г. Смоленск, пер. Ульянова, д. 9, кв. 58","214000, Смоленская область, г. Смоленск, Рабочий переулок, д. 4 (магазин), без ограничений",№ 1838               Б 004756,05 августа 2011,по 03 апреля 2014,,,,,,,,
,,,,,"214005, Смоленская область, г. Смоленск, улю Ново-Московская, д. 2/8 (магазин), без ограничений",,,,,,,,,,,
,,,,,"214030, Смоленская область, г. Смоленск, Краснинское шоссе, д. 29 (магазин), без ограничений",,,,,,,,,,,
,,,,,"214019, Смоленская область, г. Смоленск, п. Тихвинка, д. 10 (магазин), без ограничений, ",,,,,,,,,,,
,,,,,"216400, Смоленская область, г. Десногорск, 3-й микрорайон (магазин), без ограничений",,,,,,,,,,,
,,,,,"216400, Смоленская область, г. Десногорск, центральная часть города (магазин), без ограничений",,,,,,,,,,,
,,,,,"216400, Смоленская область, пгт. Хиславичи, ул. Урицкого, д. 19 (магазин), без ограничений",,,,,,,,,,,
,,,,,"216620, Смоленская область, пгт. Монастырщина, ул. Интернациональная, д. 26 (магазин), без ограничений",,,,,,,,,,,
