"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО ""Нукутский район""",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),
1,2,3,4,5,6,7,8,9,10,
9,"ООО ""Магнит""       8504004383",Межрайонная ИФНС России №7 по Иркутской области и Усть-Ордынскому Бурятскому автономному округу,А 228794  №2 от 28.08.2008 г. до 28.08.2013 г.,п.Новонукутский         пер.Школьный        д.3.кв.3.                    м-н Магнит,,,,,,
10,"СССПК ""Спектр""                                    8504004489",Межрайонная инспекция Федеральной налоговой службы №7 по Иркутской области,А 228796  №6 от 23.04.2009 г. до 23.04.2014 г.,"п.Новонукутский пер.Школьный,5-1б м-н Раиса",,,,,,
,,,,"п.Новонукутский ул.Баторова,2-3 м-н Хороший",,,,,,
11,"ООО ""Дельта"" 8504004672",Межрайонная инспекция Федеральной налоговой службы №18 по Иркутской области,38 МЕ 003060 №23 от 19.03.2012 г. до 19.03.2014,"п.Новонукутский ул.Ленина 22 кафе ООО ""Дельта""",,,,,,
12,"ООО ""РОСПАК- БАЙКАЛ""     8506005248",Межрайонная инспекция МНС России №7 по Усть-Ордынскому Бурятскому автономному округу,38 МЕ 003059 №22 от 15.02.2012 г. до 04.04.2012,"п.Новонукутский ул.Хангалова 2 А вино-водочный отдел торговый центр ""Байкал""",,,4/4/2012,,,
,,,,"п.Новонукутский ул.Хангалова 2 ""Б"" вино-водочный отдел торговый центр ""Байкал""",,,,,,
,,,,"п.Залари ул.Красина, 33",,,,,,
,,,,"п.Залари ул.Мызгина, 21",,,,,,
,,,,"г.Усолье-Сибирское ул.Карла Маркса, 18 отдел",,,,,,
,,,,г.Ангарск квартал 215 строение 15 помещение 2 отдел,,,,,,
,,,,"г.Иркутск ул.Рабочего Штаба, 27 магазин и склад",,,,,,
,,,,"г.Братск, П 12 07 01 00, отдел",,,,,,
12,"ООО ""Старт"" 3812120956",МИФНС РФ №17 по Иркутской области,38 МЕ 003790 АН 000636 Пр23 от 15.09.2011 г. до 29.04.2014 г. (взамен АН00636 Пр 21 от 2.07.11 г.38 МЕ 003694 до 29.04.2014 г.),"с.Нукуты, ул.Октябрьская,22 ",,,,,Администрация г.Иркутска,
,,,,"с.Куйта, ул.Центральная,1",,,,,,
,,,,"с.Закулей,ул.Ленина,12",,,,,,
,,,,"п.Новонукутский, ул.Татхальная,31",,,,,,
13,"ООО ""Абсолют"" 3814013854",МИФНС РФ №14 по Иркутской области,А 244932 №25 от 19 июля 2012 г. до 25.12.2013 г.,"Иркутская область, Нукутский район, п.Новонукутский, пер.Школьный, 5-1 отдел в магазине «Влад»;",,,,,"Администрация муниципального образования ""Куйтунский район""",
,,,,"Иркутская область, Нукутский район, с.Ункурлик, ул.Трактовая, 17 отдел в магазине «Гермес»;",,,,,,
,,,,"Иркутская область, Нукутский район, с.Хадахан, ул.Школьная, 12 отдел в магазине «Олимп»;",,,,,,
,,,,"Иркутская область, Нукутский район, с.Хадахан, улица Мира 8 отдел в магазине «Березка»;",,,,,,
14,"ООО ""Пять капель"" 3808155025",ИФНС по Правобережному округу г.Иркутска,А 154414 №10 от 27 июня 2012 г. по 20.12.2012 г. (взамен А 154393 №23 от 05.10.2011 г. до 20.12.2012 г..),"с.Хадахан, квартал «Центральный», 1-2 с.Алтарик, ул.Советская,37, с.Хадан, квартал «Центральный», 3-10, с.Хадахан, квартал «Центральный», 1-3, п.Новонукутский, ул.Хангалова,2, с.Закулей, ул.Ленина, 10а, с.Целинный, ул.Трактовая,20, с.Закулей, ул.Хангалова, 37А, д.Шалоты, ул.Школьная,31",,,,,Администрация Зиминского городского муниципального образования,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
15,"ООО ""Гамбит""",МИФНС № 8 по              Иркутской области,А 221951 №195 от 20.06.2011 г. до 13.07.2014 г. (взамен А 221917 № 162 от 02.07.2010 г.  до 13.07.2014 г.),"с.Алтарик, ул.Школьная, м-н""Аршан"" ",,,,,Администрация г. Усолье-Сибирское,
,,,,"д.Кирилловск, ул.Земледельческая м-н ""Аршан-2""",,,,,,
,,,,"с.Алтарик, ул.Нагорная,38 м-н ""Аршан-3""",,,,,,
16,ООО «Алмаз-Зима»,МРИ ФНС России №14 по Иркутской области,А 154417 №12 от 26 июля 2012 г. до 20.10.2012 г.,"Иркутская область, Нукутский район, д.Тангуты, ул.Трактовая, 3 магазин «Долина»",,,,,Администрацией Зиминского городского муниципального образования,
,ИНН 3814016710,,,,,,,,,
