Теньгушевский район,,,,,,,,,,
К-во,Регис-,Серия,"Наименование организации,",,Адреса,Кол - тво,Срок ,№ ,Дата,Ф.И.О.
орга,тра-,лицензии,"юридический адрес, почтовый адрес",,торговых объектов,торговых,действия,"телефона,",приоста-,руководителя (учредителя)
низа,цион-,,,,,объектов,лицензииё,факс,новки и,
ций,ный,,,ИНН,,,,,возобнов-,
,№,,,,,,,,ления,
,лицен-,,,,,,,,лицензии,
,зии,,,,,,,,,
,,,,,"м-н ""Мокша"", Теньгушевский район, с. Нароватово, ул. Садовая, 19",,,,,
,,,,,"м-н ""Родничок"", Теньгушевский район, с. Старая Качеевка, ул. Центральная, 47б",,,,,
,,,,,"м-н ""Мишутка"", Теньгушевский район, с. Такушево, ул. Новая, 7",,,,,
,,,,,"м-н ""Лесной"", Теньгушевский район, с. Хлебино, ул. Советская, 36 а",,,,,
,,,,,"м-н ""Юбилейный"", Теньгушевский район, с. Барашево, ул. Дачная, 32",,,,,
1,411,13 МЕ,"ОАО ""Агрофирма ""Октябрьская"", Лямбирскийр-н",1315012925,"м-н ""Птица"" №9 с. Теньгушево, ул. Ленина, 68а",2,15/12/11,25-27-26,,
,,001888," п. Б. Елховка,ул.Заводская.12",,"м-н ""Птица"" №60 п. Барашево, ул. Вокзальная, 48",,15/04/14,36-22-93,,
1,41,13 МЕ,"ООО ""Купец"", с. Теньгушево, ул. Коммунистическая, 10а",1320001069,"магазин ""Колос"", с. Теньгушево, ул. Коммунистическая, 10а",4,15/03/12,89271856204,,Костин Алексей Михайлович
,,001967,,1111314000600,"магазин ""Мечта"", с. Теньгушево, ул. Ленина, 132а",,30/11/12,,,
,,,,,"магазин ""У дороги"", с. Теньгушево, ул. Новая, 1в",,,,,
,,,,,"магазин ""Татьяна"", с. Красный Яр, ул. Центральная, 41а, Теньгушевский район",,,,,
1,123,13 РМ,"ЗАО ""Тандер"" г. Краснодар, ул. Леваневского,",2310031475,"магазин ""Магнит"", с. Теньгушево, ул. Ленина, 133е",1,15/05/12,570222,,
,,000004,"185, филиал г. Саранск, ул. Невского, 101б",1022301598549,,,15/03/16,89625960666,,
,,,Всего: 53,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
7,,,,,,51,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
