41180,28-Sep-12,,,,,,,,,,,,,
Орг_Прав_Форма,Краткое Наименование,ИНН,Код_ОКПО,Город,Улица,ГородФ,УлицаФ,Поле86,Номер лиценз,Серия бланка,Бланк,Начало действ лицензии,Конец действия лицензии,Конец Срока Продления
Общество с ограниченной ответственностью,"ООО ""Торговый дом ""Сибирский купец""",7017013770,53090776,г. Томск,"Интернационалистов, 22- 77",Асиновский район,"г. Асино, ул. им. Д. Фурманова, д.149",ТОМ,003025АЛ04,70МЕ,485,9/24/2008,1/22/2013,
Потребительское общество,Асиновское городское потребительское общество,7002010705,59685884,Асиновский район г. Асино,"ул. Советская, 44",Асиновский район,"г. Асино, ул. Н. Довгалюка, 17",ТОМ,003647АЛ03,70МЕ,1274,8/15/2012,12/31/2013,
Потребительское общество,Новиковское сельское потребительское общество Асиновского РПС,7002000383,20686382,Асиновский район г. Асино,"ул.Советская, 44",Асиновский район,"с. Новиковка, ул. Гагарина, 94 (закусочная)",ТОМ,005752АЛ01,70МЕ,2395,8/3/2012,8/3/2013,
Потребительское общество,Ягодное сельское потребительское общество Асиновского Райпотребсоюза,7002000256,20686407,Асиновский район,"г. Асино, ул. Советская, 44",Асиновский район,,ТОМ,005283АЛ00,70МЕ,1498,1/26/2010,1/26/2015,
Общество с ограниченной ответственностью,"ООО ""Ютовая  фабрика""",7002001147,20679347,Асиновский район,"г. Асино, ул. Макарова, д. 69",Асиновский район,"г. Асино, пер. Электрический, д.1.",ТОМ,005521АЛ01,70МЕ,2117,12/15/2011,12/15/2012,
Потребительское общество,Ново-Кусковское сельпо,7002000305,20686399,Асиновский район,"с Ново-Кусково, ул.Школьная, 51",Асиновский район,"636810, с. Ново-кусково, ул. Школьная, 42",ТОМ,005541АЛ02,70МЕ,2141,1/1/2012,1/1/2013,
Потребительское общество,Ново-Николаевское СПО Асиновского Райпотребсоюза,7002000707,20686258,Асиновский район,"с.Новониколаевка, ул. Центральная, 96",Асиновский район,,ТОМ,005552АЛ00,70МЕ,2155,2/5/2012,2/5/2013,
Общество с ограниченной ответственностью,"ООО ""ИнтерОпт""",7017097843,71738525,г. Томск,"ул. Дальне-Ключевская, 64",Асиновский район,"г. Асино, ул. Стадионная, 58",ТОМ,003013АЛ04,70МЕ,478,1/11/2008,1/11/2013,
Общество с ограниченной ответственностью,"ООО""Компания ""Стандарт""",7002011843,,Асиновский район,"г. Асино, Ленина, 59",Асиновский район,"г.Асино, ул. Ленина, 59",ТОМ,003864АЛ01,70МЕ,1758,6/1/2011,6/1/2013,
Общество с ограниченной ответственностью,"ООО ""Никадан""",7017118758,,г. Томск,"Рабочая, 66",Асиновский район,"г. Асино, ул. Никитина, 16а",ТОМ,003906АЛ19,70МЕ,1816,12/28/2011,6/7/2013,
Общество с ограниченной ответственностью,"ООО ""Альянс""",7002011804,,Асиновский район,"г. Асино, ул. имени Крупской, 23""а""",Асиновский район,,ТОМ,005683АЛ00,70МЕ,2312,6/20/2012,6/20/2013,
Общество с ограниченной ответственностью,"ООО ""Луч""",7002011949,,Асиновский район,"г. Асино,ул. им. Ленина,88,кв.47",Асиновский район,"г. Асино, п. Причулымский, ул. Лесная, 37",ТОМ,005716АЛ03,70МЕ,2355,7/6/2012,7/6/2014,
Общество с ограниченной ответственностью,"ООО ""Елена""",7002011882,,Асиновский район,"г. Асино, ул. им. Ленина, д.12а",Асиновский район,,ТОМ,005749АЛ00,70МЕ,2391,7/18/2012,7/18/2013,
Общество с ограниченной ответственностью,"ООО ""Асторг""",7002011963,,Асиновский район,"г. Асино, ул. им. Ленина, 128",Асиновский район,"г.Асино, ул.Имени Ленина, 128",ТОМ,005738АЛ01,70МЕ,2380,7/12/2012,7/12/2013,
Общество с ограниченной ответственностью,"ООО ""Лагуна""",7002012011,,Асиновский район,"г. Асино, ул. Гончарова, 163",Асиновский район,,ТОМ,005547АЛ00,70МЕ,2147,1/19/2012,1/19/2013,
Общество с ограниченной ответственностью,"ООО ""МАКС""",7002012149,,Асиновский район,"г. Асино, ул. Павлика Морозова, 5-2",Асиновский район,,ТОМ,005472АЛ00,70МЕ,2055,10/7/2011,10/7/2012,
Общество с ограниченной ответственностью,"ООО ""Ассорти Плюс""",7002012156,,Асиновский район,"г. Асино, площадь Привокзальная, 1",Асиновский район,,ТОМ,005471АЛ00,70МЕ,2470,10/6/2011,10/6/2012,
Общество с ограниченной ответственностью,"ООО ""Торговая сеть ""Вэлс""",7017158775,,г. Томск,"ул. Нижне-Луговая, 16",Асиновский район,"г.Асино, ул.Кирова, д.8",ТОМ,005756АЛ09,70МЕ,2399,9/10/2012,8/3/2013,
Закрытое акционерное общество,"ЗАО ""РегионМарт-Томск""",7017187818,,г. Томск,"ул. Пролетарская, 38 В",Асиновский район,"г. Асино, ул. Станционная, 40/1",ТОМ,004890АЛ15,70МЕ,2407,8/14/2012,8/14/2017,
Общество с ограниченной ответственностью,"ООО ""Полянка""",7002012967,,Асиновский район,"г. Асино, ул. Боровая, 16",Асиновский район,,ТОМ,004933АЛ00,70МЕ,413,11/12/2007,11/12/2012,
Общество с ограниченной ответственностью,"ООО ""Юлия""",7002012942,,Асиновский район,"г. Асино, ул. Ленина,31,кв.66",Асиновский район,,ТОМ,004949АЛ00,70МЕ,441,12/5/2007,12/5/2012,
Общество с ограниченной ответственностью,"ООО ""Асиноптица""",7002012928,,Асиновский район,"г. Асино, ул. Рабочая, д. 118",Асиновский район,,ТОМ,004972АЛ00,70МЕ,470,12/25/2007,12/25/2012,
Общество с ограниченной ответственностью,"ООО""Абсолют-Т""",7017203844,,г. Томск,"ул. Говорова, д.30,кв.51",Асиновский район,"г. Асино, ул. им. Д. Фурманова, 149/1",ТОМ,004996АЛ67,70МЕ,1027,1/19/2012,3/18/2013,
Общество с ограниченной ответственностью,"ООО ""Аллегро""",7002013368,,Асиновский район,"г. Асино, ул. 9 Мая, 70в",Асиновский район,,ТОМ,005100АЛ00,70МЕ,1208,10/29/2008,10/29/2013,
Общество с ограниченной ответственностью,"ООО ""К-плюс2""",7017225380,,г. Томск,"г. Томск, ул. Мокрушина, д. 24, кв. 116",Асиновский район,"с. Батурино, ул. Трактовая, 17",ТОМ,005106АЛ138,70МЕ,1215,6/18/2009,11/10/2013,
Общество с ограниченной ответственностью,"ООО ""БРИГ""",7002013417,,Асиновский район,"с. Батурино, ул. Центральная, 29/1",Асиновский район,,ТОМ,005118АЛ00,70МЕ,1248,12/3/2008,12/3/2013,
Общество с ограниченной ответственностью,"ООО ""АлЕко""",7017231305,,г. Томск,"Иркутский тракт, д. 17, кв. 256",Асиновский район,"г. Асино, ул. Ленина, 30",ТОМ,005169АЛ02,70МЕ,1334,2/16/2009,2/2/2014,
Общество с ограниченной ответственностью,"ООО ""К-плюс3""",7017242064,,г. Томск,"ул. Мокрушина, 24 кв. 116",Асиновский район,"с. Ново-Кусково, ул. Школьная, д. 59а",ТОМ,005230АЛ09,70МЕ,1416,7/27/2012,8/18/2014,
Общество с ограниченной ответственностью,"ООО ""К-плюс 5""",7017253676,,г. Томск,"ул. Мокрушина, д. 24, кв. 116",Асиновский район,"с. Больше-Дорохово, ул. Центральная, 21/3",ТОМ,005286АЛ06,70МЕ,1502,6/8/2010,1/25/2015,
Общество с ограниченной ответственностью,"ООО ""МСК""",7017274940,,г. Томск,"пер. Карский, 70, кв. 74",Асиновский район,"г. Асино, ул. Гончарова, 197/1",ТОМ,005375АЛ27,70МЕ,1624,4/12/2011,12/29/2015,
Общество с ограниченной ответственностью,"ООО ""К-плюс 6""",7017277370,,г. Томск,"ул. Мокрушина, д. 24, кв. 116",Асиновский район,"с. Ново-Кусково, ул. Библиотечная, 7а (магазин)",ТОМ,005583АЛ12,70МЕ,2196,3/18/2012,3/18/2017,
Общество с ограниченной ответственностью,"ООО ""Вэлс Плюс""",7024031723,,г.Северск,"ул. Предзаводская, 14",Асиновский район,"г. Асино, ул. Павлика Морозова, д. 7",ТОМ,005611АЛ01,70МЕ,2227,4/13/2012,4/13/2013,
Общество с ограниченной ответственностью,"ООО ""К-плюс 7""",7017285854,,г. Томск,"ул. Мокрушина, 24-116",Асиновский район,"с. Ягодное, ул. Дорожная, 4а",ТОМ,005742АЛ14,70МЕ,2384,7/12/2012,7/12/2017,
Общество с ограниченной ответственностью,"ООО""Колорит Т""",7017285830,,г. Томск,"пер.Типографский,д.1А,пом.1024-1026",Асиновский район,"с. Минаевка, ул. Строительная, 7",ТОМ,005436АЛ41,70МЕ,1997,11/25/2011,7/20/2014,
Общество с ограниченной ответственностью,"ООО ""Розница К-1""",2225074005,,"Алтайский край, г. Барнаул","ул. Мерзликина, 5",Асиновский район,"г. асино, ул. имени Ленина, 30, пом. 60, 61",ТОМ,005500АЛ01,70МЕ,2095,11/25/2011,11/25/2016,
Общество с ограниченной ответственностью,"ООО ""Абсолют-А""",7017292555,,г. Томск,"ул. Бердская, 27, строение 1",Асиновский район,"г. Асино, ул. Ленина, 7, офис 5",ТОМ,005505АЛ32,70МЕ,2102,3/27/2012,11/23/2012,
Общество с ограниченной ответственностью,"ООО ""К-плюс 8""",7017299529,,г. Томск,"ул. Мокрушина, 24-116",Асиновский район,"г. Асино, пер. Светлый, 16 (магазин);",ТОМ,005582АЛ14,70МЕ,2195,5/21/2012,3/13/2017,
Общество с ограниченной ответственностью,"ООО ""Солнечный берег""",7014053809,,г. Томск,"ул. Мичурина, 47, офис 90",Асиновский район,"636840, г. Асино, ул. Гончарова, 113а",ТОМ,005614АЛ01,70МЕ,2230,4/13/2012,4/13/2013,
Общество с ограниченной ответственностью,"ООО ""Сибиряк""",7017303091,,г. Томск,"ул. Белинского,58а",Асиновский район,"г. Асино, ул. им. Ленина, 72 (магазин).",ТОМ,005623АЛ06,70МЕ,2240,6/20/2012,4/25/2017,
Общество с ограниченной ответственностью,"ООО ""ШИНа 1""",7024032558,,г. Томск,"ул. Шпальная, 1",Асиновский район,"с. Батурино, ул. Промышленная, 30",ТОМ,005336АЛ16,70МЕ,2304,6/13/2012,4/30/2015,
Потребительское общество,"Потребительское общество ""Асиновский общепит""",7002016513,,Асиновский район,"г. Асино, ул. Советская, 44",Асиновский район,,ТОМ,005778АЛ00,70МЕ,2424,8/1/2012,8/1/2015,01-Jun-13
,,,,,,,,,,,,,,01-Jun-13
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
