41180,28-Sep-12,,,,,,,,,,,,,
Орг_Прав_Форма,Краткое Наименование,ИНН,Код_ОКПО,Город,Улица,ГородФ,УлицаФ,Поле86,Номер лиценз,Серия бланка,Бланк,Начало действ лицензии,Конец действия лицензии,Конец Срока Продления
Закрытое акционерное общество,"ЗАО ""Колпашевский заготпром""",7007005040,28827913,Колпашевский район,"г.Колпашево, ул.Советская, д.9",Колпашевский район,,ТОМ,005281АЛ00,70МЕ,1496,1/26/2010,1/26/2015,
Открытое акционерное общество,"ОАО ""Сибирский торговый дом""",7007001207,14745504,Колпашевский район,"г.Колпашево, ул.Ленина, 42",Колпашевский район,,ТОМ,005280АЛ00,70МЕ,1495,1/26/2010,1/26/2015,
Общество с ограниченной ответственностью,"ООО ""Переправа""",5407255354,70506116,Колпашевский район,"с. Озерное, ул. Трактовая, 1",Колпашевский район,"с.Озерное, ул.Трудовая, д.7",ТОМ,005581АЛ01,70МЕ,2446,1/26/2010,1/26/2015,
Общество с ограниченной ответственностью,"ООО ""ИнтерОпт""",7017097843,71738525,г. Томск,"ул. Дальне-Ключевская, 64",Колпашевский район,"г. Колпашево, ул. Ленина, 32, стр. 2, пом. 8",ТОМ,003013АЛ08,70МЕ,478,1/26/2010,1/26/2015,
Общество с ограниченной ответственностью,"ООО ""Уют-Сервис""",7007007664,71737388,Колпашевский район,"г. Колпашево, ул. Победы, 21/4",Колпашевский район,"г. Колпашево, ул. Победы, 21/4",ТОМ,003157АЛ01,70МЕ,1017,1/26/2010,1/26/2015,
Общество с ограниченной ответственностью,"ООО ""Сентябрь""",7007008107,76651697,Колпашевский район,"г. Колпашево, ул. Речников, д. 12",Колпашевский район,,ТОМ,003505АЛ00,70МЕ,1179,1/26/2010,1/26/2015,
Общество с ограниченной ответственностью,"ООО ""Славянка""",7007008668,,Колпашевский район,"г. Колпашево, мкр Геолог, д. 6/1",Колпашевский район,,ТОМ,005580АЛ00,70МЕ,2191,1/26/2010,1/26/2015,
Общество с ограниченной ответственностью,"ООО ""Диалог""",7007008770,,Колпашевский район,"г. Колпашево, ул. Победы, д. 4",Колпашевский район,,ТОМ,005703АЛ00,70МЕ,2340,1/26/2010,1/26/2015,
Общество с ограниченной ответственностью,"ООО ""Кеть""",7007008812,,Колпашевский район,"с. Тогур, ул. Советская, 37",Колпашевский район,,ТОМ,005725АЛ00,70МЕ,2365,1/26/2010,1/26/2015,
Общество с ограниченной ответственностью,"ООО ""Статус""",7007009260,,Колпашевский район,"г. Колпашево,ул. Обская,63",Колпашевский район,,ТОМ,005791АЛ00,70МЕ,2440,1/26/2010,1/26/2015,
Общество с ограниченной ответственностью,"ООО ""Лагуна""",7007008971,,Колпашевский район,"г. Колпашево, ул. Мира, 57",Колпашевский район,"г.Колпашево, ул.Мира, д.57",ТОМ,005800АЛ01,70МЕ,2452,1/26/2010,1/26/2015,
Общество с ограниченной ответственностью,"ООО ""Ирина""",7007009340,,Колпашевский район,"д. Новогорное, ул. Полевая, 9",Колпашевский район,,ТОМ,004221АЛ00,70МЕ,1953,3/13/2012,3/13/2015,
Общество с ограниченной ответственностью,"ООО ""Вымпел-М""",7017095839,,г. Томск,"ул. Ижевская, 44",Колпашевский район,"636460 г. Колпашево, ул. Белинского, 5, пом. 2 (ресторан)",ТОМ,005792АЛ02,70МЕ,2441,5/14/2008,1/11/2013,
Общество с ограниченной ответственностью,"ООО ""Ивушка""",7007008900,,Колпашевский район,"г. Колпашево, ул. Белинского,21,стр.1",Колпашевский район,,ТОМ,005503АЛ00,70МЕ,2100,3/28/2008,3/28/2013,
Общество с ограниченной ответственностью,"ООО ""Феникс""",7007008964,,Колпашевский район,"г. Колпашево,ул. Ленина,32,стр.3,п.1",Колпашевский район,"г.Колпашево, ул.Ленина, д.32, стр.3, пом.1",ТОМ,005784АЛ01,70МЕ,2430,10/17/2008,10/17/2013,
Общество с ограниченной ответственностью,"ООО ""Грин""",7007009573,,Колпашевский район,"г. Колпашево, , мкр. Геолог, 9, кв.39",Колпашевский район,,ТОМ,005442АЛ00,70МЕ,2016,10/17/2008,10/17/2013,
Общество с ограниченной ответственностью,"ООО ""Галант""",7007009615,,Колпашевский район,"с. Новоселово, ул. Центральная, 2-2",Колпашевский район,"с. Новоселово, ул. Центральная,11/2",ТОМ,005498АЛ02,70МЕ,2093,3/14/2012,3/14/2013,
Общество с ограниченной ответственностью,"ООО""Дионис плюс""",7017189999,,г. Томск,"ул. Ачинская, 20",Колпашевский район,"г. Колпашево. ул. Гоголя, 172/1  (магазин)",ТОМ,005807АЛ07,70МЕ,2465,3/14/2012,3/14/2013,
Общество с ограниченной ответственностью,"ООО""Феникс""",7007010106,,Колпашевский район,"г. Колпашево,мкр.Геолог,17-9",Колпашевский район,,ТОМ,004941АЛ00,70МЕ,429,3/14/2012,3/14/2013,
Общество с ограниченной ответственностью,"ООО ""Восток""",7007010089,,Колпашевский район,"г. Колпашево, ул. Пушкина, д. 30а",Колпашевский район,,ТОМ,004950АЛ00,70МЕ,442,3/14/2012,3/14/2013,
Общество с ограниченной ответственностью,"ООО ""Санаторий  ""Источник""",7007009608,,"Колпашевский район, с. Чажемто,","0,2км на север от ГСЛРУсан.Чажемто,4",Колпашевский район,,ТОМ,004971АЛ00,70МЕ,469,7/1/2012,7/1/2013,
Общество с ограниченной ответственностью,"ООО ""Армения""",7007010145,,Колпашевский район,"г. Колпашево, ул. Белинского, 16/2, стр. 1",Колпашевский район,,ТОМ,004983АЛ00,70МЕ,491,7/1/2012,7/1/2013,
Общество с ограниченной ответственностью,"ООО""Старт""",7007010191,,Колпашевский район,"с. Тогур,пер. Сибирский,д.9,кв.1",Колпашевский район,,ТОМ,004988АЛ00,70МЕ,1012,7/9/2012,7/9/2013,
Общество с ограниченной ответственностью,"ООО ""Ласточка""",7007010177,,Колпашевский район,"с. Чажемто, ул. Дзержинского, 21-2",Колпашевский район,"с. Чажемто, ул. Сибирская, 20, пом. 1",ТОМ,004992АЛ02,70МЕ,1020,7/9/2012,7/9/2013,
Общество с ограниченной ответственностью,"ООО""Абсолют-Т""",7017203844,,г. Томск,"ул. Говорова, д.30,кв.51",Колпашевский район,"г. Колпашево, пер. Моховой, 12",ТОМ,004996АЛ22,70МЕ,1027,7/9/2012,7/9/2013,
