№ п/п,Наименование организации,ИНН организации,ОГРН организации,Адрес места нахождения организации (юридический адрес),Адрес осуществления вида деятельности ,Регистраци-онный номер организации Серия лицензии Номер лицензии,"Дата выдачи лицензии (месяц, число, год)","Дата окончания действия лицензии (месяц, число, год)",Продленна лицензия,Основание и дата переоформления лицензии,"Дата приоста-новления действия лицензии (месяц, число, год)","Дата возобно-вления действия лицензии (месяц, число, год)","Дата прекра-щения действия лицензии (месяц, число, год)","Дата аннули-рования (месяц, число, год)",Дата прове-дения последней проверки,Примечание,,,,,,,
1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,,,,,,,
1,"ООО ""Ирбис""",6703004962,1066713009571,"216240, Смоленская область, Демидовский район, г. Демидов, ул. Хренова, д. 5-в","216240, Смоленская область, г. Демидов, ул. Хренова, д. 5-а (магазин), без ограничений",№ 1025                      Б 004984,10 июля 2011,по 01 июля 2012,,,,,,,,,,,,,,,
,,,,,"216240, Смоленская область, г. Демидов, ул. Гуреевская, д. 120 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216240, Смоленская область, г. Демидов, ул. Советская, д. 7 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
2,"ООО ""ВАЛЕРИЯ""",6703004916,1066713001398,"216240, Смоленская область, г. Демидов, ул. Хренова, д. 5-а","216783, Смоленская область, Руднянский район, п. Понизовье (отдел в магазине), без ограничений",№ 778                  Б 005533 ,05 июня 2006,по 05 июня 2011,до 06 июня 2012,,,,,,,,,,,,,,
3,"ООО ""Визит""",6703004994,1066713009670,"216240, Смоленская область, г. Демидов, ул. Советская, 8","216240, Смоленская область, г. Демидов, ул. Советская, д. 8 (закусочная), без ограничений",№ 1004                  Б 005836,05 июля 2006,по 05 июля 2011,до 06 июля 2012,,,,,,,,,,,,,,
,,,,,"216240, Смоленская область, г. Демидов, ул. Советская, д. 8 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
4,"ООО ""ГЕРМЕС ПЛЮС""",6703004955,1066713009550,"216240, Смоленская область, г. Демидов, проезд Суворовский, д. 3","216240, Смоленская область, г. Демидов, ул. Советская, д. 62 (магазин), без ограничений",№ 914                 Б 005670,26 июня 2006,по 26 июня 2011,до 27 июня 2014,,,,,,,,,,,,,,
,,,,,"216240, Смоленская область, г. Демидов, Суворовский проезд, д. 3 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
5,"ООО ""Надежда""",6703001263,1026700646257,"216240, Смоленская область, г. Демидов, ул. Коммунистическая, д. 3","216240, Смоленская область, г. Демидов, ул. Коммунистическая, д. 3 (магазин)",№ 1743                  Г 679798,18 ноября 2008,по 18 ноября 2013,,,,,,,,,,,,,,,
,,,,,"216270, Смоленская область, Демидовский район, п. Пржевальское, ул. Советская, д. 5 (магазин)",,,,,,,,,,,,,,,,,,
,,,,,"216270, Смоленская область, Демидовский район, п. Пржевальское, ул. Советская, д. 27 (магазин)",,,,,,,,,,,,,,,,,,
,,,,,"216270, Смоленская область, Демидовский район, д. Холм, Пересудовского с/п (магазин)",,,,,,,,,,,,,,,,,,
,,,,,"216261, Смоленская область, Демидовский район, д. Заборье (магазин)",,,,,,,,,,,,,,,,,,
6,"ООО ""Ветерок""",6703003912,1026700646829,"216270, Смоленская область, Демидовский район, п. Пржевальское, ул. Пржевальского, д. 37","216270, Смоленская область, Демидовский район, п. Пржевальское, ул. Курортная, д. 1 (кафе)",№ 1675                    Г 679700,04 июня 2008,по 04 июня 2013,,,,,,,,,,,,,,,
7,"ЗАО ""Регион-Астра""",6730030591,1026701437290,"Смоленская область, Демидовский район, д. Никитенки","Смоленская область, Демидовский район, д. Никитенки (бар)",№ 1701               Г 679745,30 июля 2008,по 30 июля 2013,,,,,,,,,,,,,,,
,,,,,"214000, Смоленская область, г. Смоленск, ул. Студенческая, д. 4 (ресторан)",,,,,,,,,,,,,,,,,,
,,,,,"214000, Смоленская область, г. Смоленск, ул. Студенческая, д. 4 (дегустационный зал)",,,,,,,,,,,,,,,,,,
8,"ООО "" Феникс""",6703005331,1086713000868,"216270, Смоленская область, Демидовский район, п. Пржевальское, ул. Советская, д. 29","216270, Смоленская область, Демидовский район, д. Бакланово (магазин), без ограничений",№ 1827                Б 005095                  ( Г 301776),29 января 2009,по 29 января 2014,,,,,,,,,,,,,,,
,,,,,"216270, Смоленская область, Демидовский район,д. Корево (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216270, Смоленская область, Демидовский район,д.Жеруны (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216270, Смоленская область, Демидовский район,д.Михайловское (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216270, Смоленская область, Демидовский район,д.Евсеевка (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216270, Смоленская область, Демидовский район,д. Гончарово (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216270, Смоленская область, Демидовский район,д. Пересель (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216270, Смоленская область, Демидовский район,д. Покровское (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216270, Смоленская область, Демидовский район, п. Пржевальское, ул. Советская, д. 29 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216270, Смоленская область, Демидовский район, п. Пржевальское, ул. Советская, д. 9-а  (кафе), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216270, Смоленская область, Демидовский район,д. Подосинки (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216270, Смоленская область, Демидовский район, п. Пржевальское, ул. Советская, д. 25 (столовая), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216270, Смоленская область, Демидовский район, п. Пржевальское, ул. Курортная, д. 5-а (магазин), без ограничений",,,,,12 октября 2011            включение объекта,,,,,,,,,,,,,
9,"ПО ""Феникс"" Демидовского района",6703003479,1026700644926,"216240, Смоленская область, г. Демидов, ул. Гуреевская, д. 7","216240, Смоленская область, г. Демидов, ул. Советская, д. 3 (столовая) без ограничений",№ 1483                   Г 679475,06 мая 2007,по 06 мая 2012,,,,,,,,,,,,,,,
,,,,,"216240, Смоленская область, Демидовский район, п. Пржевальское (столовая) без ограничений",,,,,,,,,,,,,,,,,,
