"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО ""Аларский район""",,,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,,
,,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),,
1,2,3,4,5,6,7,8,9,10,,
,3808155025,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
17,ООО « Белый Лотос»,МИ ФНС № 10 по Иркутской области,Д-057065 от 02.03.2010 по 02.03.2015 г..,м-н Белый Лотос»,,,,,,,
,3820014687,,,"с. Табарсук,ул. Чумакова 32»а»",,,,,,,
,,,,м-н «Юбилейный»,,,,,,,
,,,,"д. Маниловская, ул. Советская,28",,,,,,,
,,,,м-н « Маленький»,,,,,,,
,,,,"п. Ангарский, ул. 40 лет Победы 26-1",,,,,,,
18,ООО « Старт»,МИ ФНС № 18 по Иркутской области,АН 00636Пр22 от 09.08.2011г.,,,,,,Администрацией г. Иркутска,,
,3812120956,,,"в отделе м-н п. Забитуй, ул. Первомайская, 77»а»",,,,,,,
,,,,,,,,,,,
,,,,"в отделе м-н п. Кутулик, ул. Советская,107 «а»",,,,,,,
19,ООО « Вектор»,МИ ФНС № 17 по Иркутской области,А 203142 рег № 51 от 02..11..2010г.,"В специализированном отделе в м-не « Надежда» п. Кутулик, ул. Степана Разина, 63-2 ",,,,,Иркутским районным муниципальным образованием,,
,,,,,,,,,,,
20,ООО,МИ ФНС № 10 по Иркутской области,А 167654 рег. № 5 от 27.12.2010г. до 31.03.2013г.,"д. Тютрино, ул. Центральная,2,",,,,,Черемховской районной администрацией,,
, « Ремонтный завод» 3820009084,,,павильон,,,,,,,
21,"ООО "" Ангара-Сервис"" ",МИ ФНС № 7 по Иркутской области, 38 МЕ 003046 рег. № 14 от 29.12.2010г. По 29.12.2015г.,"магазин "" Ангара-Сервис"" д. Быково",,,,,"Администрацией муниципального образования "" Нукутский район""",,
22," ООО "" Водолей"" ИНН 8501006992",Ми ФНС № 10 по Иркутской области,Д 518226 от 12.05.2012г. По 12.05.2013г.,"м-н "" Водолей"" п. Кутулик, ул. Советская. 105 ""а""",,,,,,,
23,"ООО "" Градус"" ИНН",МИ ФНС № 18 по Иркутской области,№ 98 от 05..05.2011г. 38 МЕ 002927," отдел в м-не "" Ангарский"" с. Апхульта, ул. Октябрьская, 27 ",,,,,"Администрацией "" город Черемхово""",,
24,"ООО "" Войсковой тыл ИНН 8501006978",МИ ФНС № 18 по Иркутской области,Д 518158рег.№ 7 от 06.07.2011 до 06.07.2012г.,"г. Иркутск-45, в/ч 77985, здание 228-229, магазин "" Центрум""",,,7/6/2012,,,,
25,"ООО "" Дарюс"" ИНН 8506010142",МИ ФНС № 7 по Иркутской области и УОБАО,Д 518202 от 15.12.2011 по 18.07.2012г.,"м-н "" Нива"", п Кутулик, ул. Советская,113; торговый павильон "" Беленький"" п. Кутулик, ул. Советская,101; ; кафе "" оАЗиС"" п. Кутулик, 1712км + 200м слева а/д Красноярск-Иркутск",,,7/18/2012,,,,
26,Нельхайский совхозрабкооп  8501002846,МИ ФНС № 7 по УОБАО,"Д 518206 от 20.12.2011 по 22.08.2012г., рег № 15","магазин № 6 д. Егоровская, ул. Центральная,10 ; магазин № 1 с. Апхульта, ул. Октябрьская, д.6 А ; магазин № 21 д. Хуруй, ул. Четвертая, д.2",,,,,,,
27,"ООО "" РОЗА""  8501006463",МИ ФНС № 7 по УОБАО,Д 518200 от 03.11.2011г. по 03.10.2012г.,"магазин ""Роза"" п. Кутулик, каартал ""А"",д.12",,, ,,,,
28," ООО ""Океан""3851001840",МИ ФНС № 18 по Иркутской области,Д 518207 от 30.12.2011 по 30.12.2012,"«  отдел в магазине Центральный» п. Забитуй, ул. Первомайская,48",,,,,,,
29," ООО ""Волна, ИНН 3812125802",МИ ФНС №17 по Иркутской области,Д 224293 рег. № 02 от 23.01.2012 по 22.01.2017г.,"отдел в магазине  д. Ныгда, ул.Комсомольская,5 ;     отдел в магазине п. Кутулик, ул. Рабочая,28 ""а""          ",,,,,Администрацией мниципальногорайона Усольского районного муниципального образования.,,
30,"ООО ""Исток"" ИНН 3814016083",МИ ФНС № 14 по Иркутской области,Д 518227 от 14.05.2012г. по 14.05.2013г.,"п. Залари, ул. Урицкого, 35 отдел ООО ""Исток"" в магазине ""Сатурн""",,,,,,,
31,"ООО ""Запчастьсервис"" ИНН 3810319640",МИ ФНС  по Ленинскому округу г. Иркутска,Д 518157 от 24.05.2011 по 24.05.2012,"с. Иваническ, ул. Центральная, № 96 ""а""",,,24.05.2012г.,,,,
32,"ООО ""Аларская долина"" ИНН 3851001720",МИ ФНС № 18 по Иркутской области,Д 518155 от 31.03.2011г по 31.03.2012г.,"отдел в магазине ""Аларская долина"" с. Алапрь, ул. Ербанова,14-1; отдел в магазине ""Янта"" п. Кутулик, ул. Советская,75; отдел в кафе ""Бурятская кухня"" п. Кутулик, ул. Соыветская,75; кафе ""Юрта"" г Черемхово, ул. Первомайская, 138",,,31.03.2012г.,,,,
33.,"ООО ""Татьянин день"", ИНН 8501006569",МИ ФНС № 7 по Иркутской области и УОБАО,004-РАП от 15.02.2007 по 15.02.2012г.,"магазин ""Кристалл"" п. Кутулик, ул. Дзержинского,11; магазин ""Татьянин день"" п. Кутулик, квартал ""А""; магазин ""Кристалл"" п. Кутулик, ул. Советская",,,15.02.2012г.,,,,
34.,"ООО ""Исток"" ИНН 3814016083",МИ ФНС №14 по Иркутской области,Д 518201 от 15.04.2011 по 15.04.2012г,"отдел в магазине №Сатурн"" с. Александровск, ул. Центральная, 50; отдел ООО ""Исток"" п. Залари, ул. Урицкого,35, отдел в магазине ""Сатурн"" п. Забитуй, ул. Гоголя,2-4",,,15.04.2012г.,,,,
35.," ООО "" Водолей"" ИНН 8501006992",Ми ФНС № 10 по Иркутской области,Д 518156 от 10.05.11ш.,"м-н "" Водолей"" п. Кутулик, ул. Советская. 105 ""а""",,,5/10/2012,,,,
