На 10.10.2012,,,,,,,
,,,,,,,
Наименование,ИНН,Место нахождения,Адрес места осуществления деятельности,Наименование места осуществления деятельности,Серия и номер лицензии,Дата начала,Дата окончания
"МУП ""Ресторан ""Грот""",2501010236,"Приморский край, г Арсеньев, ул Береговая д.5а","Приморский край, г Арсеньев, ул Береговая д.5а",ресторан,ПК0056254,29.05.2008,29.05.2013
"ООО "" Фаворит""",2501016083,"Приморский край, г Арсеньев, ул Островского д.18/1","Приморский край, г Арсеньев, ул Островского д.18/1",магазин,ПК0060636/4049,04.09.2012,04.09.2015
"ООО ""Алмаз""",2501014022,"Приморский край, г Арсеньев, ул Ломоносова д.27","Приморский край, г Арсеньев, ул Ломоносова д.27","Магазин ""Лада""",ПК0056443,27.01.2009,27.01.2014
"ООО ""Алькор""",2501012339,"Приморский край, г Арсеньев, ул Ломоносова д.22","Приморский край, г Арсеньев, ул Октябрьская д.82","Магазин ""Алькор плюс""",ПК0058921/2333,20.06.2011,20.06.2014
"ООО ""Алькор""",2501012339,"Приморский край, г Арсеньев, ул Ломоносова д.22","Приморский край, г Арсеньев, ул Ломоносова д.22","Магазин ""Алькор""",ПК0058921/2333,20.06.2011,20.06.2014
"ООО ""Атлас""",2501012057,"Приморский край, г Арсеньев, ул Октябрьская д.18/1-1","Приморский край, г Арсеньев, ул Октябрьская д.18, пом.1","Магазин ""Атлас""",ПК0059778/3190,27.01.2012,19.02.2017
"ООО ""Бахус""",2501011913,"Приморский край, г Арсеньев, ул Ломоносова д.25","Приморский край, г Арсеньев, ул Ломоносова д.25, Лит А",Магазин ,ПК0059844/3257,21.02.2012,26.02.2017
"ООО ""Белочка""",2501014390,"Приморский край, г Арсеньев, ул Жуковского д.40","Приморский край, г Арсеньев, ул Жуковского д.40","Магазин ""Белочка""",ПК0057633/1046,27.01.2010,29.01.2015
"ООО ""Велес""",2501012586,"Приморский край, г Арсеньев, ул Щербакова д.40","Приморский край, г Арсеньев, ул Щербакова д.40",Магазин,ПК0059490/2903,03.11.2011,04.11.2016
"ООО ""ВладПромСоюз""",2501014791,"Приморский край, г Арсеньев, пер Ирьянова д.9","Приморский край, г Арсеньев, пер Ирьянова д.9",Магазин,ПК0059484/2897,31.10.2011,09.11.2012
"ООО ""ГЕРМЕС""",2501015178,"Приморский край, г Арсеньев, ул Кирзаводская д.10а","Приморский край, г Арсеньев, ул Октябрьская д.91/1",Магазин,ПК0058807/2220,30.05.2011,12.11.2012
"ООО ""ГЕРМЕС""",2501015178,"Приморский край, г Арсеньев, ул Кирзаводская д.10а","Приморский край, г Арсеньев, ул Матросова д.1",Магазин,ПК0058807/2220,30.05.2011,12.11.2012
"ООО ""ГЕРМЕС""",2501015178,"Приморский край, г Арсеньев, ул Кирзаводская д.10а","Приморский край, г Арсеньев, ул Кирзаводская д.10а",Отдел в магазине,ПК0058807/2220,30.05.2011,12.11.2012
"ООО ""ГЕРМЕС""",2501015178,"Приморский край, г Арсеньев, ул Кирзаводская д.10а","Приморский край, г Арсеньев, ул Жуковского д.130",Отдел в магазине,ПК0058807/2220,30.05.2011,12.11.2012
"ООО ""Гастропаб""",2501015869,"Приморский край, г Арсеньев, Проспект Горького д.1-офис 1","Приморский край, г Арсеньев, Проспект Горького д.1","кафе ""Куршевель""",ПК0060600/4013,15.08.2012,15.08.2017
"ООО ""Глория""",2501008484,"Приморский край, г Арсеньев, Проспект Горького д.17","Приморский край, г Арсеньев, Проспект Горького д.17","Магазин ""Глория""",ПК0058842/2254,02.06.2011,14.06.2016
"ООО ""Гостиный Двор""",2501011007,"Приморский край, г Арсеньев, Гостиный проезд д.1","Приморский край, г Арсеньев, Гостиный проезд д.1",закусочная,ПК0056153,13.05.2008,13.05.2013
"ООО ""Грань""",2501008340,"Приморский край, г Арсеньев, ул Вокзальная д.55","Приморский край, г Арсеньев, ул Жуковского д.51а",Магазин,ПК0056386,01.01.2009,01.01.2014
"ООО ""Диалог""",2501015883,"Приморский край, г Арсеньев, ул Жуковского д.12-2","Приморский край, г Арсеньев, ул Жуковского д.56 А","Магазин ""Диалог""",ПК 0059950/3363,20.03.2012,21.03.2017
"ООО ""Диалог""",2501015883,"Приморский край, г Арсеньев, ул Жуковского д.12-2","Приморский край, г Арсеньев, ул Жуковского д.56 А",кафе,ПК 0059950/3363,20.03.2012,21.03.2017
"ООО ""Жасмин""",2501012145,"Приморский край, г Арсеньев, ул 25 лет Арсеньеву д.5/1","Приморский край, г Арсеньев, ул 25 лет Арсеньеву д.5/1",Магазин,ПК0058986/2399,22.06.2011,01.07.2016
"ООО ""Ирбис""",2501008854,"Приморский край, г Арсеньев, ул Жуковского д.56","Приморский край, г Арсеньев, ул Жуковского д.56",закусочная,ПК0055694,02.08.2008,02.08.2013
"ООО ""Источник""",2501012970,"Приморский край, г Арсеньев, ул Ломоносова д.82-61","Приморский край, г Арсеньев, ул 25 лет Арсеньеву д.32","Магазин ""Источник""",ПК0060151/3564,16.05.2012,24.03.2017
"ООО ""Источник""",2501012970,"Приморский край, г Арсеньев, ул Ломоносова д.82-61","Приморский край, г Арсеньев, ул Ломоносова д.48","Магазин ""Парус""",ПК0060151/3564,16.05.2012,24.03.2017
"ООО ""Каравай""",2501013371,"Приморский край, г Арсеньев, ул Калининская д.22","Приморский край, г Арсеньев, ул Калининская д.22",Магазин,ПК0055923,31.10.2008,31.10.2013
"ООО ""Кашелка""",2502031084,"Приморский край, Артем, ул Рабочая 1-я д.68","Приморский край, г Арсеньев, ул Ленина д.5",Отдел в магазине,ПК0057821/1234,15.04.2010,28.10.2013
"ООО ""Квадрат""",2501012272,"Приморский край, г Арсеньев, ул Калининская д.26","Приморский край, г Арсеньев, ул Сазыкина д.4",Магазин,ПК0059867/3280,21.02.2012,31.12.2016
"ООО ""Квадрат""",2501012272,"Приморский край, г Арсеньев, ул Калининская д.26","Приморский край, г Арсеньев, ул Калининская д.26/1",Магазин ,ПК0059867/3280,21.02.2012,31.12.2016
"ООО ""Квадрат""",2501012272,"Приморский край, г Арсеньев, ул Калининская д.26","Приморский край, г Арсеньев, ул Станционная д.119",Отдел в магазине,ПК0059867/3280,21.02.2012,31.12.2016
"ООО ""Круиз""",2501012593,"Приморский край, г Арсеньев, ул Стахановская д.3","Приморский край, г Арсеньев, ул Стахановская д.3",Магазин ,ПК0060723/4136,27.09.2012,27.09.2013
"ООО ""Лавка""",2501007579,"Приморский край, г Арсеньев, ул Октябрьская д.20 А","Приморский край, г Арсеньев, ул Октябрьская д.20 А","Магазин № 41 ""Торговый центр""",ПК0059935/3348,20.03.2012,04.04.2015
"ООО ""Лина""",2501013484,"Приморский край, г Арсеньев, ул 9 Мая д.77","Приморский край, г Арсеньев, ул 9 Мая д.77",Магазин,ПК0056119,21.04.2008,21.04.2013
"ООО ""Люкс""",2501012297,"Приморский край, г Арсеньев, ул Октябрьская д.53а","Приморский край, г Арсеньев, ул Октябрьская д.53а",Магазин,ПК0057500/913,10.12.2009,01.01.2015
"ООО ""Лютики""",2501012770,"Приморский край, г Арсеньев, ул Островского д.1-118","Приморский край, г Арсеньев, район ул. Ленинской, 37","Отдел в магазине ""Лютики""",ПК0056442,12.01.2009,12.01.2013
"ООО ""МЕТА""",2536181507,"Приморский край, г Владивосток, Проспект Красного Знамени д.86 А","Приморский край, г Арсеньев, пер Островского д.5",Магазин,ПК0060036/3449,06.04.2012,07.04.2016
"ООО ""Магнолия""",2501014336,"Приморский край, г Арсеньев, ул Совхозная д.80а","Приморский край, г Арсеньев, ул Совхозная д.80а",Отдел в магазине,ПК0057335/748,13.10.2009,17.09.2014
"ООО ""Марина""",2501012434,"Приморский край, г Арсеньев, ул Октябрьская д.78-71","Приморский край, г Арсеньев, пер Островского д.6",Магазин,ПК0060254/3667,15.06.2012,15.06.2017
