На 10.10.2012,,,,,,,
,,,,,,,
Наименование,ИНН,Место нахождения,Адрес места осуществления деятельности,Наименование места осуществления деятельности,Серия и номер лицензии,Дата начала,Дата окончания
"ООО ""Гермес""",2538095638,"Приморский край, г Владивосток, ул Невская д.20","Приморский край, г Владивосток, ул Невская д.20","Магазин ""Ирина""",ПК0060310/3723,26.06.2012,26.06.2013
"ООО ""Гермес""",2538095638,"Приморский край, г Владивосток, ул Невская д.20","Приморский край, г Владивосток, ул Кирова д.6","Магазин ""Продукты""",ПК0060310/3723,26.06.2012,26.06.2013
"ООО ""Гермес-ДВ""",2511054867,"Приморский край, г Уссурийск, ул Полушкина д.134","Приморский край, г Владивосток, ул Чапаева д.24",Магазин,ПК0060078/3491,27.04.2012,28.01.2013
"ООО ""Герон""",2540116959,"Приморский край, г Владивосток, ул Некрасовская д.69-14","Приморский край, г Владивосток, ул Ильичева д.22",Магазин,ПК0059771/3183,18.01.2012,19.01.2015
"ООО ""Горизонт""",2512304044,"Приморский край, г Уссурийск, ул Пролетарская д.3","Приморский край, г Владивосток, пер Павленко д.6",Отдел в магазине,ПК0059708/3121,23.12.2011,08.07.2014
"ООО ""Горизонт-2000""",2536100272,"Приморский край, г Владивосток, ул Светланская д.155","Приморский край, г Владивосток, ул Светланская д.155",Магазин,ПК0058688/2101,22.04.2011,26.04.2014
"ООО ""Гостиничный комплекс ""Владивосток""",2540157602,"Приморский край, г Владивосток, ул Набережная д.10","Приморский край, г Владивосток, ул Набережная д.10",бар на 4-м этаже,ПК0058838/2250,30.05.2011,01.01.2015
"ООО ""Гостиничный комплекс ""Владивосток""",2540157602,"Приморский край, г Владивосток, ул Набережная д.10","Приморский край, г Владивосток, ул Набережная д.9",кафе,ПК0058838/2250,30.05.2011,01.01.2015
"ООО ""Гостиничный комплекс ""Владивосток""",2540157602,"Приморский край, г Владивосток, ул Набережная д.10","Приморский край, г Владивосток, ул Набережная д.10",лобби-бар,ПК0058838/2250,30.05.2011,01.01.2015
"ООО ""Гостиничный комплекс ""Владивосток""",2540157602,"Приморский край, г Владивосток, ул Набережная д.10","Приморский край, г Владивосток, ул Набережная д.9",лобби-бар на 8-м этаже,ПК0058838/2250,30.05.2011,01.01.2015
"ООО ""Гостиничный комплекс ""Владивосток""",2540157602,"Приморский край, г Владивосток, ул Набережная д.10","Приморский край, г Владивосток, ул Набережная д.10",ресторан,ПК0058838/2250,30.05.2011,01.01.2015
"ООО ""Гостинный двор""",2540045754,"Приморский край, г Владивосток, ул Морская 1-я д.6/25","Приморский край, г Владивосток, ул Морская 1-я д.6/25",кафе,ПК0057557/970,22.12.2009,01.01.2015
"ООО ""Грааль""",2540120088,"Приморский край, г Владивосток, Проспект 100 лет Владивостоку д.30в","Приморский край, г Владивосток, Проспект 100 лет Владивостоку д.30в",Магазин,ПК0059107/2520,05.07.2011,10.07.2013
"ООО ""Гранд Стайл""",2537076304,"Приморский край, г Владивосток, ул Киевская д.14-2","Приморский край, г Владивосток, ул Киевская д.14, (Лит. А1)",Магазин,ПК0059848/3261,20.02.2012,21.02.2013
"ООО ""Гречко""",2538097120,"Приморский край, г Владивосток, ул Луговая д.60","Приморский край, г Владивосток, ул Луговая д.60",Магазин,ПК0059905/3318,12.03.2012,31.03.2013
"ООО ""Гроздь М""",2537064066,"Приморский край, г Владивосток, ул Терешковой д.10-43","Приморский край, г Владивосток, ул Фадеева д.49",Магазин,ПК0060621/004034,21.08.2012,22.08.2013
"ООО ""Грошик""",2540162962,"Приморский край, г Владивосток, ул Крыгина д.82","Приморский край, г Владивосток, ул Крыгина д.82","Магазин ""Магазин""",ПК0059851/3264,21.02.2012,04.03.2013
"ООО ""Группа Гепард Плюс""",2538121165,"Приморский край, г Владивосток, ул Жигура д.30","Приморский край, г Владивосток, ул Жигура д.30",Магазин,ПК0056693/106,12.11.2009,30.11.2014
"ООО ""ГуМ""",2536100963,"Приморский край, г Владивосток, ул Уборевича д.25а","Приморский край, г Владивосток, ул Адмирала Фокина д.3",закусочная,ПК0059505/2918,11.11.2011,15.11.2016
"ООО ""Гуд Тайм""",2538122680,"Приморский край, г Владивосток, пер Камский д.22","Приморский край, г Владивосток, ул Тигровая д.30, 2-й этаж",кафе,ПК0057365/778,20.10.2009,22.10.2014
"ООО ""Гутовъ-Плюс""",2538119455,"Приморский край, г Владивосток, ул Некрасовская д.53","Приморский край, г Владивосток, ул Посьетская д.23, 1-й этаж","бар ""Гутовъ""",ПК0060434/3847,12.07.2012,12.07.2015
"ООО ""Д2""",2540153502,"Приморский край, г Владивосток, ул Адмирала Фокина д.16а","Приморский край, г Владивосток, ул Адмирала Фокина д.16а","бар ""Другое место""",ПК0059450/2863,24.10.2011,25.10.2013
"ООО ""ДАЛЬ-АЛЛЕГРО""",2537038041,"Приморский край, г Владивосток, Проспект Партизанский д.12а","Приморский край, г Владивосток, Проспект Партизанский д.12а",бар в закусочной,ПК0060155/3568,29.05.2012,30.05.2013
"ООО ""ДАЛЬ-АЛЛЕГРО""",2537038041,"Приморский край, г Владивосток, Проспект Партизанский д.12а","Приморский край, г Владивосток, Проспект Партизанский д.12а",пивной бар,ПК0060155/3568,29.05.2012,30.05.2013
"ООО ""ДАРИНА-С""",2539052683,"Приморский край, г Владивосток, ул Грязелечебница, лит. 6","Приморский край, г Владивосток, ул Грязелечебница д.21в",Магазин,ПК0060425/3838,13.07.2012,13.07.2015
"ООО ""ДАЯР""",2537006280,"Приморский край, г Владивосток, Проспект Красного Знамени д.156","Приморский край, г Владивосток, Проспект Красного Знамени д.156",Магазин,ПК0056505,04.02.2009,04.02.2014
"ООО ""ДВ Корвет ЮНА""",2536117011,"Приморский край, г Владивосток, ул Светланская д.51","Приморский край, г Владивосток, ул Светланская д.51","Магазин ""Лакомка""",ПК0045976,13.04.2008,13.04.2013
"ООО ""ДВ-Маркет""",2536220435,"Приморский край, г Владивосток, ул Фадеева д.51в","Приморский край, г Владивосток, ул Нейбута д.63а","Магазин ""Дилан""",ПК0059339/2752,19.08.2011,20.10.2014
"ООО ""ДВ-Маркет""",2536220435,"Приморский край, г Владивосток, ул Фадеева д.51в","Приморский край, г Владивосток, ул Сахалинская д.48","Магазин ""Дилан""",ПК0059339/2752,19.08.2011,20.10.2014
"ООО ""ДВ-Торг Проспект""",2536210772,"Приморский край, г Владивосток, ул Новоивановская д.2а","Приморский край, г Владивосток, Проспект Океанский д.108",Магазин,ПК0060263/3676,27.12.2011,27.12.2014
"ООО ""ДВлаб""",2536188260,"Приморский край, г Владивосток, ул Ватутина д.26-180","Приморский край, г Владивосток, Проспект 100 лет Владивостоку д.159 А, лит 1",Магазин,ПК0060034/3447,06.04.2012,07.04.2014
"ООО ""ДЕРА-ВЛАДИВОСТОК""",2540112217,"Приморский край, г Владивосток, ул Бестужева д.24-5","Приморский край, г Владивосток, ул Нижне-Портовая д.1, здание Морского вокзала, литер 1А, антресоль 1 этажа, магазин беспошлинной торговли",Магазин,ПК0060535/3948,01.08.2012,26.01.2017
"ООО ""ДИМАРТ""",2724091239,"г Санкт-Петербург, ул Оружейника Федора д.17, Лит А, помещение 1-Н","Приморский край, г Владивосток, ул Ульяновская д.7",Супермаркет,ПК0059874/3287,01.03.2012,06.04.2015
"ООО ""ДИОНИС""",2538002834,"Приморский край, г Владивосток, ул Карьерная д.20 А, здание литера 7, помещение 9, 23, 29","Приморский край, г Владивосток, ул Баляева д.52",Магазин,ПК0060181/3594,22.05.2012,23.05.2015
"ООО ""ДИОНИС""",2538002834,"Приморский край, г Владивосток, ул Карьерная д.20 А, здание литера 7, помещение 9, 23, 29","Приморский край, г Владивосток, ул Завойко д.2",Магазин,ПК0060181/3594,22.05.2012,23.05.2015
"ООО ""ДОМ СЛИШКО""",2538013096,"Приморский край, г Владивосток, ул Гамарника д.1","Приморский край, г Владивосток, ул Гамарника д.1","кафе ""Хортица""",ПК0056029,25.11.2008,25.11.2013
"ООО ""ДУЭТ""",2536218884,"Приморский край, г Владивосток, ул Адмирала Юмашева д.12б","Приморский край, г Владивосток, ул Каплунова д.1",Магазин,ПК0057369/782,15.10.2009,20.10.2014
"ООО ""ДУЭТ""",2540119692,"Приморский край, г Владивосток, с Береговое, ул Школьная д.15","Приморский край, г Владивосток, с Береговое, ул Строительная д.14, м.Песчаный",Магазин,ПК0059818/3230,08.02.2012,09.02.2017
"ООО ""ДУЭТ""",2536218884,"Приморский край, г Владивосток, ул Адмирала Юмашева д.12б","Приморский край, г Владивосток, ул Адмирала Юмашева д.12б",Магазин,ПК0057369/782,15.10.2009,20.10.2014
"ООО ""ДУЭТ""",2536172774,"Приморский край, г Владивосток, ул Карла Либкнехта д.10а","Приморский край, г Владивосток, ул Карла Либкнехта д.10а","Магазин ""Кристина""",ПК0060574/3987,10.08.2012,10.08.2013
"ООО ""ДУЭТ""",2536172774,"Приморский край, г Владивосток, ул Карла Либкнехта д.10а","Приморский край, г Владивосток, ул Тунгусская д.12","Магазин ""Наташа""",ПК0060574/3987,10.08.2012,10.08.2013
"ООО ""ДЭЛЛА""",2539034187,"Приморский край, г Владивосток, Проспект Народный д.51","Приморский край, г Владивосток, Проспект Народный д.51","Магазин ""Мини-маркет""",ПК0046558,13.02.2009,15.02.2014
"ООО ""ДаЛи""",2536172968,"Приморский край, г Владивосток, ул Адмирала Кузнецова д.58, 26","Приморский край, г Владивосток, ул Кирова д.25-Д","ООО ""ДаЛи""",ПК0060642/4055,28.08.2012,29.08.2014
"ООО ""Дагаз""",2536165424,"Приморский край, г Владивосток, ул Тобольская д.10-45","Приморский край, г Владивосток, ул Борисенко д.25",Отдел в магазине,ПК0060090/3503,02.05.2012,03.05.2013
"ООО ""Даль Торг""",2539115703,"Приморский край, г Владивосток, ул Кирова д.9","Приморский край, г Владивосток, ул Кирова д.9",Магазин,ПК0060438/3851,18.07.2012,18.07.2013
"ООО ""ДальАрабика""",2536189545,"Приморский край, г Владивосток, ул Уборевича д.17-28","Приморский край, г Владивосток, ул Уборевича д.17",кофейня,ПК0060680/4093,11.09.2012,11.09.2017
"ООО ""Дальневосточная технологическая компания""",2540072370,"Приморский край, г Владивосток, ул Часовитина д.17а","Приморский край, г Владивосток, ул Сафонова д.30",Магазин,ПК0056528,27.01.2009,27.01.2014
"ООО ""Дальневосточная технологическая компания""",2540072370,"Приморский край, г Владивосток, ул Часовитина д.17а","Приморский край, г Владивосток, Проспект 100 лет Владивостоку д.26",Отдел в магазине,ПК0056528,27.01.2009,27.01.2014
"ООО ""Дальневосточный  Коммерческий Союз""",2536244605,"Приморский край, г Владивосток, ул Адмирала Кузнецова д.84-185","Приморский край, г Владивосток, ул Черемуховая д.18а, (лит А)",Магазин,ПК0060739/4152,01.10.2012,16.06.2017
"ООО ""Дальневосточный  Коммерческий Союз""",2536244605,"Приморский край, г Владивосток, ул Адмирала Кузнецова д.84-185","Приморский край, г Владивосток, ул Адмирала Кузнецова д.84",магазин,ПК0060739/4152,01.10.2012,16.06.2017
"ООО ""Дальневосточный Альянс""",2538082413,"Приморский край, г Владивосток, ул Енисейская д.7, офис 305","Приморский край, г Владивосток, ул Енисейская д.7","бар ""Товарищ Сухов""",ПК0059691/3104,22.12.2011,24.12.2014
"ООО ""Дальневосточный Альянс""",2538082413,"Приморский край, г Владивосток, ул Енисейская д.7, офис 305","Приморский край, г Владивосток, Проспект Народный д.28б","бар в кафе ""Пицца-Хит""",ПК0059691/3104,22.12.2011,24.12.2014
"ООО ""Дальневосточный Меридиан""",2537080117,"Приморский край, г Владивосток, ул Калинина д.279-39","Приморский край, г Владивосток, ул Кипарисовая д.16",Отдел в магазине,ПК0060568/3981,07.08.2012,07.08.2014
"ООО ""Дальпико комплекс Ко ЛТД""",2536013083,"Приморский край, г Владивосток, ул Светланская д.63","Приморский край, г Владивосток, ул Светланская д.63",кафе,ПК0045683,01.01.2008,01.01.2013
"ООО ""Дальфармторг""",2537048410,"Приморский край, г Владивосток, ул Борисенко д.62","Приморский край, г Владивосток, ул Борисенко д.62",Магазин,ПК0058593/2006,22.03.2011,31.03.2014
"ООО ""Дальфармторг""",2537048410,"Приморский край, г Владивосток, ул Борисенко д.62","Приморский край, г Владивосток, ул Калинина д.80",Отдел в магазине,ПК0058593/2006,22.03.2011,31.03.2014
"ООО ""Дары тайги""",2540112922,"Приморский край, г Владивосток, ул Верхне-Портовая д.41в","Приморский край, г Владивосток, ул Верхне-Портовая д.41в",Магазин,ПК0058650/2063,28.04.2011,04.05.2016
"ООО ""Дары тайги""",2540112922,"Приморский край, г Владивосток, ул Верхне-Портовая д.41в","Приморский край, г Владивосток, ул Верхне-Портовая д.41в",закусочная,ПК0058650/2063,28.04.2011,04.05.2016
"ООО ""Дача""",2538089673,"Приморский край, г Владивосток, ул Четвертая д.3","Приморский край, г Владивосток, ул Четвертая д.3",закусочная,ПК0055793,05.09.2008,20.05.2013
"ООО ""Девятая миля""",2539073806,"Приморский край, г Владивосток, ул Маковского д.56а","Приморский край, г Владивосток, ул Маковского д.56а",Отдел в магазине,ПК0060258/3671,15.06.2012,15.06.2013
"ООО ""Деликат""",2536098697,"Приморский край, г Владивосток, ул Шепеткова д.8-22","Приморский край, г Владивосток, ул Захарова д.5",Магазин,ПК0059881/3294,28.02.2012,01.03.2017
"ООО ""Делс""",2536094847,"Приморский край, г Владивосток, ул Светланская д.167","Приморский край, г Владивосток, ул Давыдова д.36",Магазин,ПК0055692,21.07.2008,21.07.2013
"ООО ""Держава""",2536146453,"Приморский край, г Владивосток, ул Светланская д.69д","Приморский край, г Владивосток, ул Светланская д.56","кафе ""Green Cаfe""",ПК0059640/3053,14.12.2011,01.10.2013
"ООО ""Держава""",2536146453,"Приморский край, г Владивосток, ул Светланская д.69д","Приморский край, г Владивосток, ул Семеновская д.15","ресторан ""Русские узоры""",ПК0059640/3053,14.12.2011,01.10.2013
"ООО ""Джеки""",2537078622,"Приморский край, г Владивосток, ул Надибаидзе д.11-459","Приморский край, г Владивосток, ул Киевская д.15",Магазин №21,ПК0060182/3595,23.05.2012,24.05.2015
"ООО ""Джеки""",2537078622,"Приморский край, г Владивосток, ул Надибаидзе д.11-459","Приморский край, г Владивосток, ул Киевская д.15",Магазин №7/1,ПК0060182/3595,23.05.2012,24.05.2015
"ООО ""Джокер""",2537072483,"Приморский край, г Владивосток, ул Сахалинская д.36","Приморский край, г Владивосток, ул Сахалинская д.36, лит 2",бар,ПК0060681/4094,10.09.2012,10.09.2013
"ООО ""Джони""",2537080999,"Приморский край, г Владивосток, ул Поселковая 2-я д.34-428","Приморский край, г Владивосток, ул Поселковая 2-я д.34",Отдел в магазине,ПК 0059810/3222,31.01.2012,01.02.2015
"ООО ""ДиЛена""",2539074292,"Приморский край, г Владивосток, ул Русская д.76","Приморский край, г Владивосток, ул Русская д.76","Магазин ""Максим""",ПК0060683/4096,10.09.2012,01.01.2014
"ООО ""Диагональ 1""",2539051351,"Приморский край, г Владивосток, ул Маковского д.35а","Приморский край, г Владивосток, ул Маковского д.35а",Магазин,ПК0060643/4056,31.08.2012,01.09.2017
"ООО ""Дилан-Маркет 2""",2537054477,"Приморский край, г Владивосток, ул Командорская д.11","Приморский край, г Владивосток, Проспект Народный д.19","Магазин ""Дилан""",ПК0057625/1038,19.01.2010,02.12.2013
"ООО ""Дилан-Маркет 2""",2537054477,"Приморский край, г Владивосток, ул Командорская д.11","Приморский край, г Владивосток, Проспект 100 лет Владивостоку д.38","Магазин ""Дилан""",ПК0057625/1038,19.01.2010,02.12.2013
"ООО ""Дилан-Маркет 2""",2537054477,"Приморский край, г Владивосток, ул Командорская д.11","Приморский край, г Владивосток, ул Русская д.72","Магазин ""Дилан""",ПК0057625/1038,19.01.2010,02.12.2013
"ООО ""Дилан-Маркет 2""",2537054477,"Приморский край, г Владивосток, ул Командорская д.11","Приморский край, г Владивосток, ул Адмирала Юмашева д.6а","Магазин ""Дилан""",ПК0057625/1038,19.01.2010,02.12.2013
"ООО ""Дилан-Маркет""",2537077820,"Приморский край, г Владивосток, ул Командорская д.11","Приморский край, г Владивосток, ул 40 лет ВЛКСМ д.14","Магазин ""Дилан""",ПК0060161/3574,15.05.2012,16.05.2017
"ООО ""Дилан-Маркет""",2537077820,"Приморский край, г Владивосток, ул Командорская д.11","Приморский край, г Владивосток, ул Бестужева д.23","Магазин ""Дилан""",ПК0060161/3574,15.05.2012,16.05.2017
"ООО ""Дилан-Маркет""",2537077820,"Приморский край, г Владивосток, ул Командорская д.11","Приморский край, г Владивосток, ул Суханова д.11","Магазин ""Дилан""",ПК0060161/3574,15.05.2012,16.05.2017
"ООО ""Дина""",2537003881,"Приморский край, г Владивосток, ул Строительная 2-я д.19-6","Приморский край, г Владивосток, ул Иртышская д.20",Магазин,ПК0060595/4008,13.08.2012,13.08.2015
"ООО ""Дионис""",2537067010,"Приморский край, г Владивосток, ул Калинина д.51 А, 75","Приморский край, г Владивосток, Проспект 100 лет Владивостоку д.22",Магазин,ПК0060223/3636,04.06.2012,05.06.2015
"ООО ""Дионис""",2537067010,"Приморский край, г Владивосток, ул Калинина д.51 А, 75","Приморский край, г Владивосток, ул Бородинская д.26, литер 34 № 1-2",Магазин,ПК0060223/3636,04.06.2012,05.06.2015
"ООО ""Дом Жулкевича""",2540181299,"Приморский край, г Владивосток, ул Семеновская д.7В","Приморский край, г Владивосток, ул Семеновская д.7В",бар,ПК0060720/4133,25.09.2012,25.09.2013
"ООО ""Домашний""",2543003907,"Приморский край, г Владивосток, ул Лермонтова д.99, 48","Приморский край, г Владивосток, ул Калинина д.115А",магазин,ПК0060641/4054,23.08.2012,24.08.2015
"ООО ""Доминион""",2540158821,"Приморский край, г Владивосток, Проспект Океанский д.109, 35","Приморский край, г Владивосток, ул Мордовцева д.3",кафе,ПК0060296/3709,20.06.2012,20.06.2013
"ООО ""Домино""",2536207593,"Приморский край, г Владивосток, ул Некрасовская д.48а-10","Приморский край, г Владивосток, Проспект Океанский д.92",ресторан,ПК0056852/265,05.05.2009,07.05.2014
"ООО ""Дунай""",2537063785,"Приморский край, г Владивосток, ул Калинина д.57-137","Приморский край, г Владивосток, ул Адмирала Юмашева д.24 г",Магазин,ПК0060463/3876,30.07.2012,30.07.2013
"ООО ""Е.С. кампани""",2536074382,"Приморский край, г Владивосток, ул Казанская д.1","Приморский край, г Владивосток, ул Казанская д.1",Магазин,ПК0059706/3119,28.12.2011,30.12.2012
"ООО ""ЕВа-Прим""",2538118980,"Приморский край, г Владивосток, ул Постышева д.23-63","Приморский край, г Владивосток, ул Адмирала Кузнецова д.60",Отдел в магазине,ПК0055769,07.08.2008,07.08.2013
"ООО ""Елена""",2536216132,"Приморский край, г Владивосток, ул Пушкинская д.45","Приморский край, г Владивосток, ул Пушкинская д.45",Магазин,ПК0058106/1519,10.09.2010,01.10.2015
"ООО ""Елена-10""",2540081921,"Приморский край, г Владивосток, ул Хабаровская д.9","Приморский край, г Владивосток, ул Хабаровская д.9",Магазин,ПК0056424,25.01.2009,25.01.2014
"ООО ""Ерюкова""",2536171386,"Приморский край, г Владивосток, пер Краснознаменный д.5","Приморский край, г Владивосток, ул Березовая д.25",Магазин,ПК0058944/2357,21.06.2011,04.07.2014
"ООО ""Жасмин""",2539075225,"Приморский край, г Владивосток, ул Чкалова д.20-6","Приморский край, г Владивосток, Проспект 100 лет Владивостоку д.155",Магазин,ПК0058904/2316,08.06.2011,14.05.2016
"ООО ""Жасмин""",2539075225,"Приморский край, г Владивосток, ул Чкалова д.20-6","Приморский край, г Владивосток, ул Чкалова д.22б",Магазин,ПК0058904/2316,08.06.2011,14.05.2016
"ООО ""Жигули""",2540119195,"Приморский край, г Владивосток, ул Шоссейная 2-я д.1а","Приморский край, г Владивосток, ул Шоссейная 2-я д.1а",Магазин,ПК0058471/1884,25.02.2011,21.03.2014
"ООО ""Жукова Н.В.""",2539074535,"Приморский край, г Владивосток, ул Восточная 4-я д.74","Приморский край, г Владивосток, ул Шоссейная 2-я д.7Д, лит А",Магазин,ПК0059782/3194,19.01.2012,23.06.2016
"ООО ""Жукова Н.В.""",2539074535,"Приморский край, г Владивосток, ул Восточная 4-я д.74","Приморский край, г Владивосток, ул Восточная 4-я д.74","Магазин ""Весна""",ПК0059782/3194,19.01.2012,23.06.2016
"ООО ""Жукова Н.В.""",2539074535,"Приморский край, г Владивосток, ул Восточная 4-я д.74","Приморский край, г Владивосток, ул Карла Маркса д.125","Магазин ""Лето""",ПК0059782/3194,19.01.2012,23.06.2016
"ООО ""ЗОЛОТОЙ ТЕЛЕЦ""",2539030016,"Приморский край, г Владивосток, пос.Трудовое, ул Беговая д.7-4","Приморский край, г Владивосток, пос.Трудовое, ул Лермонтова д.60",Магазин,ПК0057757/1170,19.03.2010,03.04.2013
"ООО ""Звёздный""",2537040918,"Приморский край, г Владивосток, ул Сахалинская д.32","Приморский край, г Владивосток, ул Сахалинская д.32",Магазин,ПК0056580,13.02.2009,13.02.2014
"ООО ""Звезда""",2536243312,"Приморский край, г Владивосток, ул Шилкинская д.10-22","Приморский край, г Владивосток, ул Русская д.52, в районе здания",Магазин,ПК0059369/2782,08.09.2011,13.09.2013
"ООО ""Зеленая лампа-2005""",2540045105,"Приморский край, г Владивосток, ул Светланская д.13","Приморский край, г Владивосток, ул Светланская д.13",ресторан ,ПК0059826/3238,13.02.2012,14.02.2013
"ООО ""Золотая Антилопа""",2538039880,"Приморский край, г Владивосток, ул Крыгина д.76","Приморский край, г Владивосток, ул Крыгина д.76",Магазин,ПК0059707/3120,28.12.2011,01.01.2013
"ООО ""Золотой Дельфин""",2539081758,"Приморский край, г Владивосток, ул Артековская д.3","Приморский край, г Владивосток, ул Артековская д.3",Магазин,ПК0045569,17.12.2007,17.12.2012
"ООО ""Золотой дракон""",2537073409,"Приморский край, г Владивосток, ул Калинина д.241","Приморский край, г Владивосток, ул Калинина д.241",Магазин,ПК0059255/2668,28.07.2011,02.08.2014
"ООО ""Золотой лист""",2539073820,"Приморский край, г Владивосток, пос.Трудовое, ул Дружбы д.2","Приморский край, г Владивосток, ул Башидзе д.12",Магазин,ПК0059824/3236,08.02.2012,12.02.2013
"ООО ""Золотой лист""",2539073820,"Приморский край, г Владивосток, пос.Трудовое, ул Дружбы д.2","Приморский край, г Владивосток, ул Амурская д.84, 1 этаж",Магазин,ПК0059824/3236,08.02.2012,12.02.2013
"ООО ""ИВА""",2536207385,"Приморский край, г Владивосток, ул Фадеева д.12 Б, 19","Приморский край, г Владивосток, ул Луговая д.85 В, магазин на 1-м этаже",Магазин,ПК0060084/3497,27.04.2012,20.01.2015
"ООО ""ИВА""",2536207385,"Приморский край, г Владивосток, ул Фадеева д.12 Б, 19","Приморский край, г Владивосток, ул Борисенко д.17 А",Магазин,ПК0060084/3497,27.04.2012,20.01.2015
"ООО ""ИНТЕРМЕТОД""",2540089825,"Приморский край, г Владивосток, ул Комсомольская д.11, каб. № 2","Приморский край, г Владивосток, ул Суханова д.3","кафе ""Би-Эс-Би клуб""",ПК0060526/3939,30.07.2012,23.12.2014
"ООО ""ИСТ-А""",2536216816,"Приморский край, г Владивосток, ул Некрасовская д.52а","Приморский край, г Владивосток, ул Некрасовская д.52а",кафе,ПК0059993/3406,03.04.2012,04.04.2015
"ООО ""Изабелла""",2539084967,"Приморский край, г Владивосток, ул Пригородная 4-я д.5","Приморский край, г Владивосток, ул Пригородная 4-я д.5, (лит 11, 11А)",Магазин,ПК0059528/2941,17.11.2011,19.11.2012
"ООО ""Издательский дом ""Семья""",2536074449,"Приморский край, г Владивосток, Проспект Красного Знамени д.31","Приморский край, г Владивосток, Проспект Красного Знамени д.31",Магазин,ПК0055980,10.11.2008,10.11.2013
"ООО ""Изобилие""",2537091197,"Приморский край, г Владивосток, ул Вилкова д.15, 21","Приморский край, г Владивосток, ул Вилкова д.15",Магазин,ПК0060135/3548,11.05.2012,12.05.2013
"ООО ""Илан""",2537076801,"Приморский край, г Владивосток, ул Матросова д.30","Приморский край, г Владивосток, ул Пихтовая д.4а",Магазин,ПК0056337,17.12.2008,17.12.2013
"ООО ""Иннес""",2539112928,"Приморский край, г Владивосток, Проспект 100 лет Владивостоку д.159б-12","Приморский край, г Владивосток, Проспект 100 лет Владивостоку д.159б",Отдел в магазине,ПК0060422/3835,23.07.2012,23.07.2013
"ООО ""Инстрой""",2536126249,"Приморский край, г Владивосток, ул Воропаева д.11","Приморский край, г Владивосток, ул Борисенко д.52, мансардный этаж","бар ""Авия""",ПК0045920,25.03.2008,25.03.2013
"ООО ""Инстрой""",2536126249,"Приморский край, г Владивосток, ул Воропаева д.11","Приморский край, г Владивосток, ул Борисенко д.52, 1 этаж","бар ""Пивоварня""",ПК0045920,25.03.2008,25.03.2013
"ООО ""Инстрой""",2536126249,"Приморский край, г Владивосток, ул Воропаева д.11","Приморский край, г Владивосток, ул Борисенко д.52, 2 этаж","ресторан ""Рипаблик""",ПК0045920,25.03.2008,25.03.2013
"ООО ""Интерклуб 77""",2540076150,"Приморский край, г Владивосток, ул Набережная д.9","Приморский край, г Владивосток, ул Набережная д.9, 6 этаж",бар,ПК0059623/3036,12.12.2011,27.12.2014
"ООО ""КАЛИНА""",2539034211,"Приморский край, г Владивосток, ул Чкалова д.12а","Приморский край, г Владивосток, Проспект Партизанский д.28б",Магазин,ПК0057556/969,24.12.2009,14.01.2013
"ООО ""КАФЕ ЛИ""",2536223676,"Приморский край, г Владивосток, ул Уборевича д.17","Приморский край, г Владивосток, ул Уборевича д.17, 2-й этаж",бар,ПК0057934/1347,17.06.2010,07.07.2013
"ООО ""КВАРТЕТ-ДВ""",2536126680,"Приморский край, г Владивосток, ул Светланская д.45","Приморский край, г Владивосток, ул Светланская д.45",кафе,ПК0056147,21.05.2008,21.05.2013
"ООО ""КОНСТАНТА""",2536180920,"Приморский край, г Владивосток, ул Новоивановская д.10","Приморский край, г Владивосток, ул Новоивановская д.10",Магазин,ПК0057350/763,15.10.2009,27.10.2014
"ООО ""КУПЕРЪ""",2539078064,"Приморский край, г Владивосток, ул Кирова д.16а-59","Приморский край, г Владивосток, ул Адмирала Фокина д.8 б",кафе,ПК0060408/3821,06.07.2012,06.07.2013
"ООО ""КУРАНТ""",2540067162,"Приморский край, г Владивосток, Проспект Океанский д.15/3","Приморский край, г Владивосток, Проспект Океанский д.15/3","Магазин ""Курант""",ПК0057640/1053,27.01.2010,07.11.2012
"ООО ""Кадуцей""",2536066303,"Приморский край, г Владивосток, ул Спиридонова д.15","Приморский край, г Владивосток, ул Спиридонова д.15",Магазин,ПК0056562,02.02.2009,02.02.2014
"ООО ""Калибрио""",2539072802,"Приморский край, г Владивосток, ул Чапаева д.24","Приморский край, г Владивосток, ул Чапаева д.24",Отдел в магазине,ПК0060143/3556,12.05.2012,13.05.2013
"ООО ""Калинка""",2540120747,"Приморский край, г Владивосток, ул Комсомольская д.13","Приморский край, г Владивосток, ул Комсомольская д.13","бар в ресторане ТД ""Игнат""",ПК0060411/3824,06.07.2012,06.07.2013
"ООО ""Калинка""",2540120747,"Приморский край, г Владивосток, ул Комсомольская д.13","Приморский край, г Владивосток, Проспект Красного Знамени д.3",кафе,ПК0060411/3824,06.07.2012,06.07.2013
"ООО ""Каменская В.И.""",2538134164,"Приморский край, г Владивосток, ул Баляева д.34","Приморский край, г Владивосток, ул Баляева д.34",Магазин,ПК0057768/1181,30.03.2010,02.04.2015
"ООО ""Капитал-В""",2539098575,"Приморский край, г Владивосток, ул Светланская д.61","Приморский край, г Владивосток, ул Светланская д.61",кафе,ПК0059613/3026,09.12.2011,13.12.2016
"ООО ""Карт""",2536174186,"Приморский край, г Владивосток, Проспект Красного Знамени д.94","Приморский край, г Владивосток, ул Магнитогорская д.20",Магазин,ПК0060375/3788,04.07.2012,04.07.2015
