,"Реестр действующих лицензий на розничную продажу алкогольной продукции, 
выданных на предприятия торговли и общественного питания Белгородской области по состоянию на 01.05.2012",,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,№ п/п,Наименование территориально обособленного объекта,Дата добавления объекта,Муниципальное образование,Место нахождения объекта,ИНН организации,КПП объекта,Тип предприятия,Наименование организации,ОПФ,Местонахождения организации,Регистрационные номера и срок действия лицензии
3122504762/311245005,13,"Отдел в закусочной ""Фуршет""",,Красненский район,"Красненский район, с. Круглое, ул. Воронежская, д. 51. кор. 1",3122504762,311245005,Общепит,"""БОЧКАРЕВА""",ООО,"309850, Белгородская обл., г.Алексеевка, ул.Привокзальная, д.12","0447, 10.06.2011 - 09.06.2016, Спиртные напитки (в том числе водка); 0448, 10.06.2011 - 09.06.2016, Вино (в том числе натуральное вино)"
3122504762/312245020,14,"Отдел в кафе ""Какаду""",,г. Алексеевка,"г. Алексеевка, ул. Лермонтова, д. 49",3122504762,312245020,Общепит,"""БОЧКАРЕВА""",ООО,"309850, Белгородская обл., г.Алексеевка, ул.Привокзальная, д.12","0447, 10.06.2011 - 09.06.2016, Спиртные напитки (в том числе водка); 0448, 10.06.2011 - 09.06.2016, Вино (в том числе натуральное вино)"
3122504762/312245013,15,"Отдел в кафе ""Лотос""",,г. Алексеевка,"г. Алексеевка, ул. Некрасова, д. 106",3122504762,312245013,Общепит,"""БОЧКАРЕВА""",ООО,"309850, Белгородская обл., г.Алексеевка, ул.Привокзальная, д.12","0447, 10.06.2011 - 09.06.2016, Спиртные напитки (в том числе водка); 0448, 10.06.2011 - 09.06.2016, Вино (в том числе натуральное вино)"
3122504762/312645005,16,"Отдел в кафе ""Ной""",,г. Валуйки,"г. Валуйки, ул. Звездная, д. 49/1",3122504762,312645005,Общепит,"""БОЧКАРЕВА""",ООО,"309850, Белгородская обл., г.Алексеевка, ул.Привокзальная, д.12","0447, 10.06.2011 - 09.06.2016, Спиртные напитки (в том числе водка); 0448, 10.06.2011 - 09.06.2016, Вино (в том числе натуральное вино)"
3122504762/312245007,17,"Отдел в кафе ""Рандеву""",,г. Алексеевка,"г. Алексеевка, ул. Ленина, д. 47",3122504762,312245007,Общепит,"""БОЧКАРЕВА""",ООО,"309850, Белгородская обл., г.Алексеевка, ул.Привокзальная, д.12","0447, 10.06.2011 - 09.06.2016, Спиртные напитки (в том числе водка); 0448, 10.06.2011 - 09.06.2016, Вино (в том числе натуральное вино)"
3122504762/312645004,18,"Отдел в кафе ""Трактир на Горьковской""",,г. Валуйки,"г. Валуйки, ул. Горького, д. 3",3122504762,312645004,Общепит,"""БОЧКАРЕВА""",ООО,"309850, Белгородская обл., г.Алексеевка, ул.Привокзальная, д.12","0447, 10.06.2011 - 09.06.2016, Спиртные напитки (в том числе водка); 0448, 10.06.2011 - 09.06.2016, Вино (в том числе натуральное вино)"
3122504762/311245004,19,"Отдел в кафе ""Триумф""",,Красненский район,"Красненский район, с. Красное, ул. Октябрьская, д. 70",3122504762,311245004,Общепит,"""БОЧКАРЕВА""",ООО,"309850, Белгородская обл., г.Алексеевка, ул.Привокзальная, д.12","0447, 10.06.2011 - 09.06.2016, Спиртные напитки (в том числе водка); 0448, 10.06.2011 - 09.06.2016, Вино (в том числе натуральное вино)"
3122504762/312232005,20,"Отдел в магазин ""Мечта""",,г. Алексеевка,"г. Алексеевка, ул. Кирова, д. 61-а",3122504762,312232005,Торговое,"""БОЧКАРЕВА""",ООО,"309850, Белгородская обл., г.Алексеевка, ул.Привокзальная, д.12","0447, 10.06.2011 - 09.06.2016, Спиртные напитки (в том числе водка); 0447, 10.06.2011 - 09.06.2016, Спиртные напитки до 15%"
3122504762/312232001,21,"Отдел в магазин ""Продукты""",,г. Алексеевка,"г. Алексеевка, ул. Свердлова, д. 5-а",3122504762,312232001,Торговое,"""БОЧКАРЕВА""",ООО,"309850, Белгородская обл., г.Алексеевка, ул.Привокзальная, д.12","0447, 10.06.2011 - 09.06.2016, Спиртные напитки (в том числе водка); 0447, 10.06.2011 - 09.06.2016, Спиртные напитки до 15%"
3122504762/312232010,22,"Отдел в магазин ""Руслан""",,г. Алексеевка,"г. Алексеевка, ул.Ленина, д.67",3122504762,312232010,Торговое,"""БОЧКАРЕВА""",ООО,"309850, Белгородская обл., г.Алексеевка, ул.Привокзальная, д.12","0447, 10.06.2011 - 09.06.2016, Спиртные напитки (в том числе водка); 0447, 10.06.2011 - 09.06.2016, Спиртные напитки до 15%"
3122504762/312232006,23,"Отдел в магазин ""Эталон""",,г. Алексеевка,"г. Алексеевка, ул. Л.Толстого, д. 30-а",3122504762,312232006,Торговое,"""БОЧКАРЕВА""",ООО,"309850, Белгородская обл., г.Алексеевка, ул.Привокзальная, д.12","0447, 10.06.2011 - 09.06.2016, Спиртные напитки (в том числе водка); 0447, 10.06.2011 - 09.06.2016, Спиртные напитки до 15%"
3122504762/312245008,24,Отдел в магазине,,Алексеевский район,"Алексеевский район, с. Хрещатое",3122504762,312245008,Торговое,"""БОЧКАРЕВА""",ООО,"309850, Белгородская обл., г.Алексеевка, ул.Привокзальная, д.12","0447, 10.06.2011 - 09.06.2016, Спиртные напитки (в том числе водка); 0448, 10.06.2011 - 09.06.2016, Вино (в том числе натуральное вино)"
3122504762/312245010,25,Отдел в магазине,,Алексеевский район,"Алексеевский район, с. Камышеватое",3122504762,312245010,Торговое,"""БОЧКАРЕВА""",ООО,"309850, Белгородская обл., г.Алексеевка, ул.Привокзальная, д.12","0447, 10.06.2011 - 09.06.2016, Спиртные напитки (в том числе водка); 0448, 10.06.2011 - 09.06.2016, Вино (в том числе натуральное вино)"
3122504762/312245029,27,Отдел в магазине,,Алексеевский район,"Алексеевский район, с. Матрено-Гезово",3122504762,312245029,Торговое,"""БОЧКАРЕВА""",ООО,"309850, Белгородская обл., г.Алексеевка, ул.Привокзальная, д.12","0447, 10.06.2011 - 09.06.2016, Спиртные напитки (в том числе водка); 0448, 10.06.2011 - 09.06.2016, Вино (в том числе натуральное вино)"
