"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО ""Братский район""",,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,
,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями)
55,"ООО«Вектор Север»
ИНН 3805710496
",ИФНС по Центральному округу г. Братска," 38 МЕ 006379             № 806               08.08.11             27.05.12
","с. Тангуй
ул. Кутузова, 7
отд. в магазине.
с. Покосное.
ул. Южная 27,а
отдел в магазине «Сюзанна»;
ул. Кошевого, 39
бар «Триумф»                             п. Прибрежный                       ул. Зеленая, 3,                   отдел в магазине;                           с. Покосное                                   ул. О. Кошевого , 4                      отдел в магазине
",,,,,МО г. Братск Комитет потреб. Рынка
56,"ООО ""Крепость""          ИНН          3805712341",ИФНС № 15 по Иркутской области,38 МЕ 006396                       № 823                    06.09.11.                        03.02.12.                      ,"с. Ключи  Булак                                 ул. Молодежная 4-2                 отдел в магазине                         г. Вихоревка                                  ул. Бурлова, 1                               отдел в магазине",,,04.02.12 г.,,МО г. Братск Комитет потреб. Рынка
57,"ООО ""Крепость Юг""               ИНН  3805712373",ИФНС № 15 по Иркутской области,38 МЕ 006395                         № 822                       05.09.2011                22.03.2012,"с. Тангуй                                ул. Мира 1 А                              отдел в магазине;                             п. Новодолоново                           ул. Гагарина 12-1                 отдел в магазине;                            с. Покосное                              ул. Южная, 29                            отдел в магазине               п.Прибойный                   пер.Студенческий,5;                 п.Прибойный                            ул.Школьная,5",,,23.03.12.,,МО г. Братск Комитет потреб. Рынка
58,"ООО ""Парадиз""  ИНН       3804034982",ИФНС по Центральному округу г. Братска,38 МЕ 006421                              № 849                          19.12.11.                        21.10.13.,"г. Вихоревка                          ул. Советская 30 пом.                    № 1002                                          отдел в магазине ""Ангара""",,,,,МО г. Братск Комитет потреб. рынка
59,"ООО ""АРТС""        ИНН         3804043874","МНС России № 11 по Иркутской области

",38 МЕ 006318       № 744              07.06.11.                09.06.14.,"п. Тарма                                 ул. Дружбы, 19 А                         отдел в магазине ""Дебют""",,,,,МО г. Братск Комитет потреб. Рынка
60,"ООО ""Бриз"" ИНН 3812130383","МИФНС № 17 по Иркутской обл. 
Серия 38 № 003064421
", А203250 №23             11.05.2012                               25.07.16                         А 203199  № 71            25.07.2011             25.07.2016                            Зарегистр                   А 203242 № 9                        08.02.12 г                             25.07.16.      ,"с.Большеокинское                                                          ул.Мира, 41                                                                    отд.в магазине",,,,,Иркутское районное МО Управление по потребительскому рынку
61,"ООО ""Ковалевские"" ИНН 3823018802","МНС России № 11 по Иркутской области

",А 194656 № 52                    30.08.11.                      30.08.12.        ,"с. Покосное                           ул. 8 Марта 2                             магазин Наташа""                              с. Покосное                                   ул. Кедровая 1 ""б""                              отд. в маг. ""Перекресток"";              п. Сосновый                                   ул. Школьная 5,                 магазин ""Натали""",,,,,
62,"ООО ""Регина"" ИНН 3804045409",ИФНС по Центральному округу г. Братска,А 194655 № 51                                        19.08.2011               19.08.2012,"Братский район, автодорога Братск - Тулун, 17 километр, СНТ ""Победа"", ул.9, д.2         отдел в магазине",,,,,
63,"ООО ""ЛюВи"" ИНН 3823033430","МНС России № 11 по Иркутской области

","А-194662 № 64                     27.01.12.                              30.12.12.                               Взамен                А-194661, № 63   30.12.11.  30.12.12.","с.Ключи-Булак                                  ул. Ленина, 6А,    отдел в магазине ""Для Вас"";                     ул. Мира, 6,                                         бар ""Маэстро"";                         с. Калтук                                  ул. Центраная 19                            отдел в магазине ""Любимый""                                     ",,,,,
64,"ООО
«КЕДР»
ИНН
3823018841
","МНС России  № 11по 
Иркутской обл. 
серия 38 № 002399101
","А 194669 № 73                            18.05.12.                                 20.09.12.                                            Взамен                                  А-194657, № 56
20.09.11.
20.09.12.
","г.Вихоревка
ул.Ленина, 42
маг. «Кедр»;
",,,,,
65,"ООО ""Вита""       ИНН            3804043338",ИФНС по Центральному округу г. Братска,38 МЕ 006419         № 847                  13.12.11.         18.03.14.,"с. Кузнецовка                      ул. Депутатская, 26                          отдел в м магазине ""Фортуна""                                                                                                                                                                                                                                                  ",,,,,"МО           г. Братск
отдел лицензир.
"
66,"ООО ""СибСкладСервис""                     ИНН  3805708810",ИФНС по Центральному округу г. Братска,А-194658  № 57                 20.09.11.                     13.01.12.                 Взамен                              А 194652 № 48                      02.08.11.                     13.01.12                                                                                         ,"г. Вихоревка                      ул. Горького, 5 А,                                         отдел в магазине;                        г.Братск                                ж.р. Центральный             ул. Комсомольская, 12               отдел в магазине;                г. Братск                              ж.р. Центральный             ул. Обручева 22 пом. 1001,                   магазин;                                    г. Братск                           ж.р. Порожский                         ул. 50 лет Октября, 77                   отдел в магазине;                    п. Боровской                       пер. Центральный, 4                       отдел в магазине;                    г. Братск                               ж.р. Осиновка                     ул. Коршуновская, 3                           отдел в магазине;                      г. Братск                                    ж.р. Центральный                  ул. Советская 1-1006,                  отдел в магазине.                      г. Братск   ж.р. Центральный                                           ",,,1/14/2012,,
67,"ООО ""СибСкладСервис""                     ИНН  3805708810",ИФНС по Центральному округу г. Братска,А 242026 № 82 от 09.07.2012 взамен А 194670 № 74                                         17.05.12.                                           17.02.13                                                   Взамен                                               А 194667 № 69                             18.04.12.                                                 17.02.13.                                  Взамен                             А 194663 № 65                         17.02.11.                            17.02.13.                                                                                                                          ,"г.Братск, ж.р.Осиновка, ул.Спортивная, 8,пом 1001, отдел в магазине ; с.Покосное, ул.Южная, 29 отдел в магазине; г.Вихоревка, ул.Терешковой, 35, отдел в магазине; г.Вихоревка, ул.Лазо,10, отдел в магазине ""Эдельвейс""; с. Кузнецовка, ул. Трактовая, 2, стр. 2, отдел в магазине; п. Боровской, пер. Центральный, 4 магазин; с. Тангуй, ул. Мира , 23 А, магазин; п. Турма, ул. Строительная 16 А, отдел в магазине; г Братск, ж.р.Центральный, ул.Маршала Жукова,4 пом.1001,отдел в магазине; г. Братск ж.р. Бикей ул. Советская, 5 отдел в магазине; г. Братск, ул. Коршуновская, 3 отдел в магазине; г. Братск ул. Обручева 22, магазин; с. Кузнецовка ул. Трактовая 2 А отдел в магазине; с. Тангуй, ул. Мира 26 отдел в магазине; п. Кежемский, ул. Железнодорожная 1 Б отдел в магазине; п. Кежемский, ул. Первомайская, 12 отдел в магазине; г. Братск ул. Мира, 40 пом. 1003 отдел в магазине; г. Братск проспект Ленина 52, пом.1001 отдел в магазине;",,,,,
,,,,,,,,,
68,"ООО «Марк»
ИНН 3823019059
","МНС России  № 11по 
Иркутской обл. 
серия 38 № 002399325
","А-194665, № 67
06.04.12.
06.04.13.
","с. Покосное
ул.Южная 26
отд.в   магазине «У Андрея»;
с. Покосное
ул.О.Кошевого 2 А
отд в магазине;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
с. Покосное                                                                                                                                                                                                                                                                                                                                       ул. О.Кошевого 41
отдел в магазине;

",,,,,
69,"ООО ""Алмаз-Тулун""                ИНН 3816012180",МИФНС № 6 по Иркутской области,А 174152 № 7-П                                          10.04.12.                      12.08.12.                                ,"с. Александровка,                          ул. Школьная, 10           магазин.                                                                                                                                                                                                                                             ",,,,,"Администрация городского округа МО ""Город Тулун"""
70,"ООО ""Крепость Юг""               ИНН  3805712373",ИФНС № 15 по Иркутской области,38 МЕ 006429    № 914                          28.05.2012                       27.03.2013                 взамен              38 МЕ 006470                         № 893                       19.04.2012                27.03.2013,"д.Леоново                                        ул.Почтовая, 8                                   отд.в магазине",,,,,МО г. Братск Комитет потреб. Рынка
71,"ООО «Березка»
ИНН
3823030609
","МНС России  № 15по 
Иркутской обл. 
Серия 38 № 002423122
","А-194668, № 72
15.05.12.
15.05.13.
","г. Вихоревка
ул.Нефтяников 10 б 
магазин «Березка»
",,,,,
72,"ООО «Альянс»
ИНН
3823018496
","МНС России № 11 по Иркутской области 
 серия 38 № 002398840
",А 242023 № 79     26.06.2012             26.06.2017,"г.Вихоревка
ул.Доковская 1 а
маг. «Центр+»
ул.Папанина,7
маг. «Аксой»
ул.Горького,25
маг. «Динар»
ул.Дзержин. 127»б»
 кафе ""Фараон"" ",,,,,
73,"ООО «Артур»
ИНН
3823018961
","МНС России  № 11по 
Иркутской обл. 
серия 38 № 002399348
","А-242032 №88 от 25.07.2012 по 25.07.2013
","г.Вихоревка
ул.Октябрьская 2 а
магазин «Артур»

",,,,,
74,"ООО «Байкал»
ИНН
3823018908
","МНС России  № 11по 
Иркутской обл. 
серия 38 № 002399230
","А 242024 №80 от 19.07.2012 по 19.07.2013
","г. Вихоревка
ул. Горького, 12
магазин «Байкал»
",,,,,
75,"ООО ""Вектор Север""
ИНН: 3805710496","Межрайонная ИФНС № 15 по Иркутской области
Постановление(св-во) от 16.09.2009","38МЕ006514 939 от 09.07.2012
 срок действия с 09.07.2012 по 27.05.2013;     взамен: 38МЕ006500 рег.№ 925 от 18.06.2012 с 18.06.2012 до 08.07.2012","с. Покосное.ул. Южная 27,а отдел в магазине «Сюзанна»; с. Покосное. ул. Кошевого, 39 , бар «Триумф» ; с.Тангуй, ул.Кутузова, 7, отд.в маг.","
",,,,
76,"ООО «Водолей
ИНН
3823019147
","МНС России  № 11по 
Иркутской обл. 
серия 38 № 002399433 
","А-242029, №83 от 13.07.2012 по 13.07.2017
","г.Вихоревка
ул. Ленина, 39                     отд. в маг. «Дом Еды»;
ул. Пионерская, 37 в
отд.в маг. «Водолей
",,,,,
77,"ООО «Дарья
ИНН
3823018263
","МНС России  № 11по 
Иркутской обл. 
серия 38 № 000195594
","А 242033 № 89 от 25.07.2012 по 25.07.2013
","г. Вихоревка
ул. Пионерская 24 а
магазин «Дарья»
",,,,,
78,"ООО «Парламент»
ИНН
3823018665
","МНС России  № 11по 
Иркутской обл. 
серия 38 № 002398954
",А 242034 № 87 от 25.07.2012 по 25.07.2013,"г. Вихоревка
ул.Горького 2 «а»
магазин «Анкор»;
ул.Снежная 32
маг. «Михалыч»
",,,,,
79,"ООО «Престиж»
ИНН
3823018859
","МНС России  № 11по 
Иркутской обл. 
серия 38 № 002399102
",А-242031 № 86 от 20.07.2012 по 20.07.2013,"г.Вихоревка
ул.Горького 2
отд.в маг. «Надежда"",
ул.Дзержинского 66 «б»
отд. в «Торговом доме»

",,,,,
80,"ООО «Таежник»
3823019034
","МНС России  № 11по 
Иркутской обл. 
серия 38 № 002399323
","А-242230, № 84 от 19.07.2012 по 19.07.2013
","п. Турма
ул. Калинина 15
отдел в магазине.

",,,,,
