Реестр  действующих лицензии на розничную продажу алкогольной продукции в  Калининградской области (на 01.10.2012 г.),,,,,,,,,,,,,,,,,,,,,
№ лиц.:,До:,ОПФ:,Лицо:,Адрес:,ИНН:,Район:,Город:,Селение:,Улица:,Дом:,Корпус:,Квартира:,Ориентир,Описание,,,,,,,
39/АЛК/11/652,17/10/2012,ООО,"""ГУДВИН""","238730, Калининградская обл., г. Краснознаменск, ул. Антипенкова, д. 13-а, кв. 3",3919003807,,г. Краснознаменск,,ул. Калининградская,д. 60,,,,закусочная,,,,,,,
39/АЛК/11/717,18/11/2013,ООО,"""ГУЛЕВСКАЯ и К""","238340, Калининградская обл., г. Светлый, ул. Калининградская, д. 15",3913007509,,г. Светлый,,ул. Тельмана,д. 1,,,,,,,,,,,
39/АЛК/12/268,25/05/2013,ООО,"""ГурМания""","238535, Калининградская обл., Зеленоградский р-н, пгт Рыбачий, ул. Лесная, д. 8",3904611400,Зеленоградский р-н,,пгт Рыбачий,,,кафе,,,,,,,,,,
39/АЛК/11/820,29/12/2016,ООО,"""Гусевский хлеб - Плюс""","238030, Калининградская обл., г. Гусев, ул. Багратиона, д. 3",3902069292,,г. Гусев,,пр-кт Ленина,д. 53,,,,,,,,,,,
39/АЛК/08/79,18/03/2013,ООО,"""Д.Е.Ф. Плюс""","238590, Калининградская обл., г. Пионерский, ш. Калининградское, д. 17, кв. 2",3910004193,,г. Пионерский,,ш. Калининградское,д. 5,,,,,,,,,,,
39/АЛК/11/610,02/09/2013,ООО,"""ДАВ""","236000, Калининградская обл., г. Калининград, ул. Подп.Половца, д. 12",3907053842,,г. Калининград,,ул. Подп.Половца,д. 6-12,,,,,,,,,,,
39/АЛК/11/457,24/06/2014,ООО,"""Далина""","238710, Калининградская обл., г. Неман, ул. Гагарина, д. 11, кв. 27",3909000483,,г. Неман,,ул. Красноармейская,д. 2-б,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/12/162,30/03/2017,ООО,"""Дана-Балт плюс""","236013, Калининградская обл., г. Калининград, ул. Алданская, д. 10-12",3905049576,,г. Калининград,,ул. Алданская,д. 10-12,,,помещения №№ 1-14,литер II из литера А,,,,,,,
39/АЛК/12/133,26/03/2017,ООО,"""Дана-Балт""","236013, Калининградская обл., г. Калининград, ул. Алданская, д. 10-12",3905049551,,г. Калининград,,ул. Ст.Серж.Карташова,д. 4-4в,,,,,,,,,,,
39/АЛК/12/256,18/05/2013,ООО,"""Дарика""","236004, Калининградская обл., г. Калининград, ул. Типографская, д. 9",3907032708,,г. Калининград,,ул. Типографская,д. 9,закусочная,,,литера I,,,,,,,
39/АЛК/08/415,03/12/2013,ООО,"""Дарфи-клуб""","236030, г. Калининград, ул. Ялтинская, д. 66",3906048399,,г. Калининград,,ул. Ялтинская,д. 66,,,кафе,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/11/819,29/12/2012,ООО,"""Даурия""","238301, Калининградская обл., Гурьевский р-н, п. Первомайское, д. 18",3917020910,Гурьевский р-н,,п. Малое Исаково,ул. Пушкинская,д. 36,закусочная,,,,,,,,,,
39/АЛК/08/83,18/03/2013,ООО,"""Дашков""","238317, Калининградская обл., Гурьевский р-н, п. Маршальское, ул. Центральная, д. 33",3917032471,Гурьевский р-н,,п. Маршальское,ул. Центральная,д. 16-б,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/11/743,02/12/2015,ООО,"""Девора""","236011, Калининградская обл., г. Калининград, ул. Батальная, д. 8-г, кв. 43",3908033302,,г. Калининград,,ул. Морозова П.,д. 101-113,,,,,,,,,,,
39/АЛК/10/34,04/02/2013,ООО,"""ДЕГАЛА""","238750, Калининградская обл., г. Советск, ул. Сплавная, д. 12",3911001068,,г. Советск,,ул. Сплавная,д. 12,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/11/192,08/04/2014,ООО,"""Дейма""","236000, Калининградская обл., г. Калининград, ул. Ген.Толстикова, д. 15/2",3908032500,,г. Калининград,,ул. Ген.Толстикова,д. 15/2,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/08/230,09/07/2013,ООО,"""Дени""","236004, Калининградская обл., г. Калининград, ул. З.Космодемьянской, д. 5",3907038731,,г. Калининград,,ул. Интернациональная,д. 30-в,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/11/654,19/10/2013,ООО,"""ДЕНИ-ТРЕЙД""","236004, Калининградская обл., г. Калининград, ул. З.Космодемьянской, д. 5",3907015364,,г. Калининград,,ул. З.Космодемьянской,д. 5,,,,"зал № 2, закусочная",,,,,,,
39/АЛК/11/647,10/10/2014,ООО,"""ДЕСА""","236006, Калининградская обл., г. Калининград, ул. 9 Апреля, д. 22, пав. 10",3906154541,,г. Калининград,,ул. Согласия,д. 14-а,,,,литер IV из лит.А,,,,,,,
39/АЛК/11/113,11/03/2016,ООО,"""Джейран""","236000, г. Калининград, ул. К.Маркса, д. 56",3905613619,,г. Калининград,,ул. Мл.лейт.Ротко,д. 1-а,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/12/156,30/03/2014,ООО,"""Джин""","236006, Калининградская обл., г. Калининград, пер. Грига, д. 2-а",3906184257,,г. Советск,,ул. Победы,д. 44,закусочная,,,,,,,,,,
39/АЛК/10/183,20/05/2013,ООО,"""Дзензур""","238540, Калининградская обл., г. Пионерский, ул. Октябрьская, д. 5, кв. 94",3910001530,,г. Пионерский,,ш. Калининградское,д. 11-б,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/09/708,12/11/2012,ООО,"""ДиАрт""","236000, г. Калининград, пр-кт Мира, д. 142",3905080537,,г. Калининград,,пр-кт Мира,д. 105,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/12/223,27/04/2014,ООО,"""ДИМАР""","236000, Калининградская обл., г. Калининград, ул. К.Маркса, д. 6",3904073015,,г. Калининград,,ул. К.Маркса,д. 6,,,,встроенные павильоны № 5 и № 14,,,,,,,
39/АЛК/11/682,28/10/2016,ООО,"""Дискотека ""Вагонка""""","236010, Калининградская обл., г. Калининград, ул. Станочная, д. 12",3905029499,,г. Калининград,,ул. Станочная,д. 12,,,2-ой этаж,бар,,,,,,,
39/АЛК/11/774,09/12/2016,ООО,"""ДОМИК В ДЕРЕВНЕ ""МОРШАНСКОЕ""","238314, Калининградская обл., Гурьевский р-н, п. Моршанское, ул. Шоссейная, д. 3-а",3917025989,Гурьевский р-н,,п. Моршанское,ул. Шоссейная,д. 3,кафе,,,,,,,,,,
39/АЛК/08/112,17/04/2013,ООО,"""ДРЕЙК и Ко""","238010, Калининградская обл., г. Нестеров, ул. Советская, д. 14, кв. 23",3920005439,,г. Нестеров,,ул. Калинина,д. 11,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/09/838,30/12/2012,ООО,"""Дружба""","238354, Калининградская обл., Гурьевский р-н, п. Дружный, ул. Свободы, д. 8",3917033235,Гурьевский р-н,,п. Дружный,ул. Свободы,д. 8,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/08/483,30/12/2013,ООО,"""Дубль 3""","236010, г. Калининград, пр-кт Победы, д. 3",3905018137,,г. Калининград,,пр-кт Ленинский,д. 11,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/11/194,08/04/2014,ООО,"""ДУБЛЬ-В""","238150, Калининградская обл., г. Черняховск, ул. Октябрьская, д. 12-а, кв. 15",3914001034,,г. Черняховск,,ул. Калининградская,д. 32-а,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/11/450,24/06/2014,ООО,"""Дубрава""","236000, Калининградская обл., г. Калининград, ул. Кирова, д. 85/87, стр. 2",3904074964,,г. Калининград,,ул. Кирова,д. 85-87,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/11/91,04/03/2013,ООО,"""Дульсинея""","236010, г. Калининград, пл. Победы, д. 4-а, корп. 1, каб. 622",3905048614,,г. Калининград,,пл. Победы,д. 4,,,,с содержанием этилового спирта не более 15% объёма готовой продукции,,,,,,,
39/АЛК/12/236,05/05/2016,ООО,"""Дункель""","236000, Калининградская обл., г. Калининград, пр-кт Ленинский, д. 3",3917501973,,г. Калининград,,ул. Гайдара,д. 165-171,,,,литер IV из литера А,,,,,,,
39/АЛК/12/130,16/03/2013,ООО,"""ДЭДА""","236038, Калининградская обл., г. Калининград, ул. Ю.Гагарина, д. 15",3906238255,,г. Калининград,,ул. Ю.Гагарина,д. 15,,,,литер XI из лит.А,,,,,,,
39/АЛК/12/367,06/07/2014,ООО,"""Дюжина""","238400, Калининградская обл., г. Правдинск, ул. Торговая, д. 18",3923003221,,г. Правдинск,,ул. Торговая,д. 18,,,,,,,,,,,
39/АЛК/07/414,27/12/2012,ООО,"""ЕВРОКОНТАКТ""","238700, Калининградская обл., г. Советск, ул. Искры, д. 16",3911003467,,г. Советск,,ул. Мамина-Сибиряка,д. 13,,,,,,,,,,,
39/АЛК/11/713,18/11/2016,ООО,"""Евромаркет""","236000, Калининградская обл., г. Калининград, ул. Римская, д. 33, корп.1",3906204697,,г. Калининград,,ул. Римская,д. 33,корп. 1,закусочная,,лит. II из лит.А,,,,,,,
39/АЛК/09/678,29/10/2012,ООО,"""ЕвроПул""","236011, г. Калининград, ул. Окская, д. 1-б, кв. 1",3907206680,,г. Калининград,,пр-кт Ленинский,д. 81,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/12/265,18/05/2015,ООО,"""Евротур""","236000, Калининградская обл., г. Калининград, ул. А.Невского, д. 53",3906169058,,г. Калининград,,ул. А.Невского,д. 53,ресторан,,2 этаж,,,,,,,,
39/АЛК/09/791,17/12/2012,ООО,"""Евушка""","238550, Калининградская обл., г. Светлогорск, ул. Пригородная, д. 42",3912012337,,г. Светлогорск,,ул. Пригородная,д. 42,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/09/783,17/12/2014,ООО,"""Елена Трейдинг""","236011, г. Калининград, ул. Батальная, д. 54-г",3908036751,,г. Калининград,,ул. Батальная,д. 54-г,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/11/638,03/10/2013,ООО,"""ЕЛЕНА""","238710, Калининградская обл., г. Неман, ул. Победы, район д. 123",3909000740,,г. Неман,,ул. Победы,,,,"район дома №123, торговый павильон",,,,,,,,
39/АЛК/09/250,28/05/2014,ООО,"""Елисей""","238540, Калининградская обл., г. Пионерский, ул. Шаманова, д. 7, кв. 39",3910999573,,г. Пионерский,,ул. Садовая,д. 1-а,,,,с содержанием этилового спирта не более 15% объёма готовой продукции,,,,,,,
39/АЛК/11/576,12/08/2013,ООО,"""Желатерия Итальяна""","236040, Калининградская обл., г. Калининград, ул. Ген.Соммера, д. 12, кв. 1",3905084789,,г. Калининград,,ул. Театральная,д. 30,,,,2-й этаж,,,,,,,
39/АЛК/12/218,27/04/2015,ПК,"""ЖЕЛЕЗНОДОРОЖНОЕ ПОТРЕБИТЕЛЬСКОЕ ОБЩЕСТВО""","238410, Калининградская обл., Правдинский р-н, п. Железнодорожный, ул. Коммунистическая, д. 12",3923000037,Правдинский р-н,,п. Железнодорожный,ул. Коммунистическая,д. 12,магазин,,,,,,,,,,
39/АЛК/11/735,25/11/2014,ООО,"""Жемчужина Морского""","238535, Калининградская обл., Зеленоградский р-н, п. Морское, ул. Дачная, д. 12",3918027072,Зеленоградский р-н,,п. Морское,ул. Дачная,д. 12,,,,,,,,,,,
39/АЛК/09/423,09/07/2014,ООО,"""Жения""","238210, Калининградская обл., г. Гвардейск, ул. Гагарина, д. 2",3916000950,,г. Гвардейск,,ул. Гагарина,д. 2,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/11/829,29/12/2012,ООО,"""Житница-торг плюс""","236013, Калининградская обл., г. Калининград, пгт Ал.Космодемьянского",3905605569,,г. Калининград,,ул. Артиллерийская,д. 54,,,,Литер IV из литера А,,,,,,,
39/АЛК/11/409,20/06/2016,ООО,"""Западный континент прод""","236005, Калининградская обл., г. Калининград, ул. Тихорецкая, д. 4-а",3908035596,,г. Калининград,,ул. Тихорецкая,д. 4-а,магазин,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/12/251,18/05/2016,ООО,"""Зеленоградский кооператор - два""","236000, Калининградская обл., г. Калининград, ул. Комсомольская, д. 41",3904047505,Зеленоградский р-н,,п. Лесное,ул. Центральная,д. 24,,,,,,,,,,,
39/АЛК/08/217,30/06/2013,ОАО,"""Зеленоградский торговый дом""","238530, Калининградская обл., г. Зеленоградск, ул. Тургенева, д. 3-б",3918027876,,г. Зеленоградск,,ул. Тургенева,д. 3-б,,,,,,,,,,,
39/АЛК/12/424,01/08/2013,ООО,"""ЗИГЗАГ""","236023, Калининградская обл., г. Калининград, ул. Невельская, д. 32",3904073953,,г. Калининград,,ул. Интернациональная,д. 58-а,закусочная,,,секция 14 из лит.А,,,,,,,
39/АЛК/12/359,29/06/2013,ООО,"""Зигзаг-Сервис""","238700, Калининградская обл., г. Советск, ул. Гагарина, д. 1-а, кв. 55",3911009638,,г. Советск,,ул. Школьная,д. 14,,,,литер II,,,,,,,
39/АЛК/10/36,04/02/2013,ООО,"""Зозулька""","236000, г. Калининград, ул. Горького, д. 19-б",3906209568,,г. Калининград,,ул. Горького,д. 19-б,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/10/445,03/11/2015,ООО,"""Золотая Осень""","236011, Калининградская обл., г. Калининград, ул. О.Кошевого, д. 64, кв. 40",3907210140,,г. Славск,,ул. Советская,д. 22-а,,,,,,,,,,,
39/АЛК/11/406,17/06/2014,ООО,"""Золотая рыбка""","238530, Калининградская обл., г. Зеленоградск, п. Сосновка, ул. Луговая, д. 31",3918027354,,г. Зеленоградск,п. Сосновка,ш. Калининградское,д. 33,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/09/415,02/07/2014,ООО,"""Золотое озеро""","236006, г. Калининград, ул. Фрунзе, д. 30, кв. 5",3907007469,,г. Калининград,,ш. Мамоновское,,13-й км,,кафе,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/10/462,19/11/2012,ООО,"""Золотые Пески""","236000, г. Калининград, пр-кт Ленинский, д. 161, кв. 2",3908602774,,г. Зеленоградск,,ул. Тургенева,д. 1-б,,,3-ий этаж,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/12/8,13/01/2013,ООО,"""И.В.Б.ЕР""","238210, Калининградская обл., г. Гвардейск, ул. Юбилейная, д. 2, кв. 32",3916012169,,г. Гвардейск,,ул. Багратиона,,,,торговый павильон,,,,,,,,
39/АЛК/10/549,24/12/2015,ООО,"""Ив. Мари""","236011, Калининградская обл., г. Калининград, ул. Л.Иванихиной, д. 3, кв. 7",3908033172,,г. Калининград,,ул. Интернациональная,д. 58-а,,,,секция № 26,,,,,,,
39/АЛК/12/98,06/03/2015,ООО,"""Ивашин и друзья""","236000, Калининградская обл., г. Калининград, ул. Лейт.Яналова, д. 17-д",3904613550,,г. Калининград,,ул. Туркменская,д. 1,бар,,,литер А3,,,,,,,
39/АЛК/08/366,29/10/2013,ООО,"""Идель""","236006, Калининградская обл., г. Калининград, ул. Горная, д. 2",3907003383,,г. Калининград,,ул. Горная,д. 2,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/09/704,12/11/2012,ООО,"""Империя""","236011, г. Калининград, ул. Батальная, д. 1, кв. 13",3908604877,,г. Калининград,,ул. Литовский Вал,д. 5,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/12/225,27/04/2017,ООО,"""Империя""","238530, Калининградская обл., г. Зеленоградск, ул. Победы, д. 13",3918503074,,г. Зеленоградск,,ул. Бровцева,д. 11-а,,,,литера IV из А,,,,,,,
39/АЛК/11/758,08/12/2012,ООО,"""ИНГРА""","238540, Калининградская обл., г. Пионерский, ул. Армейская, д. 1",3910999453,,г. Пионерский,,ул. Армейская,д. 1,кафе,,,,,,,,,,
39/АЛК/09/694,05/11/2012,ООО,"""Инна""","238550, Калининградская обл., г. Светлогорск, ул. Пионерская, д. 18-б",3912012351,,г. Светлогорск,,ул. Пионерская,д. 18-б,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/11/724,25/11/2012,ООО,"""ИРБИТ-ПЛЮС""","236006, Калининградская обл., г. Калининград, ул. Фрунзе, д. 6",3906089691,,г. Калининград,,ул. Столярная,д. 29-31,,,,"литер II из лит.А, а5, а6",,,,,,,
39/АЛК/12/5,13/01/2013,ООО,"""Ирида""","236002, Калининградская обл., г. Калининград, ул. Транспортная, д. 14, кв. 2",3908032919,Багратионовский р-н,,п. Пограничное,ул. Молодежная,д. 12,,,,литер IV из А,,,,,,,
39/АЛК/11/470,01/07/2014,ООО,"""ИРИНА""","236010, Калининградская обл., г. Калининград, ул. Кутузова, д. 41, кв. 2",3905074999,,г. Калининград,,ул. Ген-лт.Озерова,д. 49-б,,,,с содержанием этилового спирта не более 15% объёма готовой продукции,,,,,,,
39/АЛК/11/452,24/06/2014,ООО,"""ИРИНА""","238552, Калининградская обл., Зеленоградский р-н, п. Романово, ул. Советская, д. 4",3918027756,Зеленоградский р-н,,п. Романово,ул. Советская,д. 4,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/10/544,24/12/2012,ООО,"""Исаковец""","238311, Калининградская обл., Гурьевский р-н, п. Большое Исаково, ул. Октябрьская, д. 3/5",3917015275,Гурьевский р-н,,п. Луговое,ул. Центральная,д. 20-а,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/11/27,28/01/2013,ООО,"""ИСКАДО ПЛЮС""","238100, Калининградская обл., г. Черняховск, ул. Победы, д. 40",3914013400,,г. Черняховск,,ул. Победы,д. 40,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/12/68,28/02/2017,ООО,"""Каис""","238310, Калининградская обл., Гурьевский р-н, п. Васильково, ул. Шатурская, д. 57",3917002117,Гурьевский р-н,,п. Васильково,ул. Шатурская,д. 57,кафе,,,,,,,,,,
39/АЛК/11/811,29/12/2012,ООО,"""Каисса""","236010, Калининградская обл., г. Калининград, пр-кт Мира, д. 142",3905039899,,г. Калининград,,пр-кт Мира,д. 142,,,,"литер I из литера Б, б",,,,,,,
39/АЛК/12/467,21/08/2013,ООО,"""Калина""","236023, Калининградская обл., г. Калининград, ул. Марш.Борзова, д. 6, к. 6",3904085170,,г. Калининград,,ул. Горького,д. 193,,,,"литер II из лит.А,А1",,,,,,,
39/АЛК/11/825,29/12/2012,ООО,"""Калина""","238402, Калининградская обл., Правдинский р-н, п. Севское, ул. Пролетарская, д. 14",3923004458,Правдинский р-н,,п. Севское,ул. Центральная,д. 9,,,,,,,,,,,
39/АЛК/10/358,17/09/2015,ООО,"""Калининградгеолторг""","238311, Калининградская обл., Гурьевский р-н, п. Большое Исаково, пер. Газетный-2, д. 10",3917012250,Гурьевский р-н,,п. Большое Исаково,пер. Газетный-2,д. 10,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/08/417,08/12/2013,ООО,"""Калининграднефтепродукт""","236000, г. Калининград, ул. Комсомольская, д. 22-б",3900000136,,г. Калининград,,пр-кт Московский,д. 246,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/11/833,30/12/2012,ООО,"""КалининградРемСервис""","236010, г. Калининград, ул. Нахимова, д. 2",3908027203,,г. Калининград,,ул. Литовский Вал,д. 1,кафе,,,,,,,,,,
39/АЛК/11/661,19/10/2012,ООО,"""Калининградская Ресторанная Компания""","236041, Калининградская обл., г. Калининград, ул. Артиллерийская, д. 69, кв. 93",3906243537,,г. Калининград,,пл. Калинина,д. 1-б,,,,бар,,,,,,,
39/АЛК/11/827,29/12/2016,ПК,"""Калининградское городское потребительское общество""","236040, Калининградская обл., г. Калининград, ул. Проф.Баранова, д. 30",3906020837,,г. Калининград,,ул. Горького,д. 2,,,"ул. Проф. Баранова, д. 30, магазин",,,,,,,,
39/АЛК/09/713,19/11/2014,ОО,"""Калининградское региональное отделение международного союза социальной защиты военнослужащих, ветеранов и инвалидов Вооружённых Сил России""","236041, г. Калининград, ул. Артиллерийская, д. 17-19",3906044771,,г. Калининград,,ул. Горького,д. 104-б,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/11/809,23/12/2012,ООО,"""Каньон""","236039, Калининградская обл., г. Калининград, ул. И.Сусанина, д. 17",3908034049,,г. Калининград,,ул. И.Сусанина,д. 17,,,,"литер I из литера А,а",,,,,,,
39/АЛК/11/818,29/12/2012,ООО,"""Капан""","238530, Калининградская обл., г. Зеленоградск, ул. Крылова, д. 7, кв. 73",3918027139,,г. Зеленоградск,,ул. Железнодорожная,,,,торговый павильон,,,,,,,,
39/АЛК/11/95,04/03/2014,ООО,"""КАПЕЛЬ""","238320, Калининградская обл., Светловский ГО, п. Взморье, ул. Советская, д. 31",3913000140,,Светловский ГО,п. Взморье,ул. Советская,д. 31,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/12/544,19/09/2013,ООО,"""Капитал озерский""","238120, Калининградская обл., г. Озерск, ул. Пограничная, д. 20, кв. 10",3921003240,,г. Озерск,,ул. Пограничная,д. 18,,,,,,,,,,,
39/АЛК/11/781,16/12/2012,ООО,"""Капри""","236000, Калининградская обл., г. Калининград, ул. Интернациональная, д. 38, кв. 8",3907053779,,г. Калининград,,ул. Проф.Баранова,д. 34,кафе,,,литера Х из литера А,,,,,,,
39/АЛК/11/672,26/10/2012,ООО,"""Капучино""","236000, Калининградская обл., г. Калининград, пр-кт Ленинский, д. 63-67",3906244932,,г. Калининград,,пр-кт Ленинский,д. 63-67,бар,,,,,,,,,,
39/АЛК/12/316,18/06/2017,ООО,"""Карал""","238010, Калининградская обл., г. Нестеров, ул. Школьная, д. 1, кв. 30",3920008020,Нестеровский р-н,,п. Чернышевское,ул. Калининградская,д. 3,,,,литер А/9 из А,,,,,,,
39/АЛК/12/547,19/09/2014,ООО,"""Карбон плюс""","236038, Калининградская обл., г. Калининград, ул. Еловая Аллея, д. 63-а",3908039706,,г. Калининград,,ул. Еловая Аллея,д. 63-а,кафе,,,литер II из лит.А,,,,,,,
39/АЛК/09/767,10/12/2012,ООО,"""КАРИНА""","238713, Калининградская обл., Неманский р-н, п. Лесное, ул. Лесная, д. 26",3909001247,Неманский р-н,,п. Лесное,ул. Лесная,д. 26,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/12/396,27/07/2017,ООО,"""Карлена""","236000, Калининградская обл., г. Калининград, ул. Н.Карамзина, д. 9, кв. 34",3907030034,,г. Калининград,,ул. А.Невского,д. 108,,,,торговые павильоны № 4 и № 5,,,,,,,
39/АЛК/12/466,21/08/2014,ООО,"""Карта вин""","236039, Калининградская обл., г. Калининград, пер. Южный, д. 1-7",3906244675,,г. Калининград,,пер. Южный,д. 1-7,,,,литер I из лит.А,,,,,,,
39/АЛК/09/655,15/10/2012,ООО,"""Катран""","236011, г. Калининград, ул. Аллея Смелых, д. 59",3907206111,,г. Гурьевск,,ул. Садовая,д. 10,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/11/380,10/06/2013,ООО,"""КАТРИНА""","236000, г. Калининград, ул. Красная, д. 125",3904073030,,г. Калининград,,ул. Полк.Ефремова,д. 8-а,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/09/70,12/03/2014,ООО,"""Кафе ""Солянка""","236000, г. Калининград, пр-кт Мира, д. 24-26, ""П""",3905034354,,г. Калининград,,пр-кт Мира,д. 24-26,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/11/462,01/07/2016,ООО,"""КВ и НС Плюс""","238550, Калининградская обл., Светлогорский ГО, пгт Донское, ул. Приморская, д. 9, кв. 1",3912008130,,г. Светлогорск,,пр. Калининградский,д. 5-а,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/12/534,10/09/2013,ООО,"""Кедр-плюс""","238400, Калининградская обл., г. Правдинск, ул. Кутузова, д. 54",3923003207,,г. Правдинск,,ул. Кутузова,д. 52-а,,,,,,,,,,,
39/АЛК/09/27,16/02/2014,ООО,"""Кенигсберг трейдинг""","238530, Калининградская обл., г. Зеленоградск, ул. Володарского, д. 20",3915000107,,г. Багратионовск,,ул. Дружбы,,,,"МАПП ""Багратионовск- Безледы""",без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/10/175,14/05/2013,ООО,"""КенигСИТИ""","236000, г. Калининград, пр-кт Ленинский, д. 30",3906216484,,г. Калининград,,пр-кт Ленинский,д. 30,,,3-й этаж,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/08/328,08/10/2013,ООО,"""КенигТоргГрупп""","236006, Калининградская обл., г. Калининград, ул. Днепровская, д. 2",3907036533,,г. Калининград,,ул. Пролетарская,д. 23-27,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/12/93,06/03/2013,ООО,"""Кёниг-Кранц""","238530, Калининградская обл., г. Зеленоградск, пр-кт Курортный, д. 1",3918010576,,г. Зеленоградск,,пр-кт Курортный,д. 3,закусочная,,,литер I из А,,,,,,,
39/АЛК/10/322,27/08/2015,ООО,"""Кёнигсберг""","236010, Калининградская обл., г. Калининград, ул. Добролюбова, д. 25, кв. 33",3905612647,,г. Светлогорск,,ул. Гагарина,д. 9-б,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/12/174,06/04/2013,ООО,"""КиН""","238117, Калининградская обл., Черняховский р-н, п. Междуречье, ул. Театральная, д. 9, кв. 2",3914016841,Черняховский р-н,,п. Междуречье,ул. Калининградская,д. 5-а,,,,,,,,,,,
39/АЛК/10/429,29/10/2015,ООО,"""Кнайпхоф""","236041, Калининградская обл., г. Калининград, ул. Артиллерийская, д. 43, кв. 58",3906219301,,г. Славск,,ул. Калининградская,д. 3,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/12/514,31/08/2017,ООО,"""Козаченко и сыновья""","236000, Калининградская обл., г. Калининград, пр-кт Мира, д. 102",3904054559,,г. Калининград,,пр-кт Мира,д. 102,,,,литер I,,,,,,,
39/АЛК/09/665,22/10/2012,ООО,"""Колибри плюс""","236013, Калининградская обл., г. Калининград, ул. Алданская, д. 9, кв. 48",3905608489,,г. Гурьевск,,пер. Цветочный,д. 2-а,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/11/801,23/12/2012,ООО,"""Комета""","238173, Калининградская обл., Черняховский р-н, п. Калужское, ул. Молодежная, д. 4, кв. 2",3914017563,Славский р-н,,п. Придорожное,ул. Черняховского,д. 12-а,,,,литера А,,,,,,,
39/АЛК/10/235,25/06/2013,ООО,"""КОМИР""","236004, Калининградская обл., г. Калининград, ул. Дзержинского, д. 73",3907029470,,г. Калининград,,ул. Дзержинского,д. 73,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/12/153,30/03/2013,ООО,"""КОМПАНИЯ ""ТВ""","236013, Калининградская обл., г. Калининград, ул. Алтайская-1, д. 29",3906079164,,г. Калининград,,ул. Ген-лт.Озерова,д. 7-а,,,,,,,,,,,
39/АЛК/11/512,14/07/2014,ООО,"""Компания Нельма""","238340, Калининградская обл., г. Светлый, ул. Строительная, д. 17",3913010734,,г. Светлый,,ул. Советская,д. 15,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
