№ п/п,Наименование организации,ИНН организации,ОГРН организации,Адрес места нахождения организации (юридический адрес),Адрес осуществления вида деятельности ,Регистраци-онный номер организации Серия лицензии Номер лицензии,"Дата выдачи лицензии (месяц, число, год)","Дата окончания действия лицензии (месяц, число, год)",Продленна лицензия,Основание и дата переоформления лицензии,"Дата приоста-новления действия лицензии (месяц, число, год)","Дата возобно-вления действия лицензии (месяц, число, год)","Дата прекра-щения действия лицензии (месяц, число, год)","Дата аннули-рования (месяц, число, год)",Дата прове-дения последней проверки,Примечание,,,,,,,
1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,,,,,,,
1,"ООО ""ТРОЙКА""",6704009321,1066726002430,"215753, Смоленская область, Дорогобужский район, пгт.  Верхнеднепровский, ул. Молодежная, д. 10","215753, Смоленская область, Дорогобужский район, пгт. Верхнеднепровский, ул. Молодежная, д. 10 (магазин), без ограничений",№ 717                 Г 245990,27 апреля 2006,по 27 апреля 2011,до 28 апреля 2012,,,,,,,,,,,,,,
2,"ООО ""Лидер""",6704010542,1096726001382,"215700, Смоленская область, г. Дорогобуж, ул. Лермонтова, д. 42","215700, Смоленская область, г. Дорогобуж, ул. Лермонтова, д. 42 (бар)",№ 1906                      Б 005209,09 марта 2010,по 09 марта 2011,,,,,,,,,,,,,,,
3,"ООО ""РЕДО""",6704009392,1066726014563,"215753, Смоленская область, Дорогобужский район, п. Верхнеднепровский, ул. Молодежная, д. 36-а","215713, Смоленская область, г. Дорогобуж, ул. Чистякова (магазин), без ограничений",№ 782                Б 005282,10 декабря 2010,по 05 июня 2011,до 06 июня 2012,,,,,,,,,,,,,,
,,,,,"215753, Смоленская область, Дорогобужский район, п. Верхнеднепровский, ул. Молодежная, д. 36-а (бар)",,05 июня 2006,по 05 июня 2011,,исключение объекта,,,,,,,,,,,,,
,,,,,"215713, Смоленская область, г. Дорогобуж, ул. Дворецкого (закусочная)",,30 июня 2006,по 05 июня 2011,,исключение объекта,,,,,,,,,,,,,
4,"ООО ""Квинт""",6704009441,1066726014750,"215750, Смоленская область, Дорогобужский район, п. Верхнеднепровский, ул. Химиков, д. 7-а","215750, Смоленская область, Дорогобужский район, п. Верхнеднепровский, ул. Химиков, д. 7-а (магазин), без ограничений",№ 972                Б 005743,30 июня 2006,по 30 июня 2011,до 01 июля 2012,,,,,,,,,,,,,,
5,"ООО ""Фрегат""",6704009360,1066726012693,"215713, Смоленская область, г. Дорогобуж, ул. Мира, д. 37, кв. 1","215720, Смоленская область, г. Дорогобуж, ул. Лермонтова, д. 1 (магазин), без ограничений",№ 1046                    Б 005777,30 июня 2006,по 30 июня 2011,до 01 июля 2012,,,,,,,,,,,,,,
6,"ООО ""АГРОС""",6704009515,1066726015212,"215700, Смоленская область, г. Дорогобуж, пер. Строителей, 15","215700, Смоленская область, Дорогобужский район, г. Дорогобуж, пер. строителей, д. 15 (магазин), без ограничений",№ 1244                   Г 254879,08 августа 2006,по 08 августа 2011,до 09 августа 2012,,,,,,,,,,,,,,
7,ООО Дорогобужскому РАЙПО,6704000030,1026700535817,"215720, Смоленская область, г. Дорогобуж, ул. П. Коммуны, 15","215720, Смоленская область, Дорогобужский район, г. Дорогобуж, ул. Симоновой, д. 20 (магазин ТПС №1), без ограничений",№ 1288                 Б 004940,23 июня 2011,по 28 августа 2011,до 29 августа 2016,,,,,,,,,,,,,,
