Ковылкинский район,,,,,,,,,,
К-во,Регис-,Серия,"Наименование организации,",,Адреса,Кол - тво,Срок ,№ ,Дата,Ф.И.О.
орга,тра-,лицензии,"юридический адрес, почтовый адрес",,торговых объектов,торговых,действия,"телефона,",приоста-,руководителя (учредителя)
низа,цион-,,,,,объектов,лицензииё,факс,новки и,
ций,ный,,,ИНН,,,,,возобнов-,
,№,,,ОГРН,,,,,ления,
,лицен-,,,,,,,,лицензии,
,зии,,,,,,,,,
,,,,,"магазин, с. Ежовка, ул. Центральная, 49, Ковылкинский район",,,,,
,,,,,"м-н ""Продукты"" п. Силикатный, ул. Гагарина, 12, Ковылкинский район",,,,,
,,,,,"м-н п. Торбеево, ул. Ленина, 12а",,,,,
,,,,,"магазин, с. Каз. Майдан, ул. Центральная, 7, Ковылкинский район",,,,,
,,,,,"магазин, с. Ст. Дракино, ул. Комышовая, 49, Ковылкинский район",,,,,
,,,,,"магазин, г. Ковылкино, ул. Большевистская, 20",,,,,
,,,,,"кафе, г. Ковылкино, ул. Ленина, 2а",,,,,
,,,,,"магазин, с. Вечкенино, ул. Советская, 24",,,,,
,,,,,"магазин с. Токмово, ул. Пушкина, 3, Ковылкинский район",,,,,
,,,,,"магазин, с. Н.Пшенево, ул. Новая, 1б, Ковылкинский район",,,,,
,,,,,"магазин, с. Троицк, ул. Кирова, 2, Ковылкинский район",,,,,
,,,,,"кафе, г. Ковылкино, ул. Желябово, 10",,,,,
,,,,,"магазин, с. Салазгарь, ул. Кооперативная, 8, Торбеевский район",,,,,
,,,,,"магазин, п. Торбеево, ул. Больничная, 55б",,,,,
1,207,13 РМ,"ООО ""Объединение розничной торговли"" ",1328904520,"м-н ""Чайка"" г. Ковылкино, ул. Пролетарская, 24",3,29/06/12,23-00-76,,
,,000098,"г. Саранск, Александровское ш. 7 ",,"м-н ""Продукты"" г. Ковылкино, ул. Саранская, 2а",,15/03/13,,,
,,,,,"магазин ""Продукты"", с. Троицк, ул. Куйбышева, 1, Ковылкинский ",,,,,
1,190,13 РМ,"ООО ""София"" г. Ковылкино, ул. Пролетарская, 52а",1323123555,"м-н с. Янг. Майдан, ул. Советская, 37а, Ковылкинский район",10,29/06/12,2-26-19,,Сержантова Галина Ивановна
,,000081,,1061323004093,"м-н с. Кр. Шадым, ул. Советская, 30а, Ковылкинский район",,29/06/17,89272751882,,Кедровских Татьяна Эдуардовна
,,,,,"м-н г. Ковылкино, ул. Пролетарская, 52а",,,,,
,,,,,"магазин, п. Силикатный, ул. Гагарина, 11, Ковылкинский район",,,,,
,,,,,"магазин, г. Ковылкино, ул. Шевченко, 25",,,,,
,,,,,"магазин, с. Волгапино, ул. Ленина, 21, Ковылкинский район",,,,,
,,,,,"магазин, г. Ковылкино, ул. Желябова, 3 г",,,,,
,,,,,"магазин, г. Ковылкино, ул. 50 лет Октября, 5 а",,,,,
,,,,,"магазин, с. Шадым, ул. Центральная, 60 б, Ковылкинский район",,,,,
,,,,,"магазин, с. Кочелаево, ",,,,,
1,288,13 МЕ,"ООО ""Вектор"" с. Парапино, Ковылкинский р-н",1323123971,"м-н с. Парапино, Ковылкинский р-н",1,15/08/11,2-26-61,,Куняшева Галина Васильевна
,,001754,"ул. Ковылкинская, 2 а",,,,15/08/14,,,
1,290,13 МЕ,"ООО ""Алтын"" г. Ковылкино, ул. Щорса, 16а",1323123964,"м-н ""Городок"" г. Ковылкино, ул. Щорса, 16а",1,30/08/11,2-21-31,,Куняшева Валентина Георгиевна
,,001757,,1061323004820,,,30/08/14,,,
1,311,13 МЕ,"ООО ""Ковылкинское общественное питание""",1312016216,"буфет ""Кулинария"" г. Ковылкино, ул. Ленина, 2",5,15/09/11,2-14-80,,Борисова Галина Васильевна
,,001778,"г. Ковылкино, ул. Ленина, 2",1021300889720,"кафе №2 г. Ковылкино, ул. Гагарина, 14а",,15/09/12,2-16-90,,Теняшев Алексей Сергеевич
,,,,,"кафе ""Закусочная"" г. Ковылкино, ул. Пролетарская, 24а",,,,,
,,,,,"м-н с. Высельевка, пер. Вишневый, 2, Ковылкинский район",,,,,
,,,,,"буфет п. Силикатный, ул. Заводская, 14, Ковылкинский район",,,,,
1,36,13 МЕ,"ООО ""Луч"" с. Рыбкино, ул. Кооперативная, 1, Ковылкинский район",1323124125,"м-н с. Рыбкино, ул. Кооперативная, 1, Ковылкинский р-н",2,11/03/12,89271774027,,Личко Анатолий Анатольевич
,,001961,,1071323000055,"м-н с. Н.Мамангино, ул. Центральная, 68а, Ковылкинский район",,11/03/14,,,
1,272,13 МЕ,"ООО ""Содружество"" с. Ефаево, Краснослободский",1314097394,"м-н с. Черемис, ул. Верхняя, Ковылкинский район",2,28/07/11,2-83-91,,Дозорова Татьяна Федоровна
,,001736,район,,"м-н с. Ст. Самаевка, ул. Сире Веле, 15, Ковылкинский район",,29/07/12,2-84-43,,
1,28,13 МЕ,"ООО ""Деловик"" с. Троицк, ул. Куйбышева, 1, Ковыл.",1323124140,"м-н ""Мокшанка"" с. Троицк, ул. Куйбышева, 1, Ковылкинский",1,29/02/12,89271866356,,Аношкин Владимир Николаевич
,,001952,,1071323000110,,,29.02.15,2-72-73,,
1,86,13 МЕ,"ООО ""Сарайкина"" с. Морд. Коломасово, ул. Молодежная, 9 а, Ковылк. р-н",1323124132,"м-н с. Морд. Коломасово, ул. Молодежная, 9 а, Ковылкинский район",1,16/04/12,2-57-32,,Сарайкина Ирина Ивановна
,,002013,,1071323000100,,,16/04/13,89093286670,,
1,205,13 МЕ,"ООО ""МЕЛЕШКИН"" с. Парапино, ул. Ковылкинская, 8",1323124358,"м-н с. Парапино, ул. Ковылкинская, Ковылкинский р-н",1,15/11/07,2-59-56,,Мелешкин Иван Иванович
,,000374,Ковылкинский р-н ИНН 1323124358,,,,15/11/12,,,
1,400,13 МЕ,"ООО ""Самаевский"" г. Ковылкино, ул. Рабочая, 17",1323122054,"м-н п. Самаевка, ул. Привокзальная, 2, Ковылкинский район",2,15/12/11,4-30-40,,Чукаров Василий Васильевич
,,001877,,,"магазин, с. Чепурновка, ул. Центральная, 12, Ковылкинский район",,19/12/12,4-10-63,,
1,130,13 РМ,"ООО ""Вираж"" п. Силикатный, ул. Гагарина, Ковылкинский р-н",1323124502,"м-н ""Абсалют"" №1 п. Силикатный, ул. Гагарина, Ковылкин",4,29/05/12,2-22-10,,Куренин Геннадий Васильевич
,,000012,,1081323000120,"м-н ""Абсалют"" №2 п. Силикатный, ул. Луговая, 34, Ковылкинский район",,30/05/13,,,
,,,,,"м-н с. Б.Азясь, ул. Центральная, 47, Ковылкинский",,,,,
