,, Реестр лицензий на розничную продажу алкогольной продукции на территории Астраханской области ,,,,,
,,,,,,по состоянию на 01.01.2012,
Наименование организации,Рег. номер,ИНН,Место нахождения организации,Выдача,Окончание,Место осуществления деятельности,Номенклатура учреждения
Горпо Харабалинского РСПО,037-Х,3010000816,"Харабали, Б.Хмельницкого, 6, ,",03.12.09,08.08.12,",416010,Астраханская обл,,Харабали г,,Базарная ул,2,,",магазин
Горпо Харабалинского РСПО,037-Х,3010000816,"Харабали, Б.Хмельницкого, 6, ,",24.10.11,08.08.12,",416013,Астраханская обл,Харабалинский р-н,,Бугор п,Школьная ул,20,,",магазин
Горпо Харабалинского РСПО,037-Х,3010000816,"Харабали, Б.Хмельницкого, 6, ,",03.12.09,08.08.12,",416010,Астраханская обл,,Харабали г,,Б.Хмельницкого ул,6,,",магазин
Енотаевское потребительское общество,035-Е,3003000124,",416200,Астраханская обл,,,Енотаевка с,Мусаева ул,41,,",20.05.09,20.05.14,",416200,Астраханская обл,,,Енотаевка с,Мусаева ул,41,,",магазин
Замьяновское ПО,012-Е,3003001270,"Астраханская область, Енотаевский р-он, с. Замьяны, ул. Китова, 1",07.08.09,07.08.14,",416206,Астраханская обл,Енотаевский р-н,,Замьяны с,Кирова ул,26,,",магазин
Замьяновское ПО,012-Е,3003001270,"Астраханская область, Енотаевский р-он, с. Замьяны, ул. Китова, 1",07.08.09,07.08.14,",416206,Астраханская обл,Енотаевский р-н,,Замьяны с,Зверобоева ул,13,,",магазин
"ЗАО ""Анаит-99""",019-Кр,3006006340," Верхний Бузан, ул. Ленина, д.7,кв.6 ,",10.09.07,10.09.12,",414009,Астраханская обл,,Астрахань г,,Лемисова ул,130,,",предпрятие общественного питания
"ЗАО ""Анаит-99""",019-Кр,3006006340," Верхний Бузан, ул. Ленина, д.7,кв.6 ,",10.09.07,10.09.12,",414009,Астраханская обл,,Астрахань г,,Лемисова ул,130,,",магазин
"ЗАО ""Анаит-99""",019-Кр,3006006340," Верхний Бузан, ул. Ленина, д.7,кв.6 ,",10.09.07,10.09.12,",414009,Астраханская обл,,Астрахань г,,Новороссийская ул,98,б,",магазин
"ЗАО ""Астраханская хлебная база""",0509-Кир,3015037344,"г. Астрахань,  Бабушкина, 68, ,",31.07.09,31.07.14,"414009,  Астрахань г, Федеративная/Сибирская ул, 9/12 д.",магазин
"ЗАО ""Отель 7 Небо""",0609-Кир,3015083340,",414000,Астраханская обл,,Астрахань г,,Красная Набережная ул,27,,",15.06.09,15.06.14,",414000,Астраханская обл,,Астрахань г,,Красная Набережная ул,27,,",кафе
"ЗАО ""РЫБАЛКИНО""",052-К,3016050098,",416332,Астраханская обл,Камызякский р-н,,Полдневое с,Братьев Фоминых ул,56,,",09.11.07,09.11.12,"Астраханская обл, Камызякский р-н,,,в границах колхоза ""Лотос"" выше с.Полдневое 50 м, база отдыха",предпрятие общественного питания
"ЗАО ""Синяя птица""",036-Х,7743508573,"416025, Астраханская обл, Харабалинский р-н, Заволжское с, Студенческая ул, 3",14.07.07,14.07.12,"416025, Астраханская обл, Харабалинский р-н,,,Заволжское с, Студенческая ул, 3, база отдыха",предпрятие общественного питания
"ЗАО ""Тандер""",0274-Сов,2310031475,"г. Краснодар,  Леваневского, д.185, ,",29.12.11,19.08.16,",416504,Астраханская обл,,Ахтубинск г,,Агурина ул,17 ""б"",,",магазин
"ЗАО ""Тандер""",0274-Сов,2310031475,"г. Краснодар,  Леваневского, д.185, ,",29.12.11,19.08.16,",416110,Астраханская обл,,Нариманов г,,Центральная ул,15,,",магазин
"ЗАО ""Тандер""",0274-Сов,2310031475,"г. Краснодар,  Леваневского, д.185, ,",29.12.11,19.08.16,",414009,,,Астрахань г,,Щукина ул,77 ""а"",,",магазин
"ЗАО ""Тандер""",0274-Сов,2310031475,"г. Краснодар,  Леваневского, д.185, ,",29.12.11,19.08.16,"414000, Астрахань г, Куйбышева ул/Академика Королева, д.22/10",магазин
"ЗАО ""Тандер""",0274-Сов,2310031475,"г. Краснодар,  Леваневского, д.185, ,",29.12.11,19.08.16,",414004,,,Астрахань г,,Барсовой ул,8 ""а"",,",магазин
"ЗАО ""Тандер""",0274-Сов,2310031475,"г. Краснодар,  Леваневского, д.185, ,",29.12.11,19.08.16,",416500,Астраханская обл,,Ахтубинск г,,Волгоградская ул,4 ""а"",,",магазин
"ЗАО ""Тандер""",0274-Сов,2310031475,"г. Краснодар,  Леваневского, д.185, ,",29.12.11,19.08.16,"414009, Астрахань г, Революционная ул/2-я Соликамская, д.65/13",магазин
"ЗАО ""Тандер""",0274-Сов,2310031475,"г. Краснодар,  Леваневского, д.185, ,",29.12.11,19.08.16,"414042, Астрахань г, Бумажников пр-кт/Мосина, 1/9",магазин
"ЗАО ""Тандер""",0274-Сов,2310031475,"г. Краснодар,  Леваневского, д.185, ,",29.12.11,19.08.16,",414032,,,Астрахань г,,Бульварная ул,6 ""г"",,",магазин
"ЗАО ""Тандер""",0274-Сов,2310031475,"г. Краснодар,  Леваневского, д.185, ,",29.12.11,19.08.16,",414024,,,Астрахань г,,Власова ул,6,,",магазин
"ЗАО ""Тандер""",0274-Сов,2310031475,"г. Краснодар,  Леваневского, д.185, ,",29.12.11,19.08.16,",414038,,,Астрахань г,,Грановский пер,59 ""д"",,",магазин
"ЗАО ""Тандер""",0274-Сов,2310031475,"г. Краснодар,  Леваневского, д.185, ,",29.12.11,19.08.16,",414040,,,Астрахань г,,Вокзальная пл,19,,",магазин
"ЗАО ""Тандер""",0274-Сов,2310031475,"г. Краснодар,  Леваневского, д.185, ,",29.12.11,19.08.16,",414015,,,Астрахань г,,Шоссейная ул,10 ""а"",,",магазин
"ЗАО ""Тандер""",0274-Сов,2310031475,"г. Краснодар,  Леваневского, д.185, ,",29.12.11,19.08.16,"414000, Астрахань г, Михаила Аладьина ул/Молодой Гвардии, д.8/18",магазин
"ЗАО ""Тандер""",0274-Сов,2310031475,"г. Краснодар,  Леваневского, д.185, ,",29.12.11,19.08.16,",414024,,,Астрахань г,,Моздокская ул,54,,",магазин
"ЗАО ""Тандер""",0274-Сов,2310031475,"г. Краснодар,  Леваневского, д.185, ,",29.12.11,19.08.16,",416010,Астраханская обл,,Харабали г,,Пионерская ул,15,,",магазин
"ЗАО ""Тандер""",0274-Сов,2310031475,"г. Краснодар,  Леваневского, д.185, ,",29.12.11,19.08.16,",416150,Астраханская обл,,,Красный Яр с,Советская ул,66,,",магазин
"ЗАО ""Тандер""",0274-Сов,2310031475,"г. Краснодар,  Леваневского, д.185, ,",29.12.11,19.08.16,",416506,Астраханская обл,,Ахтубинск г,,Циолковского ул,7,,",магазин
"ЗАО ""Тандер""",0274-Сов,2310031475,"г. Краснодар,  Леваневского, д.185, ,",29.12.11,19.08.16,",416550,Астраханская обл,,Знаменск г,,Астраханская ул,8 ""г"",,",магазин
"ЗАО ""Тандер""",0274-Сов,2310031475,"г. Краснодар,  Леваневского, д.185, ,",29.12.11,19.08.16,",416300,Астраханская обл,,Камызяк г,,М.Горького ул,98,,",магазин
"ЗАО ""Тандер""",0274-Сов,2310031475,"г. Краснодар,  Леваневского, д.185, ,",29.12.11,19.08.16,",416010,Астраханская обл,,Харабали г,,Волжская ул,45 ""б"",,",магазин
"ЗАО ""Тандер""",0274-Сов,2310031475,"г. Краснодар,  Леваневского, д.185, ,",29.12.11,19.08.16,",416550,Астраханская обл,,Знаменск г,,9 Мая пр-кт,12,,",магазин
"ЗАО ""Тандер""",0274-Сов,2310031475,"г. Краснодар,  Леваневского, д.185, ,",29.12.11,19.08.16,",416010,Астраханская обл,,Харабали г,,8-й кв-л,10 ""а"",,",магазин
"ЗАО ""Тандер""",0274-Сов,2310031475,"г. Краснодар,  Леваневского, д.185, ,",29.12.11,19.08.16,",416410,Астраханская обл,,,Лиман рп,Электрическая ул,18,,",магазин
"ЗАО ""Тандер""",0274-Сов,2310031475,"г. Краснодар,  Леваневского, д.185, ,",29.12.11,19.08.16,",414026,,,Астрахань г,,Магистральная ул,34,,",магазин
"ЗАО ""Тандер""",0274-Сов,2310031475,"г. Краснодар,  Леваневского, д.185, ,",29.12.11,19.08.16,",414052,,,Астрахань г,,Ботвина ул,26,,",магазин
"ЗАО ""Тандер""",0274-Сов,2310031475,"г. Краснодар,  Леваневского, д.185, ,",29.12.11,19.08.16,"414000, Астрахань г, Академика Королева ул/Степана Здоровцева, 35/1",магазин
"ЗАО ""Тандер""",0274-Сов,2310031475,"г. Краснодар,  Леваневского, д.185, ,",29.12.11,19.08.16,",414024,,,Астрахань г,,Боевая ул,74,,",магазин
"ЗАО ""Тандер""",0274-Сов,2310031475,"г. Краснодар,  Леваневского, д.185, ,",29.12.11,19.08.16,",414018,,,Астрахань г,,Котельная 1-я ул,2,,",магазин
"ЗАО ""Тандер""",0274-Сов,2310031475,"г. Краснодар,  Леваневского, д.185, ,",29.12.11,19.08.16,",414024,,,Астрахань г,,Николая Островского ул,74,,",магазин
"ЗАО ""Тандер""",0274-Сов,2310031475,"г. Краснодар,  Леваневского, д.185, ,",29.12.11,19.08.16,",414000,,,Астрахань г,,Кубанская ул,72 ""в"",,",магазин
"ЗАО ""Тандер""",0274-Сов,2310031475,"г. Краснодар,  Леваневского, д.185, ,",29.12.11,19.08.16,",414057,,,Астрахань г,,Космонавтов ул,8,3,",магазин
"ЗАО ""Тандер""",0274-Сов,2310031475,"г. Краснодар,  Леваневского, д.185, ,",29.12.11,19.08.16,",414015,,,Астрахань г,,Заводская пл,47,,",магазин
"ЗАО ""Тандер""",0274-Сов,2310031475,"г. Краснодар,  Леваневского, д.185, ,",29.12.11,19.08.16,"414024, Астрахань г, Котовского ул/Набережна Приволжского Затона/Ташкентская, д. 1/3/2",магазин
"ЗАО ""Тандер""",0274-Сов,2310031475,"г. Краснодар,  Леваневского, д.185, ,",29.12.11,19.08.16,",414028,,,Астрахань г,,Немова ул,24 ""г"",,",магазин
"ЗАО ""Тандер""",0274-Сов,2310031475,"г. Краснодар,  Леваневского, д.185, ,",29.12.11,19.08.16,",414024,,,Астрахань г,,Ахшарумова ул,78,,",магазин
"ЗАО ""Тандер""",0274-Сов,2310031475,"г. Краснодар,  Леваневского, д.185, ,",29.12.11,19.08.16,",414004,,,Астрахань г,,Софьи Перовской ул,111,,",магазин
"ЗАО ""Тандер""",0274-Сов,2310031475,"г. Краснодар,  Леваневского, д.185, ,",29.12.11,19.08.16,",414056,,,Астрахань г,,Бертюльская ул,7,,",магазин
"ЗАО ""Тандер""",0274-Сов,2310031475,"г. Краснодар,  Леваневского, д.185, ,",29.12.11,19.08.16,",414000,,,Астрахань г,,Яблочкова ул,1 ""г"",,",магазин
"ЗАО ""Тандер""",0274-Сов,2310031475,"г. Краснодар,  Леваневского, д.185, ,",29.12.11,19.08.16,",414057,,,Астрахань г,,Воробьева проезд,12,1,",магазин
"ЗАО ""Тандер""",0274-Сов,2310031475,"г. Краснодар,  Леваневского, д.185, ,",29.12.11,19.08.16,",414056,,,Астрахань г,,Савушкина ул,21,,",магазин
"ЗАО ""Тандер""",0274-Сов,2310031475,"г. Краснодар,  Леваневского, д.185, ,",29.12.11,19.08.16,",414041,,,Астрахань г,,Герасименко ул,2 ""а"",,",магазин
"ЗАО ""Тандер""",0274-Сов,2310031475,"г. Краснодар,  Леваневского, д.185, ,",29.12.11,19.08.16,",414022,,,Астрахань г,,Звездная ул,55,,",магазин
"ЗАО ""Тандер""",0274-Сов,2310031475,"г. Краснодар,  Леваневского, д.185, ,",29.12.11,19.08.16,",414041,,,Астрахань г,,11 Красной Армии ул,6,1,",магазин
"ЗАО ""Тандер""",0274-Сов,2310031475,"г. Краснодар,  Леваневского, д.185, ,",29.12.11,19.08.16,",414009,,,Астрахань г,,Новороссийская ул,95 ""б"",,",магазин
"ЗАО ""Тандер""",0274-Сов,2310031475,"г. Краснодар,  Леваневского, д.185, ,",29.12.11,19.08.16,",414041,,,Астрахань г,,Сун-Ят-Сена ул,66,,",магазин
"ЗАО ""Тандер""",0274-Сов,2310031475,"г. Краснодар,  Леваневского, д.185, ,",29.12.11,19.08.16,",414011,,,Астрахань г,,Космонавта Комарова ул,59 ""а"",,",магазин
"ЗАО ""Тандер""",0274-Сов,2310031475,"г. Краснодар,  Леваневского, д.185, ,",29.12.11,19.08.16,",414017,,,Астрахань г,,Каунасская ул,51,,",магазин
"ЗАО ""Тандер""",0274-Сов,2310031475,"г. Краснодар,  Леваневского, д.185, ,",29.12.11,19.08.16," Астрахань г, Девятый переулок, 14-16-18",магазин
"ЗАО ""Тандер""",0274-Сов,2310031475,"г. Краснодар,  Леваневского, д.185, ,",29.12.11,19.08.16," Астрахань г, Ленинградский пер/Авангардная/Проездной, д.1/49/2",магазин
"ЗАО ""Тандер""",0274-Сов,2310031475,"г. Краснодар,  Леваневского, д.185, ,",29.12.11,19.08.16,",414042,,,Астрахань г,,Бумажников пр-кт,15,,",магазин
"ЗАО ""Тандер""",0274-Сов,2310031475,"г. Краснодар,  Леваневского, д.185, ,",29.12.11,19.08.16,",414006,,,Астрахань г,,Дзержинского ул,4,,",магазин
"ЗАО ""Тандер""",0274-Сов,2310031475,"г. Краснодар,  Леваневского, д.185, ,",29.12.11,19.08.16,",414032,,,Астрахань г,,Жилая ул,9,,",магазин
