,,,,,,,,,,,,,,,,,,,,
"Сведения о выданных (продленных), переоформленных, приостановленных и аннулированных в судебном порядке лицензиях на розничную продажу алкогольной продукции,",,,,,,,,,,,,,,,,,,,,
"а также о лицензиях, действие которых прекращено по истечению срока действия таких лицензий, и в случае ликвидации организации или в случае принятия лицензирующим ",,,,,,,,,,,,,,,,,,,,
"органом решения о досрочном прекращении действия такой лицензии на основании заявления организации, по состоянию на 08.10.2012 г.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
№ п/п,Лицензиат,,,ИНН,КПП,Адрес юридический,Адрес осуществления деятельности,Код субъекта РФ,Регистрационный номер лицензии,Серия лицензии,Номер лицензии,"Дата выдачи (месяц, число, год)","Дата окончания действия (месяц, число, год)","Дата приостановления действия (месяц, число, год)","Дата возобновления действия (месяц, Число, год)","Дата прекращения действия (месяц, число, Год)","Дата анулирования (месяц, число, год)",Контактный телефон,Руководитель,"Орган исполнительной власти, выдавший лицензию"
1803,"ЗАО ""МРИЯ""",,,4821011497,,г.Елец ул.Спутников д.15,г.Елец ул.Спутников д.15,48,713,Д,235958,12.29.2004,12.29.2007,03.30.2007,04.07.2007,,,2-34-15,дир.Лизунова Марина Анатольевна,Департамент потребительского рынка адм. Липецкой области
1804,"ЗАО ""Мясокомбинат Данковский""",,,4803004391,,"399850, Липецкая обл, Данковский р-н, Данков г, Зайцева ул, дом № 10","399850, Липецкая обл, Данковский р-н, Данков г, Зайцева ул, дом № 10, корпус 2",48,744,Д,235151,12.30.2003,12.30.2006,,,,,(47465) 6-24-34,Зубкова Надежда Егоровна,Департамент потребительского рынка адм. Липецкой области
1827,"ЗАО ""Огонек""",,,4821011257,,"399774, Липецкая обл, Елецкий р-н, Елец г, Коммунаров ул, дом № 34","399774, Липецкая обл, Елецкий р-н, Елец г, Коммунаров ул, дом № 34",48,729,Д,235133,12.30.2003,12.30.2006,,,,,(47467) 2-22-80,Дорохина Любовь Никитична,Департамент потребительского рынка адм. Липецкой области
1829,"ЗАО ""Ольшанский карьер""",,,4821014339,,"399774, Липецкая обл, Елецкий р-н, Елец г, Томский пер, дом № 17","399774, Липецкая обл, Елецкий р-н, Елец г, 8 Марта ул",48,673,Д,476665,12.09.2005,12.09.2008,,,,,(47467) 2-02-22,Поваляев Вячеслав Борисович,Департамент потребительского рынка адм. Липецкой области
1831,"ЗАО ""Промстройкомплект""",,,4826024605,,"398902, Липецкая обл, Липецк г, Юношеская ул, дом № 61",г.Липецк ул.Московская д.49/1,48,111,Г,599196,11.01.2002,11.01.2005,,,,,(4742) 33-22-06,Горин Сергей Григорьевич,Департамент потребительского рынка адм. Липецкой области
1833,"ЗАО ""Ремстройконтакт""",,,4826021724,,"398059, Липецкая обл, Липецк г, Советская ул, дом № 4",г.Липецк ул.Гагарина д.6,48,52,Г,603181,01.21.2002,01.21.2003,,,,,(4742) 24-76-09,Шарнин Александр Иванович,Управление лицензирования администрации Липецкой области
1838,"ЗАО ""Сюрприз""",,,4821011480,,"399774, Липецкая обл, Елецкий р-н, Елец г, Пушкина ул, дом № 22","399774, Липецкая обл, Елецкий р-н, Елец г, Пушкина ул, дом № 22",48,10,Д,235175,01.13.2004,01.13.2007,,,,,(47467) 2-82-29,Лихачева Валентина Егоровна,Департамент потребительского рынка адм. Липецкой области
3393,"ЗАО ""ТД Слобода""",,,4826028085,,"398059, Липецкая обл, Липецк г, Советская ул, дом № 66",г.Липецк ул.40 лет Октября д.11,48,260,Г,603502,03.22.2002,03.22.2003,,,,,(4742) 48-28-31,Путилин Сергей Иванович,Управление лицензирования администрации Липецкой области
3820,"ЗАО ""Уголек""",,,4802006477,,"399059, Липецкая обл, Грязинский р-н, Грязи г, Семашко ул, дом № 1","399059, Липецкая обл, Грязинский р-н, Грязи г, Семашко ул, дом № 1",48,277,Г,599653,04.25.2003,04.25.2006,05.19.2003,05.28.2003,,,(47461) 2-46-96,Ульянов Игорь Николаевна,Департамент потребительского рынка адм. Липецкой области
3835,"ЗАО ""Центрторгсервис""",,,4824014834,,"398006, Липецкая обл, Липецк г, Суворова ул, дом № 14",г.Липецк ул.Суворова д.14,48,163,Г,603338,02.18.2002,02.18.2003,,,,,(4742) 43-06-98,Качанов Сергей Алексеевич,Управление лицензирования администрации Липецкой области
3840,"ЗАО ""Энергопромсервис""",,,4823008718,482301001,"398600, Липецкая обл, Липецк г, 9 Мая ул, дом № 69",г.Липецк ул.Фрунзе д.30,48,273,Г,603516,03.28.2002,03.28.2003,09.19.2002,09.27.2002,,,(4742) 77-63-32,Тигиняна Ольга Викторовна,Управление лицензирования администрации Липецкой области
3844,"ЗАО ""Юбилей""",,,4821009642,,"399774, Липецкая обл, Елецкий р-н, Елец г, Коммунаров ул, дом № 101","399774, Липецкая обл, Елецкий р-н, Елец г, Коммунаров ул, дом № 101",48,710,Д,235128,12.30.2003,12.30.2006,,,,,(47467) 2-36-46,Куреев Александр Борисович,Департамент потребительского рынка адм. Липецкой области
3848,"ЗАО СФ ""Тербунская""",,,4815002991,,с.Тербуны ул.Советская,с.Тербуны ул.Мира,48,484,Д,235708,09.06.2004,09.06.2007,07.09.2007,07.19.2007,,,2-19-51,ген.дир.Кощеев Николай Петрович,Департамент потребительского рынка адм. Липецкой области
3856,Исток ООО (г.Липецк),,,4825036365,,"398016, Липецкая обл, Липецк г, Терешковой ул, дом № 13 ""б""",с.Хлевное ул.Свободы д.77,48,227,Д,235423,05.05.2004,05.05.2007,,,,,35-73-87,Чеснокова Мария Владимировна,Департамент потребительского рынка адм. Липецкой области
3860,Краснинское районное потребительское общество,,,4810000655,481001001,"399670, Липецкая обл, Краснинский р-н, Красное с, 70 лет Октября ул",Согласно выданным копиям лицензии,48,91,Г,603248,02.01.2002,02.01.2005,,,,,(47469) 2-02-78,Бурзуев Захир Захид Оглы,Управление лицензирования администрации Липецкой области
3979,"КФХ ""Восход""",,,4806000821,,"399526, Липецкая обл, Долгоруковский р-н, Меньшой Колодезь с","399526, Липецкая обл, Долгоруковский р-н, Меньшой Колодезь с",48,727,Д,235124,12.23.2003,12.23.2006,,,,,(47468) 2-42-89,Пальчиков Виктор Борисович,Департамент потребительского рынка адм. Липецкой области
4269,Лев Толстовское районное потребительское общество,,,4812000234,481201001,"399870, Липецкая обл, Лев-Толстовский р-н, Лев Толстой п, Льва Толстого ул, дом № 80",Согласно выданным копиям,48,88,Г,603240,02.01.2002,02.01.2005,,,,,(47464) 2-27-85,Кузин Роман Николаевич,Управление лицензирования администрации Липецкой области
4531,"Липецкая областная общественная организация инвалидов войны и труда  ""Славяне""",,,4824017433,,"398059, Липецкая обл, Липецк г, 8 Марта ул, дом № 26/2",г.Липецк ул.8 марта д.26/2,48,399,Г,603672,04.26.2002,04.26.2003,,,,,(4742) 74-36-72,Степанов Михаил Михайлович,Управление лицензирования администрации Липецкой области
4558,Липецкий областной фонд помощи актерам театров ,,,4826019764,,"398059, Липецкая обл, Липецк г, Фрунзе ул, дом № 12",г.Липецк пл.Театральная д.1,48,361,Г,603622,04.12.2002,04.12.2005,,,,,(4742) 77-05-36,Бражник Валентина Сергеевна,Управление лицензирования администрации Липецкой области
4561,Липецкое районное потребительское общество,,,4813000340,481301001,"398510, Липецкая обл, Липецкий р-н, Боринское с, Советская ул, дом № 1",Согласно выданным копиям лицензии,48,97,Г,603260,02.01.2002,02.01.2005,,,,,(4742) 51-02-42,Соколова Раиса Алексеевна,Управление лицензирования администрации Липецкой области
4822,"МУ киноконцертный зал ""Октябрь""",,,4826022615,,"398059, Липецкая обл, Липецк г, К.Маркса ул, дом № 6","398059, Липецкая обл, Липецк г, К.Маркса ул, дом № 6",48,29,Г,603154,01.15.2002,01.15.2003,,,,,(4742) 77-88-48,Лаврентьев Юрий Юрьевич,Управление лицензирования администрации Липецкой области
