,,,,,,,,,,,,,,,,,,,,
"Сведения о выданных (продленных), переоформленных, приостановленных и аннулированных в судебном порядке лицензиях на розничную продажу алкогольной продукции,",,,,,,,,,,,,,,,,,,,,
"а также о лицензиях, действие которых прекращено по истечению срока действия таких лицензий, и в случае ликвидации организации или в случае принятия лицензирующим ",,,,,,,,,,,,,,,,,,,,
"органом решения о досрочном прекращении действия такой лицензии на основании заявления организации, по состоянию на 08.10.2012 г.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
№ п/п,Лицензиат,,,ИНН,КПП,Адрес юридический,Адрес осуществления деятельности,Код субъекта РФ,Регистрационный номер лицензии,Серия лицензии,Номер лицензии,"Дата выдачи (месяц, число, год)","Дата окончания действия (месяц, число, год)","Дата приостановления действия (месяц, число, год)","Дата возобновления действия (месяц, Число, год)","Дата прекращения действия (месяц, число, Год)","Дата анулирования (месяц, число, год)",Контактный телефон,Руководитель,"Орган исполнительной власти, выдавший лицензию"
7011,"ООО ""Гном""",,,4802009936,480201001,"399059, Липецкая обл, Грязинский р-н, Грязи г, Воровского ул, дом № 21-б","399059, Липецкая обл, Грязинский р-н, Грязи г, Воровского ул, дом № 21-б",48,358,Д,475094,07.10.2006,07.10.2011,,,,,(47461) 2-10-02; 89103500869,Панов Александр Васильевич,Департамент потребительского рынка адм. Липецкой области
7019,"ООО ""Голубой Дунай""",,,4813010002,,"399140, Липецкая обл, Добровский р-н, Доброе с, Советская ул","399140, Липецкая обл, Добровский р-н, Доброе с, Советская ул",48,157,Д,475582,07.19.2007,07.19.2012,,,,,(47463) 2-22-10,Кузнецова Мария Сергеевна,Управление потребительского рынка Липецкой области
7020,"ООО ""Горизонт 2000""",,,4825025081,482401001,"398024, Липецкая обл, Липецк г, Победы пр-кт, дом № 89","398024, Липецкая обл, Липецк г, Победы пр-кт, дом № 89",48,307,Д,476305,06.17.2005,06.17.2008,,,,,(4742) 41-58-53,Овцынова Галина Николаевна,Департамент потребительского рынка адм. Липецкой области
7023,"ООО ""Горизонт К""",,,4825025099,,г.Липецк ул.Ленина д.11-а,г.Липецк пр.Победы д.89,48,298,Д,235589,06.17.2004,06.17.2005,,,,,41-58-23,дир.Букреева Марина Николаевна,Департамент потребительского рынка адм. Липецкой области
7024,"ООО ""Горизонт""",,,4811009001,,"399850, Липецкая обл, Данковский р-н, Данков г, Вермишева ул, дом № 1","399850, Липецкая обл, Данковский р-н, Данков г, Вермишева ул, дом № 1",48,656,Д,475405,12.26.2006,12.26.2011,,,,,(47465) 6-67-64,Кормилицына Мария Ивановна,Департамент потребительского рынка Липецкой области
7025,"ООО ""ГОРНИЦА""",,,4824005452,482401001,"398024, Липецкая обл, Липецк г, Победы пр, дом № 72","398024, Липецкая обл, Липецк г, Победы пр, дом № 72",48,178,ПВ,0000308,10.05.2009,10.04.2014,,,,,(4742) 48-80-95,Васюков Виктор Васильевич,Управление потребительского рынка Липецкой области
7026,"ООО ""Горняк""",,,4803003599,,"399850, Липецкая обл, Данковский р-н, Данков г, Ленина ул, дом № 11",г.Данков ул.Ленина д.11,48,534,Г,603856,06.28.2002,06.28.2005,,,,,(47465) 6-12-19,Сучкова Антонина Егоровна,Управление лицензирования администрации Липецкой области
7028,"ООО ""Городок""",,,4826073377,482601001,"398016, Липецкая обл, Липецк г, Терешковой ул, дом № 13а, помещение № 8","398016, Липецкая обл, Липецк г, Терешковой ул, дом № 13а, помещение № 8",48,126,ПВ,0000508,08.24.2010,08.23.2012,04.11.2012,04.17.2012,,,(4742) 34-72-62,Мерзликина Галина Ивановна,Управление потребительского рынка и ценовой политики Липецкой области
7029,"ООО ""Городское кафе ""Свои Люди""",,,4826048620,482601001,"398032, Липецкая обл, Липецк г, Циолковского ул, дом № 2/2","398032, Липецкая обл, Липецк г, Циолковского ул, дом № 2/2",48,122,Д,476865,04.26.2006,04.26.2011,,,,,(4742) 31-32-30,Филинов Вадим Геннадиевич,Департамент потребительского рынка адм. Липецкой области
7030,"ООО ""Горячий хлеб""",,,4822001082,482201001,"398059, Липецкая обл, Липецк г, Барашева ул, дом № 3","398059, Липецкая обл, Липецк г, Барашева ул, дом № 3",48,303,Г,599670,04.30.2003,04.30.2006,,,,,(4742) 46-97-99,Давыдова Юлия Юрьевна,Департамент потребительского рынка адм. Липецкой области
7036,"ООО ""Гранд""",,,4807012523,480701001,"399755, Липецкая обл, Елецкий р-н, Ключ Жизни п, Молодежная ул, дом № 16, кв.2","399768, Липецкая обл, Елецкий р-н, Черкассы с, Школьная ул, дом № 12а",48,355,ПВ,0000106,12.24.2008,12.23.2013,,,,,(47467) 9-27-11,Власенко Марина Александровна,Управление потребительского рынка Липецкой области
7037,"ООО ""Гранд""",,,4824032174,482601001,"398035, Липецкая обл, Липецк г, Вермишева ул, дом № 4 ""а""","398035, Липецкая обл, Липецк г, Вермишева ул, дом № 4 ""а""",48,72,ПВ,0000458,05.11.2010,05.10.2013,,,,,89103519988,Сидоров Владимир Вячеславович,Управление потребительского рынка Липецкой области
7038,"ООО ""Гранит""",,,4804005327,,"399431, Липецкая обл, Добринский р-н, Добринка п, Заозерная ул, дом № 12",п.Добринка ул.Горького д.12,48,128,Г,603295,02.06.2002,02.06.2005,,,,,(47462) 2-12-94,Кудрявцев Юрий Алексеевич,Управление лицензирования администрации Липецкой области
7041,"ООО ""Гранит""",,,4802012840,480401001,"399458, Липецкая обл, Добринский р-н, Демшинка с, Центральная ул, дом № 59а","399458, Липецкая обл, Добринский р-н, Демшинка с, Центральная ул, дом № 59а",48,188,ПВ,0000572,12.31.2010,12.30.2011,,,,,89092221989,Калаев Александр Леонидович,Управление потребительского рынка и ценовой политики Липецкой области
7043,"ООО ""ГРИН""",,,4824036651,482401001,"398000, Липецкая обл, Липецк г, Сырская ул, владение 94","398000, Липецкая обл, Липецк г, Сырская ул, владение 94",48,220,Д,476967,06.21.2006,06.21.2011,,,,,(4742) 37-63-07,Налетов Юрий Юрьевич,Департамент потребительского рынка адм. Липецкой области
7045,"ООО ""ГРОТ""",,,4826050348,482601001,"398902, Липецкая обл, Липецк г, Ударников ул, дом № 5-а","398902, Липецкая обл, Липецк г, Ударников ул, дом № 5-а",48,153,Д,476903,05.22.2006,05.22.2011,,,,,89103558926,Шарапов Николай Владимирович,Департамент потребительского рынка адм. Липецкой области
7047,"ООО ""Гурман""",,,4823022230,,"398005, Липецкая обл, Липецк г, Черняховского ул, дом № 21, кв.1","Липецкая обл, Липецк г, Комсомольский пруд, напротив входа в Нижний парк",48,376,Г,599754,06.05.2003,10.31.2003,,,,,(4742) 47-51-87,Беленко Дмитрий Александрович,Департамент потребительского рынка адм. Липецкой области
7048,"ООО ""Гурман""",,,4826047377,482601001,"398050, Липецкая обл, Липецк г, Плеханова пл, дом № 1","398050, Липецкая обл, Липецк г, Плеханова пл, дом № 1",48,593,Д,476592,11.03.2005,11.03.2008,,,,,(4742) 47-00-57,Зайцева Оксана Анатольевна,Департамент потребительского рынка адм. Липецкой области
7049,"ООО ""Гурман""",,,4816009661,481601001,"399350, Липецкая обл, Усманский р-н, Никольское с, Советская ул","399350, Липецкая обл, Усманский р-н, Никольское с, Советская ул",48,309,Д,475740,12.29.2007,12.29.2012,,,,,(47472) 3-95-95,Аничкин А. В.,Управление потребительского рынка Липецкой области
7052,"ООО ""Гурман""",,,4826065552,482601001,"398000, Липецкая обл, Липецк г, Горького ул, дом № 7","398000, Липецкая обл, Липецк г, Горького ул, дом № 7",48,52,ПВ,0000177,04.01.2009,03.31.2014,,,,,(4742) 22-38-99,Кобылянский Игорь Владимирович,Управление потребительского рынка Липецкой области
7053,"ООО ""Д.И.В.""",,,4824039733,482401001,"398024, Липецкая обл, Липецк г, Перова ул, дом № 2/1","398024, Липецкая обл, Липецк г, Перова ул, дом № 2/1",48,9,Д,475763,01.29.2008,01.29.2013,,,,,(4742) 23-05-72,Десятникова Ирина Владимировна,Управление потребительского рынка Липецкой области
7063,"ООО ""Дана""",,,4821020131,482101001,"399774, Липецкая обл, Елецкий р-н, Елец г, Рязанская ул, дом № 47","399774, Липецкая обл, Елецкий р-н, Елец г, Рязанская ул, дом № 47",48,83,Д,475831,04.08.2008,04.08.2013,,,,,(47467) 2-73-27; 89046801519,Гончарова Лариса Викторовна,Управление потребительского рынка Липецкой области
7064,"ООО ""Данилов и К""",,,4821012236,,"399774, Липецкая обл, Елецкий р-н, Елец г, Октябрьская ул, дом № 145, кв.20","399774, Липецкая обл, Елецкий р-н, Елец г, Костенко ул, дом № 11",48,295,Г,599678,05.06.2003,05.06.2006,,,,,(47467) 2-80-46,Данилов Михаил Макарович,Департамент потребительского рынка адм. Липецкой области
7069,"ООО ""Дары полей и ферм""",,,4813012088,480501001,"399154, Липецкая обл, Добровский р-н, Волчье с, Центральная ул, дом № 47","399154, Липецкая обл, Добровский р-н, Волчье с, Центральная ул, дом № 47",48,155,ПВ,0000284,08.28.2009,08.27.2014,,,,,(47463) 3-91-34,Копылов Сергей Сергеевич,Управление потребительского рынка Липецкой области
7070,"ООО ""Дарья""",,,5717001141,571701001,"Орловская обл, Мценский район, Башкатово д","399420, Липецкая обл, Добринский р-н, Плавица ст",48,57,Д,476799,03.17.2006,03.17.2011,,,,,(47462) 3-87-38,Чубаров Александр Геннадьевич,Департамент потребительского рынка адм. Липецкой области
7071,"ООО ""ДарьЯ""",,,4813008973,481301001,"398533, Липецкая обл, Липецкий р-н, Подгорное с, Прогонная ул, дом № 43","398533, Липецкая обл, Липецкий р-н, Подгорное с, Прогонная ул, дом № 43",48,65,Д,475489,04.02.2007,04.02.2012,,,,,(4742) 76-94-00,Сучков Сергей Николаевич,Управление потребительского рынка Липецкой области
7072,"ООО ""Дарья""",,,4813012440,481801001,"399903, Липецкая обл, Чаплыгинский р-н, Чаплыгин г, С.Тюленина ул, дом № 4","399903, Липецкая обл, Чаплыгинский р-н, Чаплыгин г, С.Тюленина ул, дом № 4",48,183,ПВ,0000312,10.12.2009,10.11.2014,,,,,89030324183,Оленев Виктор Григорьевич,Управление потребительского рынка Липецкой области
7075,"ООО ""Две короны""",,,4825028188,482501001,"398007, Липецкая обл, Липецк г, 40 лет Октября ул, дом № 23, кв.44",г.Липецк пр.Победы ост.Ю.Натуралистов,48,538,Д,235766,10.07.2004,10.07.2007,,,,,(4742) 48-79-35,Ильясов Мубариз Тамраз оглы,Департамент потребительского рынка адм. Липецкой области
7077,"ООО ""ДВИН""",,,4813024421,481301001,"Липецкая обл, Липецкий р-н, Ленино с, Федеральная автомобильная дорога М-4 Дон-1, у поста ГИБДД","Липецкая обл, Липецкий р-н, Ленино с, Федеральная автомобильная дорога М-4 Дон-1, у поста ГИБДД",48,221,ПВ,0001179,08.06.2012,08.05.2015,,,,,89065953202,Григорян Хачатур Мехакович,Управление потребительского рынка и ценовой политики Липецкой области
7078,"ООО ""Дебют""",,,4824029630,482401001,"398024, Липецкая обл, Липецк г, Механизаторов ул, дом № 15-а",г.Липецк ул.Механизаторов 15,48,329,Д,235596,06.22.2004,06.22.2007,,,,,(4742) 40-62-06,Куашев Борис Авесович,Департамент потребительского рынка адм. Липецкой области
7088,"ООО ""ДЕКОР""",,,4825046050,482501001,"398050, Липецкая обл, Липецк г, Сселки с, Ленина ул, дом № 9-в","398050, Липецкая обл, Липецк г, Сселки с, Ленина ул, дом № 9-в",48,385,Д,475155,07.20.2006,07.20.2011,,,,,(4742) 49-12-28,Рогожникова Ирина Николаевна,Департамент потребительского рынка адм. Липецкой области
7089,"ООО ""Дело""",,,4821008462,,"399774, Липецкая обл, Елецкий р-н, Елец г, Радиотехническая ул, дом № 1-а",г.Елец ул.Вермишева д.23,48,186,Г,603385,02.22.2002,12.06.2004,,,,,(47467) 2-13-74,Чимов Юрий Алексеевич,Управление лицензирования администрации Липецкой области
7092,"ООО ""Дельфин""",,,4816006188,,"399373, Липецкая обл, Усманский р-н, Усмань г, К.Маркса ул, дом № 116-А","399373, Липецкая обл, Усманский р-н, Усмань г, К.Маркса ул, дом № 116-А",48,26,Д,235192,01.28.2004,01.28.2007,,,,,(47472) 2-12-12,Малахов Николай Андреевич,Департамент потребительского рынка адм. Липецкой области
7093,"ООО ""Дельфин""",,,4825045264,482501001,"398007, Липецкая обл, Липецк г, 40 лет Октября ул, дом № 3","398026, Липецкая обл, Липецк г, Баумана ул, дом № 1 ""Б""",48,205,Д,476952,06.19.2006,06.19.2011,,,,,(4742) 35-26-54; 48-25-25,Герасимов Андрей Александрович,Департамент потребительского рынка адм. Липецкой области
7095,"ООО ""Дельфин""",,,4811011635,480301001,"399850, Липецкая обл, Данковский р-н, Данков г, Мира ул, дом № дом № 55","399850, Липецкая обл, Данковский р-н, Данков г, Мира ул, дом № дом № 55",48,152,ПВ,0000281,08.21.2009,08.20.2014,,,,,(47465) 6-44-13,Матвеева Наталья Анатольевна,Управление потребительского рынка Липецкой области
7173,"ООО ""Дерби""",,,4821009762,482101001,"399788, Липецкая обл, Елецкий р-н, Елец г, Пушкина ул, дом № 20, кв.40",г.Елец ул.Орджоникидзе д.38,48,356,Г,603617,04.12.2002,04.12.2005,,,,,(47467) 5-36-36,Тихонова Елена Павловна,Управление лицензирования администрации Липецкой области
7187,"ООО ""Джин-Тоник""",,,4826049110,482601001,"398002, Липецкая обл, Липецк г, Гагарина ул, дом № 111/1, кв.25","398000, Липецкая обл, Липецк г, Московская ул, магазин ""Престиж""",48,48,Д,476795,03.14.2006,03.14.2011,,,,,(4742) 34-96-65,Пустовалов Андрей Александрович,Департамент потребительского рынка адм. Липецкой области
7189,"ООО ""Джони Гейм""",,,4823010160,,"398006, Липецкая обл, Липецк г, Суворова ул, дом № 17",г.Липецк ул.Космонавтов д.24,48,406,Г,603684,04.30.2002,04.30.2005,,,,,(4742) 34-64-61,Коростелева Инна Евгеньевна,Управление лицензирования администрации Липецкой области
7191,"ООО ""ДИАМАН""",,,4813014310,480501001,"399173, Липецкая обл, Добровский р-н, Борисовка с, Пионерская ул","399173, Липецкая обл, Добровский р-н, Борисовка с, Пионерская ул",48,11,ПВ,0000963,01.23.2012,01.22.2013,,,,,89066862521,Дмитриев Игорь Александрович,Управление потребительского рынка и ценовой политики Липецкой области
7192,"ООО ""ДиАн""",,,4807014337,480701001,"399774, Липецкая обл, Елецкий р-н, Лавы с, Кирова ул","399774, Липецкая обл, Елецкий р-н, Лавы с, Кирова ул",48,123,ПВ,0000512,09.07.2010,09.06.2011,,,,,89205430042,Иванцов Дмитрий Валентинович,Управление потребительского рынка и ценовой политики Липецкой области
7197,"ООО ""Диана""",,,4821002051,482101001,"399774, Липецкая обл, Елецкий р-н, Елец г, Рудничная ул, дом № 24",г.Елец ул.Рудничная д.24,48,383,Г,603653,04.24.2002,04.24.2003,,,,,89103502757,Урюпина Елена Вячеславовна,Управление лицензирования администрации Липецкой области
7200,"ООО ""ДИАНА""",,,4813010644,481301001,"398532, Липецкая обл, Липецкий р-н, Подгорное с, Титова, дом № 38","398532, Липецкая обл, Липецкий р-н, Подгорное с, Титова ул, дом № 38а",48,65,Д,475824,04.01.2008,04.01.2013,,,,,76-94-32,Козырев Салих Якубович,Управление потребительского рынка Липецкой области
7205,"ООО ""Дилмос""",,,4823018530,,г.Липецк пл.Мира д.4-г,г.Липецк пр.Мира д.4-г,48,206,Г,603416,03.04.2002,03.04.2003,11.22.2002,12.10.2002,,,43-64-61,Грушевский Сергей Владимирович,Управление лицензирования администрации Липецкой области
7206,"ООО ""Дина""",,,4825010790,482301001,"398005, Липецкая обл, Липецк г, Фурманова ул, дом № 21","398005, Липецкая обл, Липецк г, Металлургов пл, дом № 4-а",48,253,Д,475024,06.30.2006,06.30.2011,,,,,(4742) 44-32-27; 89092202111,Баберян Артур Владимирович,Департамент потребительского рынка адм. Липецкой области
7214,"ООО ""Дионис-Д""",,,4826031377,482601001,"398035, Липецкая обл, Липецк г, Вермишева ул, дом № 2",г.Липецк ул.Вермишева д.2,48,275,Г,603518,03.29.2002,03.29.2003,,,,,(4742) 31-94-72,Дубровина Галина Митрофановна,Управление лицензирования администрации Липецкой области
7349,"ООО ""Добрый""",,,4816008026,481701001,"399263, Липецкая обл, Хлевенский р-н, Елецкая Лозовка с, Выгонская-Буторина ул., дом № 10","399263, Липецкая обл, Хлевенский р-н, Елецкая Лозовка с",48,101,Д,476847,04.17.2006,04.17.2011,,,,,(47477) 3-11-71; 89038633634,Ларина Татьяна Валентиновна,Департамент потребительского рынка адм. Липецкой области
7352,"ООО ""Добряк""",,,4826033649,,"398043, Липецкая обл, Липецк г, Космонавтов ул, дом № 33/4","398043, Липецкая обл, Липецк г, Космонавтов ул, дом № 33/4",48,53,Д,235221,02.06.2004,02.06.2007,05.22.2006,,,,(4742) 74-98-63,Овчаренко Владимир Дмитриевич,Департамент потребительского рынка адм. Липецкой области
7372,"ООО ""Домашняя кухня""",,,4807008799,,"399710, Липецкая обл, Становлянский р-н, Становое с, Московская ул","399710, Липецкая обл, Становлянский р-н, Становое с, Московская ул",48,381,Д,475140,07.17.2006,07.17.2011,,,,,89051781879,Воронкова Вера Владимировна,Департамент потребительского рынка адм. Липецкой области
7378,"ООО ""Дон""",,,4825035876,482501001,"398016, Липецкая обл, Липецк г, Гагарина ул, дом № 78","398016, Липецкая обл, Липецк г, Гагарина ул, дом № 78",48,615,Д,235009,10.16.2003,10.16.2006,,,,,(4742) 35-48-89,Давыдова Раиса Александровна,Департамент потребительского рынка адм. Липецкой области
7379,"ООО ""Дон"" ",,,4807008750,,"399710, Липецкая обл, Становлянский р-н, Становое с, Московская ул","399710, Липецкая обл, Становлянский р-н, Становое с, Московская ул",48,63,Д,476807,03.27.2006,03.27.2011,,,,,(47476) 2-19-76,Черных Лидия Стефановна,Департамент потребительского рынка адм. Липецкой области
7384,"ООО ""Донской лес""",,,4808015414,480801001,"399210, Липецкая обл, Задонский р-н, Кашары с, Кантимировская ул, дом № 9","Липецкая обл, Задонский р-н, поселение Кашарский с/с, прим в 1600 м по направл.на юго-запад от с.Кашары, кв.49 Октябрьского участ",48,186,ПВ,0001142,07.06.2012,07.05.2013,,,,,34-55-87,Варнавский Артем Николаевич,Управление потребительского рынка и ценовой политики Липецкой области
7385,"ООО ""Донской Плюс""",,,4824027128,,"398024, Липецкая обл, Липецк г, Победы пр-кт, дом № 20","398024, Липецкая обл, Липецк г, Победы пр-кт, дом № 20",48,147,Г,599520,03.21.2003,03.21.2004,,,,,(4742) 47-12-21,Ивашева Элла Валентиновна,Департамент потребительского рынка адм. Липецкой области
7388,"ООО ""Донской""",,,4824024409,,г.Липецк пр.Победы д.20,г.Липецк пр.Победы д.20,48,244,Г,603480,03.20.2002,03.20.2003,,,,,49-12-26,Ивашева Элла Валентиновна,Управление лицензирования администрации Липецкой области
7389,"ООО ""Дорожное""",,,4821003320,,"399788, Липецкая обл, Елецкий р-н, Елец г, ЮВЖД, ст.Елец","399788, Липецкая обл, Елецкий р-н, Елец г, ст.Елец ЮВжд",48,24,Г,603147,01.15.2002,01.15.2005,06.09.2003,06.18.2003,,,(47467) 6-35-83,Камышева Клавдия Ивановна,Управление лицензирования администрации Липецкой области
7401,"ООО ""Дубрава""",,,4805003509,480501001,"399140, Липецкая обл, Добровский р-н, Доброе с, Колхозная ул",с.Доброе ул.Колхозная,48,296,Д,235572,06.09.2004,06.09.2007,,,,,(47463) 2-14-53,Безбородов Василий Иванович,Департамент потребительского рынка адм. Липецкой области
7486,"ООО ""Дуэт""",,,4806002804,,"399510, Липецкая обл, Долгоруковский р-н, Долгоруково с, Советская ул, дом № 49/1","399510, Липецкая обл, Долгоруковский р-н, Долгоруково с, Советская ул, дом № 49/1",48,98,Г,599471,02.28.2003,02.28.2006,,,,,(47468) 2-62-51,Левашова Татьяна Александровна,Департамент потребительского рынка адм. Липецкой области
7488,"ООО ""Дуэт""",,,4826074067,482601001,"398043, Липецкая обл, Липецк г, Гагарина ул, дом № 117 ""а""","398043, Липецкая обл, Липецк г, Гагарина ул, дом № 117 ""а""",48,20,ПВ,0000592,03.09.2011,03.08.2014,,,,,(4742) 34-87-38,Романовская Ольга Сергеевна,Управление потребительского рынка и ценовой политики Липецкой области
7489,"ООО ""Дыкина""",,,4813008691,,"399140, Липецкая обл, Добровский р-н, Доброе с, Советский пер","399140, Липецкая обл, Добровский р-н, Доброе с, Советский пер",48,338,Д,475074,07.05.2006,07.05.2011,,,,,2-11-76,Дыкина Надежда Васильевна,Департамент потребительского рынка адм. Липецкой области
7494,"ООО ""ДЮНА""",,,4821014089,482101001,"399788, Липецкая обл, Елецкий р-н, Елец г, Советская ул, дом № 49",г.Елец пос.Строитель д.28,48,363,Г,603626,04.15.2002,04.15.2005,,,,,(47467) 4-84-38,Пивень Виталий Иванович,Управление лицензирования администрации Липецкой области
7500,"ООО ""Евгения""",,,4826041551,,"398059, Липецкая обл, Липецк г, Советская ул, дом № 68, кв.129","398036, Липецкая обл, Липецк г, Шубина б-р, дом № 12",48,78,Д,476071,03.02.2005,03.02.2006,,,,,(4742) 74-47-07,дир.Борошнев Владислав Александрови,Департамент потребительского рынка адм. Липецкой области
7502,"ООО ""ЕВРОЛАЙФ""",,,4825035308,,г.Липецк район Цемзавода,г.Липецк Опытная станция Боевой проезд,48,703,Д,235954,12.28.2004,12.28.2005,,,,,,дир.Лукьянчиков Сергей Иванович,Департамент потребительского рынка адм. Липецкой области
7526,"ООО ""Елена"" ",,,4821018012,482101001,"399774, Липецкая обл, Елецкий р-н, Елец г, Орджоникидзе ул, дом № 14, кв.24","399788, Липецкая обл, Елецкий р-н, Елец г, Задонское шоссе",48,266,Д,475013,06.30.2006,06.30.2011,,,,,(47467) 9-86-33; 89103549562; 89192597210,Урюпина Елена Вячеславовна,Департамент потребительского рынка адм. Липецкой области
7527,"ООО ""ЕЛЕНА""",,,4816008900,481601001,"399373, Липецкая обл, Усманский р-н, Усмань г, Воеводы Вельяминова ул, дом № 30","399373, Липецкая обл, Усманский р-н, Усмань г, Воеводы Вельяминова ул, дом № 30",48,57,Д,475478,03.20.2007,03.20.2012,,,,,(47472) 2-24-18; 89192582008,Успенская Елена Михайловна,Управление потребительского рынка Липецкой области
7528,"ООО ""Елена"" ",,,4802010843,,"399077, Липецкая обл, Грязинский р-н, Карамышево с, Центральная пл, дом № 6","399077, Липецкая обл, Грязинский р-н, Карамышево с, Центральная пл, дом № 6",48,231,Д,475658,10.26.2007,10.26.2012,,,,,89050448980,Гуляев Виктор Васильевич,Управление потребительского рынка Липецкой области
7529,"ООО ""Елена"" ",,,4807011544,481501001,"399540, Липецкая обл, Тербунский р-н, Тербуны с, Есенина ул, дом № 29","399540, Липецкая обл, Тербунский р-н, Тербуны с, Есенина ул, дом № 29",48,53,Д,475801,03.06.2008,03.06.2013,,,,,89056847251,Калинина Елена Витальевна,Управление потребительского рынка Липецкой области
7530,"ООО ""Елена""",,,4816010360,481601001,"399364, Липецкая обл, Усманский р-н, Пашково с, им.Ленина ул, дом № 1","399364, Липецкая обл, Усманский р-н, Пашково с, им.Ленина ул, дом № 1",48,217,ПВ,0000351,12.07.2009,12.06.2014,,,,,(47472) 2-74-69,Обоимов Александр Анатольевич,Управление потребительского рынка Липецкой области
7536,"ООО ""Еленец""",,,4821013688,482101001,"399774, Липецкая обл, Елецкий р-н, Елец г, Задонская ул, дом № 1-б",г.Елец ул.Задонская 1-б,48,63,Г,599139,09.27.2002,09.27.2005,,,,,(47467) 6-35-83,Камышев Михаил Иванович,Департамент потребительского рынка адм. Липецкой области
7539,"ООО ""Елец-торг-сервис""",,,4807006022,,"399749, Липецкая обл, Елецкий р-н, Марчуки с","399774, Липецкая обл, Елецкий р-н, Елец г, Воронежская ул, дом № 36",48,153,Д,476126,04.04.2005,04.04.2008,,,,,(47467) 2-37-32,Лещенко Татьяна Леонтьевна,Департамент потребительского рынка адм. Липецкой области
7540,"ООО ""Елецкое оптово-торговое предприятие""",,,4807000327,480701001,"399742, Липецкая обл, Елецкий р-н, Хмелинец д, Солнечная ул, дом № 4","399000, Липецкая обл, Измалковский р-н, Измалково с, Октябрьская ул, дом № 22",48,49,Г,599441,02.12.2003,02.12.2006,,,,,(47467) 2-05-24,Уточкин Николай Иванович,Департамент потребительского рынка адм. Липецкой области
7627,"ООО ""Елки-палки-Липецк""",,,4825051596,482501001,"398002, Липецкая обл, Липецк г, Тельмана ул, дом № 19","398002, Липецкая обл, Липецк г, Тельмана ул, дом № 19",48,213,Д,475638,10.02.2007,10.02.2012,,,,,(4742) 23-87-74,Грохотова Марина Николаевна,Управление потребительского рынка Липецкой области
7669,"ООО ""Жар-Птица""",,,4825053466,482501001,"398037, Липецкая обл, Липецк г, Боевой проезд, дом № 32 ""а""","398037, Липецкая обл, Липецк г, Боевой проезд, дом № 32 ""а""",48,242,Д,475668,11.07.2007,11.07.2012,,,,,(4242) 79-40-33,Черникова Лилия Юрьевна,Управление потребительского рынка Липецкой области
7670,"ООО ""Желтова""",,,4802012495,480201001,"399082, Липецкая обл, Грязинский р-н, Б.Самовец с, Советская ул, дом № 61","399082, Липецкая обл, Грязинский р-н, Б.Самовец с, Советская ул, дом № 61",48,59,ПВ,0000445,04.23.2010,04.22.2011,,,,,89046905684; 89513039535,Желтова Ольга Николаевна,Управление потребительского рынка Липецкой области
7673,"ООО ""Жемчужина""",,,4825070581,482501001,"398600, Липецкая обл, Липецк г, Универсальный проезд, дом № 14","398059, Липецкая обл, Липецк г, Фрунзе ул, дом № 30",48,172,ПВ,0000552,12.01.2010,11.30.2011,,,,,(4742) 77-63-32,Хахутаишвили Тамар Резоевна,Управление потребительского рынка и ценовой политики Липецкой области
7677,"ООО ""Животворева""",,,4813008684,480501001,"399174, Липецкая обл, Добровский р-н, Кривец с, Центральная ул","399174, Липецкая обл, Добровский р-н, Кривец с, Центральная ул",48,276,Д,475027,06.30.2006,06.30.2011,,,,,(47463) 3-32-16; 89056861373,Животворева Валентина Васильевна,Департамент потребительского рынка адм. Липецкой области
7680,"ООО ""Жилторгстрой""",,,4824015605,,г.Липецк ул.Ю.Натуралистов д.9 кв.21,г.Липецк ул.Терешковой д.20,48,270,Г,603513,03.27.2002,03.27.2003,,,,,34-18-02,Бессонова Светлана Павловна,Управление лицензирования администрации Липецкой области
7681,"ООО ""Журавка""",,,4807009496,480901001,"399000, Липецкая обл, Измалковский р-н, Измалково с, Октябрьская ул, дом № 20-В","399000, Липецкая обл, Измалковский р-н, Измалково с, Октябрьская ул, дом № 20-В",48,420,Д,475167,07.26.2006,07.26.2011,,,,,(47478) 2-25-20,Синюгина Тамара Вячеславовна,Департамент потребительского рынка Липецкой области
7682,"ООО ""Задонскнефтесервис""",,,4808004846,480801001,"399201, Липецкая обл, Задонский р-н, Задонск г, Ленина ул, дом № 34","Липецкая обл, Задонский р-н, Большое Панарино д, автомагистраль М-4 ""Дон-1"" 424 км (лево) на участке обхода г.Задонск",48,139,ПВ,0000272,08.13.2009,08.12.2014,,,,,89107424491,Сидельникова Галина Константиновна,Управление потребительского рынка Липецкой области
7684,"ООО ""Закусочная ""РИО""",,,4824024134,,"398006, Липецкая обл, Липецк г, Ленинградская ул, дом № 6-а",г.Липецк ул.Ленинградская д.6-а,48,264,Г,603507,03.26.2002,03.26.2003,12.06.2002,12.25.2002,,,(4742) 73-02-08,Базин Юрий Николаевич,Управление лицензирования администрации Липецкой области
7686,"ООО ""Закусочная""",,,4816000517,,"399373, Липецкая обл, Усманский р-н, Усмань г, Воеводы Вельяминова ул, дом № 11",г.Усмань ул.В.Вельяминова д.11,48,391,Г,603664,04.26.2002,04.26.2003,,,,,(47472) 2-21-84,Борзунова Вера Борисовна,Управление лицензирования администрации Липецкой области
