№ п/п,Наименование организации,ИНН организации,ОГРН организации,Адрес места нахождения организации (юридический адрес),Адрес осуществления вида деятельности ,Регистраци-онный номер организации Серия лицензии Номер лицензии,"Дата выдачи лицензии (месяц, число, год)","Дата окончания действия лицензии (месяц, число, год)",Продленна лицензия,Основание и дата переоформления лицензии,"Дата приоста-новления действия лицензии (месяц, число, год)","Дата возобно-вления действия лицензии (месяц, число, год)","Дата прекра-щения действия лицензии (месяц, число, год)","Дата аннули-рования (месяц, число, год)",Дата прове-дения последней проверки,Примечание,,,,,,,
1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,,,,,,,
1,"ООО ""ЕКАТЕРИНА""",6707003078,1066725012034,"216580, Смоленская область, с. Ершичи, ул. Понятовская, д. 17","216580, Смоленская область, с. Ершичи, ул. Понятская, д. 17 (магазин), без ограничений",№ 904                 Б 005668,26 июня 2006,по 26 июня 2011,до 27 июля 2013,,,,,,,,,,,,,,
2,"ООО ""Престиж""",6707003092,1066725012221,"216580, Смоленская область, с. Ершичи, ул. Озернова, д. 16-б","216580, Смоленская область, с. Ершичи, ул. Озернова, д. 16-б (магазин), без ограничений",№ 897                 Б 005686,29 июня 2006,по 29 июня 2011,до 30 июня 2012,,,,,,,,,,,,,,
3,"ООО ""Кузьмичанка""",6707003328,1096725001328,"216593, Смоленская область, Ершичский район, с. Кузьмичи","216593, Смоленская область, Ершичский район, с. Кузьмичи (магазин)",№ 1900                  Б 005202,28 января 2010,по 28 января 2015,,,,,,,,,,,,,,,
4,"ООО ""Селена""",6707003060,1066725008294,"216580, Смоленская область, Ершичский район, с. Ершичи, ул. Сосновая, 3, 8","216580, Смоленская область, сю Ершичи, ул. Сосновая, д. 1-б(магазин), без ограничений",№ 1087              Б 005846                               (№ 2076                                        Г 301944)                            ,10 июля 2006                                     19 декабя 2011,по 10 июля 2011                                     до 19 декабря 2012,,,,,,,,,,,,,,,
5,"ООО ""Водолей""",6707003279,1086725000284,"216580, Смоленская область, с. Ершичи, ул. 8-ое Марта, д. 55","216580, Смоленская область, с. Ершичи, ул. Ленина, д. 4 (торговый павильон)",№ 1683                  Г 679713,24 июня 2008,по 24 июня 2013,,,,,,,,,,,,,,,
6,"ООО ""Луч""",6707003102,1066725012430,"216580, Смоленская область, с. Ершичи, ул. Ленина, 38-а","216584, Смоленская область, Ершичский район, дер. Сукромля (магазин), без ограничений",№ 1207                 Г 254841,27 июля 2006,по 27 июля 2011,,,,,,,,,,,,,,,
7,"ООО ""Карида""",6707002807,1036755050826,"216580, Смоленская область, Ершичский район, с. Ершичи, ул. Советская, д. 21","216580, Смоленская область, Ершичский район, с. Ершичи, ул. Советская, д. 21 (магазин)",№ 1084                 Б 005862,10 июля 2006,по 10 июля 2011,,,,,,,,,,,,,,,
,,,,,"216580, Смоленская область, Ершичский район, с. Ершичи, ул. Ленина, д. 80 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
8,"ООО ""Перекресток""",6707003085,1066725012177,"216580, Смоленская область, Ершичский район, с. Ершичи, ул. Низинская, 2","216580, Смоленская область, Ершичский район, с. Ершичи, ул. Низинская, 2 (павильон), без ограничений",№ 1061                    Б 005838,05 июля 2006,по 05 июля 2011,,,,,,,,,,,,,,,
,,,,,"216580, Смоленская область, Ершичский район, с. Ершичи, ул. Строителей, 1-а (павильон), без ограничений",,,,,,,,,,,,,,,,,,
9,"ООО ТПК ""ВИКТОРИЯ""",6707002797,1036755050353,"216580, Смоленская область, с. Ершичи, ул. Понятовская, д. 7","216580, Смоленская область, с. Ершичи, ул. Понятовская, д. 5 (магазин), без ограничений",№ 794                   Б 005553,09 июня 2006,по 09 июня 2011,,,,,,,,,,,,,,,
10,"ЕРШИЧСКОМУ ПОТРЕБИТЕЛЬСКОМУ ОБЩЕСТВУ ""НИВА""",6707002821,1056700003095,"216580, Смоленская область, Ершичский район, с. Ершичи, ул. Понятовская, д. 6","216580, Смоленская область, с. Ершичи, ул. Понятовская, д. 8 (кафе ""Вечернее""), без ограничений",№ 660                  Г 679267,23 марта 2006,по 23 марта 2011,,,,,,,,,,,,,,,
,,,,,"216580, Смоленская область, с. Ершичи, ул. Понятовская, д. 10 (закусочная ""Беседа"")",,,,,,,,,,,,,,,,,,
,,,,,"216571, Смоленская область, с. Ворга, ул. Ленина, д. 16 (закусочная)",,,,,,,,,,,,,,,,,,
,,,,,"216593, Смоленская область, дер. Кузьмичи (закусочная)",,,,,,,,,,,,,,,,,,
11,Ершичское РАЙПО,6707000165,1026700836942,"216580, Смоленская область, Ершичский район, с. Ершичи, ул. Понятовская, д. 6","216580, Смоленская область,Ершичский район, с. Ершичи, ул. Понятовская, д. 6 (магазин), без ограничений",№ 1605                     Г 679620                      (Б 005317)                            ,31 декабря 2007,по 31 декабря 2012,,,,,,,,,,,,,,,
,,,,,"216580, Смоленская область,Ершичский район, с. Ершичи, ул. Ленина, д. 82 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216580, Смоленская область,Ершичский район, с. Ершичи, ул. Понятовская,           д.29-а (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216580, Смоленская область,Ершичский район, с. Ершичи, ул. Советская,           д.5 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216580, Смоленская область,Ершичский район, с. Ершичи, ул.Гагарина,           д.23 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216580, Смоленская область,Ершичский район, с. Ершичи, ул. Сосновая            (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216580, Смоленская область,Ершичский район, с. Ворга, ул. Дзержинского, д. 38 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216581, Смоленская область,Ершичский район, с. Ворга, ул. Ленина, д. 16 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216581, Смоленская область,Ершичский район, с. Ворга, ул. Пригородная,                  д. 1-а(магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216581, Смоленская область,Ершичский район,д. Тросно-Исаево (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216581, Смоленская область,Ершичский район,              д. Сукромля (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216592, Смоленская область,Ершичский район,              д. Лужное (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216590, Смоленская область,Ершичский район,              д. Литвиновка (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216593, Смоленская область,Ершичский район,              д. Кузьмичи (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216575, Смоленская область,Ершичский район,              д.Поселки (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216591, Смоленская область,Ершичский район,              д.Карповка (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216591, Смоленская область,Ершичский район,              д. Верховая (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216580, Смоленская область,Ершичский район,              д.Танино (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216594, Смоленская область,Ершичский район,              д.Малая Язовка (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216596, Смоленская область,Ершичский район,              д.Рухань (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216598, Смоленская область,Ершичский район,              д.Корсики (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216597, Смоленская область,Ершичский район,              д.Карды (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216850, Смоленская область,Ершичский район,              с. Ершичи, ул. Понятовская, д. 8 (кафе), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216850, Смоленская область,Ершичский район,              с. Ершичи, ул. Понятовская, д.6-а (кафе), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216581, Смоленская область,Ершичский район,              с. Ворга, ул. Ленинская, д.16 (закусочная), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216581, Смоленская область,Ершичский район,              д. Кузьмичи (закусочная), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216850, Смоленская область,Ершичский район,              с. Ершичи, ул. Гагарина, д. 23 (закусочная), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216580, Смоленская область,Ершичский район,              с. Ершичи, ул.Ленина, д. 37 (магазин), без ограничений",,,,,28 декабря 2010           включение объекта,,,,,,,,,,,,,
