"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по Усть-Кутскому МО",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),
,,,,"17. отдел в магазине ""Триумф+"", ул. Речников, 45, г. Усть-Кут; ",,,,,,
,,,,"   18. Отдел в магазине ""Геолог"", ул. Геологическая, 2 ""А"", г. Усть-Кут;  ",,,,,,
,,,," 19. Отдел в магазине ""Алтай плюс"", ул. Набережная, 3, г. Усть-Кут;",,,,,,
,,,,"  20. Отдел в магазине ""Продукты"", ул. Радищева, 46, г. Усть-Кут;   ",,,,,,
,,,,"21. Отдел в магазине ""Продукты"", ул. Коммунистическая, 9, г. Усть-Кут;  ",,,,,,
,,,," 22. Отдел в магазине ""Товары повседневного спроса"", ул. Совхозная, 5Б, г. Усть-Кут",,,,,,
,,,,"23. Отдел в магазине ""Символ"", ул. Речников, 55, г. Усть-Кут; ",,,,,,
,,,," 24. Отдел в магазине ""Высокое крыльцо"", ул. Советская, 89, г. Усть-Кут; ",,,,,,
,,,,"25. Отдел в магазине "" Тайга"", ул. Советская, 36, г. Усть-Кут; ",,,,,,
,,,,"26.Отдел в магазине ""Триумф"", ул. Ломоносова, 29, г. Усть-Кут; ",,,,,,
,,,," 27. Арендуемое торговое место на складе № 19, ул. Кирова, 136А, склад № 19, г. Усть-Кут;",,,,,,
,,,,"28. Отдел в магазине ""Украинка"", пер. Транзитный, д. 1/2, г. Усть-Кут;       ",,,,,,
,,,,"29. Отдел в магазине ""Волна"", ул. Лесная, 8, п. Янталь Усть-Кутский район",,,,,,
,,,,"30. Отдел в магазине ""Звездный"", ул. Еловая, 13, п. Янталь, Усть-Кутский район;  ",,,,,,
,,,," 31. Отдел в магазине ""Гермес"", ул. Пионерская, 6, п. Магистральный, Казачинско-Ленский район; ",,,,,,
,,,,"    32. Отдел в магазине ""Визит"", ул. Лейманиса, 8А, п. Улькан, Казачинско-Ленский район;                                                   ",,,,,,
,,,,"33. Отдел в магазине ""Водолей"", общежитие, 1,  п. Радищев, Нижнеилимский район ;  ",,,,,,
,,,,"34. Отдел в магазине ""Водолей"", дом 3, п. Радищев, Нижнеилимский район",,,,,,
50,"ООО ""Стела""                  ИНН 3818026974","г. Усть-Кут, ул. Кирова, 31, 34",Лицензия переоформлена 38 МЕ 007884 № 5 от  17.04.2012 г.  С 17.04.2012 г. по 23.04.2016 г.  Взамен: 38 МЕ 007882 № 3 от 06.03.2012 г. ,"1. Арендуемый отдел в магазине ""Дары природы"", ул. Советская, 98, г. Усть-Кут; ",-,-,-,-,-,
,,,,"2. Арендуемый отдел в Торгово-офисном центре, ул. Речников, 33, г. Усть-Кут;",,,,,,
,,,,"3. Арендуемый отдел в магазине, ул. Кирова, 86, г. Усть-Кут;",,,,,,
,,,," 4. Бар ООО "" Стела"" в кафе ""Фламинго"", ул. Пролетарская, 12Б, г. Усть-Кут;     ",,,,,,
,,,,"5. Бар ООО ""Стела"" в кафе ""Пекин"", ул. Кирова, 65, г. Усть-Кут;  ",,,,,,
,,,,"  6. Магазин ""Карабах"", ул. Кедровая, д. 9А, г. Усть-Кут; ",,,,,,
,,,,"7. Магазин ""Поляна"", ул. Нефтяников, д. 7, пом. 2, г. Усть-Кут; ",,,,,,
,,,," 8. Отдел в магазине ""Народный"", ул. Советская, дом 112, г. Усть-Кут;  ",,,,,,
,,,,"9. Магазин, ул. Луговая, д.22, г. Усть-Кут",,,,,,
,,,,"10. Кафе ""Дорожник"", ул. Набережная, д. 4, с. Каймоново, Усть-Кутский район;",,,,,,
,,,,"11. Отдел Вино-водочных изделий в магазине ""Азад"", ул. Азербайджанская, д. 53Б, п. Улькан, Казачинско-Ленский район",,,,,,
,,,,"12. Отдел вино-водочных изделий в магазине ""Кедр"", ул. Спортивная, д. 2А, п. Улькан, Казачинско-Ленский район;    ",,,,,,
,,,,,,,,,,
,,,,"13. Арендуемый отдел в магазине ""Сибирь"", ул. 26 Бакинских комиссаров, д. 7а, п. Улькан, Казачинско-Ленский район;             ",,,,,,
,,,,"  14. Арендуемый отдел в магазине ""Джавиж"", ул. 17 Съезда ВЛКСМ, д. 55 А Казачинско-Ленский район, п. Магистральный   ",,,,,,
,,,,"15. Отдел в магазине ""Дуэт"", квартал 2, д. 53 г. Железногорск-Илимский, Нижнеилимский район",,,,,,
,,,,"16. Кафе ""Подорожник"", ул. Трактовая, 46, п. Хребтовая, Нижнеилимского района",,,,,,
,,,,"17. Магазин, ул. Заречная, д. 26А, д. Седанкина, Казачинско-Ленского района",,,,,,
,,,,,,,,,,
51,"ООО ""Марка"" ИНН 3818013453","г. Усть-Кут, ул. Кирова, 27, кв. 2",38 МЕ 007825 № 1 от 11.02.2011 г. с 11.02.2011 г. по 01.01.2012 г.,"1. г. Усть-Кут, Магазин "" Самообслуживание"", ул. Кирова, 90""А"";  2. Магазин ""Продукты"", ул. Нефтяников , 15 ""А"", г. Усть-Кут; 3. Магазин "" Продукты"", ул. Кирова, 82, г. Усть-Кут; 4. Магазин смешанных товаров, ул. Кирова, строение 97, г. Усть-Кут. ",,,1/1/2012,,,
52,"ООО ""Терция"" ИНН 3818002229","г. Усть-Кут, ул. Геофизиков,9",38 МЕ 007824 № 4 от 30.12.10 г. с 01.01.2011 г. по 31.12.2011 г. ,"1. Магазин № 1 ""Терция"", ул. Геофизиков, г. Усть-Кут 9;  2) магазин № 2 ""Терция"", ул. Герцена, д. 6, г. Усть-Кут; 3) магазин № 3 ""Терция"", ул. Пушкина, д, 60, пом. 76, г. Усть-Кут; 4) г. Усть-Кут, магазин № 5 "" Терция"", ул. Курорт, д. 4, пом 101; 5) г. Усть-Кут, магазин № 6 ""Терция"", ул. Мира, 2; 6) Магазин №7, ул. Калинина, д. 5А, г. Усть-Кут; 7) магазин № 8 ""Терция"", ул. Кедровая, д. 19 пом. 11 г. Усть-Кут; 8) магазин № 4 ""Терция"", ул. Трактовая, д. 13 Усть-Кутский район, п. Ручей",,,12/31/2011,,,
53,"ооо ""Смоляк""  ИНН 3818014979","Усть-Кутский район, п. Верхнемарково, ул. Фонтанная, 5-2",А 228663 № 35 от 19.03.2007 г. с 20.03.2007 г. по 20.03.2012 г.,"1. Магазин ""Клен"", ул. Фонтанная, 8 п. Верхнемарково Усть-Кутский район; 2. Магазин ""У Димы"", п. Заярное, ул. Центральная, 1 Усть-Кутский район.",,,3/20/2012,,,
54,"ООО ""РИАЛ"" ИНН 3818021976","Усть-Кутский район, п. Ния, ул. Лесников, 1а",А 228671 № 39 от 29.05.2007 г. с 30.05.2007 по 30.05.2012 г.,"магазин, ул. Лесников, 1а п. Ния Усть-Кутский район",,,5/30/2012,,,
55,"ООО ""Алишер"" ИНН 3818016616","г. Усть-Кут, пер. Строительный, 2, 59",38 МЕ 007835 № 2 от 18.05.2011 г. с 18.05.2011 г. по 18.05.2012 г.,"кафе ""Азия"", ул. Кирова, 80 в здании КДЦ ""Магистраль"", г. Усть-Кут",,,5/18/2012,,,
56,"ООО "" Балтика"" ИНН 3818020309","г. Усть-Кут, ул.Геологическая, 5-2",А 228665 № 36 от 16.04.2007 г. с 17.04.2007г. По 17.04.2012 г.,"Магазин""Балтика"", ул. Вернадского, д. 7 г. Усть-Кут",,,4/17/2012,,,
57,"ООО Виргиния"" ИНН 3818014305","ул. Кирова, 19 ""г"", г. Усть-Кут",А 228669 № 38 от 03.05.2007 с 03.05.2007 г. по 03.05.2012 г.,"1. Кафе ""Виргиния"", ул. Кирова, 19 ""г"" г. Усть-Кут; 2) магазин ""Бриг"", ул. Набережная, 1, г. Усть-Кут; 3) магазин № 20, ул. Пушкина, 54, г. Усть-Кут ",,,5/30/2012,,,
58,"ООО «ЕРМАК+»
ИНН 3818020228
","г. Усть-Кут, ул. Кирова, д. 122, кв. 57",Лицензия выдана № 5 38 МЕ 007843 от 23.06.2011 г. с 27.06.2011 г. по 26.06.2012 г.,"1. Кафе ""Ермак"", ул. Кирова , 88   г. Усть-Кут; 2. Кафе""Альтаир"", ул. Калинина, 6а г. Усть-Кут; 3. Летнее кафе, бульвар Кирова   г. Усть-Кут",-,-,6/27/2012,-,-,
59,"ООО ""ЕРМАК+""                        ИНН 3818020228","г. Усть-Кут, ул. Кирова, д. 122, кв. 57","Лицензия выдана № 6 от 27.06.2012 г., 38 МЕ 007889 с 27.06.2012 г. по 27.06.2015 г.","1. Кафе ""Альтаир"", ул. Калинина, д. 6а, г. Усть-Кут; ",-,-,-,-,-,
,,,,"2. Кафе ""Ермак"", ул. Кирова, д. 88, пом. 7, г. Усть-Кут",,,,,,
60,"ООО «Юбилейный»
ИНН 3818020299
","Усть-Кутский район, п. Ручей, ул. Строителей, д. 13, кв. 1",38 МЕ 007895 №11 от 16.07.2012 по 16.07.2013,"1) магазин «Юбилейный» по адресу: Иркутская область, Усть-Кутский район, п. Ручей, ул. Лесная, д. 1; 2) магазин «Продукты» по адресу: Иркутская область, Усть-Кутский район, п. Ручей, ул. Центральная, д. 16. ",-,-,,-,-,
61,"ООО ""Глобус""                  ИНН 3818020203","Усть-Кутский район, п. Ручей, ул. Центральная, 33",38МЕ007892 № 8 от  09.07.2012 по 09.07.2013    ,"Магазин ""Глобус"" по адресу: Иркутская область, г. Усть-Кут, ул. Кирова, д. 86, пом. 1",-,-,-,-,-,
62,"ООО «Дебют»
ИНН3818014312
","г. Усть-Кут, ул. Кирова, 92",38 МЕ 007896 от 16.07.2012 по 16.07.2017,"1) торговый павильон «Модуль» по адресу: Иркутская область, г. Усть-Кут, ул. Советская, д. 80; 2) магазин «Сфера» по адресу: Иркутская область, г. Усть-Кут, ул. Кедровая, д. 1, помещение 2; 3) магазин «Дебют» по адресу: Иркутская область, г. Усть-Кут, ул. Пушкина, д. 72А; 4) магазин «Дебют» по адресу: Иркутская область, г. Усть-Кут, ул. Кирова, д. 92, помещение 70; 5) магазин «Дебют плюс» по адресу: Иркутская область, г. Усть-Кут, ул. Российская, д. 1, помещение 522. ",-,-,,-,-,
63,"ООО «РИКТЕРО»
ИНН3818019254 

",,38 МЕ 007894  от 2012.07.13  по 2013.07.13 ,"1) магазин «Один» по адресу: Иркутская область, г. Усть-Кут, ул. Пушкина, д. 55, пом. 36; 2) магазин № 10 по адресу: Иркутская область, г. Усть-Кут, ул. Нефтяников, д. 37; 3) магазин № 30 по адресу: Иркутская область, г. Усть-Кут, ул. Космодемьянской, д. 55. 
",-,-,,-,-,
64,"ООО ""Товары для дома"" 
ИНН3818014545

",,"38 МЕ 007890 № 7 
  от 2012.07.03   по 2017.07.06 ","супермаркет ""Орлан"", Иркутская область, г. Усть-Кут, ул. Кирова, 26 

",-,-,,-,-,
