"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по Усть-Кутскому МО",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),
11.,"ООО «Бригантина»
ИНН 3818020130
"," г. Усть-Кут, ул. Речников, 44-2",Лицензия переоформлена:   38 МЕ 007867 № 17 от 08.12.2011г. С 08.12.2011г. По 08.07.2012г.  Взамен:                                    38 МЕ 007847 № 9                 от 07.07.2011г.                       с 08.07.2011г.                         по 08.07.2,"1.Кафе «Бригантина»  ул. Речников, д.9   г.Усть-Кут        ",-,-,-,-,-,
12.,"ООО «Ирида»
ИНН 3818020612
","Усть-Кутский район, п. Ния, ул. Тбилисская, д. 5",Лицензия выдана 38 МЕ 007844 № 7 от 01.07.2011 г. с 08.07.2011 г. по 08.07.2016 г.,"1. Магазин «Таюра» ул. Горбунова,5, Усть-Кутский район, п. Звездный
2. Магазин  «У Татьяны»  ул. Тбилисская, 5, Усть-Кутский р-он  п.Ния
",-,-,-,-,-,
13.,"ООО « ТД Норина и К»
ИНН 3818020404
","г. Усть-кут, ул. Советская, 19",Лицензия переоформлена № 6 от 21.06.2012 г. 38 МЕ 007888 с 21.06.2012 г. по 20.09.2014 г.,"1. Магазин №33  ул. Трудовая, д. 19,  г.Усть-Кут",-,-,-,-,-,
,,,взамен № 14 от 20.09.2011 г. 38 МЕ 007855 с 20.09.11 по 20.09.14,"2. Магазин №29  ул. Советская, д. 19,  г.Усть-Кут",,,,,,
,,,,"3. Магазин ""У Данила"", ул.Кирова, д. 128 п. 12, г. Усть-Кут",,,,,,
14.,"ООО ""Маяк""              ИНН 3818018973","г. Усть-Кут, ул. Чернышевского, д. 25 кв. 23",Лицензия переоформлена 38 МЕ 007871 № 18 от 22.12.2011г. с 22.12.2011г. по 17.11.2016г. Взамен:  38 МЕ 007862 № 21 от 17.11.2011г.  с 17.11.2011г.                       по 17.11.2016г.,"1. Магазин «Океан», ул. Ленрабочих, 10 г. Усть-Кут ;                                                     2. Арендуемый отдел в магазине ""Маяк"", ул. Горького,9 г. Усть-Кут;
3. Арендуемый отдел в магазине ""Первомайский"", ул. Первомайская , 33, г. Усть-Кут; 
4. Арендуемый отдел в магазине ""Старик Хоттабыч"", ул. Речников, 15А г. Усть-Кут;                                                                                                                  5. Арендуемый отдел в магазине ""Альфа"", ул. Гайдара, 20 г. Усть-Кут ; 
 6. Арендуемый отдел в магазине ""Старый город"", ул. Зверева, 96А  г. Усть-Кут      
         
",-,-,-,-,-,
15,"ООО «АрФаЭл»
ИНН 3818020644
","г. Усть-Кут, ул. Халтурина, 66-1",38 МЕ 007891 № 7 от 04.07.2012  взамен Лицензия выдана 38 МЕ 007868 № 23 от 09.12.2011г. с 09.12.2011г.  по 09.12.2016г.,"1) магазин «Солнечный» по адресу: Иркутская область, г. Усть-Кут, ул. Халтурина, д. 66, помещение 1; 2) кафе «Легенда», по адресу: Иркутская область, г. Усть-Кут, ул. Российская, д. 1, пом. 523; 3) помещение склада № 6 и помещение торгового зала № 8, по адресу: Иркутская область, г. Усть-Кут, ул. Некрасова, дом 3; 4) торговый павильон «Перекресток+», по адресу: Иркутская область, г. Усть-Кут, ул. Пролетарская, д. 12 А 
",-,-,-,-,-,
16,"ООО ""Виктория""       ИНН 3818020411","г. Усть-Кут, ул. Пушкина, д. 60, кв. 59",Лицензия выдана 38 МЕ 007856 № 15 от 23.09.2011г. с 23.09.2011г. по 23.09.2012 г.,"1. Отдел в магазине ""Виктория"",  ул. Пушкина , д.103, пом.31 г. Усть-Кут",-,-,-,-,-,
17,"ООО ""НАДЕЖДА""   ИНН 3818020429","Усть-Кутский район, пгт. Звездный, ул. Горбунова, д. 8, кв. 10",Лицензия переоформлена  38 МЕ 007866 № 16 от 02.12.2011г. с 02.12.2011г. по 09.08.2014г. Взамен: 38 МЕ 007853 № 13  от 27.07.2011г. с 09.08.2011г.                                 по 09.08.2014г.,"1. Магазин ""Надежда"", ул. Вавилова,5, Усть-Кутский район, п. Звездный     ",-,-,-,-,-,
18,"ООО «Авангард»
ИНН 3818020838
","Усть-Кутский район, р.п. Звездный, пер. Лесной, 4-1",Лицензия выдана 38 МЕ 007857 № 15 от 06.10.2011г.                                 с 06.10.2011г. по 06.10.2012г.,"1. Магазин «Ольга», пер. Лесной, 4А, Усть-Кутский район, п. Звездный",-,-,-,-,-,
19,"ООО ТД ""Негоциант""                              ИНН 3818014337","г. Усть-Кут, пер. Школьный, 3-6",Лицензия выдана 38 МЕ 007860 № 19 от 11.11.2011г. с 11.11.2011г.  по 11.11.2012г.,"1. Арендуемый отдел в магазине ""Калинка"", пер. Школьный  д.3, пом.6,   г. Усть-Кут",-,-,-,-,-,
20,"ООО ""Абсолют""         ИНН 3818019487","Усть-Кутский район, п. Верхнемарково, ул. Солнечная, д.1",Лицензия выдана 38 МЕ 007859 № 18 от 11.11.2011г. с 11.11.2011г. по 11.11.2012г,"1. Магазин ""Визит"", ул. Нефтяников, д.22 (помещение №7 и №8 в здании банно-прачечного комбината), Усть-Кутский район, п. Верхнемарково",-,-,-,-,-,
21,"ООО "" ВисМа""
ИНН 3818020813
","г. Усть-Кут, ул. Калинина, д. 7 кв. 46",Лицензия выдана 38 МЕ 007858 № 17 от 08.11.2011г. с 08.11.2011г. по 08.11.2013г,"1. Магазин   « Хороший»,   ул. Володарского ,73 , п.61,  г. Усть-Кут
2. Магазин «Каспий»,  ул.405-городок ,д.12, пом.10,   г. Усть-Кут      
",-,-,-,-,-,
22,"ООО ""Мария""            ИНН 3818021084","г. Усть-Кут, ул. Кирова, д. 36 корпус 1",Лицензия выдана 38 МЕ 007861 № 20 от 17.11.2011 г.                       с 17.11.2011г.  по 17.11.2012г.,"1. Магазин ""Гранд"", ул. Кирова,36, корпус 1, г. Усть-Кут",-,-,-,-,-,
23,"ООО «Парус»
ИНН 3818020524
","Усть-Кутский район, п. Янталь, ул. Киевская 10-4",Лицензия выдана 38 МЕ 007870 № 24  от 14.12.2011г. С 14.12.2011г. по 14.12.2013г,"1. Магазин ""Парус"", ул. Энтузиастов, 9, Усть-Кутский район, п. Янталь",-,-,-,-,-,
24,"ООО ""Бахор""             ИНН 3818018557","г. Усть-Кут, ул. Судостроительная, 3-108",Лицензия выдана 38 МЕ 007863 № 22  от 25.11.2011г. с  22.11.2011г.  по 25.11.2013г,"1. Кафе ""Бахор"", ул. Реброва-Денисова , 41  г. Усть-Кут",-,-,-,-,-,
25,"ООО « Марка»
ИНН 3818013453
","г. Усть-Кут, ул. Кирова, 27 кв. 2",Лицензия переоформлена    38 МЕ 007877  № 1 от 20.01.2012г. с 20.01.2012г.  по 02.01.2015г.                          ,"1. Магазин ""Продукты"",  ул. Нефтяников , д. 15 г.Усть-Кут
2. Магазин продовольственных товаров, ул. Кирова, строение 90 «А» г.Усть-Кут
3. Магазин «Смешанных товаров», ул. Кирова, строение, 97 г. Усть-Кут
4. Магазин ""Продукты"", ул. Кирова , д.82, пом. 139 г. Усть-Кут
",-,-,-,-,-,
26,"ООО «Виргиния»
ИНН 3818014305
","г. Усть-Кут, ул. Кирова, д. 19 г.","38 МЕ 007887 от 16.05.2012 г. 
С 16.05.2012 г. по 16.05.2013 г.
","1. Кафе «Виргиния»,    ул. Кирова , д. 19  г,  г. Усть-Кут",-,-,-,-,-,
27,"ООО «Перекресток»
ИНН 3818021711
","Усть-Кутский район, п. Казарки, ул. Колхозная, 4","Лицензия выдана А 228673 № 40 от 21.06.2007г. с 22.06.2007г.  по 22.06.2012г
","Магазин  «Черемушки»,  Усть-Кутский район ,  п. Казарки, ул. Колхозная, 4",-,-,6/23/2012,-,-,
28,"ООО «Товары для дома»
ИНН 3818014545
","г. Усть-Кут, ул. Кирова, 28","Лицензия переоформлена А 228706 № 36 от 20.06.2008г. с 20.06.2008г. по 05.07.2012г. взамен: А-228674 № 41 от 04.07.2007г.   с 05.07.2007г. по 05.07.2012г.

","1. Супермаркет «Орлан»,   ул. Кирова , 26 г. Усть-Кут",-,-,-,-,-,
29,"ООО «Триумф»
ИНН 3818014538
","г. Усть-Кут, пер. Комсомольский, 2А",38 МЕ 007898 № 9 2012.07.30 до 2017.07.12 ,"1) магазин № 20 по адресу: Иркутская область, г. Усть-Кут, ул. Зверева, 70; 2) магазин № 9 по адресу: Иркутская область, г. Усть-Кут, ул. 2-ая Набережная, д. 6; 3) магазин «Предместье» по адресу: Иркутская область, г. Усть-Кут, ул.Советская, д. 1; 4) магазин «Магнат» по адресу: Иркутская область, г. Усть-Кут, ул. Речников, д. 26, кв. 20; 5) магазин «Пикник» по адресу: Иркутская область, г. Усть-Кут, ул. Кирова, д. 42, пом. 2; 6) магазин «Триумф» по адресу: Иркутская область, г. Усть-Кут, ул. Нефтяников, 10В; 7) магазин «Триумф+» по адресу: Иркутская область, г. Усть-Кут, ул. Кирова, д. 86Б; 8) магазин по адресу: Иркутская область, г. Усть-Кут, ул. Грибоедова, д. 56А; 9) магазин «Надежда» по адресу: Иркутская область, г. Усть-Кут, пер. Комсомольский, д. 2А , 10) Торговый павильон «Продукты» по адресу: Иркутская область, г. Усть-Кут, ул. Кирова, д. 88 А 
",-,-,-,-,-,
