"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО ""Усть-Илимский район""",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),
1,2,3,4,5,6,7,8,9,10,
14,Общество с ог-раниченной от-ветственностью «ИЛИМ» 3817031763,МИ  ФНС № 9 по Иркутской области и УОБАО,А 178944              № 43               11.06.08 г.          с 12.06.08 г.          по 11.06.13 г,"Нижнеилимский муниципальный  район:                                                                п. Дальний,                                    ул.Саратовская, д.2                                     магазин  «Илим»",,,,,,
15,Общество с ог-раниченной от-ветственностью «РИАЛ» 3817033721,МИ  ФНС № 9 по Иркутской области,А 178947          № 49              05.09.08 г.          с 06.09.08 г.           по 05.09.13 г,"Усть-Илимский р-н:                                                п. Эдучанка:                                                              ул. Ермака, д. 9А,                                                  отдел  в  магазине «Вояж»,                                                 ул.Центральная, 3 н.п. 4,                                      отдел  в  магазине  «Жемчужина»",,,,,,
16,Общество с ог-раниченной от-ветственностью «Фортуна-2010» 3817037483,МИ  ФНС № 9 по Иркутской области ,А 244986          №  9                  28.04.11 г.          с 28.04.11 г.     по 27.04.12 г. зарегистр. 03.05.11 г.,"Усть-Илимский р-н:                                                 р.п. Железнодорожный,                                                      мкр-он  Вокзальный, 1 А/Б,                        вино-водочный  отдел                   магазина  «Сытая улыбка»",,,4/27/2012,,Администрация           города               Усть-Илимска,
17,Общество с ог-раниченной от-ветственностью «Аркадия»  3817010996,МИ  ФНС  РФ  №  9                 по  Иркутской области  ,А 244984          № 7              20.04.11 г.          с 21.04.11 г.         по 06.10.16г.  Зарегистрир.  копия  лицензии 07.10.11 г.,"Усть-Илимский р-н:                                                          р.п. Железнодорожный, ул. Ворошилова, строительный  № 19а, вино-водочный отдел  магазина  «Лесники»",,,,,Администрация            города               Усть-Илимска,
18,Общество с ог-раниченной от-ветственностью «Вектор Т»  3805709370,МИ  ФНС № 15 по  Иркутской области  ,А-178978          №  18          31.07.12 г.     с  31.07.12г.      по 23.04.14 г.   переоформлена    взамен  А-178969          №  23          23.09.11 г.     с  24.09.11г.      по 23.04.14 г.,"г. Усть-Илимск:                                                             ул. Карла Маркса, д.49, н.п. 143а,                                                вино-водочный отдел в магазине «Продукты»;                                                                            ул. Героев Труда, д.33, н.п. 64,                                                    вино-водочный отдел в магазине «Иркутянка»;                                           пр. Мира, 44а,                                                                             вино-водочный отдел  в магазине «Иркутский»;                                                        ул.Белградская, 6А,                                                                          вино-водочный отдел в магазине «Иркут +»;                                      ул. Ленина, 4 б,                                                     вино-водочный отдел  в  павильоне ООО «Рынок-Коробейники» (места № 2, № 24);                                        пр. Мира, 23, н.п. 28,                                                                       вино-водочный отдел  в кофейне  «Комильфо»;                                    ул. Энтузиастов, 11,                                                                      вино-водочный  отдел  торгового  места  № 1  ТЦ ""Радуга"" ;                              ул.Наймушина, д.20, н.п.124,                                                вино-водочный отдел  в магазине «Шарм»;                                          ул. Мечтателей,  42,                                              вино-водочный отдел  в магазине                            «Фаворит 2» ;                            Усть-Илимский район:                                               р.п. Железнодорожный:                                ул. Волкова, 13,        ",,,,,,
,,,,"вино-водочный отдел в  магазине «Юля»;                                            ул. Ленина, д. 37,                                                                вино-водочный отдел  в магазине «Раздан»;                                  ул. Больничная,  д. 4                                 вино-водочный  отдел  в  магазине «Берёзка»;                  п.Тубинский:                                                            ул. Таёжная, д.14 Б,                                                                      вино-водочный отдел в магазине ""Титан"";                                            ул. Строительная, д.13 н.п.1,                                                                                  вино-водочный  отдел в  магазине ""Уют"";                                        п.Невон:                                                                    ул. Дорожная, 25,                                                                      вино-водочный  отдел  в магазине ""Софья"";                                           с. Кеуль:                                                                                                                     ул.Энтузиастов, 2,                                       вино-водочный  отдел  в  магазине «Ангара-2»",,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
