Реестр выданных лицензий ,,,,,,,,,,
на осуществление розничной продажи алкогольной продукции  действующих на  02.07.2012 г.,,,,,,,,,,
,,,,,,,,,,
№,О лицензиате,ИНН / ОГРН,Дата выдачи лицензии,"Серия, регистр.№",Срок действия лицензии,Адреса территориально обособленных объектов,сведения о действии лицензии,Примечание,Лицензирующий орган,
,,,,,,"29)Тюменская область, Викуловский район, с. Балаганы, ул. Ленина, д. 12, магазин ""Смешанные товары"" (открыт 27.12.01)
30)Тюменская область, Викуловский район, д. Заборка, ул. Центральная, д. 7, магазин ""Смешанные товары"" (открыт 27.12.01)
",,,,
,,,,,,"31)Тюменская область, Викуловский район, с. Малахово, ул. Садовая, д. 17, магазин ""Смешанные товары"" (открыт 27.12.01)
32)Тюменская область, Викуловский район, с. Нововяткино, ул. Мира, д. 12/2, магазин ""Смешанные товары"" (открыт 27.12.01)
",,,,
,,,,,,"33)Тюменская область, Викуловский район, д. Комиссаровка, ул. Школьная, д. 3/2, магазин ""Смешанные товары"" (открыт 27.12.01)
34)Тюменская область, Викуловский район, с. Сартам, ул. Молодежная, д. 21, магазин ""Смешанные товары"" (открыт 22.10.04)
",,,,
,,,,,,"35)Тюменская область, Викуловский район, с. Чебаклей, ул. Кузнецова, д. 2, магазин ""Смешанные товары"" (открыт 21.03.05)
36)Тюменская область, Викуловский район, с. Каргалы, ул. Клубная, д. 19, магазин № 2 ""Смешанные товары"" (открыт 27.12.06)
",,,,
,,,,,,"37)Тюменская область, Викуловский район, д. Петрова, ул. 8 Марта, д. 21 А, магазин  ""Смешанные товары"" (открыт 20.12.11)
38)Тюменская область, Викуловский район, с. Осиновка, ул. Победы, д. 15, магазин  ""Смешанные товары"" (открыт 20.12.11)
",,,,
,,,,,,"39)Тюм. Обл., Викуловский район, с. Викулово, ул. Свободы, д. 158, магазин ""Смешанные товары""  (открыт 28.12.11)
",,,,
4,"ЗАО ""СОЮЗ"", юр.адрес: 627100, Россия, Тюменская область, г. Заводоуковск, ул. Шоссейная, д. 150
руков.:Бауэр А.А., тел. (34542) 2-21-66",ИНН 7215004061 ОГРН 1027201594848 (дата регистрации 02.12.2002),01/01/2002,72-РАП №3872,31/12/2016,"1)Тюменская область, г. Заводоуковск, ул. Шоссейная, д. 113, магазин (открыт 01.01.02)
2)Тюменская область, г. Заводоуковск, ул. Хахина, д. 7А, магазин (открыт 01.01.02)
",продлена реш. №919 от 02/11/2011  до 31/12/2016," Прим: Дата проверки 16.10.07 (отбор проб) 2.Проверка 08.11.10 (без нарушений, отбор проб)",Управление Л и РПР ТО,
,,,,,,"3)Тюменская область, г. Заводоуковск, ул. Челюскинцев, д. 22 Б, магазин (открыт 01.01.02)
4)Тюменская область, г. Заводоуковск, ул. Шосеейная, д. 150, магазин (открыт 01.01.02)
",,,,
,,,,,,"5)Тюменская область, г. Заводоуковск, ул. Ворошилова, д. 4, магазин (открыт 01.01.02)
6)Тюменская область, г. Заводоуковск, ул. Молодежная, д. 2 Б, магазин (открыт 01.01.02)
",,,,
,,,,,,"7)Тюменская область, г. Заводоуковск, ул. Братьев Перевозкиных, д. 1 А, магазин (открыт 01.01.02)
8)Тюменская область, г. Заводоуковск, ул. Ишимская, д. 7 А, магазин (открыт 01.01.02)
",,,,
,,,,,,"9)Тюменская область, г. Заводоуковск, ул. Дзержинского, д. 5, магазин (открыт 01.01.02)
10)Тюменская область, г. Заводоуковск, ул. Школьная, д. 50 А, магазин (открыт 01.01.02)
",,,,
,,,,,,"11)Тюменская область, г. Заводоуковск, ул. Заводская, д. 13 А, магазин (открыт 01.01.02)
12)Тюменская область,  Заводоуковский район, с. Новая Заимка, ул. Ленина, д. 46, магазин (открыт 01.01.02)
",,,,
,,,,,,"13)Тюменская область,  Заводоуковский район, с. Новая Заимка, ул. Ленина, д. 74, магазин (открыт 01.01.02)
14)Тюменская область,  Заводоуковский район, с. Новая Заимка, ул. Вокзальная, д. 14/1, магазин (открыт 01.01.02)
",,,,
,,,,,,"15)Тюменская область,  Заводоуковский район, с. Старая Заимка, ул. Центральная, д. 30, магазин (открыт 01.01.02)
16)Тюменская область,  Заводоуковский район, д.  Новозаимская, ул. Декабристов, д. 9, магазин (открыт 01.01.02)
",,,,
,,,,,,"17)Тюменская область,  Заводоуковский район, с. Боровинка, ул. Ленина, д. 26, магазин (открыт 01.01.02)
18)Тюменская область,  Заводоуковский район, с. Сосновка, ул. Центральная, д. 26 А, магазин (открыт 01.01.02)
",,,,
,,,,,,"19)Тюменская область,  Заводоуковский район, с. Шестаково, ул. Шоссейная, д. 21, магазин (открыт 01.01.02)
20)Тюменская область,  Заводоуковский район, д. Каменка, ул. Первомайская, д. 16 А, магазин (открыт 01.01.02)
",,,,
