41180,28-Sep-12,,,,,,,,,,,,,
Орг_Прав_Форма,Краткое Наименование,ИНН,Код_ОКПО,Город,Улица,ГородФ,УлицаФ,Поле86,Номер лиценз,Серия бланка,Бланк,Начало действ лицензии,Конец действия лицензии,Конец Срока Продления
Потребительское общество,Парабельское потребительское общество,7011003126,59683253,Парабельский район с. Парабель,"ул. Свердлова, 8",Парабельский район,,ТОМ,005535АЛ00,70МЕ,2132,12/31/2011,12/31/2012,
Общество с ограниченной ответственностью,"ООО ""Экстра-М""",7017058971,58915460,г. Томск,"ул.Герцена, 68, стр.2",Парабельский район,"с. Парабель, ул. Советская, 30а магазин",ТОМ,005468АЛ09,70МЕ,2048,12/31/2011,12/31/2012,
Потребительское общество,"ПО ""Нарымское  сельское потребительское общество""",7011001270,1689848,Парабельский район,"с. Нарым,  ул. Куйбышева,18",Парабельский район,,ТОМ,005690АЛ00,70МЕ,2320,12/31/2011,12/31/2012,
Потребительское общество,Старицинское сельское потребительское общество,7011001263,1689819,Парабельский район,"с. Старица, ул. Советская, 33",Парабельский район,"п. Тарск, ул. Совхозная, 7",ТОМ,002902АЛ01,70МЕ,418,12/31/2011,12/31/2012,
Общество с ограниченной ответственностью,"ООО ""Полисома""",7017102099,73735710,г.Томск,"ул. Б. Подгорная, 71 - 59",Парабельский район,,ТОМ,004989АЛ00,70МЕ,1013,12/31/2011,12/31/2012,
Общество с ограниченной ответственностью,"ООО ""Альянс""",7011005109,79194355,Парабельский район,"с. Парабель, ул. Советская, 19",Парабельский район,,ТОМ,005162АЛ00,70МЕ,1326,12/31/2011,12/31/2012,
Общество с ограниченной ответственностью,"ООО ""ГИД""",7011005229,,Парабельский район,"с. Парабель, ул. Южная, 33",Парабельский район,"636600 Парабель, ул. Шишкова, 40",ТОМ,005646АЛ01,70МЕ,2269,12/31/2011,12/31/2012,
Общество с ограниченной ответственностью,"ООО ""Престиж""",7011005236,,Парабельский район,"с. Парабель, ул. Советская, 96",Парабельский район,,ТОМ,005641АЛ00,70МЕ,2262,12/31/2011,12/31/2012,
Общество с ограниченной ответственностью,"ООО ""Никадан""",7017118758,,г. Томск,"Рабочая, 66",Парабельский район,"д. Бугры, ул. Транспортная, 11",ТОМ,003906АЛ14,70МЕ,1816,12/31/2011,12/31/2012,
Общество с ограниченной ответственностью,"ООО ""Гранатова""",7011005268,,Парабельский район,"с. Парабель,ул. Свердлова,32 а",Парабельский район,,ТОМ,005676АЛ00,70МЕ,2303,12/31/2011,12/31/2012,
