№ п/п,Наименование организации,ИНН организации,ОГРН организации,Адрес места нахождения организации (юридический адрес),Адрес осуществления вида деятельности ,Регистраци-онный номер организации Серия лицензии Номер лицензии,"Дата выдачи лицензии (месяц, число, год)","Дата окончания действия лицензии (месяц, число, год)",Продленна лицензия,Основание и дата переоформления лицензии,"Дата приоста-новления действия лицензии (месяц, число, год)","Дата возобно-вления действия лицензии (месяц, число, год)","Дата прекра-щения действия лицензии (месяц, число, год)","Дата аннули-рования (месяц, число, год)",Дата прове-дения последней проверки,Примечание
1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19
1,"ООО ""СВЕТЛАНА""",6727016445,1066727015046,"215806,Смоленская область, г.Ярцево, ул. Солнечная, д. 6/38","215806, Смоленская область, г. Ярцево, ул. Солнечная, д. 6/38 (магазин), без ограничений.",№ 990                 Б 005793,30 июня 2006,по 30 июня 2011,01 июля 2012,,,,,,,
,,,,,"215806, Смоленская область, г. Ярцево, пр-т. Металлургов, д. 39/19 (магазин), без ограничений",,,,,,,,,,,
2,"ООО ""Камелот""",6708006089,1106727000445,"215805, Смоленская область, Ярцевский район, г Ярцево, пр-т Металлургов, д. 46","215810,Смоленская область, г. Ярцево, пр-т Металлургов, д. 46 (ресторан), без ограничений",№ 1942               Б 004994,17 июля 2011,по 10 декабря 2013,,,,,,,,
3,"ООО ""Дарья"" ",6727016798,1066727015431,"215800, Смоленская область, г. Ярцево, ул. ЛМПС, 3, А","215800, Смоленская область, г. Ярцево, ул. ЛМПС, строение 3-а (магазин)",№ 1228               Г 254857,31 июля 2006,по 31 июля 2011,,,,,,,,
,,,,,"215800, Смоленская область, Ярцевский район, дер. Капыревщина (магазин)",,,,,,,,,,,
4,"ООО ""ОКСАНА""",6727013003,1026700977930,"215800, Смоленская область, г. Ярцево, ул. Горького, д. 26","215800, Смоленская область, г. Ярцево, пр-т Металлургов, д. 40 (магазин), без ограничений",№ 735                   В 317887          (№ 735                Б 004741),11 мая 2006                    (15 августа 2011),11 мая 2011                        (до 12 мая 2016),,,,,,,,
,,,,,"215800, Смоленская область, г. Ярцево, ул. Горького, д. 26 (магазин), без ограничений",,,,,,,,,,,
,,,,,"215800, Смоленская область, г. Ярцево, ул. Советская, д. 37/1 (магазин), без ограничений.",,,,,,,,,,,
,,,,,"215805, Смоленская область, г. Ярцево, ул. Автозаводская, д. 4 (магазин), без ограничений.",,,,,,,,,,,
,,,,,"215800, Смоленская область, г. Ярцево, ул.Чернышевского, д. 5 (магазин), без ограничений.",,,,,,,,,,,
,,,,,"215800, Смоленская область, г. Ярцево, ул. Автозаводская, конечная остановка,(павильон ""Топик"") до 15%",,,,,,,,,,,
,,,,,"215800, Смоленская область, г. Ярцево, ул. Энтузиастов, (павильон ""Элина""), до 15 %",,,,,,,,,,,
,,,,,"215800, Смоленская область, г. Ярцево, ул. Чернышевского (павильон ""ВиТ""), до 15%",,,,,,,,,,,
,,,,,"215800, Смоленская область, г. Ярцево, ул.50 лет Октября (павильон ""Эллада"") до 15 %",,,,,,,,,,,
,,,,,"215800, Смоленская область, г. Ярцево, ул. Гагарина (павильон ""Анастасия"" ), до 15%",,,,,,,,,,,
,,,,,"215800, Смоленская область, г. Ярцево, ул. Гагарина, д. 28-а ,(киоск ""ВиТ""), до 15%",,,,,,,,,,,
,,,,,"215800, Смоленская область, г. Ярцево, ул.Машиностроительная, д. 5-а (киоск ""Багира""), до 15%",,,,,,,,,,,
,,,,,"215800, Смоленская область, г. Ярцево, ул. Советская, д. 9-11 (павильон ""Багира""), до 15%",,,,,,,,,,,
,,,,,"215800, Смоленская область, г. Ярцево, д. Мушковичи, 345 км. а/д Москва-Минск (магазин ""Русские узоры""), без ограничений",,,,,,,,,,,
,,,,,"215806, Смоленская область, г. Ярцево, ул. М. Горького, д. 28-а (торговый павильон), до 15%",,,,,,,,,,,
,,,,,"215800, Смоленская область, г. Ярцево, ул. Восточная, дю 1-А (бар), без ограничений.",,,,,,,,,,,
5,"ООО ""Прометей""",6727003950,1026700976466,"215810, Смоленская область, г. Ярцево, ул. Старозавопье, д. 3, кв. 78","215800, Смоленская область, г. Ярцево, ул. Энтузиастов, д. 42 (закусочная), без ограничений.",№ 2047               Б 004742,05 августа 2011,до 05 августа 2012,,,,,,,,
6,"ООО ""Апельсин""",6727016332,1066727014760,"215803, Смоленская область, г. Ярцево, ул. Кузнецова, д. 56","215803, Смоленская область, г. Ярцево, ул. Кузнецова, д. 56 (кафе), без огрпничений.",№ 2032               Б 004990,12 июля 2011,до 12 июля 2012,,,,,,,,
7,"ООО ""Старозавопье""",6727010387,1026700981999,"215805, Смоленская область, г. Ярцево, ул. Старозавопье, д. 9","215805, г. Ярцево, ул. Старозавопье, д. 9 (закусочная), без ограничений.",№ 1649                Б 004746,17 августа 2011,по 26 марта 2013,,,,,,,,
,,,,,"215805, г. Ярцево, ул. Старозавопье, д. 13 (магазин), без ограничений.",,,,,,,,,,,
8,"ООО ""Талисман""",6727016614,1066727015211,"215800, Смоленская область, г. Ярцево, ул. Чехова,д. 46-а","215800, Смоленская область, г. Ярцево, ул. Победы, д. 10-а (магазин), без ограничений.",№ 1170               Б 005952,19 июля 2006,по 19 июля 2011,,,,,,,,
,,,,,"215800, Смоленская область, г. Ярцево,ул. Чехова, д. 46-а (магазин), без ограничений.",,,,,,,,,,,
10,"ООО ""Реал""",6727016283,1066727002583,"215800, Смоленская область, г. Ярцево, 2-й переулок Красина, д. 3","215800, Смоленская область, г. Ярцево, ул. Чехова, д. 53 (магазин), без ограничений.",№ 1993              Б 005433,12 апреля 2011,по 12 апреля 2012,,,,,,,,
,,,,,"215800, Смоленская область, г. Ярцево, ул. Чехова, д. 53 (бар), без ограничений.",,,,,,,,,,,
11,"ООО ""СЕРГЕЕНКОВ""",6727016340,1066727014859,"215800, Смоленская область, г. Ярцево, ул. Гагарина, д. 25-а ","215800,Смоленская область, Ярцевский район, дер. Мушковичи, ул. Шоссейная, д. 2 (кафе), без ограничений.",№ 737                 Б 005187,14 декабря 2009,по 11 мая 2011,до 12 мая 2016,,,,,,,
,,,,,"215800, Смоленская область, Ярцевский район, дер. Мушковичи, ул. Шоссейная, д. 2 (магазин), без ограничений",,,,,,,,,,,
,,,,,"215800, Смоленская область,г. Ярцево, ул. Гагарина, д. 25-а (магазин), без ограничений",,,,,,,,,,,
,,,,,"215700, Смоленская область, с/п Зимницкое, д. Старое Истомино (магазин), без ограничений.",,,,,,,,,,,
12,"ООО ""Магазин Оксана""",6727016678,1066727015255,"215801, Смоленская область, г. Ярцево, ул. Смоленская, 2","215801, Смоленская область, г. Ярцево, ул. Смоленская, д. 2 (магазин), без ограничений.",№ 1107               Б 005884,10 июля 2006,по 10 июля 2011,до 11 июля 2012,,,,,,,
13,"ООО ""ГОСТИНЫЙ ДВОР""",672701001,1066727015190,"215834, Смоленская область, Ярцевский район, дер. Мушковичи","215834, Смоленская область, Ярцевслий район, дер. Мушковичи, 345 км автомагистрали Москва-Минск (магазин) без ограничений",№ 915                 Б 005664,26 июня 2006,по 26 июня 2011,до 27 июня 2016,,,,,,,
,,,,,"215834, Смоленская область, Ярцевский район, дер. Мушковичи, 345 км автомагистрали Москва-Минск (кафе), без ограничений",,,,,,,,,,,
14,"ООО ""Форум""",6727016660,1066727015266,"215800, Смоленская область, г. Ярцево, пр-т. Металлургов. д. 14, кв. 29","215800, Смоленская область,  Ярцевский район, д. Суетово (магазин), без ограничений.",№ 1029               Б 004904,14 июня 2011,по 30 июня 2011,01 июля 2016,,,,,,,
15,"ООО ""АГАТ""",6727016484,1066727015090,"215834, Смоленская область, Ярцевский район, дер. Мушковичи, автомагистраль Москва-Минск, 345 км.","215834, Смоленская область, Ярцевский район, д. Мушковичи, автомагистраль Москва-Минск, 345 км (магазин № 3), без ограничений.",№ 901                 Б 005666,26 июня 2006,по 26 июня 2011,до 27 июня 2016,,,,,,,
16,"ООО ""УЛЫБКА""",6727016276,1066727002275,"215800, Смоленская область, г. Ярцево, ул. Школьная, д. 14, кв. 17","215800, Смоленская область, Ярцевский район, д. Мушковичи, трасса Москва-Минск 345 км (магазин, бокс №4), без ограничений",№ 692                Г 245959,14 апреля 2006,по 14 апреля 2011,до 16 апреля 2016,,,,,,,
,,,,,"215800, Смоленская область, Ярцевский район, д. Мушковичи, трасса Москва-Минск 345 км (магазин, бокс №1), без ограничений",,,,,,,,,,,
17,"ООО ""АРИНАС""",6727016685,1066727015288,"215830, Смоленская область, Ярцевский район, дер. Михейково","215830, Смоленская область, Ярцевский район, д. Михейково, ул. Советская, д. 30-а (магазин), без ограничений,",№ 1140               Б 005915,17 июля 2006,по 17 июля 2011,до 18 июля 2012,,,,,,,
18,"ООО ""Луч""",6727016491,1066727015080,"215800, Смоленская область, г. Ярцево, улю Энтузиастов, д. 13, кв. 20","215800, Смоленская область, г. Ярцево, ул. Энтузиастов, д. 36 (магазин), без ограничений",№ 938                 Б 005448,22 апреля 2011,по 29 июня 2011,до 30 июня 2016,,,,,,,
,,,,,"215800, Смоленская область, г. Ярцево, ул. Шоссейная, д. 19 (универсам), без ограничений.",,,,,,,,,,,
,,,,,"215800, Смоленская область, г. Ярцево, ул. Ольховская, д. 13 (магазин), без ограничений",,,,,30 ноября 2011 исключение объекта,,,,,,
,,,,,"215800, Смоленская область, г. Ярцево, ул. Кузнецова, д. 1 (магазин) без ограничений",,,,,,,,,,,
,,,,,"215800, Смоленская область, г. Ярцево, ул. Гагарина, д. 1 (магазин), без ограничений",,,,,30 ноября 2011 добавление объекта,,,,,,
,,,,,"215800, Смоленская область, г. Ярцево, ул. Школьная, д. 8 (магазин), без ограничений",,,,,,,,,,,
19,"ООО ""Белый медведь""",6727016879,1066727015618,"215800, Смоленская область, г. Ярцево, улю Школьная, 5","215800, Смоленская область, г. Ярцево, улю Школьная, дю 5 (магазин), ограничений.",№ 1224               Г 254858,31 июля 2006,по 31 июля 2011,до 01 августа 2016,,,,,,,
,,,,,"215800, Смоленская область, г. Ярцево, улю Советская, д. 24 Б (кафе), без ограничений.",,,,,,,,,,,
20,"ООО ""ЯКОРЬ""",6727016519,1066727015101,"215834, Смоленская область, Ярцевский район, дер. Мушковичи, автомагистраль Москва-Минск, 345 км.","215834, Смоленская область, Ярцевский район, д. Мушковичи, автомагистраль Москва-Минск, 345 км (магазин), без ограничений.",№ 907                 Б 005667,26 июня 2006,по 26 июня 2011,до 27 июня 2016,,,,,,,
21,"ООО ""ДИМОЛЬ""",6727002065,1026700975003,"215800, Смоленская область, г. Ярцево, ул. Советская, д. 10","215800, Смоленская область, г. Ярцево, ул. Советская, д. 10 (закусочная)",№ 1999 Б 005460          ,5 мая 2011,до 05 мая 2012,,,,,,,,
22,"ООО ""АССОРТИ""",6727016004,1056715170005,"215805, Смоленская область, г. Ярцево, ул. Металлургов, д. 20","215805, Смоленская область, г. Ярцево, пр-т Металлургов, д. 20 (кафетерий), без ограничений,",№ 2010               Б 004806,10 июня 2011,до 10 июня 2012,,,,,,,,
,,,,,"215805, Смоленская область, г. Ярцево, пр-т Металлургов, д. 20 (маркет), без ограничений,",,,,,,,,,,,
,,,,,"215805, Смоленская область, г. Ярцево, ул. Советская, д. 19 (магазин), без ограничений.",,,,,,,,,,,
23,"ООО ""РИТМ""",6727016290,1066727002847,"215805, Смоленская область, г. Ярцево, пр-т. Металлургов, д. 7-б","215800, Смоленская область, г. Ярцево, ул. Гагарина, д. 7-а (магазин), без ограничений",№ 883                 Б 005985,23 июня 2006,по 23 июня 2011,до 24 июня 2016,,,,,,,
,,,,,"215807, Смоленская область, г. Ярцево, пр-т Металлургов, д. 56 (магазин), без ограничений",,,,,,,,,,,
,,,,,"215805, Смоленская область, г. Ярцево, пр-т Металлургов, д. 1-а (магазин), без ограничений",,,,,,,,,,,
,,,,,"215805, Смоленская область, г. Ярцево, пр-т Металлургов, д. 7-б (магазин), без ограничений",,,,,,,,,,,
,,,,,"215805, Смоленская область, Ярцевский район, д. Мушковичи, 345 км. а/д Москва-Минск (магазин ""Бакс""), без ограничений",,,,,,,,,,,
,,,,,"215805, Смоленская область, Ярцевский район, д. Мушковичи, 345 км. а/д Москва-Минск (магазин ""Славутич""), без ограничений",,,,,,,,,,,
24,"ООО ""ЗОЛУШКА""",6727016822,1066727015508,"215800, Смоленская область, г. Ярцево, ул. Карла Маркса, д. 15","215800, Смоленская область, г. Ярцево, ул. К. Маркса, д. 13 (магазин), без ограничений.",№ 1075               Б 005854,10 июля 2006,по 10 июля 2011,до 11 июля 2013,,,,,,,
25,"ООО ""ЛУЧ""",6727016741,1066727015365,"215834, Смоленская область, Ярцевский район, д. Мушковичи","215834, Смоленская область, Ярцевский район, д. Мушковичи, 345 км автомагистрали Москва-Минск, бокс №5 (магазин), без ограничений,",№ 995                 Б 005799,30 июня 2006,по 30 июня 2011,до 01 июля 2016,,,,,,,
26,"ООО ""Пчелка""",6727017544,1076727000228,"215800, Смоленская область, г. Ярцево, прю Металлургов, д. 34, кв. 56","215800, Смоленская область, г. Ярцево, ул. Старозавопье, ЦТП № 11 (кафе), без ограничений.",№ 2017               Б 004935,27 июня 2011,по 27 июня 2012,,,,,,,,
27,"ООО ""Порт-Ярцево""",6727016808,1066727015420,"215800, Смоленская область, г. Ярцево, ул. Победы, 15-а","215800, Смоленская область, г. Ярцево, ул. Победы, д. 15-а (магазин), без ограничений",№ 1083               Б 005848,10 июля 2006,ПО 10 июля 2011,до 11 июля 2016,,,,,,,
,,,,,"215805, Смоленская область, г. Ярцево, пр-т. Металлургов, д. 21 (бар), без ограничений,",,,,,,,,,,,
,,,,,"215800, Смоленская область, г. Ярцево, ул. Металлургов, д. 21 (бар ""Янтарь"")",,,,,,,,,,,
28,"ООО ""ИРИНА""",6727016389,1066727014970,"215800, Смоленская область, г. Ярцево, улю Железнодорожная, 41","215800, Смоленская область, г. Ярцево, ул. Железнодорожная, д. 41 (магазин), без ограничений",№ 1191               Б 005963,24 июля 2006,по 24 июля 2011,до 25 июля 2016,,,,,,,
,,,,,"215800, Смоленская область, г. Ярцево, ул. Советская, д. 89 (магазин), без ограничений,",,,,,,,,,,,
,,,,,"215800, Смоленская область, г. Ярцево, ул. М. Горького, д. 57 (магазин), без ограничений",,,,,,,,,,,
,,,,,"215800, Смоленская область, г. Ярцево, ул. Макаренко, д. 3 (магазин), без ограничений",,,,,,,,,,,
29,"ООО ""МЕЧТА""",6727016766,1066727015409,"215800, Смоленская область, г. Ярцево, ул. Прохорова, д. 44/1","215810, Смоленская область, г. Ярцево, ул. Прохорова, д. 44/1 (магазин), без ограничений.",№ 1016               Б 005771,30 июня 2006,по 30 июня 2011,до 01 июля 2013,,,,,,,
