№ п/п,Наименование организации,ИНН организации,КПП организации,Место нахождения организации,Адрес электронной почты,Адрес места осуществления лицензируемого вида деятельности обособленным подразделением организации,КПП обособленного подразделения,Код субъекта РФ по месту нахождения организации,Код субъекта РФ по месту осуществления лицензируемого вида деятельности обособленным подразделением организации,Вид лицензируемой деятельности,Вид продукции,Номер лицензии,Регистрационный номер лицензии,Серия лицензии,"Наименование лицензирующего органа, выдавшего лицензию",Дата выдачи лицензии,Дата окончания действия лицензии,Дата приостановления действия лицензии,Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Статус лицензии,Дата изменения статуса
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,"Закрытое акционерное общество ""База закрытых учреждений Красногвардейского района""",7806111990,780601001,"Российская Федерация, 195176, Санкт-Петербург, Панфилова ул., д. 22",,"Санкт-Петербург, Панфилова ул., д. 22, литера А, помещение 1Н",,78,78,Розничная продажа алкогольной продукции,,78-003324,00671/2009,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",13.10.2009,13.10.2012,,,,,Действует,13.10.2009
2,"Общество с ограниченной ответственностью ""Элис""",7814097516,781401001,"Российская Федерация, 197372, Санкт-Петербург, Ильюшина ул., д. 5, корп. 1",,"Санкт-Петербург, Ильюшина ул., д. 5, корп. 1, комн. 4-10,18, часть комн. 15",,78,78,Розничная продажа алкогольной продукции,,78-003325,00672/2009,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",13.10.2009,13.10.2012,,,,,Действует,13.10.2009
3,"Общество с ограниченной ответственностью ""Антей""",7802476069,,"Российская Федерация, 194017, Санкт-Петербург, Енотаевская ул., д. 4, корп. 3, литера Б, помещение Н-1",,"Санкт-Петербург, Енотаевская ул., д. 4, корп. 3, литера Б, часть помещения Н-1 (комнаты 6-14)",,78,78,Розничная продажа алкогольной продукции,,78-003326,00673/2009,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",13.10.2009,13.10.2012,,,,,Действует,13.10.2009
4,"Общество с ограниченной ответственностью ""Евразия-Победа""",7810549343,781001001,"Российская Федерация, 196105, Санкт-Петербург, Московский пр., д. 188а, литера АБ",,"Санкт-Петербург, Московский пр., д. 188а, литера АБ",,78,78,Розничная продажа алкогольной продукции,,78-003327,00674/2009,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",13.10.2009,13.10.2012,,,,,Действует,13.10.2009
5,"Общество с ограниченной ответственностью ""Семь сорок""",7802231580,780201001,"Российская Федерация, 194156, Санкт-Петербург, Большой Сампсониевский пр., д. 108, литера А, помещение Н15",,"Санкт-Петербург, Большой Сампсониевский пр., д. 108, литера А, помещение Н15",,78,78,Розничная продажа алкогольной продукции,,78-003328,00675/2009,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",13.10.2009,13.10.2012,,,,,Действует,13.10.2009
6,"Общество с ограниченной ответственностью ""Суши-бар Евразия""",7810546320,781001001,"Российская Федерация, 196070, Санкт-Петербург, Московский пр., д. 177, литера А, помещение 7Н",,"Санкт-Петербург, Московский пр., д. 192, литера А, помещение 16-Н",781001001,78,78,Розничная продажа алкогольной продукции,,78-003329,00676/2009,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",13.10.2009,13.10.2012,,,,,Действует,13.10.2009
8,"Общество с ограниченной ответственностью ""СП Тайм Прожект""",7841406717,784101001,"Российская Федерация, 191186, Санкт-Петербург, Конюшенная пл., д. 2, литера В",,"Санкт-Петербург, Конюшенная пл., д. 2, литера В, помещение 17Н",,78,78,Розничная продажа алкогольной продукции,,78-003331,00678/2009,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",13.10.2009,13.10.2012,,,,,Действует,13.10.2009
10,"Общество с ограниченной ответственностью ""Кафе на Широкой""",7820028253,782001001,"196620, Российская Федерация, Санкт-Петербург, Павловск, Детскосельская ул., дом 6, лит. А",,"Санкт-Петербург, Пушкин, Широкая ул., д. 26, лит. Б, часть пом. 3Н (ком. 5-18)",,78,78,Розничная продажа алкогольной продукции,,78-003333,00680/2009,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",15.10.2009,15.10.2012,,,,,Действует,15.10.2009
11,"Общество с ограниченной ответственностью ""Сладкий мир""",7838346874,783801001,"Российская Федерация, 190031, Санкт-Петербург, Столярный пер., д. 10-12, офис 22",,"Санкт-Петербург, Литейный пр., д. 17-19, литера А, помещение 9Н",,78,78,Розничная продажа алкогольной продукции,,78-003334,00681/2009,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",15.10.2009,15.10.2012,,,,,Действует,15.10.2009
12,"Общество с ограниченной ответственностью ""Формат""",7805384384,784001001,"Российская Федерация, 191119, Санкт-Петербург, Лиговский пр., д. 149, литера А",,"Санкт-Петербург, Лиговский пр., д. 149, лит. А, пом. 1Н",,78,78,Розничная продажа алкогольной продукции,,78-003335,00682/2009,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",15.10.2009,15.10.2012,,,,,Действует,15.10.2009
13,"Общество с ограниченной ответственностью ""СОКОЛ""",7811434266,781101001,"Российская Федерация, 193231, Санкт-Петербург, Большевиков пр., д. 3, корп. 1, литера А",,"Санкт-Петербург, Большевиков пр., д. 3, корп. 1, литера А, помещение 13Н",,78,78,Розничная продажа алкогольной продукции,,78-003336,00683/2009,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",15.10.2009,15.10.2012,,,,,Действует,15.10.2009
16,"Общество с ограниченной ответственностью ""ЭРИДАН""",7814329460,783801001,"190000, Российская Федерация, Санкт-Петербург, Большая Морская ул., д. 45",,"Санкт-Петербург, Большая Морская ул., д. 45, литера А, помещения 2Н, 4Н",,78,78,Розничная продажа алкогольной продукции,,78-003338,00685/2009,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",15.10.2009,15.10.2012,,,,,Действует,15.10.2009
17,"Общество с ограниченной ответственностью ""СпецСервис""",7825505083,784201001,"Российская Федерация, 193167, Санкт-Петербург, Невский пр., д. 174, литера А",,"Санкт-Петербург, Невский пр., д. 174, лит. А, часть пом.  6-Н (к. 35,45, часть комн. 48)",,78,78,Розничная продажа алкогольной продукции,,78-003339,00686/2009,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",15.10.2009,15.10.2012,,,,,Действует,15.10.2009
18,"Общество с ограниченной ответственностью ""Кинг групп""",7802475788,780201001,"Российская Федерация, Санкт-Петербург, Энгельса пр., д. 113, корп. 1, помещение А1Н",,"Санкт-Петербург, Энгельса пр., д. 113, корп. 1, литера А, часть помещения 1Н (комнаты 115-125, 128, 129)",,78,78,Розничная продажа алкогольной продукции,,78-003340,00687/2009,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",15.10.2009,15.10.2012,,,,,Действует,15.10.2009
19,"Общество с ограниченной ответственностью ""Гранит""",7806334499,781001001,"196105, Российская Федерация, Санкт-Петербург, Благодатная ул., дом 16, корп. 2, лит. Б",,"Санкт-Петербург, Благодатная ул., д. 16, корп. 2, лит. Б",,78,78,Розничная продажа алкогольной продукции,,78-003341,00688/2009,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",15.10.2009,15.10.2012,,,,,Действует,15.10.2009
22,"Общество с ограниченной ответственностью ""Клен""",7825432332,784201001,"191025, Российская Федерация, Санкт-Петербург, 9-я Советская ул., дом 39/24",,"Санкт-Петербург, Апраксин пер., д. 7, лит. А, пом. 2Н",,78,78,Розничная продажа алкогольной продукции,,78-003350,00691/2009,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",21.10.2009,21.10.2012,,,,,Действует,21.10.2009
26,"Общество с ограниченной ответственностью ""Альтаир""",7810192790,783801001,"190031, Российская Федерация, Санкт-Петербург, Столярный пер., дом 18/69, лит. А, пом. 4-Н",,"Санкт-Петербург, Столярный пер., д. 18/69, лит. А, пом. 4-Н",,78,78,Розничная продажа алкогольной продукции,,78-003351,00692/2009,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",21.10.2009,21.10.2012,,,,,Действует,21.10.2009
27,"Общество с ограниченной ответственностью ""Гурман""",7805279171,780501001,"198302, Россия, Санкт-Петербург, Маршала Жукова пр., дом 24",,"Санкт-Петербург, Маршала Жукова пр., д. 24, литера А, часть пом.5-Н(к.3-23,36,37,40-44,51)",,78,78,Розничная продажа алкогольной продукции,,78-003352,00693/2009,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",21.10.2009,21.10.2012,,,,,Действует,21.10.2009
28,"Общество с ограниченной ответственностью ""ДОМО АРИГАТО""",7816467770,781601001,"Российская Федерация, 192241, Санкт-Петербург, Пражская ул., д. 48/50",,"Санкт-Петербург, Марата ул., д. 86, литера А, часть помещения 11Н (часть комн. 1, комн. 36)",,78,78,Розничная продажа алкогольной продукции,,78-003353,00694/2009,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",21.10.2009,21.10.2012,,,,,Действует,21.10.2009
30,"Общество с ограниченной ответственностью ""АРС""",7801147992,780101001,"Российская Федерация, 199004, Санкт-Петербург, 8-я линия В.О., д. 21/29, литера А, помещение 1-Н",,"Санкт-Петербург, 8-я линия В.О., д. 21/29, лит. А, пом. 1Н",,78,78,Розничная продажа алкогольной продукции,,78-003354,00695/2009,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",21.10.2009,21.10.2012,,,,,Действует,21.10.2009
31,"Общество с ограниченной ответственностью ""АЛЕКО""",7806333015,780601001,"195279, Российская Федерация, Санкт-Петербург, Энтузиастов пр., дом 16",,"Санкт-Петербург, Энтузиастов пр., д. 16, корп. 4",,78,78,Розничная продажа алкогольной продукции,,78-003355,00697/2009,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",21.10.2009,21.10.2012,,,,,Действует,21.10.2009
32,"Общество с ограниченной ответственностью ""Ресторатор""",7838407083,783801001,"Российская Федерация, 194291, Санкт-Петербург, Садовая ул., д. 49, литера А, помещение 2-Н",,"Санкт-Петербург, Лермонтовский пр., д. 24, литера А, помещение 2-Н, дом 26, литера А, помещение2-Н",,78,78,Розничная продажа алкогольной продукции,,78-003356,00698/2009,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",21.10.2009,21.10.2012,,,,,Действует,21.10.2009
37,"Общество с ограниченной ответственностью ""Несси""",7805103308,780501001,"Российская Федерация, 198152, Санкт-Петербург, Примакова ул., д. 20",,"Санкт-Петербург, Стачек пр., д. 67, корп. 3, литера А, помещение 11Н",,78,78,Розничная продажа алкогольной продукции,,78-003358,00700/2009,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",21.10.2009,21.10.2012,,,,,Действует,21.10.2009
38,"Общество с ограниченной ответственностью ""СКРЫНЯ""",7841409588,784101001,"Российская Федерация, 191011, Санкт-Петербург, наб. Робеспьера, д. 4, лит. А, часть пом. 10-Н (комн. 5, 9-17)",,"Санкт-Петербург, Караванная ул., д. 24-26, литера А, помещение 1Н",,78,78,Розничная продажа алкогольной продукции,,78-003359,00701/2009,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",21.10.2009,21.10.2012,,,,,Действует,21.10.2009
40,"Общество с ограниченной ответственностью ""Аспект""",7814107429,781401001,"197374, Российская Федерация, Санкт-Петербург, Оптиков ул., дом 4",,"Санкт-Петербург, Оптиков ул., д. 4, лит. А, пом. 1Н (ком. 1-23)",,78,78,Розничная продажа алкогольной продукции,,78-003360,00702/2009,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",21.10.2009,21.10.2012,,,,,Действует,21.10.2009
41,"Общество с ограниченной ответственностью ""ЗЕНИТ""",7807313445,780701001,"198205, Российская Федерация, Санкт-Петербург, Авангардная ул., дом 16",,"Санкт-Петербург, Авангардная ул., д. 16, корп. 5, лит. Г, часть пом. 1Н(часть комн.1, 2-5)",,78,78,Розничная продажа алкогольной продукции,,78-003361,00703/2009,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",21.10.2009,21.10.2012,,,,,Действует,21.10.2009
45,"Общество с ограниченной ответственностью ""Триэль""",7841324863,784101001,"191104, Российская Федерация, Санкт-Петербург, Литейный пр., дом 58, лит. Б, пом. 2Н",,"Санкт-Петербург, Заставская ул., д. 33, литера П, помещение 2-Н, 3-Н",,78,78,Розничная продажа алкогольной продукции,,78-003362,00704/2009,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",21.10.2009,21.10.2012,,,,,Действует,21.10.2009
47,"Общество с ограниченной ответственностью ""РОДНИК""",7805393124,780501001,"198303, Российская Федерация, Санкт-Петербург, Маршала Жукова пр., дом 26/16, лит. Б, пом. 1Н",,"Санкт-Петербург, Маршала Жукова пр., д. 26/16, литера Б, часть помещения 1Н (комнаты 5-9, часть комнаты 10)",,78,78,Розничная продажа алкогольной продукции,,78-003368,00705/2009,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",22.10.2009,22.10.2012,,,,,Действует,22.10.2009
48,"Общество с ограниченной ответственностью ""ДОЛЛАРИ""",7804300656,780401001,"Российская Федерация, 195256, Санкт-Петербург, Верности ул., д. 10, корп. 3, литера А",,"Санкт-Петербург, Верности ул., д. 10, корп. 3, литера А, часть помещ.17-Н(комнаты1,2,3,5,7,8,9,10)",,78,78,Розничная продажа алкогольной продукции,,78-003369,00706/2009,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",22.10.2009,22.10.2012,,,,,Действует,22.10.2009
50,"Общество с ограниченной ответственностью ""Процесс""",7816362350,781601001,"192281, Российская Федерация, Санкт-Петербург, Купчинская ул., дом 15, корп. 1, лит. Б, пом. 4Н",,"Санкт-Петербург, 8-я Красноармейская ул., д. 15-17, лит. А, пом. 1Н",,78,78,Розничная продажа алкогольной продукции,,78-003370,00707/2009,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",22.10.2009,22.10.2012,,,,,Действует,22.10.2009
51,"Общество с ограниченной ответственностью ""Росторг""",7805129088,783801001,"Российская Федерация, 190013, Санкт-Петербург, Московский пр., д. 18",,"Санкт-Петербург, Московский пр., д. 18, лит. А, пом. 1-Н",,78,78,Розничная продажа алкогольной продукции,,78-003371,00708/2009,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",22.10.2009,22.10.2012,,,,,Действует,22.10.2009
52,"Общество с ограниченной ответственностью ""Фирма ""ВВТ""",7840402075,784001001,"Российская Федерация, 191025, Санкт-Петербург, Дмитровский пер., д. 13, литера А",,"Санкт-Петербург, наб. кан. Грибоедова, д. 62, литера А, помещение 5Н",,78,78,Розничная продажа алкогольной продукции,,78-003372,00709/2009,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",22.10.2009,22.10.2012,,,,,Действует,22.10.2009
53,"Закрытое акционерное общество ""ЛЕНСЕНТ""",7802010373,780201001,"194100, Российская Федерация, Санкт-Петербург, Лесной пр., дом 20, корп. 10",,"Санкт-Петербург, Луначарского пр., д. 7, корп. 3",,78,78,Розничная продажа алкогольной продукции,,78-003373,00710/2009,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",22.10.2009,22.10.2012,,,,,Действует,22.10.2009
55,"Общество с ограниченной ответственностью ""ЕДИНСТВО""",7802105378,780201001,"Российская Федерация, 194214, Санкт-Петербург, Мориса Тореза пр., дом 118",,"Санкт-Петербург, Луначарского пр., д. 35, корп. 2, литера А",,78,78,Розничная продажа алкогольной продукции,,78-003374,00711/2009,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",22.10.2009,22.10.2012,,,,,Действует,22.10.2009
56,"Общество с ограниченной ответственностью ""Петерс""",7801395770,780101001,"199004, Российская Федерация, Санкт-Петербург, 8-я линия В.О., дом 43, лит. А, пом. 1Н",,"Санкт-Петербург, 8-я линия В.О., д. 45/34, литера А, часть пом. 3-Н (комн.1, 20, 22, 24, 25)",,78,78,Розничная продажа алкогольной продукции,,78-003375,00712/2009,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",22.10.2009,22.10.2012,,,,,Действует,22.10.2009
59,"Общество с ограниченной ответственностью ""Чародейка""",7819022850,781901001,"189510, Российская Федерация, Санкт-Петербург, Ломоносов, Александровская ул., дом 24а",,"Санкт-Петербург, Ломоносов, Александровская ул., д. 24а/12, лит. А",,78,78,Розничная продажа алкогольной продукции,,78-003376,00713/2009,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",22.10.2009,22.10.2012,,,,,Действует,22.10.2009
61,"Общество с ограниченной ответственностью ""СОЮЗ""",7825434234,784101001,"191011, Российская Федерация, Санкт-Петербург, Караванная ул., дом 24-26, лит. А, пом. 4Н, 20Н",,"Санкт-Петербург, Караванная ул., д. 24-26, литера А, часть помещ. 4-Н (комн.7, 12-24), набережная реки Фонтанки, д.29/66, помещение 5Н, литера А",,78,78,Розничная продажа алкогольной продукции,,78-003379,00715/2009,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",22.10.2009,22.10.2012,,,,,Действует,22.10.2009
62,"Общество с ограниченной ответственностью ""СИГМА""",7811343322,781101001,"193230, Российская Федерация, Санкт-Петербург, Крыленко ул., дом 23",,"Санкт-Петербург, Бабушкина ул., д. 64, лит. А, часть пом. 3-Н (часть комн.2, комн. 3, 5)",,78,78,Розничная продажа алкогольной продукции,,78-003380,00716/2009,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",22.10.2009,22.10.2012,,,,,Действует,22.10.2009
66,"Общество с ограниченной ответственностью ""Торговая Компания Регион Сервис""",7805441561,780501001,"Российская Федерация, 198097, Санкт-Петербург, Стачек пр., д. 47, здание А Б К К В Ц, пом. 4-4",,"Санкт-Петербург, Испытателей пр., д. 37, литера А, часть помещения 1-Н (комн. 76)",,78,78,Розничная продажа алкогольной продукции,,78-003382,00718/2009,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",22.10.2009,22.10.2012,,,,,Действует,22.10.2009
67,"Общество с ограниченной ответственностью ""Адмиралтейский""",7838427820,783901001,"Российская Федерация, 190121, Санкт-Петербург, Английский пр., д. 21, литера Б, помещение 10Н",,"Санкт-Петербург, Английский пр., д. 21, литера Б, помещение 10Н",,78,78,Розничная продажа алкогольной продукции,,78-003383,00719/2009,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",26.10.2009,26.10.2012,,,,,Действует,26.10.2009
69,"Общество с ограниченной ответственностью ""АРКАДА""",7802097705,780401001,"Российская Федерация, 194156, Санкт-Петербург, Кондратьевский пр., д. 44, литера А",,"Санкт-Петербург, Балканская пл., д. 5, литера О, часть помещения 11-Н (комн. 71, 72, часть комн.22)",,78,78,Розничная продажа алкогольной продукции,,78-003385,00721/2009,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",26.10.2009,26.10.2012,,,,,Действует,26.10.2009
70,"Общество с ограниченной ответственностью ""Евразия-Торжковская""",7814438727,781401001,"Российская Федерация, 197342, Санкт-Петербург, наб. Черной речки, д. 51, литера А, помещение 3-Н",,"Санкт-Петербург, наб. Черной речки, д. 51, литера А, помещение 3-Н",,78,78,Розничная продажа алкогольной продукции,,78-003386,00722/2009,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",26.10.2009,26.10.2012,,,,,Действует,26.10.2009
71,"Общество с ограниченной ответственностью ""Фиш Хаус""",7838429922,,"Российская Федерация, Санкт-Петербург, Гривцова пер., д. 4, литера А",,"Санкт-Петербург, Гривцова пер., д. 4, литера А, часть помещения 2Н (комнаты 1-4, 17-20, 22, 23, 49-59)",,78,78,Розничная продажа алкогольной продукции,,78-003387,00723/2009,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",26.10.2009,26.10.2012,,,,,Действует,26.10.2009
72,"Общество с ограниченной ответственностью ""ЛЕОН""",7810219869,784001001,"191025, Российская Федерация, Санкт-Петербург, Кузнечный пер., дом 10, лит. А, пом. 2-Н",,"Санкт-Петербург, Кузнечный пер., д. 10, лит. А, пом. 2Н",,78,78,Розничная продажа алкогольной продукции,,78-003388,00724/2009,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",26.10.2009,26.10.2012,,,,,Действует,26.10.2009
73,"Общество с ограниченной ответственностью ""Компаньон""",7806118593,780601001,"Россия, 195030, Санкт-Петербург, Энтузиастов пр., дом 47, корп. 1, пом. 5Н, лит. ""А""",,"Санкт-Петербург, Энтузиастов пр., д. 47, корп. 1, лит. А, часть пом.  5Н ( ч.к.1, к. 2,5)",,78,78,Розничная продажа алкогольной продукции,,78-003389,00725/2009,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",26.10.2009,26.10.2012,,,,,Действует,26.10.2009
74,"Общество с ограниченной ответственностью ""Торговый Дом ""Арсенал""",7816219632,781601001,"192007, Российская Федерация, Санкт-Петербург, Лиговский пр., дом 216, лит. А, пом. 2-Н",,"Санкт-Петербург, Софийская ул., д. 4, корп. 3, литера Е, часть пом. 11",,78,78,Розничная продажа алкогольной продукции,,78-003390,00726/2009,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",26.10.2009,26.10.2012,,,,,Действует,26.10.2009
86,"Общество с ограниченной ответственностью ""Ангел""",7807311350,780701001,"Российская Федерация, 198329, Санкт-Петербург, Партизана Германа ул., д. 5/14, литера Б",,"Санкт-Петербург, Маршала Захарова ул., д. 62, корп. 1, литера А, часть помещения 14Н (часть комнаты 1, комнаты 2, 3, 4)",,78,78,Розничная продажа алкогольной продукции,,78-003403,00730/2009,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",29.10.2009,29.10.2012,,,,,Действует,29.10.2009
87,"Общество с ограниченной ответственностью ""МиК""",7811442644,781101001,"Российская Федерация, 193231, Санкт-Петербург, Коллонтай ул., д. 21, корп. 1, литера А, помещение 9Н",,"Санкт-Петербург, Коллонтай ул., д. 21, корп. 1, литера А, помещение 9Н",,78,78,Розничная продажа алкогольной продукции,,78-003404,00731/2009,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",29.10.2009,29.10.2012,,,,,Действует,29.10.2009
89,"Общество с ограниченной ответственностью ""Де-факто""",7802335220,780201001,"194100, Российская Федерация, Санкт-Петербург, Белоостровская ул., дом 3, лит. А, пом. 8Н",,"Санкт-Петербург, Большой пр. В.О., д. 64, лит. А, пом. 28Н",,78,78,Розничная продажа алкогольной продукции,,78-003406,00733/2009,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",29.10.2009,29.10.2012,,,,,Действует,29.10.2009
90,"Общество с ограниченной ответственностью ""Евразия-Восточный""",7840414850,784001001,"Российская Федерация, 191002, Санкт-Петербург, Загородный пр., д. 21/23, литера А, помещение 24-Н",,"Санкт-Петербург, Загородный пр., д. 21-23, литера А, помещение 24Н",,78,78,Розничная продажа алкогольной продукции,,78-003407,00734/2009,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",29.10.2009,29.10.2012,,,,,Действует,29.10.2009
91,"Общество с ограниченной ответственностью ""Заведение №23""",7813389266,781301001,"Российская Федерация, 197022, Санкт-Петербург, Медиков пр., д. 5, литера В",,"Санкт-Петербург, Испытателей пр., д. 5, корп. 2, литера А, часть помещения  1-Н (комн. 187-193, 195)",,78,78,Розничная продажа алкогольной продукции,,78-003408,00735/2009,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",29.10.2009,29.10.2012,,,,,Действует,29.10.2009
92,"Общество с ограниченной ответственностью ""ПИРАМИДА""",7817305901,781701001,"Российская Федерация, 196655, Санкт-Петербург, Колпино, Октябрьская ул., д. 4, литера А",,"Санкт-Петербург, Колпино, Октябрьская ул., д. 4, лит. А, пом. 2-Н",,78,78,Розничная продажа алкогольной продукции,,78-003409,00736/2009,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",29.10.2009,29.10.2012,,,,,Действует,29.10.2009
93,"Общество с ограниченной ответственностью ""ЛОЗА""",7842332218,784201001,"191024, Российская Федерация, Санкт-Петербург, Невский пр., дом 150, лит. К, пом. 1Н",,"Санкт-Петербург, Невский пр., д. 150, лит. К, пом. 1Н",,78,78,Розничная продажа алкогольной продукции,,78-003410,00737/2009,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",29.10.2009,29.10.2012,,,,,Действует,29.10.2009
96,"Общество с ограниченной ответственностью ""Морской Клуб""",7841338859,784101001,"191025, Российская Федерация, Санкт-Петербург, Литейный пр., дом 62, лит. А, пом. 12Н",,"Санкт-Петербург, Двинская ул., д. 3, литера А-А1, часть помещения 1-Н (комн. 83, 86, 87, 92)",,78,78,Розничная продажа алкогольной продукции,,78-003413,00740/2009,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",29.10.2009,29.10.2012,,,,,Действует,29.10.2009
98,"Общество с ограниченной ответственностью ""Центр Эконом""",7801395900,780101001,"199034, Российская Федерация, Санкт-Петербург, 6-я линия В.О., дом 7/6, лит. А, пом. 2-Н",,"Санкт-Петербург, 6-я линия В.О., д. 7/6, лит. А, пом. 2-Н",,78,78,Розничная продажа алкогольной продукции,,78-003415,00742/2009,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",29.10.2009,29.10.2012,,,,,Действует,29.10.2009
99,"Общество с ограниченной ответственностью ""Евразия-Самоцветы""",7806411062,780601001,"Российская Федерация, 195112, Санкт-Петербург, Карла Фаберже пл., д. 8, литера А, помещения 145-150",,"Санкт-Петербург, Карла Фаберже пл., д. 8, литера А, часть помещ.2-Н (комн.45-50)",,78,78,Розничная продажа алкогольной продукции,,78-003416,00744/2009,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",29.10.2009,29.10.2012,,,,,Действует,29.10.2009
101,"Общество с ограниченной ответственностью ""Томми-Люкс""",7806146417,780601001,"Российская Федерация, 195196, Санкт-Петербург, Таллинская ул., д. 5",,"Санкт-Петербург, Шереметьевская ул., д. 15, литера А, часть помещения 1Н (комнаты 159, 168-177, 179-181, 184), помещение 5Н (комната 1), помещение 6Н (комната 1)",,78,78,Розничная продажа алкогольной продукции,,78-003418,00746/2009,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",29.10.2009,29.10.2012,,,,,Действует,29.10.2009
102,"Общество с ограниченной ответственностью ""Петрова-Берн СПб""",7810180410,784201001,"Российская Федерация, 191167, Санкт-Петербург, Александра Невского ул., д. 9, литера В",,"Санкт-Петербург, Александра Невского ул., д. 9, литера В, часть пом. 13Н(1,8,9,10,11,12,13,14,15,16,18,19,21,22,23,24,25)",,78,78,Розничная продажа алкогольной продукции,,78-003419,00747/2009,КЭР СПб,"Комитет экономического развития, промышленной политики и торговли Санкт-Петербурга",29.10.2009,29.10.2012,,,,,Действует,29.10.2009
